c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172804,7999,172804.0,42514.0,172804.0,57486.0,22.88515324966952,93.08512638655573,147.34164987378108
172804,7988,172804.0,42484.0,172804.0,57451.0,30.12087334133416,91.6941152411994,148.20243754561687
172814,7998,172814.0,42447.0,172814.0,57443.0,37.51289418740873,90.33010332037571,149.05480606496118
172814,8018,172814.0,42422.0,172814.0,57422.0,45.045111132075135,89.00085689128007,149.89779317274522
172814,8031,172814.0,42463.0,172814.0,57474.0,52.70016826418153,87.71195768705425,150.72882858523778
172814,8068,172814.0,42526.0,172814.0,57516.0,60.45969522659267,86.46666273420573,151.5438511326999
172814,8090,172814.0,42536.0,172814.0,57527.0,68.30474248378908,85.26671814514346,152.33811848109323
172814,8078,172814.0,42505.0,172814.0,57489.0,76.21627802416091,84.11348524265756,153.10711053860763
172825,8073,172825.0,42433.0,172825.0,57459.0,84.17541826305866,83.00831852066241,153.84674351202892
172825,8080,172825.0,42456.0,172825.0,57479.0,92.16325210036706,81.9519201669481,154.55288463689993
172825,8115,172825.0,42486.0,172825.0,57496.0,100.16059670578545,80.94353928279041,155.22090434889776
172825,8150,172825.0,42558.0,172825.0,57536.0,108.14811265000426,79.98104990157829,155.84582457907348
172825,8157,172825.0,42536.0,172825.0,57536.0,116.10681340443546,79.06194830313086,156.42295808710185
172825,8162,172825.0,42510.0,172825.0,57497.0,124.0185954428031,78.18433877239424,156.94850270168024
172835,8139,172835.0,42442.0,172835.0,57468.0,131.86641314242587,77.3470133904392,157.41953611462344
172835,8153,172835.0,42455.0,172835.0,57470.0,139.63405252381537,76.54862996459559,157.83340528032411
172835,8181,172835.0,42520.0,172835.0,57514.0,147.30582210602591,75.78691702960711,158.18717834645074
172835,8207,172835.0,42555.0,172835.0,57531.0,154.8665742436962,75.05887330594337,158.47776227352185
172835,8202,172835.0,42541.0,172835.0,57512.0,162.3020635250179,74.36182609677084,158.7025121974753
172835,8198,172835.0,42456.0,172835.0,57479.0,169.59922380916808,73.6941688843416,158.85959802028648
172845,8199,172845.0,42416.0,172845.0,57477.0,176.74610330263496,73.05488169925837,158.94775189903802
172845,8222,172845.0,42468.0,172845.0,57499.0,183.73164630339232,72.44228156028734,158.96580143675973
172845,8245,172845.0,42538.0,172845.0,57523.0,190.54566400966513,71.85342570105755,158.91259371017117
172845,8261,172845.0,42583.0,172845.0,57544.0,197.17910605584507,71.28494677296975,158.78744576097648
172845,8244,172845.0,42524.0,172845.0,57503.0,203.62440239920937,70.73452883763417,158.59072898165613
172845,8215,172845.0,42451.0,172845.0,57458.0,209.87547919949995,70.20154085892909,158.32397422552813
172856,8228,172856.0,42421.0,172856.0,57470.0,215.92731132472937,69.68621457689102,157.98928918523632
172856,8249,172856.0,42481.0,172856.0,57455.0,221.77541035701336,69.18828960522943,157.5886283275511
172856,8255,172856.0,42558.0,172856.0,57497.0,227.4156995555973,68.7066192596564,157.12349613016212
172856,8275,172856.0,42542.0,172856.0,57514.0,232.8447152136301,68.24013782424899,156.59518879392246
172856,8267,172856.0,42463.0,172856.0,57476.0,238.0598390770754,67.78896898407413,156.0053133192472
172856,8247,172856.0,42434.0,172856.0,57451.0,243.0593514692614,67.3543155112523,155.35599297424955
172866,8242,172866.0,42382.0,172866.0,57425.0,247.84216759345793,66.93722329212653,154.64942316386782
172866,8277,172866.0,42526.0,172866.0,57485.0,252.40743920699506,66.5374642536332,153.88725725506825
172866,8297,172866.0,42533.0,172866.0,57518.0,256.75448513680357,66.15372608641958,153.0706176118536
172866,8310,172866.0,42540.0,172866.0,57482.0,260.8831761347958,65.78498734614024,152.20081273350027
172866,8287,172866.0,42465.0,172866.0,57471.0,264.79436934849787,65.43160267318015,151.2799145394362
172866,8263,172866.0,42403.0,172866.0,57425.0,268.4899309999187,65.09503772493684,150.3105866133955
172876,8265,172876.0,42408.0,172876.0,57446.0,271.9722865336587,64.77657153462475,149.29545677892247
172876,8292,172876.0,42481.0,172876.0,57489.0,275.2439211352635,64.47617239653336,148.2367159170076
172876,8319,172876.0,42529.0,172876.0,57500.0,278.30732433317104,64.19262588794486,147.13641244601052
172876,8316,172876.0,42523.0,172876.0,57491.0,281.16539277074526,63.924745035106,145.99718740026552
172876,8297,172876.0,42420.0,172876.0,57428.0,283.82181953853194,63.67232902179882,144.82266483176
172876,8283,172876.0,42421.0,172876.0,57405.0,286.2810571313189,63.435826232006036,143.6170299665186
172887,8284,172887.0,42433.0,172887.0,57432.0,288.5479206933125,63.215195421777125,142.38415117621057
172887,8303,172887.0,42501.0,172887.0,57464.0,290.627226035939,63.00933709426392,141.1271259537164
172887,8313,172887.0,42531.0,172887.0,57480.0,292.5237516678858,62.81667993840973,139.84865753819298
172887,8303,172887.0,42467.0,172887.0,57444.0,294.24244373395925,62.63624846344697,138.55174401437193
172887,8294,172887.0,42423.0,172887.0,57402.0,295.7885338411993,62.468023948437306,137.2398824473391
172887,8279,172887.0,42392.0,172887.0,57382.0,297.16737938202743,62.312157564659216,135.9165187990638
172897,8278,172897.0,42453.0,172897.0,57420.0,298.38412130178097,62.16787956796582,134.58426766052668
172897,8331,172897.0,42489.0,172897.0,57445.0,299.44346472185464,62.03323177597333,133.24468892021488
172897,8315,172897.0,42496.0,172897.0,57442.0,300.3498858110529,61.90580144461831,131.89877306472198
172897,8309,172897.0,42479.0,172897.0,57424.0,301.1080623790966,61.783639018921654,130.54752591756002
172897,8280,172897.0,42404.0,172897.0,57396.0,301.72297152193573,61.66549569929836,129.19208411292564
172897,8288,172897.0,42367.0,172897.0,57375.0,302.19955298060347,61.5500914925717,127.83332888997273
172907,8300,172907.0,42468.0,172907.0,57419.0,302.54234684590404,61.43501281540145,126.47138875071914
172907,8317,172907.0,42511.0,172907.0,57440.0,302.75546162655843,61.31655309252519,125.10559557335742
172907,8310,172907.0,42502.0,172907.0,57430.0,302.8428401549694,61.190844506612365,123.73501762262497
172907,8292,172907.0,42438.0,172907.0,57406.0,302.80848118729307,61.054947380559334,122.35897450024443
172907,8293,172907.0,42382.0,172907.0,57346.0,302.6563716983544,60.90668914819502,120.9769350404057
172907,8272,172907.0,42413.0,172907.0,57372.0,302.3902147383943,60.743538352903414,119.58783055194958
172918,8305,172918.0,42500.0,172918.0,57422.0,302.0131854527036,60.56184333499038,118.18949982591984
172918,8325,172918.0,42504.0,172918.0,57437.0,301.52796608722855,60.357366605184914,116.77898234166138
172918,8310,172918.0,42500.0,172918.0,57416.0,300.9371246350754,60.126532186530596,115.35337034644391
172918,8292,172918.0,42433.0,172918.0,57371.0,300.2434424085923,59.86710301322813,113.91026470158394
172918,8275,172918.0,42397.0,172918.0,57373.0,299.44980189735065,59.577756256664074,112.44746019570066
172918,8275,172918.0,42411.0,172918.0,57380.0,298.55877445904594,59.25701401426912,110.96236835648047
172928,8299,172928.0,42472.0,172928.0,57404.0,297.5723145207928,58.90252508259688,109.45181935457143
172928,8310,172928.0,42507.0,172928.0,57431.0,296.49183341218793,58.511406169866,107.9124009344894
172928,8308,172928.0,42480.0,172928.0,57406.0,295.3185758646647,58.081286445814996,106.341059245037
172928,8282,172928.0,42439.0,172928.0,57375.0,294.05391664513513,57.61098901344806,104.73545169562644
172928,8263,172928.0,42392.0,172928.0,57343.0,292.6992656281801,57.10021999564128,103.09367754573618
172928,8287,172928.0,42426.0,172928.0,57384.0,291.2556966145936,56.54864978291704,101.41366153002261
172938,8304,172938.0,42497.0,172938.0,57410.0,289.7237774502933,55.95541450741891,99.69293328898597
172938,8310,172938.0,42502.0,172938.0,57406.0,288.10385437612166,55.31969141720391,97.92909206427038
172938,8299,172938.0,42462.0,172938.0,57390.0,286.3964931008013,54.64174308174161,96.12041235385739
172938,8274,172938.0,42395.0,172938.0,57357.0,284.60265362434404,53.92320609698926,94.26598145934945
172938,8281,172938.0,42379.0,172938.0,57354.0,282.7235097474163,53.166260009766546,92.36534266983327
172938,8285,172938.0,42416.0,172938.0,57393.0,280.7601945328146,52.37249197355425,90.41810349706574
