c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276358,19990,276358.0,39471.0,276358.0,38170.0,-204.86403815717466,-414.53864732706614,-558.3181246230922
276358,19976,276358.0,39464.0,276358.0,38158.0,-216.28485387621328,-433.5892273215503,-580.5249168363844
276368,19949,276368.0,39399.0,276368.0,38092.0,-227.970297475885,-453.0277786664894,-603.2964284816928
276368,19916,276368.0,39318.0,276368.0,38056.0,-239.90248706543116,-472.8187710811802,-626.6052801915889
276368,19890,276368.0,39266.0,276368.0,38026.0,-252.0638806749061,-492.92770387766865,-650.424232174798
276368,19882,276368.0,39238.0,276368.0,37987.0,-264.4377997985265,-513.322527822653,-674.7268340532131
276368,19858,276368.0,39208.0,276368.0,37957.0,-277.00882223455335,-533.9747614188631,-699.487906686119
276368,19864,276368.0,39230.0,276368.0,37931.0,-289.762973925796,-554.8600152589486,-724.6839276592018
276379,19864,276379.0,39251.0,276379.0,37925.0,-302.6877182734935,-575.957860606746,-750.2932807722707
276379,19855,276379.0,39234.0,276379.0,37928.0,-315.7717352825515,-597.2511118029487,-776.2962083861905
276379,19854,276379.0,39255.0,276379.0,37934.0,-329.0046143935815,-618.7249279083696,-802.6743782857448
276379,19860,276379.0,39298.0,276379.0,37908.0,-342.3765605348907,-640.3659203358727,-829.4101992686876
276379,19867,276379.0,39334.0,276379.0,37910.0,-355.8780246933399,-662.1609391252726,-856.4861774776989
276379,19833,276379.0,39237.0,276379.0,37883.0,-369.49927349323826,-684.0956819967179,-883.8844395239514
276389,19808,276389.0,39179.0,276389.0,37831.0,-383.2301834416478,-706.1541263393642,-911.5864432123099
276389,19760,276389.0,39101.0,276389.0,37786.0,-397.0604807422388,-728.319308746256,-939.5730565598415
276389,19742,276389.0,39096.0,276389.0,37739.0,-410.9803237927887,-750.5747321621142,-967.8250562984074
276389,19738,276389.0,39039.0,276389.0,37695.0,-424.98090084961405,-772.9054803849311,-996.3238036268116
276389,19702,276389.0,39005.0,276389.0,37684.0,-439.0547800864097,-795.2989008009658,-1025.0518387888164
276389,19735,276389.0,39097.0,276389.0,37684.0,-453.19601030351595,-817.7449246300681,-1053.9931441303256
276399,19723,276399.0,39072.0,276399.0,37682.0,-467.39996645525486,-840.23559605972,-1083.132894062109
276399,19724,276399.0,39036.0,276399.0,37657.0,-481.66292400104777,-862.7639583309615,-1112.4568543455805
276399,19713,276399.0,39064.0,276399.0,37640.0,-495.9816030572913,-885.3232522384848,-1141.9508136697618
276399,19734,276399.0,39104.0,276399.0,37665.0,-510.35280997134987,-907.9063969267713,-1171.600132983613
276399,19719,276399.0,39111.0,276399.0,37608.0,-524.7730226279132,-930.504988248307,-1201.3892086553794
276399,19678,276399.0,38995.0,276399.0,37580.0,-539.2380005458315,-953.1081711002129,-1231.3010077890056
276410,19637,276410.0,38920.0,276410.0,37531.0,-553.7428064129095,-975.7025982265242,-1261.3170465462204
276410,19643,276410.0,38891.0,276410.0,37483.0,-568.2822735983182,-998.2737004682161,-1291.417759408103
276410,19595,276410.0,38881.0,276410.0,37464.0,-582.8514846984258,-1020.8071113129254,-1321.5829847433033
276410,19581,276410.0,38836.0,276410.0,37427.0,-597.4460993790997,-1043.2893679045233,-1351.7923487464184
276410,19598,276410.0,38876.0,276410.0,37428.0,-612.0626186872377,-1065.708038718924,-1382.0253986373943
276410,19591,276410.0,38889.0,276410.0,37408.0,-626.698375502337,-1088.0513977370927,-1412.261451374431
276420,19583,276420.0,38876.0,276420.0,37408.0,-641.351178387837,-1110.3075848104922,-1442.4791969932078
276420,19564,276420.0,38865.0,276420.0,37390.0,-656.0189570109488,-1132.4636856830457,-1472.6561604554568
276420,19559,276420.0,38930.0,276420.0,37399.0,-670.6996115774837,-1154.5050072907488,-1502.768105675053
276420,19579,276420.0,38931.0,276420.0,37396.0,-685.3908882648755,-1176.4141116471983,-1532.788346030091
