c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
34881.0,14420.0,34881.0,23747.0,34881.0,24962.0,131.8580299095461,32.77266775548313,56.65799888282124
34881.0,14412.0,34881.0,23753.0,34881.0,24957.0,126.41029591393414,29.410856867433097,52.91508181351706
34881.0,14386.0,34881.0,23756.0,34881.0,24976.0,120.82731080264803,26.027304002603138,49.07666881867041
34881.0,14423.0,34881.0,23832.0,34881.0,24995.0,115.11733415945727,22.62370265474287,45.14580365072864
34891.0,14419.0,34891.0,23788.0,34891.0,24986.0,109.28871442987897,19.20252990179379,41.126328905451444
34891.0,14416.0,34891.0,23754.0,34891.0,24943.0,103.35027881629479,15.767696266076257,37.02323440057305
34891.0,14347.0,34891.0,23726.0,34891.0,24929.0,97.31157719285413,12.324416958784518,32.84250039189396
34891.0,14335.0,34891.0,23675.0,34891.0,24907.0,91.18251834470482,8.878383308265455,28.59052248620616
34891.0,14324.0,34891.0,23703.0,34891.0,24906.0,84.97259654979605,5.434819066261092,24.273536972488415
34891.0,14330.0,34891.0,23662.0,34891.0,24903.0,78.69032339932488,1.9978261633523218,19.897283146062165
34902.0,14335.0,34902.0,23694.0,34902.0,24900.0,72.34313775725042,-1.4298952500341002,15.466900404676394
34902.0,14329.0,34902.0,23701.0,34902.0,24907.0,65.93761752112108,-4.8470315301919555,10.986976959744283
34902.0,14322.0,34902.0,23706.0,34902.0,24897.0,59.47972985713139,-8.253359288557938,6.461673093919529
34902.0,14315.0,34902.0,23723.0,34902.0,24887.0,52.97496791324755,-11.649293679244721,1.8948257233230095
34902.0,14329.0,34902.0,23739.0,34902.0,24926.0,46.42842845357123,-15.035420876459199,-2.709971943926604
34902.0,14346.0,34902.0,23785.0,34902.0,24952.0,39.84503665118058,-18.41189938525364,-7.349036508235258
34912.0,14328.0,34912.0,23712.0,34912.0,24922.0,33.22997858049763,-21.77777874576823,-12.017917317634868
34912.0,14315.0,34912.0,23695.0,34912.0,24862.0,26.589068041344774,-25.130788108435887,-16.710993606157345
34912.0,14262.0,34912.0,23678.0,34912.0,24852.0,19.92871565212539,-28.46787600945507,-21.421898453864543
34912.0,14246.0,34912.0,23653.0,34912.0,24813.0,13.255433240762756,-31.78598941513718,-26.144439880827903
34912.0,14233.0,34912.0,23615.0,34912.0,24833.0,6.575128319063623,-35.082731902485065,-30.87338584812896
34912.0,14254.0,34912.0,23621.0,34912.0,24832.0,-0.10737241669329478,-38.35702248694244,-35.604821941066206
34922.0,14240.0,34922.0,23654.0,34922.0,24842.0,-6.788340041726826,-41.60956696046165,-40.33607380432282
34922.0,14239.0,34922.0,23668.0,34922.0,24838.0,-13.464905366732552,-44.8427370269508,-45.0654049229897
34922.0,14239.0,34922.0,23693.0,34922.0,24838.0,-20.13485744915235,-48.05992399706365,-49.79173673360168
34922.0,14236.0,34922.0,23702.0,34922.0,24847.0,-26.796496962578516,-51.2647595748696,-54.51444171929667
34922.0,14267.0,34922.0,23748.0,34922.0,24869.0,-33.4483987930835,-54.460357441180605,-59.23308001126594
34922.0,14254.0,34922.0,23733.0,34922.0,24870.0,-40.08899083229784,-57.64852291247509,-63.94696012327012
34933.0,14236.0,34933.0,23713.0,34933.0,24828.0,-46.71610889423994,-60.82912486332053,-68.65471811703097
34933.0,14191.0,34933.0,23637.0,34933.0,24808.0,-53.3269123189647,-64.00009531638432,-73.35433211125869
34933.0,14179.0,34933.0,23597.0,34933.0,24799.0,-59.918299971386034,-67.15828943055486,-78.04360253477338
34933.0,14186.0,34933.0,23619.0,34933.0,24793.0,-66.4874786450159,-70.30077286827998,-82.72066106208987
34933.0,14162.0,34933.0,23598.0,34933.0,24780.0,-73.03226910392087,-73.4257210711434,-87.38424521399682
34933.0,14162.0,34933.0,23649.0,34933.0,24782.0,-79.55117211061463,-76.53259054241136,-92.03382974651518
34943.0,14178.0,34943.0,23615.0,34943.0,24786.0,-86.04336450175623,-79.62182729856491,-96.6696715315378
34943.0,14155.0,34943.0,23616.0,34943.0,24788.0,-92.50856667429991,-82.69454153767747,-101.29271128246344
34943.0,14152.0,34943.0,23635.0,34943.0,24785.0,-98.94686043663322,-85.75239945514984,-105.90437056931276
34943.0,14182.0,34943.0,23685.0,34943.0,24809.0,-105.35857461292983,-88.79742457015185,-110.50631290276064
34943.0,14195.0,34943.0,23704.0,34943.0,24805.0,-111.743979367214,-91.83128151115989,-115.10011622945615
34943.0,14165.0,34943.0,23683.0,34943.0,24800.0,-118.10272246060342,-94.85429921742323,-119.6868911938194
34953.0,14145.0,34953.0,23621.0,34953.0,24791.0,-124.43349313222217,-97.86499038373464,-124.26704749235884
34953.0,14106.0,34953.0,23583.0,34953.0,24734.0,-130.73423741458424,-100.8605285505189,-128.84037423296965
34953.0,14083.0,34953.0,23570.0,34953.0,24745.0,-137.00275695626266,-103.83786515861874,-133.40648487774513
34953.0,14077.0,34953.0,23560.0,34953.0,24731.0,-143.23738178348896,-106.79476013325348,-137.9653798780391
34953.0,14069.0,34953.0,23534.0,34953.0,24722.0,-149.4374499333997,-109.73040633447303,-142.51777285778752
34953.0,14091.0,34953.0,23571.0,34953.0,24738.0,-155.60344627624647,-112.6457693591363,-147.06517629306867
34964.0,14093.0,34964.0,23597.0,34964.0,24745.0,-161.73679447596072,-115.54355974367766,-151.6098073752822
34964.0,14085.0,34964.0,23600.0,34964.0,24730.0,-167.8394498083851,-118.42769992544504,-156.15431805866965
34964.0,14094.0,34964.0,23630.0,34964.0,24737.0,-173.9135437381658,-121.3025793208821,-160.70155564304724
34964.0,14103.0,34964.0,23671.0,34964.0,24774.0,-179.96111460101753,-124.17230989480439,-165.25437404766814
34964.0,14095.0,34964.0,23666.0,34964.0,24771.0,-185.98378873986053,-127.03986674009806,-169.81521236916464
34964.0,14073.0,34964.0,23606.0,34964.0,24737.0,-191.98251119668055,-129.90640698590565,-174.38556206095458
34974.0,14047.0,34974.0,23567.0,34974.0,24705.0,-197.95757078126707,-132.77140643970492,-178.96587918275736
34974.0,14019.0,34974.0,23540.0,34974.0,24685.0,-203.90897007955698,-135.63361999504096,-183.55609547561755
34974.0,14015.0,34974.0,23544.0,34974.0,24695.0,-209.8369602780096,-138.49216560544184,-188.15627897773462
34974.0,14005.0,34974.0,23514.0,34974.0,24678.0,-215.74247973866488,-141.34722187434295,-192.7670070534709
34974.0,14017.0,34974.0,23549.0,34974.0,24685.0,-221.62733036729486,-144.20035344465762,-197.38944373314274
34974.0,14019.0,34974.0,23568.0,34974.0,24686.0,-227.49407960037092,-147.05448036691268,-202.02529538266072
34984.0,14015.0,34984.0,23581.0,34984.0,24680.0,-233.3457891404547,-149.9134124716655,-206.67669525934724
34984.0,13998.0,34984.0,23569.0,34984.0,24681.0,-239.18577475653137,-152.7812198358582,-211.34606344629827
34984.0,14023.0,34984.0,23604.0,34984.0,24718.0,-245.01749621663066,-155.66178123605857,-216.0359218620551
34984.0,14045.0,34984.0,23645.0,34984.0,24729.0,-250.84434047508523,-158.55832428381996,-220.7484538056899
34984.0,14018.0,34984.0,23621.0,34984.0,24695.0,-256.6691361107904,-161.47269202010838,-225.48488486402067
34984.0,13995.0,34984.0,23551.0,34984.0,24668.0,-262.4937793719957,-164.40482561276923,-230.24522342604857
34995.0,13971.0,34995.0,23510.0,34995.0,24642.0,-268.3193643417183,-167.35320580507542,-235.02862587470435
34995.0,13938.0,34995.0,23510.0,34995.0,24624.0,-274.1466937154701,-170.31604871647883,-239.83406872895534
34995.0,13945.0,34995.0,23503.0,34995.0,24606.0,-279.9768605220964,-173.29233524056926,-244.66097765249998
34995.0,13929.0,34995.0,23504.0,34995.0,24632.0,-285.81166195644954,-176.2822410092508,-249.50964740890578
34995.0,13946.0,34995.0,23508.0,34995.0,24621.0,-291.65372183694984,-179.28718955671764,-254.38131313999307
34995.0,13951.0,34995.0,23522.0,34995.0,24647.0,-297.5063438897223,-182.30973711841713,-259.2778952179462
35004.0,13946.0,35004.0,23538.0,35004.0,24611.0,-303.3731868443727,-185.3532849736773,-264.20166250393356
