c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379251.0,668.0,379251.0,15338.0,379251.0,37885.0,100.83721586068057,59.99197924158559,130.22090985824073
379251.0,682.0,379251.0,15349.0,379251.0,37905.0,99.1741421235128,57.62535647184962,126.73545015657407
379262.0,677.0,379262.0,15335.0,379262.0,37888.0,97.40339644699439,55.21680821570499,123.14013954086039
379262.0,665.0,379262.0,15291.0,379262.0,37849.0,95.52371831540063,52.77383329597194,119.44251032603472
379262.0,665.0,379262.0,15276.0,379262.0,37862.0,93.5344073669598,50.30369678082062,115.6505100645141
379262.0,668.0,379262.0,15271.0,379262.0,37797.0,91.43525181843172,47.812767766796966,111.77205664392287
379262.0,672.0,379262.0,15301.0,379262.0,37829.0,89.22653734211192,45.30606854775368,107.81453984026004
379262.0,662.0,379262.0,15342.0,379262.0,37862.0,86.90915866204259,42.7874255451008,103.78454227733506
379272.0,644.0,379272.0,15307.0,379272.0,37850.0,84.48466589032036,40.26012064878438,99.68813168147696
379272.0,650.0,379272.0,15293.0,379272.0,37828.0,81.95514236423286,37.727407391305945,95.53141053870488
379272.0,642.0,379272.0,15305.0,379272.0,37818.0,79.32304345233598,35.19248709913056,91.32066929234186
379272.0,645.0,379272.0,15326.0,379272.0,37839.0,76.5911460179752,32.658375964948924,87.06221775700186
379272.0,646.0,379272.0,15331.0,379272.0,37843.0,73.76259429494857,30.128144580252275,82.76240856810539
379272.0,624.0,379272.0,15300.0,379272.0,37803.0,70.84095506471142,27.605317337493695,78.4278888880853
379282.0,624.0,379282.0,15261.0,379282.0,37819.0,67.83017072803423,25.093895314129576,74.06567946539867
379282.0,615.0,379282.0,15270.0,379282.0,37780.0,64.73440206085917,22.597862888167377,69.68298773884848
379282.0,595.0,379282.0,15245.0,379282.0,37765.0,61.55785564259112,20.120592822407872,65.2869146346785
379282.0,610.0,379282.0,15279.0,379282.0,37768.0,58.30461808491138,17.664540272364746,60.884089229937985
379282.0,609.0,379282.0,15279.0,379282.0,37779.0,54.97858192241006,15.23130453763278,56.480425332983884
379282.0,606.0,379282.0,15288.0,379282.0,37787.0,51.58355814724305,12.82197145656508,52.081238566425725
379293.0,601.0,379293.0,15308.0,379293.0,37752.0,48.12343764740547,10.437546158420616,47.69154364894439
379293.0,585.0,379293.0,15252.0,379293.0,37747.0,44.60223345450163,8.07927376009475,43.31612898121631
379293.0,595.0,379293.0,15253.0,379293.0,37749.0,41.02401581583234,5.748597030103085,38.95935777909801
379293.0,589.0,379293.0,15268.0,379293.0,37763.0,37.39287352559214,3.4467874063919197,34.62505986784123
379293.0,577.0,379293.0,15267.0,379293.0,37757.0,33.71295804696561,1.1747552527377678,30.316720415075082
379293.0,578.0,379293.0,15288.0,379293.0,37746.0,29.988501011295213,-1.0667481959767002,26.037759056609957
379303.0,555.0,379303.0,15229.0,379303.0,37681.0,26.2237402003681,-3.2768792385765693,21.791526935847003
379303.0,562.0,379303.0,15231.0,379303.0,37691.0,22.422790301916365,-5.454809279394269,17.580819174681324
379303.0,543.0,379303.0,15256.0,379303.0,37718.0,18.589506871340603,-7.600118739687218,13.407291225749816
