c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
380042.0,12434.0,380042.0,44251.0,380042.0,65701.0,-148.5160699772104,22.155059170643256,50.816198584704125
380042.0,12472.0,380042.0,44285.0,380042.0,65825.0,-123.60314039874004,48.19833042897474,98.44464203649147
380053.0,12517.0,380053.0,44369.0,380053.0,65861.0,-98.14594324147532,74.5909811403107,146.81966381092514
380053.0,12555.0,380053.0,44396.0,380053.0,65952.0,-72.19753528343847,101.2636875366749,195.8218315443974
380053.0,12587.0,380053.0,44453.0,380053.0,66011.0,-45.812283773085426,128.14681147002477,245.33012611932895
380053.0,12629.0,380053.0,44487.0,380053.0,66062.0,-19.045500162128917,155.17112922197435,295.222560315368
380053.0,12665.0,380053.0,44492.0,380053.0,66153.0,8.046865637429278,182.26831282280494,345.37667615185546
380053.0,12701.0,380053.0,44584.0,380053.0,66252.0,35.40852892472617,209.37119647079453,395.67012521406025
380063.0,12730.0,380063.0,44575.0,380063.0,66300.0,62.98314528771448,236.4140629878491,445.9815585292911
380063.0,12767.0,380063.0,44636.0,380063.0,66364.0,90.71450831546451,263.3330293842229,496.1915365073046
380063.0,12799.0,380063.0,44655.0,380063.0,66422.0,118.54669807734928,290.0663353329562,546.1830824062304
380063.0,12842.0,380063.0,44661.0,380063.0,66470.0,146.4242469481385,316.55447793233094,595.8419681818808
380063.0,12867.0,380063.0,44707.0,380063.0,66526.0,174.29234482687576,342.74018058991567,645.0568963791396
380063.0,12908.0,380063.0,44716.0,380063.0,66575.0,202.09703900002245,368.56826271571174,693.7196060496557
380073.0,12951.0,380073.0,44786.0,380073.0,66674.0,229.78542839956538,393.9856387377537,741.7250418887124
380073.0,12979.0,380073.0,44802.0,380073.0,66749.0,257.3059167375958,418.9415615560422,788.9718572266654
380073.0,13011.0,380073.0,44826.0,380073.0,66755.0,284.6084736128057,443.3879806109636,835.3631712998815
380073.0,13047.0,380073.0,44832.0,380073.0,66824.0,311.6448081204643,467.27970657859737,880.8070194604545
380073.0,13073.0,380073.0,44894.0,380073.0,66899.0,338.3684930125547,490.5743437738313,925.2164225570834
380073.0,13116.0,380073.0,44894.0,380073.0,66925.0,364.73510168365124,513.2323054014586,968.5095945110882
380084.0,13139.0,380084.0,44951.0,380084.0,66989.0,390.70237162866454,535.2170121906908,1010.6103070937259
380084.0,13154.0,380084.0,44953.0,380084.0,67005.0,416.23033510007156,556.4951259395871,1051.44808266247
380084.0,13184.0,380084.0,44938.0,380084.0,67024.0,441.28130298264216,577.036628923362,1090.9581201869505
380084.0,13203.0,380084.0,44939.0,380084.0,67058.0,465.8197375858007,596.8144891887239,1129.080942684795
380084.0,13241.0,380084.0,44984.0,380084.0,67122.0,489.8121673565662,615.8040321117663,1165.7619948290294
380084.0,13277.0,380084.0,45001.0,380084.0,67158.0,513.2272397819223,633.9825816958504,1200.9515812134302
380094.0,13288.0,380094.0,45037.0,380094.0,67194.0,536.0358973766215,651.3295687150553,1234.6051166903926
380094.0,13323.0,380094.0,45062.0,380094.0,67243.0,558.2115259937241,667.8268453794174,1266.6833848100925
380094.0,13326.0,380094.0,45074.0,380094.0,67267.0,579.7299711663903,683.4590048140266,1297.1527349735316
380094.0,13361.0,380094.0,45075.0,380094.0,67267.0,600.5694658428439,698.2135642766472,1325.9851811182723
380094.0,13387.0,380094.0,45146.0,380094.0,67336.0,620.7105755329045,712.0810207058474,1353.1582998185581
380094.0,13392.0,380094.0,45114.0,380094.0,67334.0,640.1362283566526,725.0550319673968,1378.6551290569057
380104.0,13425.0,380104.0,45095.0,380104.0,67357.0,658.8317395597783,737.1325541136868,1402.4641898192647
380104.0,13421.0,380104.0,45109.0,380104.0,67351.0,676.784748078779,748.3134734564582,1424.5793538179087
380104.0,13427.0,380104.0,45105.0,380104.0,67353.0,693.9850494452928,758.5999642606048,1444.9994160587007
380104.0,13451.0,380104.0,45102.0,380104.0,67352.0,710.4243051979159,767.996029431317,1463.72748781144
380104.0,13489.0,380104.0,45127.0,380104.0,67380.0,726.0958294856958,776.5072099669085,1480.7703921676762
380104.0,13481.0,380104.0,45119.0,380104.0,67411.0,740.9946453908605,784.1404165082031,1496.138325178325
380115.0,13514.0,380115.0,45149.0,380115.0,67425.0,755.1176128658046,790.9039111408711,1509.8449058037538
380115.0,13511.0,380115.0,45154.0,380115.0,67413.0,768.4634321464483,796.8074028014944,1521.9073553129992
380115.0,13518.0,380115.0,45148.0,380115.0,67413.0,781.032555125085,801.8621973319537,1532.3464211865592
380115.0,13549.0,380115.0,45162.0,380115.0,67427.0,792.827053297324,806.0812642544796,1541.186032825908
380115.0,13552.0,380115.0,45185.0,380115.0,67442.0,803.8505616713204,809.4792522803023,1548.4530263636268
380115.0,13550.0,380115.0,45181.0,380115.0,67391.0,814.1083107174163,812.0726534792805,1554.1770106585727
380125.0,13559.0,380125.0,45119.0,380125.0,67409.0,823.6070398243693,813.8799071927594,1558.3900396999225
380125.0,13564.0,380125.0,45132.0,380125.0,67414.0,832.3547779303067,814.9209979402447,1561.126102610134
380125.0,13566.0,380125.0,45109.0,380125.0,67383.0,840.3606469408838,815.2167086261792,1562.420790437789
380125.0,13573.0,380125.0,45102.0,380125.0,67374.0,847.634705893165,814.7880262435949,1562.3110313902853
380125.0,13583.0,380125.0,45142.0,380125.0,67437.0,854.1878193846409,813.6558491660053,1560.834794197574
380125.0,13598.0,380125.0,45140.0,380125.0,67393.0,860.0316126805087,811.8410682066396,1558.0311530397207
380135.0,13598.0,380135.0,45128.0,380135.0,67376.0,865.1785313632851,809.3649377958182,1553.9405650780548
380135.0,13601.0,380135.0,45120.0,380135.0,67353.0,869.6419039639874,806.2492994745724,1548.6047259024479
380135.0,13599.0,380135.0,45103.0,380135.0,67370.0,873.4359059874641,802.5164748799085,1542.0661068200457
380135.0,13603.0,380135.0,45145.0,380135.0,67358.0,876.5754431159028,798.1891088114097,1534.367727138761
380135.0,13604.0,380135.0,45112.0,380135.0,67350.0,879.0760320594989,793.2902611675033,1525.553230903909
380135.0,13608.0,380135.0,45115.0,380135.0,67354.0,880.9537230966295,787.8436357132737,1515.6670177793471
380146.0,13598.0,380146.0,45072.0,380146.0,67276.0,882.2250415432069,781.8735745921548,1504.7542364298024
380146.0,13586.0,380146.0,45042.0,380146.0,67266.0,882.9068565673213,775.4046741312446,1492.8604062417514
380146.0,13589.0,380146.0,45014.0,380146.0,67251.0,883.0161322961908,768.4611081781454,1480.0307225909435
380146.0,13584.0,380146.0,45009.0,380146.0,67261.0,882.5696719783737,761.0658888856564,1466.3095905943455
380146.0,13596.0,380146.0,45058.0,380146.0,67246.0,881.5839882218518,753.2404749860921,1451.740665161693
380146.0,13591.0,380146.0,45078.0,380146.0,67213.0,880.0753149570015,745.0050951301187,1436.367082234339
380156.0,13598.0,380156.0,45041.0,380156.0,67178.0,878.0596958323606,736.3795811963051,1420.2314568404875
380156.0,13594.0,380156.0,45020.0,380156.0,67162.0,875.5530797114315,727.3839176112774,1403.3755595504922
380156.0,13596.0,380156.0,45034.0,380156.0,67181.0,872.5713984662859,718.0381862842346,1385.8400220822753
380156.0,13602.0,380156.0,45048.0,380156.0,67175.0,869.1306467884526,708.3624812413447,1367.6644774730007
380156.0,13587.0,380156.0,45015.0,380156.0,67128.0,865.2469756432753,698.3771788385279,1348.8880120769468
380156.0,13580.0,380156.0,44975.0,380156.0,67087.0,860.9367219486882,688.1031399434166,1329.5493371772773
380166.0,13571.0,380166.0,44949.0,380166.0,67042.0,856.2163031263578,677.5613941612673,1309.6863915768822
380166.0,13557.0,380166.0,44940.0,380166.0,67035.0,851.1020346862863,666.772515899311,1289.3356977138524
380166.0,13540.0,380166.0,44920.0,380166.0,67032.0,845.6099128149898,655.7561428845321,1268.5319679134273
380166.0,13544.0,380166.0,44914.0,380166.0,67029.0,839.7553675144285,644.5307477797564,1247.30820042106
380166.0,13556.0,380166.0,44932.0,380166.0,67018.0,833.5531335089951,633.1136116730675,1225.696122430669
380166.0,13551.0,380166.0,44939.0,380166.0,66965.0,827.0173841304179,621.5210919329807,1203.7266066707962
380177.0,13542.0,380177.0,44873.0,380177.0,66917.0,820.161992114008,609.7690422057844,1181.4296820808568
380177.0,13535.0,380177.0,44876.0,380177.0,66914.0,813.0006739993989,597.8728760688015,1158.834113293001
380177.0,13546.0,380177.0,44933.0,380177.0,66923.0,805.5470278034587,585.8473770335816,1135.9670842340631
380177.0,13529.0,380177.0,44890.0,380177.0,66901.0,797.8146274412521,573.7069728174396,1112.8544281118798
