c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207464,325,207464,62688,207464.0,80798.0,-107.65162659581662,-340.67108750833086,-483.0141533499135
207464,329,207464,62802,207464.0,80804.0,-110.17678164451755,-345.9572958092282,-497.61520376304304
207464,335,207464,62760,207464.0,80798.0,-112.78116697879122,-351.48226436118046,-512.579618082663
207464,319,207464,62760,207464.0,80763.0,-115.46152954120501,-357.24931191858906,-527.8832524755518
207464,314,207464,62697,207464.0,80729.0,-118.21389859520151,-363.2575136412538,-543.4992218142339
207464,318,207464,62723,207464.0,80714.0,-121.03367857556711,-369.50211753801625,-559.398204704719
207475,299,207475,62708,207475.0,80716.0,-123.91575375846529,-375.97505631547983,-575.5487969697442
207475,322,207475,62727,207475.0,80732.0,-126.85453811532668,-382.66505896825623,-591.9175097878186
207475,317,207475,62733,207475.0,80730.0,-129.84392396964927,-389.5574109369137,-608.468320411866
207475,313,207475,62697,207475.0,80675.0,-132.87711142446514,-396.63363640050466,-625.1621226095226
207475,295,207475,62625,207475.0,80670.0,-135.94650291738125,-403.87155244533164,-641.9565697575988
207475,289,207475,62614,207475.0,80644.0,-139.0438149021977,-411.24603164002633,-658.8063118563787
207485,293,207485,62644,207485.0,80627.0,-142.16028952587934,-418.72998600845904,-675.6632392776684
207485,301,207485,62659,207485.0,80631.0,-145.28678193396323,-426.2946807426928,-692.4765667402019
207485,291,207485,62654,207485.0,80612.0,-148.4136607511183,-433.9092874595729,-709.1927529952632
207485,288,207485,62625,207485.0,80591.0,-151.53068595389095,-441.54037206652106,-725.755326670853
207485,274,207485,62605,207485.0,80552.0,-154.62701825026696,-449.1518383327576,-742.1048588051533
207485,282,207485,62605,207485.0,80557.0,-157.69132589384546,-456.7052412280965,-758.1791648431695
207495,277,207495,62613,207495.0,80584.0,-160.71185369307386,-464.1600482367984,-773.9133939849273
207495,280,207495,62626,207495.0,80580.0,-163.67638982215936,-471.4735604954484,-789.2396274384128
207495,278,207495,62593,207495.0,80524.0,-166.57218140672052,-478.60061244106873,-804.0862568321648
207495,271,207495,62564,207495.0,80488.0,-169.38586606247463,-485.493474308726,-818.3778654330192
207495,260,207495,62497,207495.0,80483.0,-172.1034764639943,-492.1023070174024,-832.0357379314728
207495,254,207495,62554,207495.0,80440.0,-174.71055480208,-498.375994917748,-844.9784548257508
207506,260,207506,62540,207506.0,80428.0,-177.1923047261159,-504.26264970361353,-857.1223189536441
207506,257,207506,62542,207506.0,80430.0,-179.53364969564944,-509.70946131581644,-868.3816957227389
207506,255,207506,62534,207506.0,80418.0,-181.71918810009967,-514.6623872543978,-878.6691624838993
207506,243,207506,62469,207506.0,80366.0,-183.73316705695322,-519.0661818669378,-887.8955365974823
207506,243,207506,62494,207506.0,80348.0,-185.55955431124755,-522.864856402795,-895.9701836882548
207506,237,207506,62499,207506.0,80335.0,-187.18216219931804,-526.0022093693597,-902.8016453955847
207516,245,207516,62520,207516.0,80323.0,-188.58473110279954,-528.4218947346383,-908.2982009879918
207516,226,207516,62513,207516.0,80295.0,-189.75095672527985,-530.0670682426075,-912.3682382984566
207516,227,207516,62451,207516.0,80277.0,-190.6645568309142,-530.8801803061087,-914.9206555000519
207516,224,207516,62432,207516.0,80252.0,-191.30941844511787,-530.8034030075598,-915.8654181006641
207516,217,207516,62376,207516.0,80207.0,-191.6697410458246,-529.7796728242104,-915.1142680226778
207516,224,207516,62411,207516.0,80218.0,-191.73013376613946,-527.7538571476975,-912.5815694545038
207526,233,207526,62436,207526.0,80212.0,-191.47564485686877,-524.6734474076534,-908.185069682949
207526,229,207526,62437,207526.0,80201.0,-190.89168140819532,-520.4885215368192,-901.8463611272152
207526,225,207526,62372,207526.0,80186.0,-189.96391492914347,-515.1515279232289,-893.4912455490628
207526,204,207526,62382,207526.0,80156.0,-188.67834527280118,-508.6176756396569,-883.0503085475048
207526,210,207526,62381,207526.0,80156.0,-187.02155979601156,-500.845792845812,-870.4597431540835
207526,215,207526,62380,207526.0,80158.0,-184.9810202344076,-491.79898495100025,-855.6622183408138
207537,217,207537,62383,207537.0,80144.0,-182.54518546974444,-481.4449845770165,-838.6075981897044
207537,213,207537,62423,207537.0,80131.0,-179.7035110666949,-469.7563725933012,-819.2536228447902
207537,202,207537,62385,207537.0,80089.0,-176.44651415631662,-456.7106732865784,-797.5668301013573
207537,195,207537,62315,207537.0,80104.0,-172.76599911970357,-442.2907070283044,-773.5237837409626
207537,208,207537,62329,207537.0,80121.0,-168.6553634261604,-426.4857151796058,-747.1122879019781
207537,216,207537,62365,207537.0,80131.0,-164.10978556245865,-409.2927498195191,-718.3322158596511
207547,221,207547,62422,207547.0,80194.0,-159.12621229113518,-390.71728438841905,-687.1959374029761
207547,219,207547,62435,207547.0,80193.0,-153.70328907613396,-370.77290569380955,-653.7284763416072
207547,210,207547,62417,207547.0,80225.0,-147.84141186070318,-349.4808662288015,-617.9676041532525
207547,231,207547,62437,207547.0,80257.0,-141.54290833440004,-326.87017430849136,-579.9641037047041
207547,226,207547,62448,207547.0,80316.0,-134.81219082360266,-302.9781282408633,-539.7820621789865
207547,248,207547,62575,207547.0,80393.0,-127.6557856126265,-277.8506095698501,-497.49884347813753
207557,254,207557,62613,207557.0,80456.0,-120.08227700145652,-251.54152301617762,-453.2046186234193
207557,263,207557,62636,207557.0,80524.0,-112.10221041013341,-224.11161436260738,-407.0016297371008
207557,271,207557,62687,207557.0,80599.0,-103.72801496347817,-195.62755093582814,-359.00343360844937
207557,274,207557,62693,207557.0,80680.0,-94.97399580749716,-166.16157033287743,-309.3341539202363
207557,292,207557,62783,207557.0,80797.0,-85.85636944595228,-135.79131882698243,-258.1275725221341
