c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
241654.0,10754.0,241654.0,24491.0,241654.0,24892.0,-691.7278435643595,-306.49538930001876,-504.85704007418656
241654.0,10752.0,241654.0,24514.0,241654.0,24901.0,-698.5712157725092,-305.1011410585603,-504.56882203671137
241654.0,10758.0,241654.0,24533.0,241654.0,24904.0,-705.115541483527,-303.3110717997937,-503.78159591641116
241654.0,10746.0,241654.0,24550.0,241654.0,24914.0,-711.3235476387082,-301.1120341742092,-502.4664300220535
241664.0,10769.0,241664.0,24571.0,241664.0,24924.0,-717.1567212289235,-298.4900633775815,-500.5939375940047
241664.0,10761.0,241664.0,24593.0,241664.0,24906.0,-722.5751421805409,-295.429872653981,-498.1341874331213
241664.0,10717.0,241664.0,24540.0,241664.0,24918.0,-727.5373567688124,-291.91448186735465,-495.05675397180363
241664.0,10695.0,241664.0,24458.0,241664.0,24866.0,-732.00064092657,-287.92548556628356,-491.3309988190913
241664.0,10673.0,241664.0,24480.0,241664.0,24864.0,-735.9217175173826,-283.4442545222191,-486.92665153916886
241664.0,10657.0,241664.0,24452.0,241664.0,24854.0,-739.2575646745336,-278.45336909043004,-481.8146137419565
241674.0,10667.0,241674.0,24469.0,241674.0,24848.0,-741.9660352954817,-272.93750584566146,-475.9676919889325
241674.0,10650.0,241674.0,24488.0,241674.0,24855.0,-744.006222288778,-266.8837962533436,-469.36111675811253
241674.0,10666.0,241674.0,24481.0,241674.0,24877.0,-745.3386316394585,-260.28188654289056,-461.9728645265509
241674.0,10662.0,241674.0,24516.0,241674.0,24882.0,-745.9252556773698,-253.12385299800053,-453.7837432897584
241674.0,10661.0,241674.0,24512.0,241674.0,24890.0,-745.7295903199043,-245.4040822782764,-444.7773393639212
241674.0,10675.0,241674.0,24571.0,241674.0,24917.0,-744.7166521555046,-237.11905429359717,-434.93998596243307
241685.0,10703.0,241685.0,24641.0,241685.0,24970.0,-742.8529297634334,-228.2667971119808,-424.2606225344165
241685.0,10696.0,241685.0,24579.0,241685.0,24953.0,-740.1061530244501,-218.84600390290987,-412.7303915050717
241685.0,10679.0,241685.0,24583.0,241685.0,24934.0,-736.4450960197065,-208.85553850149512,-400.3423572825676
241685.0,10645.0,241685.0,24537.0,241685.0,24935.0,-731.8398051365003,-198.29491246780947,-387.0918294606696
241685.0,10634.0,241685.0,24513.0,241685.0,24921.0,-726.2623242137057,-187.16538559134875,-372.97712044169714
241685.0,10656.0,241685.0,24507.0,241685.0,24927.0,-719.6875554379408,-175.4712102183688,-358.0003268040655
241695.0,10654.0,241695.0,24546.0,241695.0,24971.0,-712.0938116627094,-163.2206611433966,-342.1679239876176
241695.0,10686.0,241695.0,24601.0,241695.0,25010.0,-703.4629739307195,-150.42639152744405,-325.4909293473463
241695.0,10707.0,241695.0,24620.0,241695.0,25048.0,-693.7804066724236,-137.10501338167597,-307.9845422929864
241695.0,10711.0,241695.0,24648.0,241695.0,25055.0,-683.0347444918602,-123.27637373402337,-289.66759507078353
241695.0,10718.0,241695.0,24675.0,241695.0,25083.0,-671.2177513593343,-108.96299342562958,-270.56221439371046
241695.0,10772.0,241695.0,24753.0,241695.0,25132.0,-658.3243213826554,-94.18957683442738,-250.69369128834842
241705.0,10793.0,241705.0,24810.0,241705.0,25185.0,-644.3523239347486,-78.98217896666443,-230.09019619743077
