c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414591,1268,414591,13059,414591.0,36337.0,119.77081494519351,82.20314478204286,227.7995687572364
414591,1249,414591,13058,414591.0,36329.0,126.12227617511621,92.24714381305989,238.43466362432292
414591,1296,414591,13143,414591.0,36386.0,132.51795103933932,102.18723452746504,249.10059067816564
414591,1321,414591,13238,414591.0,36457.0,138.94406645948544,111.9896562395782,259.77047595219005
414591,1338,414591,13250,414591.0,36498.0,145.38723139305745,121.62392766537592,270.4189005037947
414591,1313,414591,13161,414591.0,36435.0,151.8349859389004,131.0642961399331,281.0231095483048
414602,1295,414602,13088,414602.0,36379.0,158.2758825262507,140.28965427193367,291.56327533978964
414602,1291,414602,13126,414602.0,36374.0,164.69903280744347,149.28193903671573,302.02144419366334
414602,1339,414602,13230,414602.0,36495.0,171.09360227380893,158.0247786868937,312.3803359866755
414602,1372,414602,13309,414602.0,36524.0,177.44883780588384,166.5039038413889,322.62344570677874
414602,1370,414602,13245,414602.0,36505.0,183.75466291139523,174.70880723236317,332.73626345364505
414602,1343,414602,13127,414602.0,36462.0,190.00220757052767,182.633600510359,342.7070672949534
414612,1312,414612,13061,414612.0,36388.0,196.18368815603105,190.27574290862128,352.52639091128026
414612,1328,414612,13118,414612.0,36406.0,202.2917348551632,197.63358502389656,362.18556508699953
414612,1364,414612,13186,414612.0,36454.0,208.31882051264708,204.70484462968176,371.67540189259216
414612,1391,414612,13209,414612.0,36532.0,214.25732337655614,211.4868949111978,380.9860053801383
414612,1371,414612,13220,414612.0,36536.0,220.1000398329112,217.97790797993235,390.1077273054623
414612,1363,414612,13154,414612.0,36446.0,225.84049168765137,224.17754642217898,399.03213288435006
414622,1357,414622,13105,414622.0,36457.0,231.47273478732188,230.08658772401492,407.75182134475006
414622,1373,414622,13192,414622.0,36498.0,236.99097881797312,235.70584788025548,416.2594516512616
414622,1426,414622,13301,414622.0,36598.0,242.38949000378628,241.0358187484272,424.5474529844712
414622,1436,414622,13303,414622.0,36603.0,247.6630177151933,246.0779095568911,432.60901923314947
414622,1428,414622,13218,414622.0,36507.0,252.80747196528708,250.8360580722652,440.4393009995184
414622,1377,414622,13132,414622.0,36463.0,257.8201942499744,255.31679895495637,448.0352775408407
414633,1353,414633,13087,414633.0,36444.0,262.69944747478553,259.5275382351707,455.3942319053216
414633,1371,414633,13166,414633.0,36488.0,267.4434589736667,263.47448674486157,462.5121852657586
414633,1425,414633,13246,414633.0,36527.0,272.0498241490724,267.1619218546274,469.3833590791136
414633,1439,414633,13289,414633.0,36614.0,276.51576660763874,270.59322658864767,476.00077448914476
414633,1417,414633,13208,414633.0,36570.0,280.8388379821277,273.7724856693795,482.35748322333995
414633,1383,414633,13124,414633.0,36482.0,285.01719744420495,276.70488987706426,488.44732727125614
414643,1378,414643,13121,414643.0,36510.0,289.0491694509029,279.3954851572344,494.2643735538571
414643,1440,414643,13278,414643.0,36581.0,292.9326585705486,281.8477942245162,499.8018858894104
414643,1478,414643,13351,414643.0,36667.0,296.66524509899693,284.06427958498114,505.0524716400687
414643,1453,414643,13289,414643.0,36641.0,300.24498784045556,286.0484535800392,510.0095044397454
414643,1419,414643,13196,414643.0,36530.0,303.6710133330836,287.8062797473518,514.6682427064337
414643,1398,414643,13127,414643.0,36491.0,306.9432399400275,289.34538401152497,519.0252639694359
414653,1392,414653,13118,414653.0,36517.0,310.0615747969,290.6729497641211,523.0767150280956
414653,1421,414653,13228,414653.0,36572.0,313.0252656191417,291.7941139056494,526.817116441851
414653,1425,414653,13283,414653.0,36645.0,315.83275950691757,292.71208191229493,530.239648350947
414653,1442,414653,13240,414653.0,36623.0,318.48196354136996,293.42958535033813,533.3374240163909
414653,1411,414653,13183,414653.0,36540.0,320.9705287855155,293.94994132593297,536.1044662271651
414653,1412,414653,13147,414653.0,36512.0,323.29584205496167,294.27665334410113,538.5353627869381
414664,1428,414664,13208,414664.0,36577.0,325.45478422174216,294.41231034087934,540.6240930388428
414664,1466,414664,13311,414664.0,36689.0,327.4436861882946,294.3583056178484,542.3636951766865
414664,1501,414664,13343,414664.0,36709.0,329.2588064254924,294.11607782465137,543.7475900947967
