c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
242027,11477,242027,8669,242027.0,33183.0,-790.1847861217518,-347.7257038647243,-759.1409119504037
242027,11452,242027,8625,242027.0,33140.0,-795.0636145329394,-355.8441625032591,-774.9700474116435
242027,11431,242027,8631,242027.0,33130.0,-800.388859822307,-364.05261423607135,-791.0148052932961
242027,11427,242027,8643,242027.0,33117.0,-806.1766513844843,-372.3320314315106,-807.2439709866367
242037,11413,242037,8617,242037.0,33096.0,-812.4418204660808,-380.6636397004388,-823.626212078673
242037,11446,242037,8619,242037.0,33079.0,-819.1981705438391,-389.02880459178874,-840.1302038191313
242037,11605,242037,8547,242037.0,33028.0,-826.4580728006429,-397.40915144514946,-856.7248409279445
242037,11713,242037,8574,242037.0,33006.0,-834.2306051061731,-405.7870383991053,-873.3796844817091
242037,11701,242037,8540,242037.0,33006.0,-842.5184405461924,-414.1460998228738,-890.0655234539336
242037,11635,242037,8580,242037.0,33027.0,-851.3153045627607,-422.47147420513994,-906.7546289290291
242048,11528,242048,8597,242048.0,33047.0,-860.6055508133495,-430.7495692946113,-923.4204064679432
242048,11388,242048,8616,242048.0,33057.0,-870.3658498842825,-438.967405450103,-940.036585138082
242048,11328,242048,8640,242048.0,33029.0,-880.5681454264022,-447.11173799616654,-956.5763629852547
242048,11297,242048,8596,242048.0,32998.0,-891.1827309771146,-455.1682909047496,-973.0119550238961
242048,11284,242048,8571,242048.0,32996.0,-902.1804202827143,-463.121474604138,-989.3146538976503
242048,11279,242048,8552,242048.0,32992.0,-913.5336096737492,-470.95472194508295,-1005.4550276970697
242058,11259,242058,8578,242058.0,33000.0,-925.216678632392,-478.6509976072151,-1021.4028632592226
242058,11353,242058,8509,242058.0,32904.0,-937.2059682324034,-486.1930504238002,-1037.1270238673021
242058,11561,242058,8515,242058.0,32889.0,-949.4786765269474,-493.56365403887924,-1052.5958031303958
242058,11575,242058,8489,242058.0,32904.0,-962.0099350364094,-500.7460873892709,-1067.7777396159752
242058,11537,242058,8516,242058.0,32899.0,-974.7692752688697,-507.7245398621699,-1082.6420716217194
242058,11449,242058,8514,242058.0,32922.0,-987.7188113669952,-514.4841259639616,-1097.1584971597506
242068,11326,242068,8547,242068.0,32925.0,-1000.8138623554086,-521.010534294833,-1111.2965942980563
242068,11191,242068,8553,242068.0,32899.0,-1014.0052967866181,-527.2894428559661,-1125.025234733264
242068,11171,242068,8551,242068.0,32908.0,-1027.2426723104586,-533.3058792464676,-1138.3122303829496
242068,11165,242068,8562,242068.0,32851.0,-1040.4769433151414,-539.0437306164745,-1151.1243010266448
242068,11132,242068,8530,242068.0,32860.0,-1053.6618801750833,-544.485488863106,-1163.4273073709542
242068,11151,242068,8499,242068.0,32879.0,-1066.7545254590068,-549.6123125415058,-1175.18652193052
242079,11173,242079,8493,242079.0,32836.0,-1079.715206651649,-554.4044728373735,-1186.36662312424
242079,11322,242079,8471,242079.0,32845.0,-1092.5068295282697,-558.8419494525338,-1196.9315816749563
242079,11461,242079,8440,242079.0,32774.0,-1105.0927654144823,-562.9049604946603,-1206.844845194855
242079,11428,242079,8435,242079.0,32808.0,-1117.4335015297534,-566.5745140282748,-1216.069828187404
242079,11381,242079,8463,242079.0,32790.0,-1129.4838061537705,-569.8328827553145,-1224.570354489338
