c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414316,10225,414316,33175,414316,47238,-126.52743498104694,-92.16073145563865,-234.01159683382826
414316,10229,414316,33236,414316,47278,-134.7063217845834,-94.68140150256765,-241.5237534136069
414316,10230,414316,33271,414316,47260,-143.08865864374104,-97.2745255391321,-249.22213430475435
414316,10198,414316,33193,414316,47239,-151.6673790836526,-99.94431497665666,-257.1049288433327
414316,10180,414316,33163,414316,47190,-160.43488442879504,-102.69312147177853,-265.1693424978612
414316,10167,414316,33143,414316,47205,-169.38336089683892,-105.52220078918879,-273.4120944351801
414326,10178,414326,33198,414326,47197,-178.50510511490785,-108.43262604101133,-281.8299196900245
414326,10176,414326,33206,414326,47230,-187.79256891764186,-111.42540517826244,-290.4196247509392
414326,10153,414326,33186,414326,47199,-197.2381864118024,-114.50094435719163,-299.1777533317029
414326,10141,414326,33147,414326,47164,-206.8342972298424,-117.65871723045925,-308.1003319366571
414326,10123,414326,33114,414326,47119,-216.57329978431648,-120.897642034087,-317.183154717089
414326,10109,414326,33120,414326,47144,-226.44790322915836,-124.21688113902704,-326.42248632108414
414336,10109,414336,33165,414336,47154,-236.45134075924918,-127.61638110161935,-335.81550694500754
414336,10120,414336,33168,414336,47194,-246.57742103617701,-131.09669587446461,-345.3600524625974
414336,10111,414336,33201,414336,47153,-256.82033701150647,-134.65828543425533,-355.0539067376063
414336,10089,414336,33149,414336,47130,-267.17440436703725,-138.30085645712168,-364.89432414291
414336,10077,414336,33106,414336,47085,-277.63400701285036,-142.02326715270834,-374.8782174617723
414336,10079,414336,33127,414336,47086,-288.19372756842597,-145.82410150086977,-385.00280281637504
414347,10073,414347,33163,414347,47129,-298.8484019500054,-149.70221069359553,-395.266068294104
414347,10074,414347,33182,414347,47143,-309.5929970546431,-153.65648721512142,-405.66654019173666
414347,10048,414347,33132,414347,47092,-320.42244729934055,-157.6851953937038,-416.20257360156126
414347,10029,414347,33083,414347,47085,-331.33164445748736,-161.78581163606128,-426.87199509343145
414347,10005,414347,33073,414347,47057,-342.31566595338563,-165.9557204566955,-437.67236670476296
414347,10021,414347,33095,414347,47076,-353.3700798813553,-170.1931086689478,-448.6013714499763
414357,10026,414357,33162,414357,47077,-364.4910051360391,-174.49716535499545,-459.6568812788394
414357,10008,414357,33162,414357,47079,-375.67484584937745,-178.86734482584137,-470.836675178392
414357,9998,414357,33121,414357,47045,-386.9180139391572,-183.30236852658373,-482.1380989055182
414357,9979,414357,33079,414357,47002,-398.2168908303023,-187.79994336933487,-493.55806914477546
414357,9947,414357,33075,414357,46997,-409.5679981110558,-192.3573584362142,-505.0935355046014
414357,9959,414357,33104,414357,47025,-420.9682740305924,-196.9721850385573,-516.7419633247732
414367,9974,414367,33137,414367,46995,-432.4152009604413,-201.64232941498068,-528.5013476497137
414367,9963,414367,33095,414367,46997,-443.906549168185,-206.36549683335494,-540.3699385593662
414367,9931,414367,33081,414367,46959,-455.4400061424334,-211.13881189609694,-552.3461454023297
414367,9921,414367,33030,414367,46956,-467.01313271553585,-215.95909700757286,-564.4287049850466
414367,9903,414367,33048,414367,46923,-478.62361570481715,-220.8235682714996,-576.616968059241
414367,9902,414367,33063,414367,46966,-490.26950549779434,-225.73035191750338,-588.9111058208787
414378,9902,414378,33101,414378,46985,-501.94927473319825,-230.67838219489158,-601.311908598315
414378,9894,414378,33081,414378,46952,-513.6616981407794,-235.66678198106268,-613.8201301819664
414378,9881,414378,33053,414378,46941,-525.4056729904873,-240.694333260152,-626.4359423938627
414378,9856,414378,33019,414378,46895,-537.1801582802475,-245.7595474818619,-639.158951166901
414378,9857,414378,33022,414378,46912,-548.9842812685872,-250.8612285825393,-651.9885677102734
414378,9851,414378,33076,414378,46918,-560.8174494884504,-255.9988871934393,-664.9242409838597
414388,9844,414388,33066,414388,46918,-572.679312444191,-261.1724859764316,-677.9652621071156
414388,9833,414388,33049,414388,46872,-584.5696377706031,-266.38180954388724,-691.110401780843
414388,9814,414388,32992,414388,46845,-596.4882516220034,-271.6262603605947,-704.3579129844454
414388,9790,414388,32983,414388,46831,-608.4351242485031,-276.9053801458515,-717.7059799360907
414388,9782,414388,33010,414388,46841,-620.4105946931718,-282.21958074215223,-731.153164102561
414388,9803,414388,33059,414388,46832,-632.4155403323537,-287.5702931853377,-744.6984729249912
414398,9794,414398,33058,414398,46837,-644.45123423556,-292.95929413954286,-758.3411160637719
414398,9767,414398,33042,414398,46816,-656.5190097177826,-298.3878107011658,-772.0802082324564
414398,9754,414398,32968,414398,46770,-668.6201388131842,-303.8562190810669,-785.9146655421744
414398,9734,414398,32990,414398,46760,-680.7560136722723,-309.3645597372914,-799.8434694249447
414398,9745,414398,32999,414398,46774,-692.9283576388353,-314.91322742346375,-813.8660735349913
414398,9750,414398,33030,414398,46789,-705.1392049006931,-320.50305499081713,-827.9824295145702
414409,9746,414409,33036,414409,46785,-717.3905980665077,-326.13476664485677,-842.1925081951938
414409,9709,414409,32975,414409,46737,-729.6842606181992,-331.8084117967214,-856.4957816943856
414409,9688,414409,32946,414409,46706,-742.0215983264402,-337.52342707962015,-870.8911986506412
414409,9672,414409,32954,414409,46702,-754.4040457631525,-343.2793346222779,-885.3776505895646
414409,9694,414409,32985,414409,46724,-766.833385498654,-349.07629746026953,-899.9543526913026
414409,9693,414409,32998,414409,46722,-779.3116817363543,-354.91495128838665,-914.6206836549457
414419,9675,414419,33005,414419,46691,-791.8408991580989,-360.7957493244469,-929.3757072943301
414419,9650,414419,32951,414419,46660,-804.4226339208644,-366.7184354800166,-944.2179526474656
414419,9638,414419,32906,414419,46625,-817.0581894714112,-372.6821638994377,-959.1456934532766
414419,9618,414419,32923,414419,46636,-829.748831182238,-378.6862446362021,-974.157447766548
414419,9639,414419,32983,414419,46667,-842.4959546572888,-384.73069588150173,-989.2521695711707
414419,9631,414419,33006,414419,46651,-855.3009855302623,-390.8158195848375,-1004.4288450695665
