c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69082,14849,69082,22954,69082.0,56458.0,-351.1798287068948,-267.6823713590228,-945.7813383980945
69082,14830,69082,22970,69082.0,56462.0,-357.9205701251028,-271.7926909254975,-961.5657629409878
69092,14847,69092,22967,69092.0,56431.0,-364.7717445129858,-275.92594985763765,-977.5133566830577
69092,14828,69092,22948,69092.0,56441.0,-371.72440050234496,-280.07571531981455,-993.5868028122145
69092,14845,69092,22972,69092.0,56391.0,-378.7690233113793,-284.2346309723318,-1009.7459766552524
69092,14842,69092,22986,69092.0,56443.0,-385.89536597263043,-288.3943245965705,-1025.9479923496026
69092,14825,69092,22968,69092.0,56372.0,-393.09224936878775,-292.5451070565427,-1042.1471377045143
69092,14817,69092,22917,69092.0,56332.0,-400.3474791403708,-296.67580285396275,-1058.294905055343
69103,14803,69103,22950,69103.0,56365.0,-407.6479587517739,-300.7740606690451,-1074.3404130233712
69103,14789,69103,22914,69103.0,56358.0,-414.97989387475764,-304.8268042605405,-1090.2307330284048
69103,14779,69103,22938,69103.0,56293.0,-422.32901565547036,-308.8204335417264,-1105.910772091759
69103,14783,69103,22938,69103.0,56300.0,-429.6807727140963,-312.7408147016388,-1121.323316704484
69103,14784,69103,22930,69103.0,56312.0,-437.0203790072478,-316.57314278274555,-1136.4093710807701
69103,14787,69103,22903,69103.0,56268.0,-444.3326795717456,-320.30185525950935,-1151.108253334022
69113,14783,69113,22938,69113.0,56266.0,-451.6019297433112,-323.91074685150613,-1165.3575445704264
69113,14791,69113,22927,69113.0,56268.0,-458.8115794096997,-327.3830229903923,-1179.0931964168026
69113,14788,69113,22958,69113.0,56279.0,-465.94405876264034,-330.701061761144,-1192.2495359162044
69113,14772,69113,22960,69113.0,56275.0,-472.9805883472167,-333.8459941439339,-1204.7589695138852
69113,14755,69113,22890,69113.0,56222.0,-479.90114956724705,-336.79740668820534,-1216.5516999106999
69113,14747,69113,22868,69113.0,56176.0,-486.6846708936704,-339.5336407799535,-1227.5559477087277
69123,14731,69123,22878,69123.0,56166.0,-493.30930090255106,-342.03266892005166,-1237.6987650963988
69123,14723,69123,22880,69123.0,56183.0,-499.7526595389826,-344.2727938579601,-1246.906871171404
69123,14702,69123,22858,69123.0,56176.0,-505.9920824747068,-346.23283737040185,-1255.1069506792655
69123,14704,69123,22909,69123.0,56169.0,-512.0048795155188,-347.8921249622439,-1262.225544000235
69123,14718,69123,22857,69123.0,56157.0,-517.7684985065232,-349.23038859644487,-1268.1889800175404
69123,14731,69123,22908,69123.0,56112.0,-523.260411308615,-350.2276285966709,-1272.923591014879
69134,14719,69134,22885,69134.0,56138.0,-528.457761026868,-350.86401025664145,-1276.3561978142545
69134,14715,69134,22880,69134.0,56115.0,-533.3370727561121,-351.119769495956,-1278.4146003975407
69134,14696,69134,22893,69134.0,56141.0,-537.8742269096099,-350.97522129495434,-1279.027823405384
69134,14679,69134,22861,69134.0,56087.0,-542.0446675577398,-350.4108978551323,-1278.1262584776618
69134,14694,69134,22867,69134.0,56064.0,-545.8237089406877,-349.4077725972407,-1275.6420963004412
69134,14675,69134,22881,69134.0,56050.0,-549.1867446441979,-347.94753824308464,-1271.5102124976263
69144,14670,69144,22829,69144.0,56045.0,-552.1093420191542,-346.0128343584007,-1265.6691857504068
69144,14639,69144,22842,69144.0,56055.0,-554.5674391745561,-343.58757874585604,-1258.062067751314
69144,14652,69144,22842,69144.0,56090.0,-556.537718183203,-340.657474072927,-1248.6367916126446
69144,14678,69144,22864,69144.0,56080.0,-557.9978820713079,-337.2103199079076,-1237.3462529401434
69144,14663,69144,22890,69144.0,56093.0,-558.9265732591211,-333.2359201551235,-1224.148324284854
69144,14663,69144,22897,69144.0,56085.0,-559.3031486864402,-328.72571984873474,-1209.0060999531267
69155,14655,69155,22892,69155.0,56125.0,-559.1076705116359,-323.6724367446057,-1191.888309794092
69155,14674,69155,22930,69155.0,56162.0,-558.3210482921722,-318.0698741721752,-1172.7695732834186
69155,14672,69155,22918,69155.0,56176.0,-556.9250823486135,-311.91279598504775,-1151.6303289621596
69155,14674,69155,22912,69155.0,56139.0,-554.902394761511,-305.19682536085867,-1128.4568083614586
69155,14647,69155,22888,69155.0,56143.0,-552.236459054571,-297.91863272497585,-1103.2416115592953
69155,14643,69155,22899,69155.0,56200.0,-548.9119051863295,-290.07646150388086,-1075.9847208796932
69165,14662,69165,22861,69165.0,56213.0,-544.9149749086879,-281.67075907983656,-1046.6942021572218
69165,14641,69165,22879,69165.0,56230.0,-540.2338406145136,-272.70481787770706,-1015.3864478432021
69165,14670,69165,22946,69165.0,56311.0,-534.8587618042322,-263.18523025799414,-982.086346185734
69165,14686,69165,22920,69165.0,56371.0,-528.7821382369233,-253.12179890487616,-946.8272403554181
69165,14701,69165,23009,69165.0,56406.0,-521.998362940381,-242.52703605972067,-909.6504520739983
69165,14693,69165,22968,69165.0,56457.0,-514.5035866299316,-231.4156317452648,-870.6047673370284
69175,14679,69175,23029,69175.0,56532.0,-506.2957195352157,-219.804042359665,-829.7461500230434
69175,14712,69175,23026,69175.0,56609.0,-497.3747233734285,-207.71023559630916,-787.1373681334964
69175,14707,69175,23055,69175.0,56601.0,-487.7428839028733,-195.15348592615584,-742.8474640686236
69175,14733,69175,23041,69175.0,56672.0,-477.4048758468223,-182.15422815694558,-696.951558668334
69175,14728,69175,23035,69175.0,56744.0,-466.3677556982012,-168.73418093461967,-649.5310353478284
69175,14754,69175,23054,69175.0,56769.0,-454.64100164981625,-154.91676178194012,-600.6735878651272
69186,14753,69186,23059,69186.0,56835.0,-442.2365822051377,-140.72752785732712,-550.4731351486845
69186,14771,69186,23084,69186.0,56935.0,-429.16903899308,-126.19442108288939,-499.029784496954
69186,14820,69186,23159,69186.0,57015.0,-415.4555145894131,-111.34771359932066,-446.44948393076425
69186,14850,69186,23166,69186.0,57132.0,-401.11551440570645,-96.21951705365936,-392.84315201410857
69186,14854,69186,23190,69186.0,57195.0,-386.1704203052422,-80.8430773530421,-338.3255387301681
69186,14873,69186,23209,69186.0,57289.0,-370.64314589429483,-65.25233144808277,-283.01413762486584
69196,14892,69196,23259,69196.0,57371.0,-354.558096719221,-49.48169269529308,-227.0282972906341
69196,14917,69196,23277,69196.0,57414.0,-337.9412039232092,-33.565717647891574,-170.48852029846046
69196,14942,69196,23275,69196.0,57489.0,-320.8198585543497,-17.538707804031674,-113.51603880816947
69196,14953,69196,23286,69196.0,57576.0,-303.2227881814392,-1.4345993460815976,-56.23263259923601
69196,14962,69196,23280,69196.0,57628.0,-285.18001861274695,14.712775244471402,1.239613915561904
69196,14980,69196,23314,69196.0,57717.0,-266.72300680463104,30.86929764596266,58.77866213804532
69206,15016,69206,23321,69206.0,57817.0,-247.8848164894567,47.00030029608064,116.26292246122739
69206,15057,69206,23373,69206.0,57877.0,-228.70008658308532,63.07054964148432,173.57185376234656
69206,15078,69206,23396,69206.0,57963.0,-209.2047245167559,79.04449739943954,230.5866558907478
69206,15118,69206,23463,69206.0,58055.0,-189.43550955457908,94.88679692278924,287.1908688214337
69206,15144,69206,23460,69206.0,58145.0,-169.429746596729,110.56299474635341,343.27104016756243
69206,15171,69206,23497,69206.0,58206.0,-149.22496118531654,126.0401313212655,398.7175336248956
69217,15215,69217,23511,69217.0,58282.0,-128.85861629373494,141.28707193550787,453.4252270295017
69217,15228,69217,23531,69217.0,58347.0,-108.36782337790675,156.2746781645585,507.2939740572617
69217,15236,69217,23558,69217.0,58395.0,-87.78913349739145,170.97595240009474,560.2289098697208
69217,15279,69217,23550,69217.0,58437.0,-67.15853884589234,185.36614425784632,612.140563476853
69217,15289,69217,23510,69217.0,58471.0,-46.511537797965616,199.4226052263558,662.9446706137253
69217,15318,69217,23561,69217.0,58547.0,-25.883108501148342,213.1242223713233,712.5618074132499
69227,15332,69227,23558,69227.0,58589.0,-5.3076869992418665,226.45083253332092,760.9171511715354
69227,15376,69227,23611,69227.0,58704.0,15.180828987639813,239.38309935531055,807.9405853013907
69227,15384,69227,23635,69227.0,58760.0,35.54915292951131,251.9028133226676,853.5672278022842
69227,15423,69227,23656,69227.0,58825.0,55.76473783807404,263.99339080785876,897.7382398091574
69227,15432,69227,23696,69227.0,58880.0,75.79587416279992,275.6403925936527,940.4015378820391
69227,15522,69227,23691,69227.0,58933.0,95.61185947200772,286.83196122008394,981.512248016938
69237,15511,69237,23724,69237.0,58952.0,115.1834392687457,297.5591330961679,1021.0329556802931
69237,15531,69237,23688,69237.0,58970.0,134.48330339520822,307.8159346903799,1058.9336420189243
69237,15535,69237,23689,69237.0,58966.0,153.48617756346675,317.59914571567947,1095.1911698527201
69237,15560,69237,23678,69237.0,58990.0,172.16855946718147,326.90773153185194,1129.7884094799974
69237,15560,69237,23678,69237.0,59045.0,190.50843623455694,335.7421836774595,1162.7133632610196
69237,15597,69237,23671,69237.0,59045.0,208.48507303405592,344.1039648765968,1193.9586437027992
69248,15598,69248,23669,69248.0,59123.0,226.0788735518986,351.99503423084775,1223.5212771169624
69248,15660,69248,23742,69248.0,59150.0,243.2713737290586,359.4175598148165,1251.4027298902633
69248,15673,69248,23757,69248.0,59217.0,260.0454543907375,366.37416264776664,1277.6092222286993
69248,15683,69248,23762,69248.0,59200.0,276.3856883701717,372.86862316300915,1302.1521512428021
69248,15710,69248,23743,69248.0,59217.0,292.27853733604104,378.90638630578223,1325.0481880758607
69248,15722,69248,23799,69248.0,59253.0,307.7123603724348,384.4946000255777,1346.3189434780147
69258,15741,69258,23756,69258.0,59293.0,322.6774128382341,389.6420856572363,1365.9906627021815
69258,15739,69258,23782,69258.0,59265.0,337.1658237434807,394.3593573362491,1384.0942040195578
69258,15741,69258,23734,69258.0,59256.0,351.1714244681782,398.65842101140595,1400.6648284882694
69258,15758,69258,23741,69258.0,59270.0,364.68942706013866,402.55228796075676,1415.7414863111867
69258,15770,69258,23730,69258.0,59275.0,377.71612231077233,406.054370398924,1429.3660094702159
69258,15801,69258,23759,69258.0,59259.0,390.24876371507935,409.17803398944375,1441.5825331870587
