c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
449063,6362,449063.0,18525.0,449063.0,27102.0,150.67545679467088,89.70057909487903,129.38874872642063
449063,6347,449063.0,18486.0,449063.0,27073.0,153.8962160280244,89.96057972920207,131.01109899931694
449063,6369,449063.0,18503.0,449063.0,27082.0,157.2172237183575,90.27338260733005,132.72315180910272
449063,6346,449063.0,18481.0,449063.0,27069.0,160.63927621155705,90.64515740794205,134.52932125347033
449073,6354,449073.0,18485.0,449073.0,27060.0,164.16250882559953,91.08084159859733,136.43271394426583
449073,6344,449073.0,18484.0,449073.0,27084.0,167.78624419170922,91.5839771267513,138.4349411425938
449073,6364,449073.0,18512.0,449073.0,27093.0,171.50883959436416,92.15667672253628,140.53611211037898
449073,6372,449073.0,18537.0,449073.0,27100.0,175.32769118370487,92.79988766656301,142.73508755074474
449073,6377,449073.0,18511.0,449073.0,27102.0,179.23941332707352,93.51389021517413,145.02979683049327
449073,6369,449073.0,18498.0,449073.0,27081.0,183.24002521396582,94.2985955482521,147.41738629065898
449084,6367,449084.0,18506.0,449084.0,27098.0,187.32496875908404,95.15340442857644,149.8941481171766
449084,6390,449084.0,18518.0,449084.0,27096.0,191.48901661973866,96.07698072596641,152.4553917616791
449084,6397,449084.0,18520.0,449084.0,27112.0,195.7263092738958,97.06729195364593,155.09546040485478
449084,6393,449084.0,18521.0,449084.0,27117.0,200.03056382555266,98.12180960308324,157.807898685187
449084,6392,449084.0,18515.0,449084.0,27105.0,204.39521795070078,99.23763863766392,160.58563628546153
449084,6401,449084.0,18498.0,449084.0,27117.0,208.8134039526486,100.41148111086416,163.42105401869418
449094,6401,449094.0,18490.0,449094.0,27117.0,213.27789884643218,101.63941376612136,166.3059589495262
449094,6409,449094.0,18521.0,449094.0,27143.0,217.78113973865,102.9166234117641,169.23164486043106
449094,6413,449094.0,18523.0,449094.0,27135.0,222.31527235727935,104.23740375762532,172.18910713294815
449094,6424,449094.0,18541.0,449094.0,27140.0,226.87222488091658,105.59547255665203,175.1692747105921
449094,6404,449094.0,18531.0,449094.0,27147.0,231.4437729178007,106.98434210223463,178.1631238430614
449094,6414,449094.0,18526.0,449094.0,27135.0,236.02148256767322,108.39751055263876,181.16170425927592
449104,6436,449104.0,18566.0,449104.0,27146.0,240.59659254495742,109.82851476356443,184.15611853493607
449104,6444,449104.0,18523.0,449104.0,27178.0,245.16009264869416,111.2710451850641,187.1375419640992
449104,6447,449104.0,18550.0,449104.0,27150.0,249.70300493288454,112.71906029522398,190.0974208342328
449104,6447,449104.0,18527.0,449104.0,27187.0,254.2166068068062,114.16673280571901,193.02771987025136
449104,6450,449104.0,18535.0,449104.0,27166.0,258.6924870725307,115.6083229495921,195.9210673427652
449104,6425,449104.0,18541.0,449104.0,27133.0,263.1224655367811,117.03809034559933,198.77075357674423
449115,6445,449115.0,18557.0,449115.0,27140.0,267.49838051826566,118.45032355069806,201.57041513193627
449115,6461,449115.0,18543.0,449115.0,27180.0,271.81191248624737,119.8395158178371,204.31362748467296
449115,6466,449115.0,18560.0,449115.0,27188.0,276.0546808707764,121.2005293920548,206.99397306053476
449115,6475,449115.0,18559.0,449115.0,27183.0,280.21852122211874,122.52868780943746,209.60552613732762
449115,6472,449115.0,18554.0,449115.0,27166.0,284.2956981181246,123.81986921682531,212.14316996792306
449115,6474,449115.0,18552.0,449115.0,27175.0,288.27898527458944,125.07054622219079,214.60252167851183
449125,6481,449125.0,18567.0,449125.0,27180.0,292.161663700325,126.27775419486515,216.97974640383427
449125,6493,449125.0,18567.0,449125.0,27188.0,295.93754538720304,127.43913586069117,219.2715400751729
449125,6503,449125.0,18549.0,449125.0,27182.0,299.6011138189715,128.5530521685459,221.4752486061962
449125,6479,449125.0,18532.0,449125.0,27174.0,303.14769447762257,129.61851261086815,223.58892930598665
449125,6479,449125.0,18548.0,449125.0,27179.0,306.5734288683355,130.63487648331494,225.61127163219786
449125,6484,449125.0,18533.0,449125.0,27188.0,309.87503804876826,131.60159629646373,227.5415028179686
449135,6487,449135.0,18555.0,449135.0,27173.0,313.04963887278825,132.5181591894948,229.37939376738805
