c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
310822,21315,310822.0,41302.0,310822.0,33249.0,-330.4992347561116,-226.41083480191645,-276.19247101785555
310822,21297,310822.0,41255.0,310822.0,33220.0,-336.8747167502704,-228.88098911196525,-280.4550827346799
310822,21315,310822.0,41272.0,310822.0,33226.0,-343.41073635181993,-231.4078654936245,-284.7969501647303
310822,21329,310822.0,41339.0,310822.0,33248.0,-350.1089474591797,-233.99911107575764,-289.2184479141542
310822,21329,310822.0,41353.0,310822.0,33254.0,-356.97050619372544,-236.6626435462217,-293.72019045956364
310822,21310,310822.0,41327.0,310822.0,33250.0,-363.99569872031805,-239.40569817036013,-298.30265465038167
310832,21312,310832.0,41373.0,310832.0,33284.0,-371.18380499268034,-242.2341599905701,-302.9657978231497
310832,21337,310832.0,41423.0,310832.0,33282.0,-378.53309318386437,-245.15211622439938,-307.7086573522405
310832,21296,310832.0,41371.0,310832.0,33247.0,-386.0406837675827,-248.16113691726486,-312.52895795245786
310832,21273,310832.0,41280.0,310832.0,33216.0,-393.70249579732246,-251.25990702920876,-317.42312544016795
310832,21267,310832.0,41268.0,310832.0,33205.0,-401.513581056525,-254.44507200762675,-322.3868405902789
310832,21249,310832.0,41242.0,310832.0,33193.0,-409.4686094331475,-257.7127605929307,-327.4157223835791
310843,21243,310843.0,41246.0,310843.0,33181.0,-417.5622041390553,-261.05972047240175,-332.5058088853987
310843,21219,310843.0,41244.0,310843.0,33206.0,-425.78918360495277,-264.4838301153266,-337.65380350974044
310843,21236,310843.0,41262.0,310843.0,33197.0,-434.144779026773,-267.98420544562447,-342.8570564372586
310843,21248,310843.0,41311.0,310843.0,33204.0,-442.6246719024528,-271.56093784492884,-348.1133399807421
310843,21242,310843.0,41283.0,310843.0,33205.0,-451.2247282667515,-275.21447970786255,-353.42061833378705
310843,21212,310843.0,41314.0,310843.0,33206.0,-459.94068880209716,-278.9450053957561,-358.7768704651122
310853,21254,310853.0,41345.0,310853.0,33212.0,-468.76808006918975,-282.75193578800867,-364.1799136104697
310853,21225,310853.0,41343.0,310853.0,33217.0,-477.7021304601344,-286.6333714459728,-369.62720314542076
310853,21210,310853.0,41289.0,310853.0,33199.0,-486.7375857875635,-290.5855740518891,-375.1156372439817
310853,21188,310853.0,41218.0,310853.0,33163.0,-495.8687504829961,-294.6031822274065,-380.64155461243774
310853,21159,310853.0,41229.0,310853.0,33142.0,-505.08985575884816,-298.68029541294544,-386.20112372111134
310853,21180,310853.0,41207.0,310853.0,33154.0,-514.3954958780924,-302.8116529083947,-391.7909496069759
310863,21152,310863.0,41175.0,310863.0,33129.0,-523.7808696295039,-306.993345656763,-397.4084976675323
310863,21155,310863.0,41222.0,310863.0,33135.0,-533.241817060677,-311.2232187777093,-403.05226776591604
310863,21171,310863.0,41258.0,310863.0,33179.0,-542.7747811402133,-315.50087795073483,-408.7217915791066
310863,21155,310863.0,41241.0,310863.0,33163.0,-552.3766459151292,-319.82707913330285,-414.4172994355547
310863,21146,310863.0,41245.0,310863.0,33153.0,-562.0445079443891,-324.2030176799334,-420.1392226057146
310863,21150,310863.0,41302.0,310863.0,33184.0,-571.7755834830172,-328.62991147057,-425.88792161986237
310874,21170,310874.0,41327.0,310874.0,33181.0,-581.567124018448,-333.1084145872238,-431.66348680147865
310874,21143,310874.0,41288.0,310874.0,33170.0,-591.4161459744489,-337.637711753943,-437.4654045889606
310874,21121,310874.0,41233.0,310874.0,33131.0,-601.3192154961912,-342.2150787296086,-443.29241343987906
310874,21107,310874.0,41218.0,310874.0,33121.0,-611.2725899476044,-346.8364186592365,-449.14281646465764
310874,21090,310874.0,41181.0,310874.0,33101.0,-621.2725867122767,-351.49729484462006,-455.0150525015255
310874,21073,310874.0,41121.0,310874.0,33106.0,-631.315932520665,-356.1939601947189,-460.908187719103
310884,21054,310884.0,41158.0,310884.0,33126.0,-641.4000772267387,-360.92435110218787,-466.8221173229564
310884,21073,310884.0,41181.0,310884.0,33113.0,-651.5234539210007,-365.68869979721035,-472.75743084710456
310884,21085,310884.0,41228.0,310884.0,33101.0,-661.6854749922136,-370.4892633560244,-478.715177808083
