c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
448701.0,10103.0,448701.0,13717.0,448701.0,28580.0,-453.5635032270868,-513.6096048946907,-831.0528163023006
448701.0,10083.0,448701.0,13652.0,448701.0,28536.0,-463.68700538466106,-527.0574311074515,-850.2818439462676
448701.0,10068.0,448701.0,13665.0,448701.0,28530.0,-474.0451170136678,-540.6269104216818,-869.7736241446964
448701.0,10064.0,448701.0,13637.0,448701.0,28495.0,-484.6258187525351,-554.2830507988571,-889.4825116196107
448711.0,10060.0,448711.0,13662.0,448711.0,28488.0,-495.4167998914096,-567.9905406655686,-909.3610133239047
448711.0,10055.0,448711.0,13638.0,448711.0,28476.0,-506.40543110826866,-581.7135829576121,-929.3599013550171
448711.0,10054.0,448711.0,13642.0,448711.0,28447.0,-517.578631309058,-595.4155980235524,-949.4282132123197
448711.0,10034.0,448711.0,13611.0,448711.0,28447.0,-528.922724095184,-609.0590191567884,-969.5132199130761
448711.0,10006.0,448711.0,13596.0,448711.0,28413.0,-540.4234178467029,-622.6052891979002,-989.5604162300356
448711.0,10012.0,448711.0,13566.0,448711.0,28411.0,-552.0659766447266,-636.0150573977273,-1009.5135165412192
448721.0,10025.0,448721.0,13589.0,448721.0,28406.0,-563.8353396466252,-649.2484260064049,-1029.3144115077573
448721.0,9999.0,448721.0,13589.0,448721.0,28373.0,-575.7159485666368,-662.2649422769629,-1048.903036806605
448721.0,9982.0,448721.0,13576.0,448721.0,28359.0,-587.6915245709682,-675.0232542013217,-1068.2172812675003
448721.0,9962.0,448721.0,13536.0,448721.0,28323.0,-599.7451229327654,-687.4808137715819,-1087.1930921817209
448721.0,9961.0,448721.0,13515.0,448721.0,28302.0,-611.8593627621659,-699.5940055167672,-1105.7647393139973
448721.0,9954.0,448721.0,13533.0,448721.0,28288.0,-624.0165551070103,-711.3185316970968,-1123.8651243322304
448732.0,9968.0,448732.0,13523.0,448732.0,28289.0,-636.1986105842884,-722.6095637993739,-1141.425973854146
448732.0,9949.0,448732.0,13519.0,448732.0,28274.0,-648.3867675884878,-733.4215484354725,-1158.3777968541654
448732.0,9935.0,448732.0,13486.0,448732.0,28240.0,-660.5613318929628,-743.7080232440892,-1174.6497583915752
448732.0,9905.0,448732.0,13481.0,448732.0,28224.0,-672.7016508611551,-753.4217012814877,-1190.169749155275
448732.0,9900.0,448732.0,13465.0,448732.0,28208.0,-684.7863309983586,-762.5147282638611,-1204.8646612080763
448732.0,9906.0,448732.0,13472.0,448732.0,28203.0,-696.7934526152067,-770.9388834834654,-1218.6606334595815
448742.0,9896.0,448742.0,13450.0,448742.0,28194.0,-708.7005455164702,-778.6456389227949,-1231.4831356620452
448742.0,9880.0,448742.0,13457.0,448742.0,28162.0,-720.4844053474754,-785.5861691911205,-1243.2569904526802
448742.0,9882.0,448742.0,13431.0,448742.0,28153.0,-732.1209800047583,-791.7114049183891,-1253.9065260789198
448742.0,9864.0,448742.0,13411.0,448742.0,28144.0,-743.5853349565671,-796.9722020133856,-1263.355866281136
448742.0,9842.0,448742.0,13389.0,448742.0,28108.0,-754.8516557523953,-801.3197174123118,-1271.5292262092755
448742.0,9851.0,448742.0,13424.0,448742.0,28108.0,-765.8933350715644,-804.70584921715,-1278.3512532473756
448752.0,9843.0,448752.0,13402.0,448752.0,28098.0,-776.6830237205913,-807.0834028130824,-1283.74741923692
448752.0,9832.0,448752.0,13380.0,448752.0,28092.0,-787.1925290627559,-808.4060614175414,-1287.6443107025655
448752.0,9810.0,448752.0,13389.0,448752.0,28063.0,-797.3927317555443,-808.6285612560516,-1289.9698640053216
448752.0,9797.0,448752.0,13356.0,448752.0,28055.0,-807.2536937223633,-807.7070809534654,-1290.6537521854139
448752.0,9785.0,448752.0,13359.0,448752.0,28057.0,-816.7448935384723,-805.5996725583225,-1289.627899508859
