c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138006,16512,138006,24763,138006.0,58953.0,231.97493328412077,129.22133967253654,462.27721633499436
138006,16519,138006,24766,138006.0,58960.0,230.49958650028302,129.28508784042745,455.8057609780867
138006,16521,138006,24761,138006.0,58912.0,228.89098906862668,129.2067535410662,449.01468882536483
138006,16530,138006,24778,138006.0,58931.0,227.14543641720286,128.98050523938855,441.9050277482346
138017,16526,138017,24783,138017.0,58938.0,225.25989132364177,128.601253004882,434.478102640582
138017,16503,138017,24771,138017.0,58926.0,223.23213333548983,128.06485822793334,426.7357140519008
138017,16505,138017,24753,138017.0,58923.0,221.0606981480584,127.36821465772763,418.6804766622489
138017,16506,138017,24768,138017.0,58924.0,218.74470010143958,126.50909363708969,410.31605647341075
138017,16514,138017,24769,138017.0,58888.0,216.28378878438104,125.48599850444538,401.64730662412757
138017,16491,138017,24803,138017.0,58858.0,213.67825596234633,124.29829536516979,392.6802086137683
138027,16489,138027,24737,138027.0,58833.0,210.92906618283715,122.94649885552815,383.42148318654233
138027,16450,138027,24742,138027.0,58846.0,208.03766533968286,121.43225150957235,373.8781094816371
138027,16463,138027,24710,138027.0,58819.0,205.00561775897478,119.7578327917225,364.05711447834756
138027,16469,138027,24729,138027.0,58801.0,201.83431258457298,117.92559641827773,353.96557989334497
138027,16472,138027,24719,138027.0,58771.0,198.52498630738492,115.93769005011117,343.610538458421
138027,16484,138027,24768,138027.0,58778.0,195.07900472756523,113.79612811351345,332.99871887288157
138038,16467,138038,24737,138038.0,58807.0,191.49817562471196,111.50317113203457,322.1364893036698
138038,16451,138038,24728,138038.0,58789.0,187.78490388059333,109.06169175195396,311.0302622934827
138038,16462,138038,24723,138038.0,58740.0,183.94212828043354,106.47517930399073,299.68700671194887
138038,16458,138038,24742,138038.0,58766.0,179.97324633178818,103.74756898791301,288.1143504854745
138038,16432,138038,24753,138038.0,58741.0,175.8821544985675,100.8833185226388,276.32048231557565
138038,16437,138038,24692,138038.0,58718.0,171.67321553323416,97.88764713650102,264.31421640302784
138048,16422,138048,24714,138048.0,58713.0,167.35110623457402,94.76646927295968,252.1050418210691
138048,16383,138048,24665,138048.0,58680.0,162.92062643841243,91.52597022631551,239.70303077812758
138048,16398,138048,24679,138048.0,58648.0,158.3863901666665,88.17214731426608,227.1186600996666
138048,16404,138048,24677,138048.0,58619.0,153.75254853647553,84.71049650288904,214.36246263009565
138048,16399,138048,24682,138048.0,58660.0,149.02284176697128,81.14594547893101,201.4446721366399
138048,16393,138048,24678,138048.0,58618.0,144.2008425346746,77.48300061215014,188.3752600454203
138058,16380,138058,24687,138058.0,58591.0,139.29008294769773,73.72593360614805,175.1642118954145
138058,16381,138058,24710,138058.0,58596.0,134.29403668721616,69.87901982981161,161.8215595138493
138058,16380,138058,24690,138058.0,58622.0,129.216097859431,65.94690508670448,148.35737095513048
138058,16390,138058,24690,138058.0,58564.0,124.05967988986114,61.934924614792706,134.78208642525163
138058,16376,138058,24674,138058.0,58527.0,118.82843232281624,57.84917178931383,121.10676475986412
138058,16345,138058,24621,138058.0,58521.0,113.52637708713314,53.69628802194529,107.34278072883723
138069,16348,138069,24645,138069.0,58488.0,108.15777185400174,49.48299187453557,93.50133910023078
138069,16345,138069,24593,138069.0,58448.0,102.72686022953158,45.21554145428891,79.59313496251104
138069,16329,138069,24612,138069.0,58448.0,97.23777577501656,40.899330227012584,65.6280061417304
138069,16327,138069,24657,138069.0,58441.0,91.69453900601806,36.538737473380166,51.614656293309565
138069,16318,138069,24677,138069.0,58455.0,86.10101771748623,32.13754284138281,37.560739763060894
138069,16325,138069,24624,138069.0,58442.0,80.46091728556641,27.699728783042687,23.473287693060172
138079,16295,138079,24626,138079.0,58437.0,74.77782915089529,23.229855186509297,9.35921203165384
138079,16312,138079,24606,138079.0,58385.0,69.05524224653396,18.732799649453327,-4.774392063519315
138079,16299,138079,24615,138079.0,58390.0,63.296541536547124,14.213405601734237,-18.920287321951093
138079,16314,138079,24616,138079.0,58369.0,57.50512509093602,9.676380129671202,-33.07128693747575
138079,16285,138079,24592,138079.0,58316.0,51.68460113312128,5.1263624211674,-47.22039446823436
138079,16260,138079,24592,138079.0,58319.0,45.83883019510455,0.5679319747763714,-61.36103902416227
138089,16256,138089,24588,138089.0,58299.0,39.97167464896998,-3.994506313608383,-75.48738775597678
138089,16254,138089,24556,138089.0,58293.0,34.08667202802147,-8.556853077848075,-89.59444849184001
138089,16239,138089,24560,138089.0,58232.0,28.1868971208784,-13.115504061847957,-103.67806187473798
138089,16254,138089,24568,138089.0,58276.0,22.274982368680185,-17.66756408099873,-117.73503005843139
138089,16246,138089,24584,138089.0,58262.0,16.35323575231837,-22.210810255495403,-131.76311497017434
138089,16243,138089,24585,138089.0,58272.0,10.42384596209186,-26.74333782895866,-145.76060066887686
138100,16234,138100,24563,138100.0,58269.0,4.48905334741977,-31.263171969644375,-159.7256546322531
138100,16214,138100,24584,138100.0,58253.0,-1.4488146141314076,-35.76808846777634,-173.6557875511607
138100,16220,138100,24585,138100.0,58249.0,-7.387423166713461,-40.25551185645196,-187.54747646221978
138100,16203,138100,24543,138100.0,58186.0,-13.32451826468909,-44.72235746639508,-201.39602618659632
138100,16179,138100,24519,138100.0,58147.0,-19.258000515281054,-49.16512712845444,-215.19584728160174
138100,16182,138100,24542,138100.0,58110.0,-25.186092405443844,-53.580361832080015,-228.94118303616085
138110,16181,138110,24485,138110.0,58092.0,-31.107513884717605,-57.9650467064299,-242.62694570140746
138110,16177,138110,24515,138110.0,58075.0,-37.02147208531687,-62.316859150558884,-256.2492998908215
138110,16157,138110,24490,138110.0,58094.0,-42.927552242288385,-66.63437960614903,-269.80587188723644
138110,16169,138110,24511,138110.0,58069.0,-48.82568792914276,-70.91715171821807,-283.2955890290468
138110,16167,138110,24519,138110.0,58105.0,-54.71612765301256,-75.16552312419307,-296.7182706818022
138110,16166,138110,24513,138110.0,58080.0,-60.599260202275474,-79.38033164824236,-310.0740922627274
138120,16153,138120,24521,138120.0,58039.0,-66.47539992854777,-83.56257450780413,-323.36312065993206
138120,16156,138120,24536,138120.0,58081.0,-72.3446736152423,-87.71313336494717,-336.5851497309152
138120,16146,138120,24539,138120.0,58037.0,-78.20697047595647,-91.83243782108272,-349.7396051827184
138120,16139,138120,24467,138120.0,58032.0,-84.06189254660299,-95.92020899240953,-362.8253144522356
138120,16121,138120,24483,138120.0,57997.0,-89.90875607028687,-99.97569396909222,-375.8404289789195
138120,16106,138120,24470,138120.0,57931.0,-95.7467126956812,-103.99824141069323,-388.78270937853665
138131,16092,138131,24454,138131.0,57981.0,-101.57498039258385,-107.98768201252449,-401.6500521548862
138131,16096,138131,24492,138131.0,57917.0,-107.39307685409375,-111.94441672132666,-414.4408512536046
138131,16091,138131,24490,138131.0,57936.0,-113.20091172600911,-115.86924306098308,-427.15402048548845
138131,16089,138131,24465,138131.0,57913.0,-118.9987133951233,-119.76298027029571,-439.7889399568194
138131,16087,138131,24476,138131.0,57896.0,-124.78689355137408,-123.62626357193957,-452.3454135658362
138131,16087,138131,24459,138131.0,57912.0,-130.56590820801023,-127.45959861714323,-464.82358295022834
138141,16070,138141,24478,138141.0,57931.0,-136.33613136029345,-131.2634008620695,-477.22367040400184
138141,16087,138141,24505,138141.0,57919.0,-142.09776758013697,-135.03782356085844,-489.54539898971143
138141,16067,138141,24468,138141.0,57876.0,-147.85075496903255,-138.7823682945213,-501.787413644573
138141,16070,138141,24450,138141.0,57820.0,-153.59464227656935,-142.49564432856562,-513.947267915975
138141,16046,138141,24428,138141.0,57819.0,-159.32854339931606,-146.17562287358848,-526.0220289907955
138141,16024,138141,24453,138141.0,57792.0,-165.05125832034162,-149.82010094880627,-538.0089648103435
138151,16025,138151,24377,138151.0,57760.0,-170.76154837577263,-153.42701468847224,-549.9059551632067
138151,16023,138151,24414,138151.0,57733.0,-176.4583797040264,-156.9947660785268,-561.7118332594144
138151,16029,138151,24397,138151.0,57790.0,-182.14093456918835,-160.52259961274055,-573.426680113419
138151,16007,138151,24417,138151.0,57778.0,-187.80846142331228,-164.01069298028992,-585.051614416057
138151,16001,138151,24435,138151.0,57753.0,-193.46020051175947,-167.45989907395344,-596.5881203975075
138151,16004,138151,24419,138151.0,57730.0,-199.09544373640415,-170.8713335940057,-608.0376280270226
138162,16005,138162,24444,138162.0,57766.0,-204.71354262148617,-174.24599036105516,-619.4015074081693
138162,15981,138162,24421,138162.0,57742.0,-210.31380167199762,-177.58447739942343,-630.6809309270784
138162,15993,138162,24406,138162.0,57711.0,-215.89542106914092,-180.88690816702572,-641.8765322855761
138162,15965,138162,24360,138162.0,57691.0,-221.4575312259426,-184.15311183486122,-652.9883501029531
138162,15965,138162,24394,138162.0,57657.0,-226.9992645902027,-187.38314237292846,-664.0161653502652
138162,15951,138162,24388,138162.0,57658.0,-232.5198748421164,-190.57763110766334,-674.9599290585124
138172,15942,138172,24367,138172.0,57622.0,-238.01887113527715,-193.73775811326777,-685.8200799576791
138172,15954,138172,24387,138172.0,57646.0,-243.49609455158924,-196.86516418680444,-696.5977095489571
138172,15947,138172,24405,138172.0,57616.0,-248.95165988577088,-199.9618802719569,-707.2945482884055
138172,15951,138172,24384,138172.0,57626.0,-254.3857627673312,-203.03005774404383,-717.9128113008142
138172,15937,138172,24380,138172.0,57630.0,-259.7984856856203,-206.07170389003502,-728.4549804743159
138172,15930,138172,24389,138172.0,57626.0,-265.18971422020974,-209.08866131594425,-738.9234844204451
138182,15921,138182,24432,138182.0,57640.0,-270.5591695481018,-212.08252766243913,-749.3202681330778
