c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
241379,15636,241379,27493,241379.0,60649.0,115.72601087277691,139.108269586639,441.3763108546999
241379,15644,241379,27537,241379.0,60748.0,118.13654827096609,138.9030358488908,442.23981068007777
241379,15658,241379,27536,241379.0,60705.0,120.59189912203848,138.70345296183254,443.07286456267417
241379,15650,241379,27521,241379.0,60670.0,123.09081033582774,138.511890167832,443.8791701882981
241390,15630,241390,27485,241390.0,60645.0,125.63224780828416,138.33177278775486,444.6643970606577
241390,15617,241390,27440,241390.0,60589.0,128.21519262818597,138.16714037354336,445.4353842388921
241390,15630,241390,27467,241390.0,60627.0,130.83823369559173,138.02181807391665,446.1991772338449
241390,15640,241390,27467,241390.0,60613.0,133.49930689237354,137.89880820636307,446.96244216156765
241390,15656,241390,27488,241390.0,60628.0,136.19576905925507,137.80026416405144,447.73142894894005
241390,15653,241390,27462,241390.0,60610.0,138.9246692332726,137.72777538418785,448.5121697013129
241400,15663,241400,27462,241400.0,60590.0,141.68299259584157,137.6825059462297,449.3105275217828
241400,15670,241400,27490,241400.0,60608.0,144.4678144883638,137.6651442481214,450.1320348740092
241400,15666,241400,27506,241400.0,60579.0,147.27642327790707,137.6760320372717,450.9817115281095
241400,15673,241400,27520,241400.0,60627.0,150.1064060946715,137.71564680997454,451.86403595109107
241400,15663,241400,27482,241400.0,60596.0,152.9556570536254,137.78509555425575,452.78311247620394
241400,15674,241400,27478,241400.0,60566.0,155.8223282754018,137.88619078707782,453.7428317320765
241410,15643,241410,27432,241410.0,60579.0,158.70472579917543,138.02104409002885,454.7466943313598
241410,15659,241410,27458,241410.0,60530.0,161.6010998565186,138.19145231451523,455.79738471368626
241410,15653,241410,27421,241410.0,60555.0,164.5093963466693,138.39839816658878,456.8963621642614
241410,15654,241410,27435,241410.0,60527.0,167.42711730429718,138.6417460688546,458.04353975605443
241410,15669,241410,27435,241410.0,60588.0,170.3512944759583,138.92005434783493,459.23719687899154
241410,15673,241410,27474,241410.0,60541.0,173.27855584948477,139.23060696261723,460.47422249674446
241421,15689,241421,27481,241421.0,60560.0,176.20530951581668,139.56981052712337,461.7504180054982
241421,15673,241421,27492,241421.0,60555.0,179.12795390280883,139.93380290566498,463.06058658907773
241421,15707,241421,27494,241421.0,60585.0,182.0430153324393,140.31897397973918,464.3986055029807
241421,15688,241421,27503,241421.0,60573.0,184.9472696794621,140.72229549334338,465.7577202498852
241421,15696,241421,27462,241421.0,60566.0,187.8378624079185,141.14146413527828,467.1308726345021
241421,15671,241421,27447,241421.0,60555.0,190.71227733386294,141.5747122471729,468.51078566212504
241431,15671,241431,27450,241431.0,60543.0,193.56808944864804,142.02029635281093,469.88980550693753
241431,15662,241431,27439,241431.0,60556.0,196.4026131919092,142.47602784039069,471.2596930383894
241431,15662,241431,27437,241431.0,60545.0,199.21258791758947,142.93903608949114,472.61153514643786
241431,15684,241431,27488,241431.0,60577.0,201.99400790125395,143.40573983236072,473.9358368436559
241431,15693,241431,27466,241431.0,60574.0,204.74219211098705,143.87213207512855,475.2228005006357
241431,15706,241431,27453,241431.0,60555.0,207.45207970441513,144.33418036674533,476.46266907039126
241441,15706,241441,27472,241441.0,60540.0,210.11857128894366,144.7879256556185,477.64582398510936
241441,15706,241441,27457,241441.0,60566.0,212.73675420717473,145.22939723710812,478.7626097061753
241441,15718,241441,27493,241441.0,60596.0,215.30200189030222,145.65466973716664,479.80334866830157
241441,15723,241441,27485,241441.0,60615.0,217.81006076420792,146.0601088044008,480.758866673433
241441,15707,241441,27511,241441.0,60600.0,220.2571592594462,146.44273885093656,481.62125179045125
241441,15712,241441,27466,241441.0,60547.0,222.64000347282513,146.80055284366978,482.3842460037583
241452,15695,241452,27442,241452.0,60566.0,224.9556130573875,147.13245056261005,483.0429845166987
241452,15714,241452,27457,241452.0,60583.0,227.20112494324871,147.43775075178615,483.59355848527315
241452,15703,241452,27426,241452.0,60532.0,229.37369045836894,147.7156758751959,484.0329254840077
241452,15730,241452,27468,241452.0,60568.0,231.47051046490822,147.9651130630943,484.35893105697534
241452,15719,241452,27469,241452.0,60555.0,233.4889863418516,148.1846836563666,484.5702431274701
241452,15728,241452,27467,241452.0,60566.0,235.42689785893762,148.37306876691605,484.66644420317573
241462,15716,241462,27457,241462.0,60543.0,237.28248862440176,148.52929543226108,484.64822475317203
241462,15739,241462,27480,241462.0,60581.0,239.05446727161987,148.65280531576695,484.51749967912
241462,15735,241462,27500,241462.0,60565.0,240.74207014782584,148.74358120607008,484.2775955849544
241462,15743,241462,27465,241462.0,60550.0,242.34522804324274,148.80246894280066,483.93352092036366
241462,15717,241462,27473,241462.0,60532.0,243.86467710976274,148.83135680492424,483.4920112807863
241462,15715,241462,27428,241462.0,60483.0,245.3018439782589,148.83297151004922,482.9611898268429
241472,15703,241472,27432,241472.0,60474.0,246.65853743147204,148.8104162357409,482.3499235564641
241472,15719,241472,27415,241472.0,60489.0,247.93665907979158,148.76665699922887,481.667156469822
241472,15716,241472,27444,241472.0,60513.0,249.1381090478907,148.7041859810327,480.921686824218
241472,15718,241472,27447,241472.0,60510.0,250.2648582799506,148.62503978715438,480.1225177077771
241472,15714,241472,27448,241472.0,60519.0,251.31902752786687,148.53109162007416,479.2794001830342
241472,15715,241472,27432,241472.0,60503.0,252.30289403250333,148.4243076604744,478.4032185973108
241483,15730,241483,27416,241483.0,60480.0,253.2188986821696,148.3067247498904,477.50610643199025
241483,15744,241483,27473,241483.0,60504.0,254.0697891621556,148.18030108791362,476.6013409030721
241483,15721,241483,27484,241483.0,60472.0,254.85888080023125,148.04712354489294,475.70324257437204
241483,15734,241483,27470,241483.0,60423.0,255.5902043123167,147.91004437587222,474.8270512210645
241483,15707,241483,27427,241483.0,60448.0,256.2684371292259,147.77308955364862,473.98850023203136
