c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172979.0,11378.0,172979.0,8459.0,172979.0,22108.0,-699.8138621913547,-456.5330913276779,-851.3236356896593
172979.0,11412.0,172979.0,8462.0,172979.0,22142.0,-669.0113425485845,-445.44115734954244,-833.7888828736807
172989.0,11457.0,172989.0,8496.0,172989.0,22161.0,-637.1839494120005,-433.96271793581553,-815.5833478126167
172989.0,11514.0,172989.0,8511.0,172989.0,22191.0,-604.3765531382525,-422.115957442016,-796.7342904784392
172989.0,11550.0,172989.0,8521.0,172989.0,22215.0,-570.6365261671742,-409.9199758027507,-777.2703227203058
172989.0,11593.0,172989.0,8539.0,172989.0,22247.0,-536.0134436560163,-397.3946811325983,-757.2213422095506
172989.0,11628.0,172989.0,8572.0,172989.0,22279.0,-500.5589093009811,-384.5607503170833,-736.6184357954385
172989.0,11683.0,172989.0,8587.0,172989.0,22321.0,-464.3264946188144,-371.43949707396325,-715.4937108254419
172999.0,11732.0,172999.0,8605.0,172999.0,22353.0,-427.3716382343223,-358.0526528852872,-693.8800311598136
172999.0,11778.0,172999.0,8623.0,172999.0,22370.0,-389.75143260483367,-344.4222139117652,-671.8107438584902
172999.0,11830.0,172999.0,8627.0,172999.0,22403.0,-351.5243732841989,-330.570403777558,-649.3195513000524
172999.0,11863.0,172999.0,8650.0,172999.0,22444.0,-312.7501639893452,-316.5197312735015,-626.4404952699847
172999.0,11932.0,172999.0,8696.0,172999.0,22479.0,-273.48958569049967,-302.29301880891694,-603.2078495509463
172999.0,11973.0,172999.0,8715.0,172999.0,22504.0,-233.80433672081426,-287.9131883905938,-579.6558976480032
173009.0,12034.0,173009.0,8733.0,173009.0,22537.0,-193.75677919861198,-273.40286914845046,-555.8187625039858
173009.0,12065.0,173009.0,8741.0,173009.0,22570.0,-153.40968487604084,-258.78414136638526,-531.7303356606506
173009.0,12123.0,173009.0,8757.0,173009.0,22602.0,-112.826091719803,-244.0785336610923,-507.42421368919133
173009.0,12167.0,173009.0,8771.0,173009.0,22639.0,-72.06923883165484,-229.30714712087473,-482.933596266295
173009.0,12228.0,173009.0,8809.0,173009.0,22680.0,-31.202462310834335,-214.49073571087087,-458.2911387323172
173009.0,12295.0,173009.0,8843.0,173009.0,22708.0,9.71104106073733,-199.64958238407576,-433.52875198188735
173019.0,12341.0,173019.0,8846.0,173019.0,22741.0,50.6086005537685,-184.8031803432363,-408.67741540881775
173019.0,12389.0,173019.0,8849.0,173019.0,22778.0,91.42847308217756,-169.97002437771272,-383.76706055639124
173019.0,12443.0,173019.0,8881.0,173019.0,22796.0,132.1101018058048,-155.16770389584542,-358.82650018129914
173019.0,12478.0,173019.0,8902.0,173019.0,22839.0,172.59425398387964,-140.41304206231575,-333.8833997331968
173019.0,12532.0,173019.0,8920.0,173019.0,22880.0,212.8230946844833,-125.72203964454013,-308.96423971871104
173019.0,12598.0,173019.0,8952.0,173019.0,22902.0,252.74026707921257,-111.1097120636573,-284.09417495816456
173030.0,12642.0,173030.0,8954.0,173030.0,22943.0,292.29112286025713,-96.58993852966563,-259.29686879802966
173030.0,12667.0,173030.0,8963.0,173030.0,22960.0,331.4230074698405,-82.17541384003016,-234.59441681213877
173030.0,12716.0,173030.0,8972.0,173030.0,22981.0,370.08532061866026,-67.87779750369913,-210.00738148125924
173030.0,12772.0,173030.0,9002.0,173030.0,23015.0,408.22941451497206,-53.70794644607952,-185.55494117598562
173030.0,12822.0,173030.0,9042.0,173030.0,23063.0,445.80864512493406,-39.67595771023127,-161.25500908572326
173030.0,12870.0,173030.0,9042.0,173030.0,23086.0,482.7786286376697,-25.790937826639038,-137.12414337854193
173040.0,12901.0,173040.0,9053.0,173040.0,23110.0,519.0974982299979,-12.06077779584814,-113.17736942928184
173040.0,12937.0,173040.0,9062.0,173040.0,23130.0,554.7259946028908,1.507799481955658,-89.42816046812118
173040.0,12972.0,173040.0,9070.0,173040.0,23163.0,589.6273815317829,14.909008633187113,-65.88858020456166
173040.0,13020.0,173040.0,9110.0,173040.0,23188.0,623.7673212741199,28.137816996395145,-42.569421038210635
173040.0,13076.0,173040.0,9125.0,173040.0,23227.0,657.1138891179814,41.18996765723318,-19.480244366842612
173040.0,13098.0,173040.0,9127.0,173040.0,23253.0,689.6377686637863,54.06215585897894,3.370673317206638
