c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
517,2281,517,12223,517,28304,25.636120562735318,-34.6086658735442,-49.47630126249152
517,2295,517,12196,517,28291,23.837440407646707,-25.84360749116759,-34.632153206717675
517,2278,517,12204,517,28332,21.99207378571113,-16.97543105006072,-19.623442999419723
517,2279,517,12258,517,28366,20.102424820990755,-8.025890069410323,-4.490462799387473
517,2275,517,12313,517,28429,18.171209287928843,0.9821935972675675,10.72555802143205
517,2272,517,12306,517,28446,16.20138491433561,10.025728551215934,25.983212854673525
527,2274,527,12302,527,28459,14.196123485078175,19.082110347086456,41.24169955488247
527,2265,527,12296,527,28464,12.158810484903835,28.129345516240207,56.461214379390526
527,2267,527,12319,527,28500,10.093037774429952,37.14575431077098,71.60298174581135
527,2255,527,12366,527,28540,8.002566928738474,46.10983166534139,86.62932179054701
527,2253,527,12397,527,28562,5.891255027717719,55.0006131353193,101.50402006555518
527,2256,527,12368,527,28562,3.762969085397472,63.79831377673992,116.19279417160874
537,2256,537,12372,537,28579,1.621565895143057,72.48460924212793,130.6634982752597
537,2243,537,12354,537,28589,-0.5290648581837587,81.04233307447217,144.88605245211335
537,2248,537,12383,537,28620,-2.6850016012911126,89.45497732593293,158.83235693399382
537,2243,537,12442,537,28637,-4.8423381407001855,97.70651715788361,172.4763642516662
537,2242,537,12465,537,28675,-6.997196374582167,105.78186958727534,185.79432232572879
537,2236,537,12445,537,28674,-9.145718740709697,113.66767928885443,198.76510435104433
548,2231,548,12428,548,28667,-11.284095166527429,121.3526689936538,211.37040565649056
548,2230,548,12419,548,28665,-13.408622622445066,128.82728373529795,223.59458156758262
548,2229,548,12435,548,28688,-15.515752879592135,136.08307250697183,235.42424221994605
548,2222,548,12479,548,28726,-17.602106330776827,143.11237023893983,246.84802576861318
548,2219,548,12503,548,28725,-19.664492463677355,149.90854750514916,257.8567588732875
548,2218,548,12471,548,28729,-21.699959356454706,156.46655095666372,268.4437194841989
558,2217,558,12442,558,28700,-23.705827777109775,162.78303853480966,278.60458533993415
558,2220,558,12460,558,28724,-25.679673555306664,168.8558566634768,288.3370117334882
558,2211,558,12469,558,28732,-27.61927855102909,174.6834302224585,297.6401807006667
558,2212,558,12504,558,28766,-29.52260696338574,180.26462190078362,306.51467383982344
558,2202,558,12501,558,28763,-31.387837407622058,185.59901039157978,314.9626627218045
558,2210,558,12492,558,28749,-33.21341642311212,190.6871948632471,322.98808498227413
568,2206,568,12478,568,28756,-34.99806871222856,195.53077966325122,330.5965166349879
568,2209,568,12480,568,28750,-36.740741899822666,200.13203114139998,337.79482143015866
568,2200,568,12514,568,28767,-38.44054251948617,204.49355057666133,344.590846236877
568,2203,568,12536,568,28778,-40.09672194942179,208.61833145420462,350.99329377436874
568,2194,568,12532,568,28787,-41.70870423256858,212.5101827950814,357.011772441319
568,2203,568,12509,568,28774,-43.276113307309245,216.17405703114952,362.65688535019524
579,2204,579,12478,579,28766,-44.7987450272737,219.61586743826854,367.9401376715846
579,2189,579,12496,579,28766,-46.27649207799229,222.84188199037413,372.8736174265539
579,2196,579,12534,579,28789,-47.70933107848553,225.8582580667773,377.4696780392779
579,2194,579,12560,579,28791,-49.097373895491344,228.67121362535028,381.74086915682363
579,2191,579,12525,579,28800,-50.44087389055085,231.28760798543595,385.7000768879751
579,2197,579,12514,579,28789,-51.74018709652833,233.71519942987396,389.36063830404663
589,2199,589,12502,589,28769,-52.995710577020944,235.962304176987,392.73624765054353
589,2184,589,12513,589,28810,-54.20780605320941,238.03727336040066,395.8406943144074
589,2184,589,12532,589,28802,-55.376809971995485,239.948237018753,398.6877478066808
589,2185,589,12568,589,28816,-56.503142146034804,241.70327267858175,401.29132692874265
