c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
70018,4285,70018,19199,70018.0,55864.0,280.25643304762275,187.8034552025398,577.9801302039242
70018,4242,70018,19117,70018.0,55766.0,276.04722905873206,181.11409418129813,570.0447503809982
70028,4189,70028,19043,70028.0,55677.0,271.87126177458646,174.52285078903725,562.2180060202877
70028,4160,70028,18980,70028.0,55632.0,267.7535658970735,168.06654546119591,554.5467974520527
70028,4187,70028,19044,70028.0,55706.0,263.7166968468093,161.777308095396,547.0728804498975
70028,4210,70028,19098,70028.0,55733.0,259.7803182341413,155.68192000302832,539.8324121795948
70028,4211,70028,19122,70028.0,55760.0,255.96156394355694,149.8026561663449,532.8569298059168
70028,4202,70028,19089,70028.0,55703.0,252.27565207196307,144.15869196783493,526.174633364642
70039,4169,70039,19010,70039.0,55636.0,248.73617947017505,138.76676026298185,519.8108203670989
70039,4163,70039,19018,70039.0,55609.0,245.35496484782482,133.64064937522048,513.7871959900259
70039,4209,70039,19101,70039.0,55717.0,242.14179415042761,128.79046833408688,508.120968705845
70039,4211,70039,19179,70039.0,55775.0,239.1046061335471,124.22306920462745,502.8251614197103
70039,4202,70039,19168,70039.0,55761.0,236.25009555182797,119.94376176057096,497.91030349135497
70039,4174,70039,19062,70039.0,55622.0,233.58412455976938,115.95782878069511,493.38584172867456
70049,4148,70049,18969,70049.0,55574.0,231.1115940221937,112.27031994565147,489.2597056628671
70049,4128,70049,18975,70049.0,55589.0,228.83592834649068,108.88425773029988,485.53652261012246
70049,4163,70049,19041,70049.0,55669.0,226.75856223568996,105.79896518491782,482.21640885390474
70049,4192,70049,19119,70049.0,55709.0,224.87890482837122,103.01000902605426,479.29544175580685
70049,4211,70049,19116,70049.0,55694.0,223.1949491452672,100.51062247008565,476.7671672185933
70049,4155,70049,19034,70049.0,55636.0,221.70402699540597,98.2931346725976,474.623730055452
70060,4135,70060,19006,70060.0,55579.0,220.40296467006277,96.34909560813506,472.85578559171705
70060,4162,70060,19039,70060.0,55610.0,219.28761522224536,94.66836174036783,471.45153678081766
70060,4193,70060,19141,70060.0,55723.0,218.35258299276416,93.23865852327472,470.3961902951809
70060,4196,70060,19173,70060.0,55747.0,217.5916282323983,92.04656918420142,469.67287418618184
70060,4178,70060,19105,70060.0,55659.0,216.99829867706654,91.07918723251109,469.2643072538675
70060,4131,70060,19006,70060.0,55566.0,216.56611437283343,90.32472104693991,469.15330217092594
70070,4133,70070,18980,70070.0,55551.0,216.2881379875812,89.77134669951687,469.3214613946104
70070,4146,70070,19045,70070.0,55615.0,216.1563800864852,89.40550137605581,469.74750731712845
70070,4176,70070,19105,70070.0,55691.0,216.16164064365705,89.21132985518483,470.4069471841243
70070,4197,70070,19162,70070.0,55723.0,216.29393680346925,89.17171149382418,471.27331833976194
70070,4174,70070,19104,70070.0,55679.0,216.54315898526315,89.26984826783917,472.3198590327844
70070,4142,70070,19039,70070.0,55584.0,216.899399123833,89.49000994485485,473.5201768749829
70080,4134,70080,19000,70080.0,55598.0,217.35267816595953,89.81683992702759,474.8474645176867
70080,4169,70080,19145,70080.0,55715.0,217.89246776855168,90.23421794476727,476.2734776319111
70080,4203,70080,19193,70080.0,55760.0,218.5076844680015,90.72543871368612,477.768953722313
70080,4197,70080,19176,70080.0,55747.0,219.18729022436224,91.274901347742,479.30535732786404
70080,4152,70080,19077,70080.0,55661.0,219.92087233959242,91.86946847050766,480.8561858313143
70080,4137,70080,19011,70080.0,55598.0,220.69855955836238,92.49802427387786,482.3966508860357
70091,4126,70091,19020,70091.0,55637.0,221.51038801547222,93.14973180976466,483.9022503400581
70091,4156,70091,19093,70091.0,55690.0,222.34574875329062,93.81263112477237,485.3477654460143
70091,4181,70091,19146,70091.0,55724.0,223.19336842472038,94.47372604948339,486.70761101854214
70091,4194,70091,19142,70091.0,55743.0,224.04181542881034,95.12024432901029,487.95704556217197
70091,4154,70091,19056,70091.0,55672.0,224.88008054805766,95.74069739892855,489.0731696116667
70091,4138,70091,19033,70091.0,55625.0,225.69767390412673,96.3246797808687,490.0349400107506
70101,4158,70101,19068,70101.0,55684.0,226.48423858492677,96.86179904610452,490.82234454921957
70101,4199,70101,19172,70101.0,55773.0,227.22933696688634,97.34120186094489,491.41603281886984
70101,4208,70101,19209,70101.0,55812.0,227.92286742620414,97.75257271993414,491.79839352889593
70101,4181,70101,19131,70101.0,55722.0,228.55574547801987,98.08779419551055,491.955243095971
70101,4142,70101,19028,70101.0,55594.0,229.1201251717923,98.3414901743217,491.87625007456336
70101,4113,70101,18993,70101.0,55520.0,229.6088918788984,98.50970760978646,491.55325806235624
70111,4151,70111,19033,70111.0,55603.0,230.0148719474273,98.5879329932684,490.97776415770613
70111,4184,70111,19093,70111.0,55669.0,230.33052847255593,98.57014968422686,490.13972875072346
70111,4194,70111,19167,70111.0,55702.0,230.54844292577124,98.44949884851641,489.02845558954107
70111,4180,70111,19096,70111.0,55653.0,230.66206683276303,98.21975089560863,487.6342209502534
70111,4136,70111,19050,70111.0,55578.0,230.66603745353208,97.87614066344318,485.9489745754057
70111,4127,70111,19025,70111.0,55571.0,230.5558370858881,97.41484407524999,483.96567960785944
70122,4156,70122,19123,70122.0,55653.0,230.32721102857457,96.8320354278382,481.6773461359816
70122,4187,70122,19164,70122.0,55696.0,229.97603444047382,96.12399263352046,479.07716506286613
70122,4184,70122,19156,70122.0,55696.0,229.4988144143751,95.28835981615299,476.159827514781
70122,4136,70122,19054,70122.0,55592.0,228.89323241986142,94.32517302803964,472.92268017296794
70122,4114,70122,18974,70122.0,55514.0,228.15805939538558,93.23636611780978,469.3654437680843
70122,4101,70122,18968,70122.0,55499.0,227.29248606159265,92.02395507717478,465.48858993698593
70132,4117,70132,19050,70132.0,55575.0,226.29547156797426,90.68841051437818,461.29180925436816
70132,4144,70132,19115,70132.0,55632.0,225.1655820302763,89.22859837923326,456.7739526334874
70132,4157,70132,19085,70132.0,55606.0,223.90137160907193,87.64310679047489,451.93432872717125
70132,4118,70132,19047,70132.0,55531.0,222.50193582986904,85.93144727247574,446.7738739661057
70132,4091,70132,19020,70132.0,55493.0,220.9670503064213,84.09410440832573,441.2950336272421
70132,4087,70132,19018,70132.0,55499.0,219.2967350195114,82.13182854462298,435.50073637900596
70142,4140,70142,19138,70142.0,55600.0,217.4908209187281,80.04525827061767,429.39381204590694
70142,4138,70142,19141,70142.0,55614.0,215.54914215197581,77.83567403834297,422.97774697912774
70142,4122,70142,19057,70142.0,55510.0,213.4721616710149,75.50633851277092,416.25809088881823
70142,4078,70142,18972,70142.0,55402.0,211.26127131725463,73.06275200822157,409.2427118779098
70142,4055,70142,18913,70142.0,55352.0,208.91841221759634,70.51119959874026,401.94020131092134
70142,4072,70142,18986,70142.0,55410.0,206.44538578681528,67.85682622886566,394.3577963072381
70153,4089,70153,19034,70153.0,55471.0,203.84349274902027,65.10286468433736,386.5006247527155
70153,4105,70153,19082,70153.0,55495.0,201.11377332334678,62.2514756475544,378.372681390372
70153,4085,70153,19022,70153.0,55450.0,198.2575368752262,59.30518988967097,369.9784015295794
70153,4037,70153,18956,70153.0,55356.0,195.2766163754382,56.2675318645972,361.3233791946623
70153,4028,70153,18933,70153.0,55337.0,192.17303394404937,53.142322732509484,352.4137175558337
70153,4066,70153,19021,70153.0,55421.0,188.94844776067166,49.93261182513666,343.2549747492638
70163,4102,70163,19081,70163.0,55469.0,185.6041533368027,46.640707676901286,333.85225303388114
70163,4089,70163,19051,70163.0,55422.0,182.14180301413427,43.26948660663635,324.211570733555
70163,4044,70163,18973,70163.0,55323.0,178.5641029574341,39.823523709574204,314.3409160229736
70163,4002,70163,18874,70163.0,55244.0,174.8747448757103,36.30870038354007,304.24969121733625
70163,3993,70163,18882,70163.0,55240.0,171.07764321233904,32.730492639811075,293.9470046677806
70163,4009,70163,18932,70163.0,55285.0,167.17617182479944,29.092386981925756,283.44030549744843
70173,4027,70173,18989,70173.0,55344.0,163.17297072152869,25.395684466108264,272.7354172731218
70173,4035,70173,19026,70173.0,55319.0,159.0703288184522,21.64065640509895,261.83776394771354
70173,3999,70173,18922,70173.0,55202.0,154.87069335894813,17.82789611809929,250.75345423943816
70173,3964,70173,18878,70173.0,55148.0,150.57677367844929,13.958551287212089,239.48894729244302
70173,3972,70173,18916,70173.0,55196.0,146.19113197404425,10.033349876310837,228.0496717825123
70173,4028,70173,19027,70173.0,55286.0,141.71585798797435,6.05198593546163,216.4394115140381
70184,4017,70184,19055,70184.0,55312.0,137.1529407069579,2.0141260425776295,204.66146918854503
70184,4002,70184,18950,70184.0,55227.0,132.50502535088233,-2.078852031637439,192.72055587261593
70184,3954,70184,18882,70184.0,55089.0,127.77573597186398,-6.223371683926757,180.62344910099057
70184,3909,70184,18820,70184.0,55055.0,122.96924584889413,-10.414995649966471,168.37765651016957
70184,3943,70184,18880,70184.0,55112.0,118.08946590287906,-14.650262533739465,155.98943865707258
70184,3949,70184,18946,70184.0,55172.0,113.13957954076358,-18.92741903753577,143.46318820101146
70194,3975,70194,18976,70194.0,55194.0,108.12231033445411,-23.245570400703343,130.80260034759954
70194,3946,70194,18908,70194.0,55091.0,103.04054803949526,-27.603246805193095,118.01227041158529
70194,3920,70194,18864,70194.0,55031.0,97.89771359942281,-31.997855010618878,105.09811759862475
70194,3886,70194,18832,70194.0,55004.0,92.69757162052764,-36.426379543621664,92.06640819004076
70194,3919,70194,18910,70194.0,55106.0,87.443747217056,-40.886337854058354,78.92274394900198
70194,3951,70194,18974,70194.0,55152.0,82.1396007664029,-45.37573077850166,65.67248071744962
70204,3938,70204,18956,70204.0,55087.0,76.78875996449153,-49.89179007123542,52.32239285309481
70204,3879,70204,18841,70204.0,54977.0,71.39571004517347,-54.429840520333926,38.881782204732986
70204,3842,70204,18775,70204.0,54874.0,65.96563862386375,-58.98373382522618,25.36169978642954
70204,3844,70204,18765,70204.0,54882.0,60.50361394455183,-63.547641892943204,11.77289303851228
70204,3856,70204,18835,70204.0,54901.0,55.0139038305752,-68.11759076242015,-1.8758278149376792
70204,3867,70204,18903,70204.0,54961.0,49.499933014512976,-72.6914705079,-15.577736123725572
70215,3876,70215,18892,70215.0,54943.0,43.96471073974891,-77.26769731399813,-29.327113277972785
