c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
345389,12437,345389,32644,345389,49118,433.794322166342,166.31711467814372,434.84199010444354
345389,12445,345389,32686,345389,49172,434.5966753068473,168.372274246838,438.2375944485874
345389,12444,345389,32705,345389,49168,435.32497820285585,170.3883771262087,441.5550909163522
345389,12445,345389,32706,345389,49177,435.98000623318194,172.35790878688513,444.78219330760027
345399,12422,345399,32626,345399,49148,436.562961320788,174.2748332066462,447.90811351823623
345399,12410,345399,32631,345399,49116,437.0753442624082,176.13417598216486,450.9234310367006
345399,12400,345399,32632,345399,49133,437.51862919739204,177.93111340895317,453.8195672375928
345399,12417,345399,32669,345399,49167,437.8939546830468,179.6604439682361,456.5883767812498
345399,12410,345399,32680,345399,49162,438.202051915471,181.31677629606824,459.2222955456756
345399,12423,345399,32671,345399,49142,438.4433877974828,182.89504524850227,461.7147438189171
345409,12398,345409,32638,345409,49130,438.6183265264078,184.39078756777022,464.06019204337315
345409,12384,345409,32637,345409,49099,438.7271113591115,185.799910179739,466.25379420848753
345409,12398,345409,32661,345409,49135,438.76964630366024,187.11826494423656,468.2909047727659
345409,12410,345409,32681,345409,49149,438.7453691445572,188.34157437334625,470.1669022321456
345409,12409,345409,32709,345409,49171,438.65343638822105,189.4658582066249,471.877531975133
345409,12384,345409,32694,345409,49136,438.4929813449036,190.48805944244071,473.41944072711993
345420,12388,345420,32636,345420,49094,438.2631215754887,191.40635389921073,474.7902956001898
345420,12360,345420,32612,345420,49090,437.9627379897269,192.21971842224661,475.9882571511498
345420,12382,345420,32637,345420,49102,437.5902300199307,192.92702290669266,477.0112679342937
345420,12388,345420,32706,345420,49113,437.14344320735813,193.52658922955504,477.85676372924905
345420,12402,345420,32705,345420,49142,436.6198926979787,194.0167513915531,478.5219066746717
345420,12383,345420,32674,345420,49130,436.017132957508,194.39679158907083,479.0040813511963
345430,12367,345430,32653,345430,49093,435.33293784314867,194.66726266339433,479.30125724971987
345430,12359,345430,32633,345430,49087,434.56515551795576,194.82955528538378,479.4118635538171
345430,12372,345430,32642,345430,49108,433.7114588636123,194.88527245353288,479.3343766486997
345430,12376,345430,32689,345430,49121,432.7693051370089,194.83595159846814,479.06720728624174
345430,12370,345430,32671,345430,49116,431.73613125245487,194.68334673477997,478.60902101965615
345430,12351,345430,32644,345430,49069,430.6095216849108,194.42986788807346,477.9590184054292
345440,12349,345440,32602,345440,49053,429.38715682030966,194.0784977682734,477.11671562853604
345440,12321,345440,32611,345440,49071,428.06659242218825,193.6321350192186,476.08137937968604
345440,12348,345440,32670,345440,49099,426.6450240923548,193.09306820652463,474.85176359236453
345440,12351,345440,32647,345440,49083,425.11924727122573,192.46317137907107,473.42642328922335
345440,12354,345440,32627,345440,49102,423.48591809941905,191.74443459866976,471.8042089250199
345440,12332,345440,32595,345440,49076,421.74186834580854,190.93900976805529,469.9845749724687
345451,12329,345451,32608,345451,49048,419.8841770183564,190.04872716971826,467.9676157617125
345451,12327,345451,32608,345451,49064,417.9100493491861,189.07466547954266,465.75382858834524
345451,12328,345451,32652,345451,49068,415.81674204487064,188.01716375311474,463.3438975253787
345451,12344,345451,32639,345451,49064,413.601662384364,186.87625915913063,460.73879743250245
345451,12317,345451,32649,345451,49026,411.26258863294737,185.65223271965613,457.93997731565565
345451,12299,345451,32622,345451,48997,408.79777305293214,184.34590687453607,454.9491879039566
345461,12276,345461,32579,345461,48989,406.2057171136229,182.95852081665532,451.7679291129432
345461,12294,345461,32607,345461,49024,403.4847849017944,181.49124428379005,448.39697874851146
345461,12293,345461,32641,345461,49053,400.6330392883794,179.9448336759625,444.8365224998216
345461,12305,345461,32650,345461,49048,397.648430421325,178.31994650950853,441.0868831678276
345461,12284,345461,32615,345461,49030,394.5291180416134,176.61778229001513,437.1492723537904
345461,12266,345461,32582,345461,48998,391.27362412533716,174.84026255101793,433.0260404433215
345472,12252,345472,32576,345472,48975,387.8806884129091,172.98955978763246,428.7203924611743
345472,12282,345472,32600,345472,49001,384.34904543274774,171.0675256769721,424.2359380366097
345472,12266,345472,32629,345472,49009,380.67747518544627,169.0756296817226,419.57657725880244
345472,12259,345472,32609,345472,48979,376.86507693315684,167.015428213985,414.7468093238618
345472,12247,345472,32579,345472,48953,372.9114160257765,164.88897742936945,409.75194374796274
345472,12219,345472,32545,345472,48904,368.816428436731,162.69866545407422,404.59779508821975
345482,12216,345482,32577,345482,48933,364.5801700403733,160.44664004238908,399.29005932461575
345482,12227,345482,32579,345482,48930,360.202584672698,158.13448322806966,393.8339383591558
345482,12222,345482,32612,345482,48940,355.6835216765672,155.7634566967497,388.2343058881658
345482,12221,345482,32586,345482,48918,351.02297662191506,153.33504259973006,382.49611496577654
345482,12195,345482,32559,345482,48882,346.22128807009585,150.85127383255363,376.62457961611995
345482,12191,345482,32544,345482,48866,341.27912848011636,148.31455623978223,370.62494010003593
345492,12186,345492,32562,345492,48895,336.1973722147859,145.72722957371508,364.50208284473626
345492,12196,345492,32583,345492,48881,330.97706323145223,143.09142163004964,358.2605066300297
345492,12189,345492,32600,345492,48875,325.619589682846,140.40941606959856,351.9046409418908
345492,12168,345492,32568,345492,48859,320.12691563424346,137.68421815260976,345.43909540921993
345492,12132,345492,32519,345492,48835,314.5015865267851,134.919733451208,338.8686560166884
345492,12135,345492,32496,345492,48799,308.74641927720296,132.12024171725386,332.19805222606544
345503,12120,345503,32521,345503,48813,302.8641460859832,129.28956850372657,325.43156972890824
345503,12121,345503,32539,345503,48839,296.8572729231652,126.43071127825839,318.57286485270924
345503,12136,345503,32551,345503,48833,290.7281667683844,123.54615668338313,311.625308321705
345503,12106,345503,32515,345503,48790,284.4792966424085,120.63840922244957,304.59252433465565
345503,12088,345503,32508,345503,48771,278.1134016917113,117.71015857304675,297.47849141931636
345503,12077,345503,32488,345503,48750,271.6333737514138,114.76401056604413,290.2871523257129
345513,12088,345513,32511,345513,48755,265.0420546431969,111.8021520840715,283.02199018952575
345513,12080,345513,32522,345513,48799,258.3422678597531,108.82632013717495,275.68599177212667
345513,12060,345513,32517,345513,48761,251.53702382897592,105.83811754194002,268.28211098952534
345513,12039,345513,32480,345513,48725,244.6295910569484,102.83931087502482,260.8137550290035
345513,12024,345513,32469,345513,48694,237.6233197204764,99.83171804490415,253.28467166994113
345513,12009,345513,32469,345513,48678,230.52136938071396,96.81678661039349,245.6983490010942
345523,12016,345523,32491,345523,48708,223.32652486749868,93.79533026830845,238.05754262530576
345523,12024,345523,32497,345523,48713,216.04124189105084,90.7676905953343,230.36435319748216
345523,12004,345523,32459,345523,48707,208.66792633420135,87.7340892644888,222.62077123027086
345523,11993,345523,32457,345523,48647,201.20919822233282,84.69470324271549,214.8291244744438
345523,11960,345523,32434,345523,48630,193.6678994648119,81.64936986975715,206.99193401544557
345523,11975,345523,32475,345523,48645,186.04690801445633,78.59730024880795,199.11138947524375
345534,11962,345534,32495,345534,48660,178.3490356000027,75.53721581672241,191.1891474919326
345534,11959,345534,32497,345534,48658,170.57714452484493,72.46795870868195,183.22672458250412
345534,11938,345534,32455,345534,48605,162.7343154683566,69.38908823510101,175.2259966132596
345534,11916,345534,32443,345534,48576,154.82386179700086,66.30092316868732,167.1891936590519
345534,11902,345534,32401,345534,48549,146.8491599263017,63.20404402001091,159.11833757131154
345534,11887,345534,32449,345534,48556,138.8134069294582,60.09870658396454,151.01460990106364
345544,11901,345544,32423,345544,48589,130.71948336966472,56.98462410355836,142.8781641390716
345544,11888,345544,32466,345544,48599,122.5700487447545,53.86120101705288,134.70858055787778
345544,11874,345544,32402,345544,48561,114.36777837929554,50.7278783104685,126.50563377631858
345544,11845,345544,32410,345544,48513,106.11546847081559,47.58417967627449,118.26965260624877
345544,11837,345544,32406,345544,48514,97.81589182360062,44.429426115201125,110.00118279012548
345544,11847,345544,32438,345544,48542,89.47161666730011,41.2625743331796,101.70054556617106
345554,11847,345554,32438,345554,48514,81.08508393074544,38.08250274946798,93.36791939532714
345554,11827,345554,32415,345554,48506,72.65892264604719,34.8884780149711,85.00371413292777
345554,11802,345554,32398,345554,48471,64.19616138957622,31.680326498132075,76.60869123012952
345554,11771,345554,32363,345554,48438,55.70010091820143,28.458152909253556,68.1837145955526
345554,11762,345554,32375,345554,48455,47.17394099170957,25.221830703317835,59.729340534724315
345554,11761,345554,32414,345554,48457,38.62044864296166,21.970711503398263,51.24562922258593
345565,11764,345565,32429,345565,48457,30.041908614798047,18.7039421032689,42.73240029844942
345565,11763,345565,32404,345565,48420,21.440361942502363,15.42117859876683,34.18962497084863
345565,11725,345565,32363,345565,48414,12.817895827291466,12.122967105815633,25.61753774592694
345565,11709,345565,32351,345565,48379,4.176679147320613,8.810428826038361,17.016445514284783
345565,11707,345565,32358,345565,48384,-4.4812686076224395,5.484652163099412,8.386456596077778
345565,11708,345565,32378,345565,48406,-13.154228994395226,2.1464070678821656,-0.27260718314266796
345575,11709,345575,32391,345575,48417,-21.84063837425856,-1.2036160489352028,-8.960868499397975
345575,11668,345575,32327,345575,48394,-30.538832035965584,-4.564409157254175,-17.677737974105526
345575,11655,345575,32321,345575,48317,-39.247018724587406,-7.934696318201446,-26.421556246721025
345575,11631,345575,32310,345575,48289,-47.96355443979098,-11.313488985400795,-35.19004063039165
345575,11630,345575,32318,345575,48320,-56.68725855025815,-14.700576246130993,-43.981168086097796
345575,11640,345575,32364,345575,48328,-65.4175132418477,-18.09653112110948,-52.79353736670578
345585,11640,345585,32356,345585,48358,-74.15404717807587,-21.502210669983725,-61.6258683878973
345585,11618,345585,32349,345585,48274,-82.89654708285997,-24.918085828135247,-70.47625611221986
345585,11592,345585,32314,345585,48248,-91.6444412935864,-28.343929145645433,-79.34202895839576
345585,11574,345585,32305,345585,48242,-100.39702529271835,-31.77902433936029,-88.22034941505751
345585,11586,345585,32312,345585,48279,-109.15370865419715,-35.22257387075382,-97.10873936268604
345585,11573,345585,32349,345585,48268,-117.91404951586458,-38.67382494966168,-106.00487248683254
345596,11561,345596,32344,345596,48234,-126.6775685050506,-42.131689357869476,-114.90600015985262
345596,11552,345596,32256,345596,48188,-135.4435930773928,-45.594324599699064,-123.80878190979018
345596,11498,345596,32258,345596,48149,-144.21129823392835,-49.059439358962095,-132.70977960561646
345596,11500,345596,32259,345596,48154,-152.98000435217324,-52.525159398274155,-141.6062350058461
345596,11515,345596,32292,345596,48190,-161.74951562022545,-55.990500797791924,-150.49648723491276
345596,11516,345596,32299,345596,48182,-170.520059950208,-59.45508834472204,-159.37966195905994
345606,11493,345606,32286,345606,48177,-179.29187085585488,-62.918562302281345,-168.25496421111097
345606,11476,345606,32275,345606,48127,-188.06490305691216,-66.38020176750265,-177.12123261054364
345606,11458,345606,32249,345606,48114,-196.8388801337328,-69.83895081767238,-185.97704035744357
345606,11441,345606,32241,345606,48110,-205.6134981739487,-73.29371997605901,-194.82109007634278
345606,11452,345606,32268,345606,48132,-214.3885769787792,-76.74367768534302,-203.65239257974554
345606,11438,345606,32271,345606,48128,-223.1640192042591,-80.18820600423723,-212.46997055971775
345616,11430,345616,32257,345616,48097,-231.93961387384672,-83.6265448405284,-221.27236449469143
345616,11405,345616,32225,345616,48054,-240.71490080835702,-87.05758210443298,-230.05746900103753
345616,11386,345616,32220,345616,48009,-249.4892335974206,-90.4800650351267,-238.8229566925579
345616,11388,345616,32219,345616,48034,-258.2619601815161,-93.89298988975574,-247.5669941519144
345616,11384,345616,32233,345616,48063,-267.0324984585352,-97.29578147935314,-256.2885599977675
345616,11380,345616,32254,345616,48065,-275.80019158699247,-100.68810675719354,-264.9869765541895
345627,11357,345627,32242,345627,48032,-284.56409276439274,-104.06942973873171,-273.6611206176261
345627,11327,345627,32210,345627,47982,-293.32292437686795,-107.43865989657766,-282.3091066510526
345627,11327,345627,32191,345627,47964,-302.07527631318067,-110.79425022648238,-290.92867922311814
345627,11321,345627,32194,345627,47966,-310.8198127823425,-114.13464181036179,-299.5178513219381
345627,11329,345627,32230,345627,47985,-319.5552306700225,-117.45853482858388,-308.0751673325351
345627,11318,345627,32231,345627,47968,-328.27998769425176,-120.76463192070693,-316.59943491556953
345637,11272,345637,32190,345637,47939,-336.99207361016624,-124.05114535523694,-325.0893407013775
345637,11248,345637,32147,345637,47917,-345.6891503368312,-127.31576218982747,-333.54340922747963
345637,11236,345637,32129,345637,47909,-354.36904083512275,-130.5563022309853,-341.9602808815566
345637,11250,345637,32183,345637,47916,-363.03012361658944,-133.77146377138843,-350.3389324871007
345637,11247,345637,32181,345637,47928,-371.67129903947966,-136.9608982756767,-358.67856535163423
345637,11235,345637,32187,345637,47899,-380.2916549414059,-140.12465048337447,-366.9782275975581
345647,11219,345647,32173,345647,47856,-388.8901858008792,-143.26262165397327,-375.23658769327767
345647,11196,345647,32148,345647,47830,-397.46575366923196,-146.37442832393924,-383.45221539400336
345647,11201,345647,32153,345647,47860,-406.0172059136946,-149.45958170512944,-391.6241050282997
345647,11207,345647,32172,345647,47869,-414.54340089406605,-152.51767608485574,-399.7517794202638
