c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
34989,21884,34989.0,63249.0,34989.0,99520.0,110.80135752753381,103.91355323805854,117.65546611101107
34989,21906,34989.0,63321.0,34989.0,99517.0,113.75166688710705,105.54002483604678,118.224202458943
34989,21885,34989.0,63316.0,34989.0,99561.0,116.74724778992103,107.0739748109811,118.72049923993504
34989,21918,34989.0,63390.0,34989.0,99601.0,119.7780373044215,108.48634049568375,119.13079241646432
35000,21945,35000.0,63452.0,35000.0,99574.0,122.83383002267743,109.75023637964779,119.442374703308
35000,21909,35000.0,63433.0,35000.0,99556.0,125.90461179818772,110.84237251906715,119.64397224488012
35000,21915,35000.0,63304.0,35000.0,99533.0,128.98074492449646,111.74393721665608,119.7256363330038
35000,21913,35000.0,63270.0,35000.0,99543.0,132.05277234951927,112.43986607588313,119.67822373088995
35000,21910,35000.0,63304.0,35000.0,99562.0,135.1111427719315,112.91700802284996,119.49304268877354
35000,21904,35000.0,63259.0,35000.0,99519.0,138.14603703939704,113.16278753744511,119.16182887117743
35009,21909,35009.0,63276.0,35009.0,99557.0,141.14720104595602,113.16473185428109,118.67675399321902
35009,21938,35009.0,63336.0,35009.0,99551.0,144.10385627836666,112.9103778580841,118.0303925541314
35009,21932,35009.0,63358.0,35009.0,99541.0,147.00484214562124,112.38770883185262,117.21582905568009
35009,21937,35009.0,63346.0,35009.0,99550.0,149.8388730629866,111.58608704995314,116.22677237754834
35009,21962,35009.0,63350.0,35009.0,99573.0,152.59471839536096,110.49696417437781,115.05761682025658
35009,21983,35009.0,63437.0,35009.0,99606.0,155.26143716247952,109.11426455326014,113.70375154883256
35019,21992,35019.0,63390.0,35019.0,99544.0,157.82881964305201,107.43502047000331,112.16208016255065
35019,21979,35019.0,63316.0,35019.0,99609.0,160.28782575905183,105.45994585442628,110.4313073392144
35019,21973,35019.0,63295.0,35019.0,99548.0,162.63072510238058,103.19298525851488,108.51196026943369
35019,21956,35019.0,63319.0,35019.0,99522.0,164.8509024670207,100.64014770634319,106.40626027275079
35019,21973,35019.0,63265.0,35019.0,99512.0,166.94252948611245,97.80871001304175,104.11762197164332
35019,21961,35019.0,63245.0,35019.0,99547.0,168.9003353186506,94.7067873661016,101.65004101676554
35030,21949,35030.0,63314.0,35030.0,99540.0,170.71948467238724,91.34289250659772,99.00798951451546
35030,21987,35030.0,63297.0,35030.0,99555.0,172.39546214969522,87.7259223968678,96.19676843558715
35030,21972,35030.0,63314.0,35030.0,99520.0,173.9240925912157,83.86572387586003,93.22282914075882
35030,21984,35030.0,63326.0,35030.0,99520.0,175.30174006011322,79.77367743764026,90.09378457443215
35030,21998,35030.0,63394.0,35030.0,99553.0,176.52549537016634,75.4632583294298,86.81826169364004
35030,22006,35030.0,63412.0,35030.0,99577.0,177.59337250868026,70.95099754423053,83.40607248135186
35040,21996,35040.0,63329.0,35040.0,99547.0,178.5045605896227,66.25754881789241,79.86879028005545
35040,21979,35040.0,63284.0,35040.0,99524.0,179.2595189077022,61.407857319875944,76.22013614855538
35040,21977,35040.0,63208.0,35040.0,99466.0,179.85978762397892,56.43006105076994,72.47569321840163
35040,21976,35040.0,63184.0,35040.0,99503.0,180.30768406148826,51.35379400129547,68.65216312204109
35040,21970,35040.0,63157.0,35040.0,99450.0,180.606090982992,46.208634910392924,64.7667346828586
35040,21969,35040.0,63166.0,35040.0,99451.0,180.75833880202683,41.02306495328276,60.83672016096881
35050,21984,35050.0,63171.0,35050.0,99459.0,180.76814318477295,35.824032578783374,56.8792500610075
35050,21986,35050.0,63246.0,35050.0,99475.0,180.6396728120514,30.63714683998925,52.91116153375684
35050,21973,35050.0,63198.0,35050.0,99458.0,180.37771075258968,25.48742548789854,48.9492255236828
35050,21972,35050.0,63238.0,35050.0,99463.0,179.98770491511505,20.40011534397732,45.01041462831266
35050,21985,35050.0,63251.0,35050.0,99489.0,179.475693256819,15.40123402625207,41.112069461654585
35050,21987,35050.0,63255.0,35050.0,99479.0,178.848322132109,10.518087187828698,37.27217748051952
35061,21973,35061.0,63198.0,35061.0,99451.0,178.11298389307908,5.779721965393435,33.509688829741606
35061,21944,35061.0,63115.0,35061.0,99430.0,177.2778023473013,1.2166803018913157,29.844476019065084
35061,21939,35061.0,63116.0,35061.0,99391.0,176.3512938179563,-3.1401612833368233,26.29684372728275
35061,21937,35061.0,63077.0,35061.0,99422.0,175.34189782355787,-7.260986484218591,22.886897723209486
35061,21941,35061.0,63024.0,35061.0,99411.0,174.25768471099167,-11.118106946467563,19.63419318586581
35061,21941,35061.0,63106.0,35061.0,99389.0,173.1063067547115,-14.686736283650418,16.557734630233597
35071,21956,35071.0,63034.0,35071.0,99377.0,171.89509532288005,-17.945315431281983,13.675922063547176
35071,21936,35071.0,63131.0,35071.0,99370.0,170.63121684089214,-20.87530716552999,11.006250504902951
35071,21942,35071.0,63131.0,35071.0,99378.0,169.32176184195822,-23.460634528006864,8.565021309759373
35071,21960,35071.0,63166.0,35071.0,99416.0,167.97375877533813,-25.686765790841505,6.367348055132155
35071,21962,35071.0,63183.0,35071.0,99416.0,166.59431673566783,-27.539685295997018,4.427563712222067
35071,21939,35071.0,63178.0,35071.0,99390.0,165.19087462163986,-29.005084568284104,2.7597554097271058
35082,21936,35082.0,63083.0,35082.0,99348.0,163.771244838691,-30.068057488799155,1.3778596767315179
35082,21917,35082.0,63073.0,35082.0,99327.0,162.34337844973552,-30.713706762910945,0.29509914650277835
35082,21896,35082.0,63038.0,35082.0,99342.0,160.91500532524685,-30.928433478355615,-0.4768289105596182
35082,21902,35082.0,63025.0,35082.0,99330.0,159.49322998826938,-30.701139185423393,-0.9282642173174054
35082,21905,35082.0,63047.0,35082.0,99357.0,158.0842265924822,-30.023990820825354,-1.051670185649101
35082,21908,35082.0,63055.0,35082.0,99326.0,156.69318863243814,-28.892708349301202,-0.8415266924005778
35092,21910,35092.0,63058.0,35092.0,99327.0,155.3244542613198,-27.306438108367914,-0.29431047741293526
35092,21903,35092.0,63102.0,35092.0,99350.0,153.98163503036466,-25.267440676503774,0.5913739218133713
35092,21917,35092.0,63093.0,35092.0,99339.0,152.6676952899426,-22.780672223231868,1.8147594769308029
35092,21933,35092.0,63227.0,35092.0,99391.0,151.38508736575037,-19.853091308657696,3.3731319728499187
35092,21935,35092.0,63122.0,35092.0,99388.0,150.13605371441622,-16.4926282498567,5.262262950238053
35092,21924,35092.0,63077.0,35092.0,99316.0,148.92296443264777,-12.707591924894594,7.476781094904865
35102,21891,35102.0,63039.0,35102.0,99324.0,147.74839255625974,-8.507442648755472,10.009909495731293
35102,21885,35102.0,63071.0,35102.0,99333.0,146.61479755310532,-3.9042974215630153,12.85268632287054
35102,21858,35102.0,63034.0,35102.0,99298.0,145.52398287430543,1.08606521542724,15.993395666847348
35102,21857,35102.0,62982.0,35102.0,99330.0,144.47655819405904,6.443626246451537,19.41728776094243
35102,21873,35102.0,63119.0,35102.0,99336.0,143.4715641360562,12.143538593142146,23.10641493124291
35102,21883,35102.0,63121.0,35102.0,99372.0,142.5064213680556,18.156185184386228,27.03976791029794
35113,21872,35113.0,63155.0,35113.0,99409.0,141.5771615975998,24.448231563304525,31.193785945659684
35113,21895,35113.0,63175.0,35113.0,99411.0,140.67867341878005,30.983759258248966,35.54308554883774
35113,21906,35113.0,63256.0,35113.0,99425.0,139.80492873041618,37.72507826040057,40.06112531619378
35113,21921,35113.0,63301.0,35113.0,99435.0,138.9493497590027,44.63376818033084,44.72059716667001
35113,21896,35113.0,63265.0,35113.0,99490.0,138.10521366564112,51.671949285648495,49.49373507621087
35113,21886,35113.0,63250.0,35113.0,99430.0,137.26578329198534,58.80296301838321,54.35272836787571
35123,21882,35123.0,63220.0,35123.0,99440.0,136.42409342995762,65.99103620497645,59.269880229371054
35123,21865,35123.0,63158.0,35123.0,99449.0,135.57262556171523,73.20028227435274,64.21728772407546
35123,21856,35123.0,63147.0,35123.0,99414.0,134.70300688747216,80.3933684971597,69.16643274700516
35123,21872,35123.0,63246.0,35123.0,99413.0,133.80574603069272,87.5303502833199,74.08780625714861
35123,21893,35123.0,63335.0,35123.0,99487.0,132.8701858044116,94.56870585277065,78.95055861952213
35123,21878,35123.0,63324.0,35123.0,99517.0,131.88476643599338,101.46477291764239,83.72272341695101
35133,21893,35133.0,63348.0,35133.0,99523.0,130.83733853222677,108.17532188998008,88.37213512409443
35133,21891,35133.0,63393.0,35133.0,99557.0,129.71533997213606,114.65838669083469,92.86735360348253
35133,21938,35133.0,63466.0,35133.0,99589.0,128.5060192501053,120.87392320655125,97.17831920188588
35133,21919,35133.0,63492.0,35133.0,99589.0,127.19688780463794,126.78494230037188,101.27698836844736
35133,21909,35133.0,63433.0,35133.0,99571.0,125.7761771060016,132.3586795127111,105.13783338176043
35133,21891,35133.0,63385.0,35133.0,99567.0,124.23291639492271,137.56680696552365,108.73788329204405
35144,21892,35144.0,63348.0,35144.0,99536.0,122.55666180647056,142.38441127939785,112.05634940111055
