c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
802,8213,802,7958,802.0,29698.0,-788.1367733506613,-188.28481859107328,-453.27908759870513
802,8242,802,7937,802.0,29719.0,-756.860158584266,-176.86321438271028,-433.24396095262676
802,8291,802,7975,802.0,29733.0,-724.7124925894674,-165.20523292884556,-412.65846036974403
802,8316,802,7968,802.0,29771.0,-691.7467150352735,-153.33202487425424,-391.55909282993065
802,8357,802,7988,802.0,29802.0,-658.017780873787,-141.26613579979536,-369.98433293815486
802,8398,802,8003,802.0,29840.0,-623.5827083044126,-129.03155912373182,-347.9744557687758
812,8526,812,8055,812.0,29858.0,-588.500434783958,-116.65367780985034,-325.5712737416181
812,8626,812,8080,812.0,29903.0,-552.8309672348521,-104.15889982899708,-302.81791788536924
812,8672,812,8106,812.0,29934.0,-516.633800265454,-91.57405131463003,-279.75864189678975
812,8690,812,8142,812.0,29984.0,-479.96648281275054,-78.92578357552031,-256.43853224733664
812,8701,812,8143,812.0,30027.0,-442.8841488733143,-66.24010440833706,-232.90308040709448
812,8719,812,8163,812.0,30084.0,-405.4399396300631,-53.54208142166979,-209.19761977640036
823,8717,823,8174,823.0,30096.0,-367.68584365283505,-40.855752958901746,-185.36670680540362
823,8762,823,8180,823.0,30121.0,-329.67364380477875,-28.20415474108404,-161.45369375503913
823,8812,823,8168,823.0,30141.0,-291.4556838065937,-15.609449306877252,-137.50065760321888
823,8857,823,8192,823.0,30171.0,-253.08518968090425,-3.0932222581161,-113.5485298881116
823,8896,823,8215,823.0,30198.0,-214.61624960216625,9.32323552295611,-89.6371994650707
823,8987,823,8242,823.0,30226.0,-176.10366695803918,21.61892954277431,-65.80553018237754
833,9121,833,8268,833.0,30245.0,-137.6024116661432,33.773439848358976,-42.091352890902044
833,9191,833,8270,833.0,30292.0,-99.16628144600747,45.7672598030444,-18.531462904531168
833,9210,833,8297,833.0,30319.0,-60.84625292221267,57.582014010384285,4.838465336893137
833,9248,833,8334,833.0,30371.0,-22.689528640447634,69.20061267995322,27.98412652080276
833,9246,833,8367,833.0,30425.0,15.260442374811873,80.60759194499644,50.87301095238024
833,9237,833,8329,833.0,30437.0,52.96329989692413,91.78955973360235,73.47496789262004
843,9273,843,8338,843.0,30445.0,90.38071394833423,102.73525188148233,95.76261537831465
843,9309,843,8336,843.0,30468.0,127.47532837981112,113.43507952255118,117.71131417928541
843,9346,843,8331,843.0,30469.0,164.21012472597113,123.88057691936632,139.29884439583748
843,9398,843,8344,843.0,30502.0,200.5481853034737,134.0639726620576,160.5050445376802
843,9441,843,8357,843.0,30514.0,236.45267462821448,143.97788451884344,181.31152511735263
843,9554,843,8393,843.0,30525.0,271.88709297072205,153.61524140534874,201.701463490861
854,9659,854,8416,854.0,30550.0,306.8161088247721,162.96951366316182,221.65939150545432
854,9696,854,8431,854.0,30592.0,341.20701193878267,172.03514664211605,241.17102709932237
854,9721,854,8440,854.0,30631.0,375.0310595045157,180.80795494821217,260.22337094457384
854,9728,854,8453,854.0,30663.0,408.2639576588142,189.28532980218483,278.8050969302212
854,9729,854,8477,854.0,30692.0,440.8854913706108,197.46634666200077,296.9070244150663
854,9742,854,8446,854.0,30683.0,472.87869611137137,205.35184402345038,314.5224297690978
864,9762,864,8438,864.0,30708.0,504.22891803732045,212.94426701164804,331.6470356034861
864,9766,864,8462,864.0,30718.0,534.9229797912235,220.24720086358332,348.278760882803
864,9817,864,8445,864.0,30723.0,564.9485030113763,227.26494635634293,364.41745467345004
864,9842,864,8457,864.0,30750.0,594.2934669168799,234.00229492241124,380.06466622014534
864,9920,864,8444,864.0,30724.0,622.9461409959508,240.46430499535307,395.2233886283609
864,10022,864,8486,864.0,30758.0,650.8955500433885,246.65608145979854,409.8977073045395
874,10079,874,8500,874.0,30811.0,678.1325933486478,252.58280089170853,424.0925129394817
874,10099,874,8512,874.0,30803.0,704.6514156616793,258.25003908865517,437.8136047273239
874,10093,874,8514,874.0,30816.0,730.450204544954,263.6641254953193,451.0679671276671
874,10112,874,8532,874.0,30881.0,755.5310864552123,268.8323179218949,463.8638719055725
874,10069,874,8545,874.0,30860.0,779.8994170828059,273.7629106767548,476.2110419985711
874,10068,874,8507,874.0,30853.0,803.5626966001669,278.46531635239415,488.12084051754107
885,10104,885,8489,885.0,30865.0,826.5293201354073,282.9498316068568,499.6060454234864
885,10128,885,8501,885.0,30866.0,848.8076853705263,287.2270056932645,510.6803491554599
885,10127,885,8478,885.0,30877.0,870.405839146817,291.307008061703,521.3579733822231
885,10171,885,8472,885.0,30871.0,891.3312742667358,295.1991768371457,531.6533923732645
885,10266,885,8543,885.0,30894.0,911.5908904075384,298.9117255922912,541.5810613279157
885,10348,885,8526,885.0,30892.0,931.191683524331,302.4518853666911,551.1551937233625
895,10352,895,8553,895.0,30922.0,950.1421270878336,305.82643107295894,560.3896479319192
