c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
173082,14106,173082,34953,173082,53931,388.5760617048515,118.80628397086546,391.9185024869944
173082,14111,173082,35021,173082,53901,386.1673928431637,121.34127039456972,388.35968329055527
173092,14119,173092,35041,173092,53903,383.5550053392867,123.77673073432229,384.58556648709657
173092,14122,173092,35055,173092,53923,380.7381630605598,126.09456914558797,380.60326263669276
173092,14107,173092,35019,173092,53903,377.7172479267454,128.27937233676874,376.42024424359903
173092,14091,173092,34994,173092,53851,374.4938732446985,130.31847677043834,372.0444776661442
173092,14075,173092,34978,173092,53851,371.07074258346694,132.20139455958866,367.4841325466842
173092,14068,173092,35012,173092,53876,367.4513654411019,133.9191347591273,362.7470931373183
173103,14075,173103,35036,173103,53885,363.63983603554254,135.4640113238983,357.84093706062833
173103,14074,173103,35014,173103,53886,359.64082283732085,136.8299845718983,352.77343386446216
173103,14057,173103,35002,173103,53844,355.45971002180494,138.0129576164335,347.55301064379603
173103,14028,173103,34970,173103,53795,351.1026255798511,139.01058071867035,342.18868461369595
173103,14018,173103,34973,173103,53812,346.57618591842504,139.82169928399117,336.68945831132226
173103,14017,173103,34988,173103,53811,341.8871267454531,140.4458604456622,331.0637680641428
173113,14024,173113,35019,173113,53842,337.04212965461716,140.88323849959076,325.3195136254999
173113,14016,173113,35028,173113,53826,332.0479271640492,141.13503991663902,319.4645573979644
173113,14004,173113,34978,173113,53772,326.9114917127131,141.20397913125151,313.50714657801495
173113,13986,173113,34955,173113,53752,321.6400857834709,141.0942240193079,307.455752032414
173113,13969,173113,34952,173113,53732,316.24111625980595,140.81074419512237,301.31840863468375
173113,13978,173113,34965,173113,53783,310.72191825042586,140.35866506598592,295.1022124754934
173124,13977,173124,35012,173124,53757,305.0896887263185,139.74316782197934,288.8134381203936
173124,13962,173124,34994,173124,53768,299.35162639485816,138.9699493618538,282.45804093098127
173124,13938,173124,34931,173124,53725,293.5150347284742,138.04565308128102,276.04199176473696
173124,13919,173124,34913,173124,53701,287.58716732680296,136.97754989298687,269.57118481838376
173124,13929,173124,34952,173124,53702,281.5749327502982,135.77269997015347,263.0510398427392
173124,13933,173124,34950,173124,53739,275.48478440873487,134.4375481548033,256.48624982770957
173134,13928,173134,35001,173134,53721,269.32292074945804,132.9782644585668,249.88105848692973
173134,13910,173134,34969,173134,53698,263.0955607808354,131.40140446318503,243.23976180387567
173134,13882,173134,34910,173134,53673,256.80899723852815,129.71427420367812,236.56684054602195
173134,13860,173134,34913,173134,53668,250.4693401702777,127.92454398193871,229.86668515275207
173134,13865,173134,34929,173134,53655,244.08212072783408,126.03950145435303,223.14329128630257
173134,13882,173134,34945,173134,53673,237.65210507245695,124.06577954591354,216.4001707736791
173144,13882,173144,34952,173144,53693,231.18352868011792,122.00967430936983,209.64057899422022
173144,13850,173144,34934,173144,53638,224.68050601736405,119.87757289123209,202.86795943110536
173144,13843,173144,34894,173144,53605,218.14717832121747,117.67605427272373,196.0860851796607
173144,13813,173144,34879,173144,53585,211.58751637279403,115.41148853830373,189.29857350347106
173144,13830,173144,34907,173144,53619,205.00504323592372,113.0894400432985,182.50827924696097
173144,13828,173144,34960,173144,53613,198.40275812854657,110.71454615283797,175.71722874527654
173155,13830,173155,34937,173155,53607,191.78335035405468,108.29112635955994,168.9270354500224
173155,13805,173155,34899,173155,53571,185.1494947476075,105.8238497497388,162.13923258238043
173155,13780,173155,34881,173155,53544,178.503918915977,103.31768963535703,155.35516658137647
173155,13784,173155,34878,173155,53560,171.84919563512318,100.7773250733435,148.57560509810287
