c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276082.0,3691.0,276082.0,11739.0,276082.0,26278.0,-775.4461881496784,-704.9836308721272,-1182.7803462343436
276082.0,3639.0,276082.0,11746.0,276082.0,26305.0,-785.5392760018891,-718.1607057216984,-1197.8121506240952
276092.0,3602.0,276092.0,11705.0,276092.0,26270.0,-795.8892039223138,-731.3664692785699,-1212.9795038800185
276092.0,3570.0,276092.0,11631.0,276092.0,26257.0,-806.4694528448387,-744.5634449762204,-1228.2556588972416
276092.0,3535.0,276092.0,11568.0,276092.0,26209.0,-817.2538333932588,-757.7145813139543,-1243.6122792618883
276092.0,3530.0,276092.0,11607.0,276092.0,26181.0,-828.2173608830157,-770.7845860440138,-1259.0199725563652
276092.0,3521.0,276092.0,11538.0,276092.0,26150.0,-839.3368547730468,-783.7408856101447,-1274.449037924483
276092.0,3565.0,276092.0,11607.0,276092.0,26171.0,-850.5911075387846,-796.553921572504,-1289.8701272991866
276102.0,3641.0,276102.0,11626.0,276102.0,26171.0,-861.9603667006653,-809.1968983935252,-1305.2544731619282
276102.0,3713.0,276102.0,11580.0,276102.0,26170.0,-873.4248898793402,-821.6450644912771,-1320.5736412773622
276102.0,3686.0,276102.0,11553.0,276102.0,26159.0,-884.9629195905982,-833.8751952588661,-1335.7991533632348
276102.0,3633.0,276102.0,11606.0,276102.0,26157.0,-896.5491914855598,-845.8656815737824,-1350.9022517932517
276102.0,3556.0,276102.0,11673.0,276102.0,26216.0,-908.1548692146428,-857.5963462576641,-1365.8536433335782
276102.0,3533.0,276102.0,11649.0,276102.0,26188.0,-919.7486881710771,-869.0473456485321,-1380.6229030977595
276113.0,3515.0,276113.0,11656.0,276113.0,26160.0,-931.2983538378004,-880.1978976290419,-1395.1777946594134
276113.0,3477.0,276113.0,11571.0,276113.0,26155.0,-942.7715319493008,-891.0257838640155,-1409.4840941872953
276113.0,3457.0,276113.0,11521.0,276113.0,26093.0,-954.1365164901017,-901.5078677458247,-1423.5059317859798
276113.0,3442.0,276113.0,11535.0,276113.0,26098.0,-965.3628376202448,-911.6212604415637,-1437.2063637733395
276113.0,3454.0,276113.0,11498.0,276113.0,26092.0,-976.4217113795044,-921.3443404537325,-1450.5479402679314
276113.0,3536.0,276113.0,11572.0,276113.0,26138.0,-987.2859678794277,-930.6570992293218,-1463.4928685743494
276123.0,3594.0,276123.0,11580.0,276123.0,26101.0,-997.9290622668419,-939.5407649396093,-1476.0026420298868
276123.0,3615.0,276123.0,11546.0,276123.0,26079.0,-1008.3232826782514,-947.9769944709709,-1488.0376455095814
276123.0,3569.0,276123.0,11536.0,276123.0,26078.0,-1018.4380707837541,-955.9473769433612,-1499.5572204782018
276123.0,3526.0,276123.0,11639.0,276123.0,26123.0,-1028.2393887683586,-963.4333485164909,-1510.5198670722739
276123.0,3492.0,276123.0,11610.0,276123.0,26090.0,-1037.6902146946784,-970.4156569802464,-1520.883040143061
276123.0,3440.0,276123.0,11609.0,276123.0,26103.0,-1046.7515926054496,-976.8733726881228,-1530.6027429715566
276134.0,3415.0,276134.0,11589.0,276134.0,26095.0,-1055.3837872578001,-982.7833672546243,-1539.6333429875272
276134.0,3395.0,276134.0,11501.0,276134.0,26054.0,-1063.5473625946518,-988.1206006812829,-1547.9276250796056
276134.0,3380.0,276134.0,11486.0,276134.0,26026.0,-1071.2040233220544,-992.859100277148,-1555.437148725218
276134.0,3369.0,276134.0,11496.0,276134.0,26038.0,-1078.3171803775629,-996.9732395665577,-1562.112920575425
276134.0,3409.0,276134.0,11543.0,276134.0,26036.0,-1084.8522415163002,-1000.4384619742917,-1567.9059489494207
276134.0,3500.0,276134.0,11564.0,276134.0,26046.0,-1090.7763043979828,-1003.231021077206,-1572.7673903961374
276144.0,3575.0,276144.0,11532.0,276144.0,26007.0,-1096.056826294257,-1005.3272603334176,-1576.6485469105078
276144.0,3536.0,276144.0,11461.0,276144.0,26018.0,-1100.6596337418027,-1006.7033882536384,-1579.5010755983503
276144.0,3498.0,276144.0,11541.0,276144.0,26034.0,-1104.5475522032239,-1007.3360654780759,-1581.2773415266795
276144.0,3449.0,276144.0,11617.0,276144.0,26050.0,-1107.6804825309314,-1007.2027562374886,-1581.93052878483
276144.0,3400.0,276144.0,11576.0,276144.0,26057.0,-1110.0165328335227,-1006.2809626097566,-1581.4144384365738
276144.0,3379.0,276144.0,11566.0,276144.0,26028.0,-1111.5134744395684,-1004.5472732134872,-1579.683326999595
276154.0,3347.0,276154.0,11513.0,276154.0,26045.0,-1112.1301064041782,-1001.9774210634084,-1576.6920803805979
276154.0,3338.0,276154.0,11479.0,276154.0,26020.0,-1111.8273720500708,-998.547256226353,-1572.3966498600473
276154.0,3321.0,276154.0,11486.0,276154.0,26043.0,-1110.5692409966393,-994.2340168141753,-1566.7545228944232
276154.0,3345.0,276154.0,11508.0,276154.0,26050.0,-1108.323355898867,-989.0173202915483,-1559.725090511604
276154.0,3430.0,276154.0,11539.0,276154.0,26032.0,-1105.0611880371143,-982.879479169392,-1551.2699025439383
276154.0,3534.0,276154.0,11556.0,276154.0,26006.0,-1100.7572130618742,-975.8052489907731,-1541.35307710723
276165.0,3533.0,276165.0,11515.0,276165.0,26048.0,-1095.3871219915225,-967.7815232021874,-1529.94201935778
276165.0,3497.0,276165.0,11564.0,276165.0,26087.0,-1088.9261793266123,-958.7974125242548,-1517.00797509959
276165.0,3468.0,276165.0,11644.0,276165.0,26142.0,-1081.3488826001865,-948.8443631871214,-1502.5259143544838
276165.0,3426.0,276165.0,11656.0,276165.0,26197.0,-1072.6298634543214,-937.9155979856524,-1486.4738368867556
