c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138808.0,13900.0,138808.0,48392.0,138808.0,71357.0,-169.11251277074732,-249.93670561249706,-415.25098743077075
138808.0,13889.0,138808.0,48375.0,138808.0,71343.0,-174.61792256787157,-255.2106238181203,-423.12123101518534
138808.0,13894.0,138808.0,48368.0,138808.0,71326.0,-180.27494658013597,-260.6298446901272,-431.20960889957746
138808.0,13883.0,138808.0,48407.0,138808.0,71329.0,-186.07971411265666,-266.18874554172135,-439.5128275997952
138818.0,13877.0,138818.0,48377.0,138818.0,71344.0,-192.02825839596395,-271.8814351691525,-448.0277518412583
138818.0,13862.0,138818.0,48312.0,138818.0,71310.0,-198.1165494455872,-277.70160487848244,-456.75127774403245
138818.0,13860.0,138818.0,48337.0,138818.0,71316.0,-204.34060531561778,-283.64292166256644,-465.68021343548884
138818.0,13855.0,138818.0,48334.0,138818.0,71288.0,-210.6966009263876,-289.6996358854025,-474.81135539604435
138818.0,13840.0,138818.0,48318.0,138818.0,71290.0,-217.18092197677416,-295.86676822518376,-484.1416594528791
138818.0,13841.0,138818.0,48355.0,138818.0,71290.0,-223.79021263260412,-302.13997319619904,-493.6683547438073
138829.0,13827.0,138829.0,48336.0,138829.0,71271.0,-230.52143936768812,-308.5152858297794,-503.3889359873484
138829.0,13837.0,138829.0,48297.0,138829.0,71266.0,-237.3719164247488,-314.98887712772284,-513.3011252143127
138829.0,13836.0,138829.0,48306.0,138829.0,71275.0,-244.3392282350847,-321.5571482832562,-523.4028718464264
138829.0,13821.0,138829.0,48310.0,138829.0,71253.0,-251.42106305066181,-328.21703225031604,-533.6922839382119
138829.0,13830.0,138829.0,48372.0,138829.0,71276.0,-258.61507726760084,-334.96590780293207,-544.1674683867656
138829.0,13825.0,138829.0,48326.0,138829.0,71259.0,-265.91880063611654,-341.8009723831496,-554.8263165985293
138839.0,13793.0,138839.0,48274.0,138839.0,71242.0,-273.3295500546228,-348.71873760594036,-565.6662842446375
138839.0,13785.0,138839.0,48296.0,138839.0,71239.0,-280.8445139251378,-355.7152728435013,-576.6843210002393
138839.0,13787.0,138839.0,48271.0,138839.0,71207.0,-288.46101120240564,-362.7867720190504,-587.876972610093
138839.0,13782.0,138839.0,48254.0,138839.0,71203.0,-296.1766358334734,-369.9298507822284,-599.2405663327932
138839.0,13777.0,138839.0,48325.0,138839.0,71218.0,-303.9891935812916,-377.14158227808025,-610.7713645194847
138839.0,13771.0,138839.0,48251.0,138839.0,71212.0,-311.89659320704135,-384.41924530947006,-622.4654678815451
138849.0,13778.0,138849.0,48290.0,138849.0,71168.0,-319.8967527944303,-391.75997724252124,-634.3185616583943
138849.0,13768.0,138849.0,48253.0,138849.0,71163.0,-327.9874585499117,-399.16069601411016,-646.3259297913673
138849.0,13756.0,138849.0,48253.0,138849.0,71178.0,-336.1662125745038,-406.61818407800905,-658.4827008145559
138849.0,13757.0,138849.0,48272.0,138849.0,71207.0,-344.4301708659567,-414.1291340403553,-670.7837751619143
138849.0,13758.0,138849.0,48236.0,138849.0,71168.0,-352.7761088976805,-421.69008728069457,-683.223290364525
138849.0,13734.0,138849.0,48244.0,138849.0,71157.0,-361.20032784725305,-429.297350660952,-695.7941646386271
138860.0,13722.0,138860.0,48227.0,138860.0,71147.0,-369.6986351441101,-436.9470452360914,-708.4880792785704
138860.0,13716.0,138860.0,48202.0,138860.0,71118.0,-378.2664905225398,-444.6352445858995,-721.295669379879
138860.0,13701.0,138860.0,48219.0,138860.0,71119.0,-386.8991760534087,-452.35815027403623,-734.2067025729566
138860.0,13700.0,138860.0,48230.0,138860.0,71132.0,-395.5918891130082,-460.11214873183826,-747.2101529751569
