c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
422.0,13032.0,422.0,24084.0,422.0,23795.0,-230.00857468482877,-145.27164893237187,-240.18699855477806
422.0,13024.0,422.0,24063.0,422.0,23818.0,-237.07540135084508,-150.12414879063155,-244.50948081496892
422.0,13038.0,422.0,24095.0,422.0,23815.0,-244.27750088662094,-155.0015881890178,-248.93125935840865
422.0,13049.0,422.0,24113.0,422.0,23839.0,-251.61039009576882,-159.89890534728423,-253.45414923126899
422.0,13045.0,422.0,24148.0,422.0,23859.0,-259.0689643686193,-164.81060400404328,-258.07866330760083
422.0,13025.0,422.0,24099.0,422.0,23813.0,-266.64714601511145,-169.7299970186903,-262.80352658936135
432.0,13001.0,432.0,24078.0,432.0,23796.0,-274.33782821147304,-174.64887253116336,-267.6255455516192
432.0,12967.0,432.0,24014.0,432.0,23762.0,-282.13318963506487,-179.55793097807364,-272.54005315910854
432.0,12971.0,432.0,24015.0,432.0,23771.0,-290.02521811584796,-184.4477443081364,-277.5415916912936
432.0,12942.0,432.0,23994.0,432.0,23755.0,-298.00617641998815,-189.30969937691358,-282.6244004426351
432.0,12945.0,432.0,24007.0,432.0,23759.0,-306.0688950661313,-194.13655344907139,-287.7826194231852
432.0,12953.0,432.0,24043.0,432.0,23768.0,-314.20690658559465,-198.9224968450215,-293.0103084034595
442.0,12966.0,442.0,24015.0,442.0,23761.0,-322.4143283657735,-203.66279379468097,-298.30132803734097
442.0,12954.0,442.0,24026.0,442.0,23758.0,-330.6855003587071,-208.3533538160664,-303.64916825206495
442.0,12958.0,442.0,24055.0,442.0,23787.0,-339.01462474259404,-212.99047459933948,-309.04679088815914
442.0,12978.0,442.0,24093.0,442.0,23811.0,-347.3954947441174,-217.57042059762864,-314.48629252641365
442.0,12961.0,442.0,24105.0,442.0,23802.0,-355.82116508291983,-222.0885784167895,-319.9582845254549
442.0,12942.0,442.0,24041.0,442.0,23768.0,-364.28365126329095,-226.53864447157173,-325.4513831334108
453.0,12907.0,453.0,24011.0,453.0,23728.0,-372.7739635215625,-230.91256753214876,-330.95228960282043
453.0,12893.0,453.0,23977.0,453.0,23714.0,-381.2825181844256,-235.2013414796694,-336.44644650914483
453.0,12878.0,453.0,23951.0,453.0,23704.0,-389.7996656643728,-239.39607176273518,-341.9188173825335
453.0,12868.0,453.0,23964.0,453.0,23710.0,-398.3160945727925,-243.4888281160277,-347.35438536992
