c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35175,7204,35175,59580,35175.0,99285.0,214.10398292270017,196.71176511487855,272.12719113840353
35175,7191,35175,59615,35175.0,99278.0,210.99234285038173,197.2768553904502,267.98778572520587
35175,7196,35175,59611,35175.0,99279.0,207.81215707890308,197.79408303082943,263.8477125354868
35175,7185,35175,59595,35175.0,99268.0,204.57552554713703,198.26707393502042,259.72577786241146
35185,7170,35185,59582,35185.0,99240.0,201.29486816087513,198.70111456438437,255.64109456591572
35185,7149,35185,59534,35185.0,99210.0,197.9827880708021,199.10280500367966,251.6128351933017
35185,7145,35185,59545,35185.0,99212.0,194.6517805901098,199.47940968398748,247.6597450974027
35185,7150,35185,59586,35185.0,99231.0,191.31396138554888,199.8383224462213,243.79976099075478
35185,7149,35185,59589,35185.0,99222.0,187.98100579227463,200.18713747720474,240.05004598318123
35185,7149,35185,59617,35185.0,99186.0,184.66427659908578,200.5342348098302,236.42720172287358
35195,7124,35195,59546,35195.0,99185.0,181.374943623443,200.88926897220512,232.94719162804535
35195,7111,35195,59483,35195.0,99149.0,178.12390650064788,201.26292910985603,229.62495241013255
35195,7101,35195,59514,35195.0,99160.0,174.9215122306188,201.66587718053887,226.4739625286776
35195,7110,35195,59558,35195.0,99165.0,171.77727962142455,202.1078190794113,223.505977564366
35195,7110,35195,59545,35195.0,99174.0,168.69984076278115,202.59757046057737,220.73107778304794
35195,7097,35195,59533,35195.0,99141.0,165.6970607705187,203.1435968467025,218.1578939423993
35206,7084,35206,59500,35206.0,99116.0,162.7761007696442,203.75412111189306,215.79359817455872
35206,7078,35206,59469,35206.0,99117.0,159.9433004130089,204.43664021195647,213.6435159797016
35206,7077,35206,59510,35206.0,99153.0,157.2040011264314,205.19723945305412,211.71077800989218
35206,7096,35206,59528,35206.0,99153.0,154.5625061756997,206.04029701100737,209.99647085460836
35206,7098,35206,59538,35206.0,99166.0,152.02228261431145,206.96883147038432,208.500167323999
35206,7076,35206,59515,35206.0,99129.0,149.58627140351217,207.98502273541808,207.220352518835
35216,7063,35216,59459,35216.0,99122.0,147.25698381713116,209.09025862016813,206.15443606544136
35216,7059,35216,59476,35216.0,99115.0,145.03629701375007,210.2845471725414,205.29842543973143
35216,7069,35216,59502,35216.0,99145.0,142.92522796782896,211.56585121377037,204.64665306541764
35216,7075,35216,59520,35216.0,99134.0,140.9239427115733,212.93002911416906,204.19185480321568
35216,7064,35216,59543,35216.0,99151.0,139.03195633151813,214.37135151502258,203.92547656458612
35216,7062,35216,59531,35216.0,99140.0,137.24829300762696,215.8831084320917,203.8379461971965
35227,7053,35227,59482,35227.0,99127.0,135.5714907554433,217.45786979515967,203.91879151411203
35227,7042,35227,59482,35227.0,99132.0,133.99950554138016,219.0871426247769,204.15657644072041
35227,7048,35227,59551,35227.0,99142.0,132.52958362443997,220.76083994999163,204.53879322931058
35227,7059,35227,59574,35227.0,99163.0,131.15821551857778,222.46743801285723,205.05195800302323
35227,7053,35227,59567,35227.0,99149.0,129.88126880186098,224.19485850879133,205.6819221729307
35227,7044,35227,59534,35227.0,99130.0,128.6941683417391,225.93115341147168,206.41409660194535
35237,7030,35237,59509,35237.0,99129.0,127.59190752955186,227.66439779204828,207.23334207625962
35237,7037,35237,59528,35237.0,99115.0,126.56889471814978,229.38208445657241,208.12365404987887
35237,7048,35237,59560,35237.0,99161.0,125.61885560939126,231.07072706864636,209.06796797114816
35237,7051,35237,59598,35237.0,99183.0,124.73495771630147,232.71612750019773,210.04837712438984
35237,7042,35237,59575,35237.0,99189.0,123.91005186697444,234.304099399992,211.04678174633713
35237,7030,35237,59529,35237.0,99151.0,123.13678609789687,235.82091989284072,212.04548631977536
35247,7026,35247,59541,35247.0,99132.0,122.40750716928889,237.25304845577648,213.02721136073228
35247,7036,35247,59562,35247.0,99169.0,121.71410374202844,238.58657482284676,213.97465990546016
35247,7046,35247,59603,35247.0,99179.0,121.04801002492869,239.80717751362673,214.8703252968536
35247,7051,35247,59590,35247.0,99177.0,120.40042681709062,240.900670335828,215.69680188921535
35247,7046,35247,59590,35247.0,99161.0,119.76261046353378,241.8535747255221,216.43713580263307
35247,7029,35247,59537,35247.0,99149.0,119.1260235850319,242.65321851886446,217.07482166078586
35258,7024,35258,59528,35258.0,99149.0,118.4822507235346,243.28726040325134,217.5935369254131
35258,7035,35258,59543,35258.0,99150.0,117.82280667268321,243.74297639894638,217.97688958784659
35258,7043,35258,59599,35258.0,99184.0,117.13909680150931,244.00696041323008,218.20839426003494
35258,7040,35258,59598,35258.0,99186.0,116.42259845099673,244.06558735910656,218.27177230853084
35258,7034,35258,59587,35258.0,99167.0,115.66506535438478,243.90578190654708,218.15138835334935
35258,7020,35258,59547,35258.0,99148.0,114.85856714784106,243.51534249932422,217.8324027193646
35268,7018,35268,59553,35268.0,99157.0,113.9953581651952,242.8826308256843,217.30053915626235
