c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207403.0,17227.0,207403.0,29834.0,207403.0,19499.0,-93.91511347621886,-81.0804836988466,-74.97571820497373
207403.0,17235.0,207403.0,29820.0,207403.0,19515.0,-91.11110131235449,-74.8504673049626,-68.55767790284986
207403.0,17237.0,207403.0,29835.0,207403.0,19520.0,-88.18526341913054,-68.42039475620551,-61.926837631996534
207403.0,17244.0,207403.0,29880.0,207403.0,19532.0,-85.13860090159318,-61.79944087551516,-55.091683046458485
207403.0,17261.0,207403.0,29888.0,207403.0,19547.0,-81.97199687004547,-54.99753232098293,-48.06110869095562
207403.0,17255.0,207403.0,29878.0,207403.0,19534.0,-78.68608708538238,-48.024897335347475,-40.844341792170596
207414.0,17239.0,207414.0,29872.0,207414.0,19530.0,-75.28119112290375,-40.89190667310214,-33.451009942806934
207414.0,17239.0,207414.0,29854.0,207414.0,19523.0,-71.75748414393215,-33.60936929568702,-25.891449515187617
207414.0,17250.0,207414.0,29897.0,207414.0,19560.0,-68.11530807602628,-26.188978937676296,-18.17706628240819
207414.0,17267.0,207414.0,29908.0,207414.0,19572.0,-64.35531863474802,-18.64348620814873,-10.320416018053933
207414.0,17266.0,207414.0,29940.0,207414.0,19582.0,-60.47838115332735,-10.98644001975262,-2.3349682762313364
207414.0,17262.0,207414.0,29939.0,207414.0,19596.0,-56.48542768877921,-3.2317488749799566,5.76516373334087
207424.0,17264.0,207424.0,29925.0,207424.0,19588.0,-52.377477748052826,4.606580227295609,13.965339403569033
207424.0,17270.0,207424.0,29919.0,207424.0,19614.0,-48.15577605775388,12.51431524702889,22.250375838345462
207424.0,17281.0,207424.0,29969.0,207424.0,19624.0,-43.8218793738811,20.476665486079924,30.604533827157184
207424.0,17293.0,207424.0,29998.0,207424.0,19644.0,-39.3776133645476,28.47828169505351,39.011634695726684
207424.0,17292.0,207424.0,30001.0,207424.0,19658.0,-34.82494606023704,36.50375025640403,47.455280209576244
207424.0,17297.0,207424.0,29972.0,207424.0,19653.0,-30.165897212150227,44.53802541529922,55.919044511208114
207434.0,17290.0,207434.0,29974.0,207434.0,19666.0,-25.402566467313605,52.56629210172679,64.38652326856268
207434.0,17307.0,207434.0,29998.0,207434.0,19671.0,-20.537243866980205,60.57348244158945,72.84125270916135
207434.0,17292.0,207434.0,30010.0,207434.0,19691.0,-15.572517602186934,68.54401105846512,81.2666468036671
207434.0,17309.0,207434.0,30053.0,207434.0,19713.0,-10.511372878461273,76.46193000575633,89.6460705088013
207434.0,17307.0,207434.0,30062.0,207434.0,19716.0,-5.35729192195258,84.31136217311166,97.96304555911811
207434.0,17310.0,207434.0,30042.0,207434.0,19722.0,-0.11432264849715068,92.07692631151659,106.20143958980057
207445.0,17312.0,207445.0,30059.0,207445.0,19729.0,5.21285173993391,99.74381825047396,114.34549948651397
207445.0,17332.0,207445.0,30054.0,207445.0,19746.0,10.618840340707038,107.297585231569,122.37980233841495
207445.0,17343.0,207445.0,30089.0,207445.0,19758.0,16.09758684657541,114.72395203782074,130.2892783076208
207445.0,17359.0,207445.0,30099.0,207445.0,19766.0,21.642567201064367,122.00889771349611,138.05932412845291
207445.0,17351.0,207445.0,30094.0,207445.0,19770.0,27.24701126635091,129.1388861984535,145.67590249101374
207445.0,17356.0,207445.0,30104.0,207445.0,19777.0,32.90397872108433,136.10098622309488,153.12555088052744
207455.0,17357.0,207455.0,30094.0,207455.0,19777.0,38.606261075266644,142.88277364489312,160.39531449371475
207455.0,17376.0,207455.0,30134.0,207455.0,19817.0,44.346259783438995,149.47218866241013,167.4727048553163
207455.0,17387.0,207455.0,30149.0,207455.0,19826.0,50.116000564992376,155.85760127532228,174.34585657064082
207455.0,17403.0,207455.0,30169.0,207455.0,19817.0,55.907304415420754,162.02816632871225,181.0038380954075
207455.0,17393.0,207455.0,30157.0,207455.0,19834.0,61.71198604783257,167.97422162169653,187.43680930008037
207455.0,17395.0,207455.0,30140.0,207455.0,19833.0,67.52189789395337,173.68738337258867,193.63597154101438
207465.0,17397.0,207465.0,30151.0,207465.0,19840.0,73.32877945574245,179.160266499488,199.59350281059227
207465.0,17421.0,207465.0,30184.0,207465.0,19856.0,79.12409643187581,184.38617402268926,205.30253896425472
207465.0,17434.0,207465.0,30187.0,207465.0,19864.0,84.89908035513545,189.35914640861068,210.75722353961936
207465.0,17448.0,207465.0,30192.0,207465.0,19859.0,90.64497306477159,194.074263815826,215.95281222413388
207465.0,17442.0,207465.0,30187.0,207465.0,19854.0,96.35328404282086,198.52782299967868,220.8856722874475
207465.0,17437.0,207465.0,30175.0,207465.0,19859.0,102.01585650070416,202.71725344440534,225.55310630338425
207476.0,17446.0,207476.0,30170.0,207476.0,19871.0,107.62471415897406,206.6408335561125,229.95315813171032
207476.0,17463.0,207476.0,30200.0,207476.0,19870.0,113.17189135802687,210.29738104356306,234.08455302869868
207476.0,17484.0,207476.0,30232.0,207476.0,19878.0,118.64947544015635,213.68624741202268,237.9467254065196
207476.0,17488.0,207476.0,30217.0,207476.0,19889.0,124.04986166105726,216.807709699606,241.53985333484843
207476.0,17474.0,207476.0,30194.0,207476.0,19885.0,129.3659780393215,219.66329604344747,244.86491396923986
207476.0,17472.0,207476.0,30187.0,207476.0,19882.0,134.5912334955669,222.25560389496462,247.92371133149368
207486.0,17497.0,207486.0,30199.0,207486.0,19877.0,139.719272483808,224.58782130339836,250.71877724914265
207486.0,17506.0,207486.0,30222.0,207486.0,19891.0,144.74388441011095,226.6634672364608,253.25320003808912
207486.0,17518.0,207486.0,30228.0,207486.0,19893.0,149.659181374206,228.4865390440885,255.53054476986085
207486.0,17510.0,207486.0,30219.0,207486.0,19894.0,154.45981170706705,230.0618200579102,257.5548994283953
207486.0,17513.0,207486.0,30210.0,207486.0,19900.0,159.14099902743644,231.39499506826456,259.33093553728366
207486.0,17514.0,207486.0,30192.0,207486.0,19893.0,163.69841913292967,232.4924581716587,260.86392038997934
207496.0,17526.0,207496.0,30220.0,207496.0,19898.0,168.12806463725488,233.360992917845,262.15968477959063
207496.0,17534.0,207496.0,30225.0,207496.0,19909.0,172.42621891875086,234.00764632424892,263.22458855668316
207496.0,17543.0,207496.0,30225.0,207496.0,19892.0,176.5895435586198,234.43989974952171,264.06553644378556
207496.0,17538.0,207496.0,30214.0,207496.0,19897.0,180.61518629820702,234.66585914860036,264.68996295292254
207496.0,17542.0,207496.0,30209.0,207496.0,19893.0,184.50080034246824,234.69422162012518,265.10571737755265
207496.0,17549.0,207496.0,30185.0,207496.0,19893.0,188.2444771261928,234.53403822192223,265.3209437347374
207507.0,17553.0,207507.0,30208.0,207507.0,19890.0,191.84469987699114,234.19439824695763,265.344005998504
207507.0,17558.0,207507.0,30216.0,207507.0,19891.0,195.30036053622882,233.6842653745519,265.18342395949935
207507.0,17563.0,207507.0,30216.0,207507.0,19891.0,198.61079556593356,233.01261111237415,264.84782348921107
207507.0,17554.0,207507.0,30197.0,207507.0,19888.0,201.77579210883704,232.18861048778444,264.3459110526833
