c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379725,21902,379725.0,40210.0,379725.0,36189.0,-175.84268134831598,-219.75354860109138,-181.0442390489599
379725,21850,379725.0,40182.0,379725.0,36166.0,-184.2928977338113,-221.26239376839538,-186.36391369124743
379735,21838,379735.0,40113.0,379735.0,36168.0,-192.97020870487862,-222.9941542454364,-191.89876525414604
379735,21786,379735.0,40059.0,379735.0,36127.0,-201.85924136727056,-224.94229846541054,-197.642024555521
379735,21820,379735.0,40100.0,379735.0,36116.0,-210.94569392401672,-227.10157607034677,-203.58692050103133
379735,21829,379735.0,40136.0,379735.0,36126.0,-220.21662355593836,-229.46885864839066,-209.7271121602836
379735,21825,379735.0,40178.0,379735.0,36147.0,-229.66015535727115,-232.042810033314,-216.05685528795107
379735,21813,379735.0,40190.0,379735.0,36137.0,-239.26499523015525,-234.82282339188254,-222.5707254059643
379746,21830,379746.0,40216.0,379746.0,36153.0,-249.0201296105409,-237.80794154959742,-229.26316881273044
379746,21832,379746.0,40317.0,379746.0,36171.0,-258.9145687132793,-240.995831420582,-236.12807800077812
379746,21819,379746.0,40255.0,379746.0,36163.0,-268.93697580838176,-244.38153534079217,-243.15831072066422
379746,21784,379746.0,40181.0,379746.0,36110.0,-279.0754216875055,-247.95659639201511,-250.3453330054844
379746,21761,379746.0,40126.0,379746.0,36069.0,-289.31753384427486,-251.70957986033187,-257.6794437493188
379746,21747,379746.0,40068.0,379746.0,36051.0,-299.6509456383745,-255.62775432017747,-265.1506033721852
379756,21693,379756.0,40025.0,379756.0,36023.0,-310.06381311095674,-259.6989572611744,-272.74936296927297
379756,21680,379756.0,40011.0,379756.0,35977.0,-320.54540793830586,-263.9131822104913,-280.46762105384033
379756,21697,379756.0,40060.0,379756.0,36006.0,-331.08670392586885,-268.2636023757883,-288.2992810399057
379756,21708,379756.0,40079.0,379756.0,36054.0,-341.6805384740211,-272.7466729195778,-296.2405122311623
379756,21709,379756.0,40135.0,379756.0,36046.0,-352.32122585926123,-277.36136672340757,-304.2892219102001
379756,21708,379756.0,40136.0,379756.0,36070.0,-363.0040010016395,-282.10801326696003,-312.4441110209558
379766,21733,379766.0,40238.0,379766.0,36086.0,-373.72453473213744,-286.98704018129666,-320.70385790287196
379766,21718,379766.0,40246.0,379766.0,36098.0,-384.4784357265478,-291.9975122520593,-329.06639775182543
379766,21709,379766.0,40171.0,379766.0,36044.0,-395.2607837755839,-297.1357390577568,-337.5283160748275
379766,21650,379766.0,40086.0,379766.0,35999.0,-406.065994048936,-302.3950056440732,-346.0848034525611
379766,21637,379766.0,40046.0,379766.0,35967.0,-416.88819060059825,-307.7668533584521,-354.7303579008687
379766,21625,379766.0,40015.0,379766.0,35949.0,-427.72184442200404,-313.2429578761107,-363.45978368873256
379777,21596,379777.0,39972.0,379777.0,35899.0,-438.56227148220523,-318.81665756662073,-372.26904155912825
379777,21580,379777.0,39979.0,379777.0,35932.0,-449.4059585465748,-324.48402114115584,-381.15589384239246
379777,21598,379777.0,40045.0,379777.0,35951.0,-460.2508201291361,-330.24436978185736,-390.12015232975625
379777,21610,379777.0,40093.0,379777.0,35952.0,-471.0961701516752,-336.09982686968453,-399.16329624850437
379777,21610,379777.0,40074.0,379777.0,35935.0,-481.94228290784446,-342.05404914008795,-408.2878327114639
379777,21616,379777.0,40123.0,379777.0,35982.0,-492.78981049006927,-348.1109992910882,-417.496834698345
379787,21618,379787.0,40195.0,379787.0,36039.0,-503.63928535814773,-354.27395826677025,-426.79333067803145
379787,21604,379787.0,40161.0,379787.0,35973.0,-514.4907242256812,-360.5443156981896,-436.1792644862012
379787,21562,379787.0,40098.0,379787.0,35945.0,-525.343442533313,-366.9205795811662,-445.654768075119
379787,21553,379787.0,40025.0,379787.0,35899.0,-536.1962434307102,-373.39860082250243,-455.21844323719773
379787,21524,379787.0,39996.0,379787.0,35873.0,-547.0478578402706,-379.972949963361,-464.86825969393374
379787,21503,379787.0,39937.0,379787.0,35840.0,-557.8973887419213,-386.63856587937136,-474.602462468702
379797,21474,379797.0,39890.0,379797.0,35805.0,-568.7447394754347,-393.3922253195142,-484.42036312363416
379797,21490,379797.0,39967.0,379797.0,35835.0,-579.5910139397993,-400.2336897393649,-494.3229724057282
379797,21514,379797.0,39983.0,379797.0,35872.0,-590.4386094146512,-407.1659770422874,-504.31313028317857
379797,21493,379797.0,40025.0,379797.0,35859.0,-601.2908380461532,-414.19452955170857,-514.3949188234926
379797,21480,379797.0,40064.0,379797.0,35875.0,-612.151451310354,-421.32588726368124,-524.5728111390752
