c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207477.0,14380.0,207477.0,15913.0,207477.0,38183.0,-141.3632911484289,-129.2678737556813,-275.08375421883994
207477.0,14387.0,207477.0,15951.0,207477.0,38177.0,-145.81263414157445,-130.5060249257384,-279.6899384632438
207477.0,14400.0,207477.0,15943.0,207477.0,38201.0,-150.42094104463382,-131.81529198163565,-284.4430731334251
207477.0,14371.0,207477.0,15939.0,207477.0,38183.0,-155.18782904905544,-133.20119201304564,-289.34612221623337
207477.0,14359.0,207477.0,15908.0,207477.0,38180.0,-160.1122092293407,-134.66834252555157,-294.40169735094304
207477.0,14357.0,207477.0,15906.0,207477.0,38151.0,-165.19250048783582,-136.22073547800952,-299.61207680044026
207487.0,14348.0,207487.0,15911.0,207487.0,38163.0,-170.42689321514354,-137.86214841964005,-304.97944432019005
207487.0,14352.0,207487.0,15933.0,207487.0,38169.0,-175.81346439028067,-139.59632022919666,-310.50608274161686
207487.0,14347.0,207487.0,15930.0,207487.0,38169.0,-181.35017048554377,-141.42677193221056,-316.1943056592333
207487.0,14353.0,207487.0,15916.0,207487.0,38153.0,-187.03476478376493,-143.356527464403,-322.0462586888376
207487.0,14333.0,207487.0,15924.0,207487.0,38134.0,-192.86469179178837,-145.38802770837518,-328.0638897326231
207487.0,14311.0,207487.0,15903.0,207487.0,38121.0,-198.83710453138295,-147.52322354078234,-334.24918127191313
207498.0,14323.0,207498.0,15903.0,207498.0,38149.0,-204.94906954861,-149.7637304342676,-340.60442403637103
207498.0,14334.0,207498.0,15924.0,207498.0,38162.0,-211.1977067676835,-152.11096359996608,-347.1321677138642
207498.0,14320.0,207498.0,15910.0,207498.0,38154.0,-217.58003965096827,-154.5661058853602,-353.8347899395508
207498.0,14312.0,207498.0,15890.0,207498.0,38123.0,-224.0927722971619,-157.13000147210988,-360.7141145366888
207498.0,14284.0,207498.0,15888.0,207498.0,38118.0,-230.7322971331327,-159.8032707975858,-367.77145129910025
207498.0,14287.0,207498.0,15895.0,207498.0,38096.0,-237.49492925861637,-162.58657179346102,-375.0079338090956
207508.0,14283.0,207508.0,15895.0,207508.0,38109.0,-244.37714494946837,-165.48069981370307,-382.42483144937347
207508.0,14279.0,207508.0,15892.0,207508.0,38121.0,-251.37564634899582,-168.48650396790742,-390.0236170068769
207508.0,14275.0,207508.0,15938.0,207508.0,38095.0,-258.48729698190203,-171.6047007832539,-397.805773635754
207508.0,14257.0,207508.0,15879.0,207508.0,38106.0,-265.7090759289792,-174.83557505163753,-405.7725920732332
207508.0,14255.0,207508.0,15865.0,207508.0,38078.0,-273.0381236181125,-178.17887949348741,-413.9251401963572
207508.0,14253.0,207508.0,15875.0,207508.0,38066.0,-280.47182468865884,-181.63420238275717,-422.2643704743977
207518.0,14237.0,207518.0,15875.0,207518.0,38069.0,-288.0078349300154,-185.20136196731463,-430.7913126634758
207518.0,14239.0,207518.0,15891.0,207518.0,38085.0,-295.64408071038656,-188.88040271357107,-439.5071594567824
207518.0,14233.0,207518.0,15885.0,207518.0,38073.0,-303.3787633508453,-192.67133908737048,-448.4130649451954
207518.0,14225.0,207518.0,15857.0,207518.0,38046.0,-311.2103239901595,-196.57395650000862,-457.5098825067823
207518.0,14217.0,207518.0,15868.0,207518.0,38023.0,-319.1374013783352,-200.58786572083065,-466.79821445253225
207518.0,14220.0,207518.0,15864.0,207518.0,38049.0,-327.1588170528435,-204.7126812449485,-476.278706616772
207529.0,14202.0,207529.0,15868.0,207529.0,38028.0,-335.27354342024137,-208.94805042532306,-485.95216491297117
207529.0,14210.0,207529.0,15865.0,207529.0,38040.0,-343.4806568053926,-213.29353945179332,-495.81938252751337
207529.0,14192.0,207529.0,15872.0,207529.0,38030.0,-351.77929573911535,-217.74849761196907,-505.8809043817622
207529.0,14182.0,207529.0,15848.0,207529.0,38023.0,-360.1686427280735,-222.31195044227405,-516.1368381197146
207529.0,14166.0,207529.0,15841.0,207529.0,37996.0,-368.647998340696,-226.98262500020965,-526.5867702927591
207529.0,14190.0,207529.0,15844.0,207529.0,38001.0,-377.2168808519905,-231.7591234780762,-537.2298484495083
207539.0,14178.0,207539.0,15867.0,207539.0,38006.0,-385.8749329080857,-236.63999628042768,-548.0648611743176
207539.0,14173.0,207539.0,15861.0,207539.0,38000.0,-394.6216493932334,-241.62351223841063,-559.0901015870091
207539.0,14157.0,207539.0,15845.0,207539.0,37960.0,-403.45619364381156,-246.70732231028256,-570.303164098185
207539.0,14130.0,207539.0,15815.0,207539.0,37962.0,-412.37744773498594,-251.88839930890498,-581.7009942225484
207539.0,14134.0,207539.0,15809.0,207539.0,37932.0,-421.3842361548651,-257.16335491774316,-593.2801591469381
207539.0,14129.0,207539.0,15823.0,207539.0,37945.0,-430.4755225517615,-262.52882850847527,-605.0370720173545
207549.0,14113.0,207549.0,15835.0,207549.0,37937.0,-439.6504338824307,-267.9815572881973,-616.9680223211233
207549.0,14118.0,207549.0,15843.0,207549.0,37949.0,-448.9082091318014,-273.5180590773183,-629.0689821226833
207549.0,14102.0,207549.0,15816.0,207549.0,37923.0,-458.2481616758669,-279.13422936007925,-641.3352935077862
207549.0,14092.0,207549.0,15799.0,207549.0,37928.0,-467.6696492414047,-284.82522306393537,-653.761435692971
207549.0,14093.0,207549.0,15804.0,207549.0,37922.0,-477.1720777929528,-290.58566977081665,-666.3409002854396
207549.0,14086.0,207549.0,15795.0,207549.0,37927.0,-486.754884727315,-296.4099068152352,-679.0660190475253
207560.0,14085.0,207560.0,15822.0,207560.0,37904.0,-496.4174325886639,-302.2919734282914,-691.9277140221777
207560.0,14078.0,207560.0,15788.0,207560.0,37888.0,-506.1588598688406,-308.2254065843149,-704.9153483564
207560.0,14071.0,207560.0,15780.0,207560.0,37861.0,-515.9779476027761,-314.2031078983258,-718.016811681657
207560.0,14052.0,207560.0,15742.0,207560.0,37861.0,-525.8730483336503,-320.21753677145284,-731.2187553973437
207560.0,14033.0,207560.0,15767.0,207560.0,37834.0,-535.8421462937481,-326.26112275407377,-744.5067940870233
207560.0,14038.0,207560.0,15794.0,207560.0,37852.0,-545.8830245683334,-332.3264400063456,-757.8655783806229
207570.0,14043.0,207570.0,15780.0,207570.0,37831.0,-555.9933328866698,-338.40587292137286,-771.2787113939357
207570.0,14043.0,207570.0,15783.0,207570.0,37826.0,-566.1703962376914,-344.4911050433955,-784.7285638816811
207570.0,14025.0,207570.0,15775.0,207570.0,37818.0,-576.4109040243245,-350.57284639417423,-798.1961282722989
207570.0,14011.0,207570.0,15748.0,207570.0,37776.0,-586.710746976185,-356.64080959890515,-811.6609951273439
207570.0,13993.0,207570.0,15730.0,207570.0,37793.0,-597.0650869253437,-362.68390070904707,-825.1014708531496
207570.0,14013.0,207570.0,15745.0,207570.0,37789.0,-607.4684875614417,-368.6905562452213,-838.4946653068437
207580.0,13994.0,207580.0,15770.0,207580.0,37774.0,-617.914867522954,-374.6488605227595,-851.8163375071482
207580.0,13978.0,207580.0,15737.0,207580.0,37773.0,-628.3973245693946,-380.5462655455673,-865.040649945709
207580.0,13961.0,207580.0,15713.0,207580.0,37734.0,-638.9081103044091,-386.3693570487384,-878.1400731065792
207580.0,13952.0,207580.0,15718.0,207580.0,37718.0,-649.4387981705286,-392.1040475552858,-891.0855159070311
207580.0,13967.0,207580.0,15716.0,207580.0,37713.0,-659.9804041421472,-397.73589129798665,-903.8466222358475
207580.0,13955.0,207580.0,15733.0,207580.0,37712.0,-670.5232721822235,-403.25011266831655,-916.3919754901391
207591.0,13950.0,207591.0,15741.0,207591.0,37698.0,-681.0568097500129,-408.6313344928491,-928.6890603103982
207591.0,13933.0,207591.0,15706.0,207591.0,37704.0,-691.5693084253381,-413.86323732102153,-940.7041120465528
207591.0,13913.0,207591.0,15694.0,207591.0,37684.0,-702.0479532030866,-418.9284942562312,-952.4019683354304
207591.0,13908.0,207591.0,15698.0,207591.0,37674.0,-712.4789702432403,-423.80904864083556,-963.7459744756122
207591.0,13901.0,207591.0,15684.0,207591.0,37665.0,-722.847777899726,-428.4863911209443,-974.6979963538505
207591.0,13910.0,207591.0,15718.0,207591.0,37652.0,-733.1389896927383,-432.94159787305796,-985.2184935383018
207601.0,13877.0,207601.0,15704.0,207601.0,37666.0,-743.3362838613945,-437.15512654271697,-995.2665424662667
207601.0,13874.0,207601.0,15679.0,207601.0,37641.0,-753.4223464134769,-441.10656073814573,-1004.7997543400734
207601.0,13857.0,207601.0,15663.0,207601.0,37595.0,-763.378987361977,-444.7746639338184,-1013.7742691647545
207601.0,13859.0,207601.0,15684.0,207601.0,37578.0,-773.1872789280503,-448.1377191585044,-1022.1451409714502
207601.0,13849.0,207601.0,15671.0,207601.0,37606.0,-782.8275807077206,-451.173724099851,-1029.8669314811568
207601.0,13850.0,207601.0,15660.0,207601.0,37599.0,-792.2794665793476,-453.8603674473095,-1036.893926777618
207612.0,13839.0,207612.0,15677.0,207612.0,37608.0,-801.5216126749546,-456.1750381241296,-1043.1798873880161
207612.0,13822.0,207612.0,15639.0,207612.0,37565.0,-810.5317260016385,-458.0949065797534,-1048.6777987046921
207612.0,13814.0,207612.0,15647.0,207612.0,37537.0,-819.286591303882,-459.5970829195614,-1053.3400340580354
207612.0,13798.0,207612.0,15638.0,207612.0,37558.0,-827.7622166493052,-460.6588870102,-1057.118895530854
207612.0,13799.0,207612.0,15669.0,207612.0,37566.0,-835.9339813478973,-461.2580188070932,-1059.9670180002618
207612.0,13816.0,207612.0,15645.0,207612.0,37551.0,-843.7766594842324,-461.3724758329175,-1061.8373424813724
207622.0,13788.0,207622.0,15631.0,207622.0,37549.0,-851.2642550993841,-460.98046946822444,-1062.6830104046342
207622.0,13787.0,207622.0,15632.0,207622.0,37530.0,-858.3698420921154,-460.0606240850633,-1062.4575041416276
207622.0,13779.0,207622.0,15611.0,207622.0,37515.0,-865.0655938389825,-458.59235853922235,-1061.115004935803
207622.0,13766.0,207622.0,15632.0,207622.0,37535.0,-871.3228961466443,-456.55622607452426,-1058.6108300997641
207622.0,13740.0,207622.0,15651.0,207622.0,37560.0,-877.1124978886155,-453.93406152083384,-1054.901675728801
207622.0,13764.0,207622.0,15636.0,207622.0,37529.0,-882.4047427464434,-450.70886962930547,-1049.9455469717818
207632.0,13751.0,207632.0,15659.0,207632.0,37515.0,-887.169698839796,-446.8646595273774,-1043.7017941423508
207632.0,13741.0,207632.0,15626.0,207632.0,37503.0,-891.3771062535723,-442.3864484522487,-1036.1316162451546
207632.0,13728.0,207632.0,15623.0,207632.0,37512.0,-894.9963943692652,-437.26049599006205,-1027.1987843066036
207632.0,13736.0,207632.0,15636.0,207632.0,37510.0,-897.9968610447564,-431.47472477905364,-1016.8702113658729
207632.0,13724.0,207632.0,15671.0,207632.0,37527.0,-900.3478284467171,-425.0190002731381,-1005.1163115992957
207632.0,13712.0,207632.0,15659.0,207632.0,37544.0,-902.0187441458366,-417.8850250827401,-991.9112103510552
207643.0,13710.0,207643.0,15644.0,207643.0,37516.0,-902.9793620288597,-410.06618415574314,-977.2329072062041
207643.0,13699.0,207643.0,15649.0,207643.0,37517.0,-903.2000019878526,-401.55775592720704,-961.0636600665086
207643.0,13691.0,207643.0,15661.0,207643.0,37546.0,-902.6518185299876,-392.35734191651864,-943.3906334291124
207643.0,13716.0,207643.0,15679.0,207643.0,37580.0,-901.3070306933523,-382.46512636512244,-924.2063702608334
207643.0,13710.0,207643.0,15662.0,207643.0,37599.0,-899.138988727133,-371.8839396783412,-903.5088187197327
207643.0,13715.0,207643.0,15725.0,207643.0,37612.0,-896.1220885507182,-360.6192956535426,-881.3011952557742
207653.0,13705.0,207653.0,15706.0,207653.0,37634.0,-892.231757460981,-348.6793315709759,-857.5920119952143
207653.0,13687.0,207653.0,15697.0,207653.0,37636.0,-887.4446555974346,-336.0747137026282,-832.3953047266513
207653.0,13680.0,207653.0,15752.0,207653.0,37673.0,-881.7391040736975,-322.8187730804069,-805.7309701387726
207653.0,13711.0,207653.0,15753.0,207653.0,37743.0,-875.095572554045,-308.92763440089493,-777.6249831672106
207653.0,13715.0,207653.0,15793.0,207653.0,37758.0,-867.4969051977204,-294.4200320517845,-748.1092246460546
207653.0,13709.0,207653.0,15763.0,207653.0,37792.0,-858.928281549604,-279.3170899863171,-717.2211187680122
207663.0,13705.0,207663.0,15788.0,207663.0,37804.0,-849.3772832684037,-263.64241089392783,-685.0035366796164
207663.0,13726.0,207663.0,15825.0,207663.0,37847.0,-838.8341885905738,-247.42235862861827,-651.505007494609
207663.0,13738.0,207663.0,15850.0,207663.0,37902.0,-827.2922257719331,-230.68610612283274,-616.7799216555225
207663.0,13749.0,207663.0,15874.0,207663.0,37959.0,-814.7476340370915,-213.46535079264478,-580.8884376985438
207663.0,13766.0,207663.0,15910.0,207663.0,38022.0,-801.1996556979379,-195.79396766844386,-543.8960481598167
207663.0,13772.0,207663.0,15923.0,207663.0,38071.0,-786.650568840111,-177.70771255572848,-505.8729787399492
207674.0,13789.0,207674.0,15942.0,207674.0,38109.0,-771.1057727407061,-159.2440004400252,-466.89364526607216
207674.0,13801.0,207674.0,15968.0,207674.0,38163.0,-754.5739137967817,-140.44181869081197,-427.0363179595761
207674.0,13829.0,207674.0,16017.0,207674.0,38247.0,-737.066995121041,-121.34163826409588,-386.3828610836242
207674.0,13872.0,207674.0,16037.0,207674.0,38306.0,-718.6003521450239,-101.98512129402224,-345.01823176187133
207674.0,13872.0,207674.0,16066.0,207674.0,38337.0,-699.1924493168832,-82.41470673750212,-303.0297919846073
207674.0,13901.0,207674.0,16078.0,207674.0,38402.0,-678.8646957202378,-62.673317595554124,-260.5068297276043
207684.0,13917.0,207684.0,16100.0,207684.0,38437.0,-657.6414510306782,-42.80427131164424,-217.54036730591417
207684.0,13945.0,207684.0,16131.0,207684.0,38522.0,-635.5501077859926,-22.85128874766434,-174.22299301226815
207684.0,13973.0,207684.0,16169.0,207684.0,38588.0,-612.62111561222,-2.8584181993587094,-130.64848643606229
207684.0,14011.0,207684.0,16194.0,207684.0,38653.0,-588.8879141355991,17.130224103168246,-86.91117780234345
207684.0,14050.0,207684.0,16254.0,207684.0,38700.0,-564.3867391891646,37.07085593624004,-43.10524674154385
