c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104000.0,3474.0,104000.0,72556.0,104000.0,90579.0,261.12835223099546,62.00762153687511,137.72547823598975
104000.0,3463.0,104000.0,72542.0,104000.0,90592.0,261.15982788567663,65.99885848817044,139.0514407195107
104000.0,3482.0,104000.0,72626.0,104000.0,90607.0,261.11088010950795,69.89554112860802,140.31195778792417
104000.0,3496.0,104000.0,72663.0,104000.0,90642.0,260.9803504603272,73.68120646005153,141.49966704972735
104000.0,3487.0,104000.0,72691.0,104000.0,90640.0,260.76757536746476,77.34164278667653,142.60849558136076
104000.0,3460.0,104000.0,72575.0,104000.0,90572.0,260.4726163563654,80.86586888078784,143.63406601836002
104009.0,3452.0,104009.0,72547.0,104009.0,90567.0,260.0961267345796,84.24583820521708,144.57341514119872
104009.0,3448.0,104009.0,72534.0,104009.0,90578.0,259.6389680655144,87.47497378496365,145.42419711620133
104009.0,3472.0,104009.0,72632.0,104009.0,90621.0,259.1019568700456,90.54693846292201,146.1842396687554
104009.0,3465.0,104009.0,72670.0,104009.0,90609.0,258.4859439013378,93.45579023555939,146.8518215850318
104009.0,3460.0,104009.0,72656.0,104009.0,90601.0,257.79206002027485,96.19719907871277,147.42616163466394
104009.0,3452.0,104009.0,72559.0,104009.0,90571.0,257.0218331780741,98.76928051215549,147.90752196872063
104019.0,3430.0,104019.0,72541.0,104019.0,90550.0,256.1770853996993,101.17203013045199,148.29682280765093
104019.0,3440.0,104019.0,72531.0,104019.0,90557.0,255.2597007856683,103.40586914311756,148.59504363921667
104019.0,3455.0,104019.0,72635.0,104019.0,90612.0,254.27147494090556,105.47067301911544,148.80289052440733
104019.0,3452.0,104019.0,72698.0,104019.0,90610.0,253.21424004631854,107.36621414067599,148.9211079158588
104019.0,3432.0,104019.0,72650.0,104019.0,90598.0,252.09010361539163,109.09366229172707,148.95113950021465
104019.0,3431.0,104019.0,72530.0,104019.0,90532.0,250.90147707876793,110.65648757453687,148.89535485566594
104030.0,3399.0,104030.0,72523.0,104030.0,90538.0,249.6508556764669,112.05956564587227,148.75650189131616
104030.0,3409.0,104030.0,72572.0,104030.0,90568.0,248.34049124110982,113.307460599729,148.53694151849288
104030.0,3432.0,104030.0,72674.0,104030.0,90612.0,246.97217635529546,114.40383824000673,148.23852455025914
104030.0,3430.0,104030.0,72677.0,104030.0,90607.0,245.54738265674825,115.35256207595344,147.86325039023083
104030.0,3422.0,104030.0,72605.0,104030.0,90579.0,244.0676216888897,116.1591666150461,147.41399509498433
104030.0,3402.0,104030.0,72534.0,104030.0,90527.0,242.53462147759922,116.83107062812141,146.89457412926348
104040.0,3394.0,104040.0,72545.0,104040.0,90542.0,240.95018319286638,117.37636426051027,146.30910126854917
104040.0,3410.0,104040.0,72581.0,104040.0,90547.0,239.31594044765797,117.80251957836245,145.6612951673144
104040.0,3409.0,104040.0,72652.0,104040.0,90575.0,237.6333166388647,118.11623043626716,144.954326415833
104040.0,3415.0,104040.0,72613.0,104040.0,90572.0,235.90372479816784,118.32428631245529,144.19116246877942
104040.0,3389.0,104040.0,72539.0,104040.0,90536.0,234.1287731287826,118.43428184813139,143.37493071911436
104040.0,3382.0,104040.0,72510.0,104040.0,90496.0,232.31024749908354,118.45413584217061,142.50879773610347
104050.0,3368.0,104050.0,72514.0,104050.0,90540.0,230.44986881615918,118.39079991857935,141.59538278064784
