c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276741,5345,276741.0,18574.0,276741.0,25100.0,-561.0686986470157,-192.33037825688712,-321.7238809991277
276741,5353,276741.0,18591.0,276741.0,25137.0,-559.0437782550155,-189.54295728906934,-315.7880624671814
276752,5350,276752.0,18590.0,276752.0,25140.0,-556.6368585992933,-186.5533322684122,-309.56897596683393
276752,5345,276752.0,18581.0,276752.0,25143.0,-553.8359130579859,-183.36175928162953,-303.07646925705717
276752,5336,276752.0,18565.0,276752.0,25154.0,-550.6295700313752,-179.96894371281635,-296.32052003002093
276752,5357,276752.0,18612.0,276752.0,25156.0,-547.0074049315763,-176.37629890339613,-289.3112812846315
276752,5363,276752.0,18633.0,276752.0,25194.0,-542.960119913236,-172.58594017303693,-282.0591069429573
276752,5386,276752.0,18584.0,276752.0,25176.0,-538.47949632564,-168.60034534885747,-274.5744521456229
276762,5368,276762.0,18595.0,276762.0,25174.0,-533.5582537493448,-164.42228682595703,-266.86782192892395
276762,5360,276762.0,18593.0,276762.0,25168.0,-528.190089082482,-160.05524352033044,-258.9500128119729
276762,5375,276762.0,18597.0,276762.0,25200.0,-522.3699930464021,-155.50380288034944,-250.83250326465242
276762,5383,276762.0,18627.0,276762.0,25227.0,-516.0945852723432,-150.77378166016962,-242.5275859340622
276762,5404,276762.0,18620.0,276762.0,25237.0,-509.3622171834387,-145.8721280380877,-234.04811983116738
276762,5436,276762.0,18648.0,276762.0,25257.0,-502.17284075283794,-140.80672024294407,-225.40716718667312
276772,5412,276772.0,18650.0,276772.0,25262.0,-494.5277686597367,-135.58616669817246,-216.61775538407684
276772,5431,276772.0,18643.0,276772.0,25267.0,-486.42959095052913,-130.21966207032506,-207.69279188043703
276772,5439,276772.0,18667.0,276772.0,25264.0,-477.88234529830163,-124.71696572658338,-198.64513573967972
276772,5468,276772.0,18659.0,276772.0,25278.0,-468.89165745218565,-119.08844766266714,-189.4878051199325
276772,5485,276772.0,18701.0,276772.0,25316.0,-459.4646493697924,-113.3450457578372,-180.23413006499305
276772,5491,276772.0,18685.0,276772.0,25318.0,-449.6097281759636,-107.49809557034143,-170.89764577944624
276783,5510,276783.0,18666.0,276783.0,25322.0,-439.3364499927153,-101.55922861973022,-161.49186356726364
276783,5516,276783.0,18694.0,276783.0,25337.0,-428.65550693568787,-95.54056746786114,-152.03021445764068
276783,5539,276783.0,18700.0,276783.0,25353.0,-417.57875399254897,-89.45499258632802,-142.526122581499
276783,5546,276783.0,18743.0,276783.0,25359.0,-406.11921876943944,-83.31608599011918,-132.99301560837296
276783,5577,276783.0,18743.0,276783.0,25394.0,-394.29107752823666,-77.13775729101246,-123.4442535933851
276783,5591,276783.0,18747.0,276783.0,25397.0,-382.10956673403854,-70.93384517264153,-113.89297984558914
276793,5612,276793.0,18788.0,276793.0,25391.0,-369.5908336990628,-64.71788002274707,-104.35197635716077
276793,5619,276793.0,18765.0,276793.0,25420.0,-356.7518148713107,-58.5029020442818,-94.83369538257801
276793,5652,276793.0,18799.0,276793.0,25432.0,-343.61018981234304,-52.30128786381641,-85.35035140006465
276793,5658,276793.0,18805.0,276793.0,25457.0,-330.184337459497,-46.12464188006004,-75.91383627489245
276793,5703,276793.0,18804.0,276793.0,25474.0,-316.4932252911696,-39.98367909889461,-66.53548556003699
276793,5713,276793.0,18791.0,276793.0,25433.0,-302.5562085374087,-33.88819621737193,-57.22593434748751
276803,5711,276803.0,18794.0,276803.0,25466.0,-288.3928379825943,-27.847302623710874,-47.99531728977678
276803,5733,276803.0,18792.0,276803.0,25479.0,-274.02288822170755,-21.869789568732756,-38.853650545570986
276803,5739,276803.0,18822.0,276803.0,25496.0,-259.4665814484506,-15.964390314621028,-29.810952121562934
276803,5792,276803.0,18861.0,276803.0,25523.0,-244.7447288801493,-10.13971645820996,-20.877067902830902
276803,5791,276803.0,18860.0,276803.0,25533.0,-229.87863130970527,-4.403819553153056,-12.061411489093416
276803,5817,276803.0,18854.0,276803.0,25534.0,-214.8898777440296,1.2362741652340787,-3.372742989678784
276814,5844,276814.0,18831.0,276814.0,25540.0,-199.8002357142101,6.77460896854393,5.180875914729313
276814,5864,276814.0,18846.0,276814.0,25552.0,-184.63156577404771,12.205920917980762,13.59195699983286
276814,5901,276814.0,18870.0,276814.0,25554.0,-169.40564008119475,17.525260419319352,21.85344670559101
276814,5926,276814.0,18860.0,276814.0,25597.0,-154.14387244691517,22.727935973006453,29.95868912233277
276814,5919,276814.0,18871.0,276814.0,25598.0,-138.86706033515225,27.80961131474899,37.901578005741726
276814,5944,276814.0,18862.0,276814.0,25592.0,-123.59534453553317,32.76627277973597,45.67678875611671
276824,5935,276824.0,18863.0,276824.0,25596.0,-108.34843035515587,37.594056914263035,53.2797809316217
276824,5981,276824.0,18875.0,276824.0,25618.0,-93.1458672991472,42.2890437015098,60.70658158878524
276824,6030,276824.0,18919.0,276824.0,25615.0,-78.0070951802486,46.8472098067667,67.95364911117463
276824,6025,276824.0,18934.0,276824.0,25630.0,-62.9511163842044,51.26476053107547,75.01786218095538
276824,6052,276824.0,18910.0,276824.0,25643.0,-47.996125550252486,55.538650371535425,81.89651865939766
