c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
242281,7175,242281.0,18848.0,242281.0,27009.0,-204.96293097795328,-79.7773616060841,-122.94443402789301
242281,7150,242281.0,18860.0,242281.0,26997.0,-212.08392105582445,-82.15841838297139,-127.8849920472567
242281,7165,242281.0,18860.0,242281.0,26999.0,-219.34792902118738,-84.60876146013149,-132.92016281769457
242281,7149,242281.0,18820.0,242281.0,26973.0,-226.7462621105435,-87.1264026331913,-138.04276259280857
242291,7121,242291.0,18812.0,242291.0,26975.0,-234.27029677953146,-89.70916073917002,-143.24579443974125
242291,7118,242291.0,18824.0,242291.0,26967.0,-241.91164586089522,-92.35509916334185,-148.5226314866193
242291,7122,242291.0,18816.0,242291.0,26969.0,-249.66242106029344,-95.06279940989538,-153.8671167271694
242291,7125,242291.0,18857.0,242291.0,26958.0,-257.5152935731177,-97.83127449554713,-159.2735573348301
242291,7119,242291.0,18843.0,242291.0,26979.0,-265.4633146265686,-100.65961125625702,-164.7366602309849
242291,7099,242291.0,18829.0,242291.0,26949.0,-273.4997390318151,-103.54658242544761,-170.25140706894268
242301,7085,242301.0,18812.0,242301.0,26936.0,-281.61805029717186,-106.49057457281205,-175.8130023715441
242301,7091,242301.0,18810.0,242301.0,26945.0,-289.81213895158135,-109.48985420526111,-181.41702450273658
242301,7086,242301.0,18826.0,242301.0,26965.0,-298.0763975133867,-112.54282197726982,-187.0595165444094
242301,7081,242301.0,18843.0,242301.0,26947.0,-306.40563921044,-115.64795960178412,-192.73676223366306
242301,7065,242301.0,18820.0,242301.0,26935.0,-314.79499645973306,-118.8035140358484,-198.44501017354054
242301,7056,242301.0,18791.0,242301.0,26928.0,-323.2399409354499,-122.0073277831219,-204.18046618718722
242312,7051,242312.0,18812.0,242312.0,26885.0,-331.73639300357695,-125.25705619343199,-209.93952965246433
242312,7048,242312.0,18776.0,242312.0,26912.0,-340.28079722209077,-128.5504885072107,-215.71914644267972
242312,7038,242312.0,18811.0,242312.0,26914.0,-348.870111421367,-131.88570761018704,-221.51702966875976
242312,7044,242312.0,18809.0,242312.0,26914.0,-357.50174793052,-135.261048093289,-227.33151761588016
242312,7041,242312.0,18830.0,242312.0,26913.0,-366.1734630017363,-138.67480411140798,-233.16125917890625
242312,7026,242312.0,18773.0,242312.0,26900.0,-374.88320058930435,-142.1248975648234,-239.00501624505193
242322,7011,242322.0,18792.0,242322.0,26888.0,-383.62902614660936,-145.60889926209248,-244.8616397341904
242322,7033,242322.0,18788.0,242322.0,26915.0,-392.4091707457761,-149.12431611208675,-250.7301161283802
242322,7003,242322.0,18814.0,242322.0,26906.0,-401.2219953536817,-152.66866480128076,-256.60945787206197
242322,7019,242322.0,18791.0,242322.0,26891.0,-410.0658571088252,-156.23922275575705,-262.4984397011377
242322,6979,242322.0,18774.0,242322.0,26878.0,-418.9390476452674,-159.83283085731796,-268.39549865838296
242322,6965,242322.0,18758.0,242322.0,26851.0,-427.83991886881216,-163.44604346554976,-274.2989314006552
242332,6964,242332.0,18752.0,242332.0,26872.0,-436.7671840963685,-167.07551251817034,-280.207204688266
242332,6969,242332.0,18742.0,242332.0,26855.0,-445.7201456913215,-170.71833666234744,-286.1191200722942
242332,6976,242332.0,18783.0,242332.0,26860.0,-454.6986144831238,-174.37219743357053,-292.033768068066
242332,6973,242332.0,18753.0,242332.0,26840.0,-463.7026019429612,-178.035191507072,-297.95045601124514
242332,6953,242332.0,18753.0,242332.0,26841.0,-472.73202797075953,-181.70556956448053,-303.8687391437818
242332,6946,242332.0,18750.0,242332.0,26846.0,-481.7866325020818,-185.3816955153635,-309.78847602700193
242343,6933,242343.0,18729.0,242343.0,26836.0,-490.8660767727364,-189.06217351451295,-315.70978484913974
242343,6936,242343.0,18776.0,242343.0,26829.0,-499.9700602091231,-192.74592021823548,-321.6329471775131
242343,6932,242343.0,18758.0,242343.0,26853.0,-509.09832343606286,-196.4320001901863,-327.5583320060392
242343,6926,242343.0,18748.0,242343.0,26835.0,-518.2505394351674,-200.1192973475495,-333.4862308099061
242343,6902,242343.0,18738.0,242343.0,26830.0,-527.42622440427,-203.80639686805404,-339.4166359770209
242343,6892,242343.0,18713.0,242343.0,26806.0,-536.6248140362029,-207.4917888992259,-345.3492054544797
