c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
310701,18624,310701.0,55617.0,310701.0,85117.0,-1073.2582161909947,-1488.2220583003775,-1615.357599696095
310701,18578,310701.0,55598.0,310701.0,85075.0,-1088.5085418930034,-1501.1273133361344,-1634.902811981052
310701,18572,310701.0,55594.0,310701.0,85100.0,-1103.5950123012924,-1513.546372037237,-1653.9036956238624
310701,18582,310701.0,55602.0,310701.0,85077.0,-1118.4559322971304,-1525.404019896933,-1672.2570010602328
310701,18570,310701.0,55633.0,310701.0,85049.0,-1133.0273520511566,-1536.6207478722895,-1689.8549274996576
310701,18542,310701.0,55614.0,310701.0,85039.0,-1147.24291483197,-1547.112348230413,-1706.5851680727728
310711,18551,310711.0,55653.0,310711.0,85058.0,-1161.0338256157797,-1556.789411868756,-1722.3310888399735
310711,18562,310711.0,55693.0,310711.0,85039.0,-1174.328867763863,-1565.5567743577174,-1736.9716972096658
310711,18531,310711.0,55631.0,310711.0,85031.0,-1187.05422714539,-1573.3128407479958,-1750.381439961301
310711,18491,310711.0,55547.0,310711.0,84929.0,-1199.1333992089826,-1579.949429693178,-1762.4303285686824
310711,18480,310711.0,55482.0,310711.0,84917.0,-1210.4875476793245,-1585.3529031075796,-1772.984798595462
310711,18467,310711.0,55459.0,310711.0,84889.0,-1221.0360987847666,-1589.4061841421576,-1781.9090462911536
310721,18441,310721.0,55428.0,310721.0,84856.0,-1230.6972072631193,-1591.9906451467803,-1789.0661990966055
310721,18437,310721.0,55371.0,310721.0,84843.0,-1239.388116978379,-1592.9875374831975,-1794.3191949115856
310721,18407,310721.0,55477.0,310721.0,84811.0,-1247.025540209182,-1592.279068183255,-1797.5316032109463
310721,18417,310721.0,55441.0,310721.0,84818.0,-1253.5260400633792,-1589.7487913363695,-1798.5684126625686
310721,18390,310721.0,55400.0,310721.0,84799.0,-1258.8063620397782,-1585.281461688326,-1797.2967005988896
310721,18404,310721.0,55405.0,310721.0,84798.0,-1262.7836992141847,-1578.7633519008089,-1793.5861866704192
310732,18412,310732.0,55472.0,310732.0,84818.0,-1265.3758552848349,-1570.083014928624,-1787.3097113929837
310732,18384,310732.0,55473.0,310732.0,84793.0,-1266.501291960226,-1559.1315136794976,-1778.3436276001003
310732,18371,310732.0,55407.0,310732.0,84773.0,-1266.079298093537,-1545.8022753535597,-1766.5682809171417
310732,18349,310732.0,55334.0,310732.0,84723.0,-1264.0305058022936,-1529.9917821339948,-1751.8689373907926
310732,18324,310732.0,55308.0,310732.0,84691.0,-1260.2776570106635,-1511.6015225892756,-1734.1372693801209
310732,18321,310732.0,55305.0,310732.0,84702.0,-1254.7464630930263,-1490.540357142712,-1713.2731180477565
310742,18306,310742.0,55292.0,310742.0,84696.0,-1247.3664447490573,-1466.7264224637695,-1689.186054278923
310742,18317,310742.0,55355.0,310742.0,84743.0,-1238.0716492631225,-1440.0884036535897,-1661.7964639886109
310742,18323,310742.0,55379.0,310742.0,84733.0,-1226.801200866942,-1410.5661991057477,-1631.0362457127837
310742,18329,310742.0,55405.0,310742.0,84772.0,-1213.4996903728413,-1378.1110997295377,-1596.8493840973706
310742,18332,310742.0,55455.0,310742.0,84800.0,-1198.1175092447927,-1342.6858750436581,-1559.1925552719922
310742,18350,310742.0,55541.0,310742.0,84880.0,-1180.611231074331,-1304.2648243701142,-1518.03558579216
310752,18387,310752.0,55630.0,310752.0,84930.0,-1160.9439469407891,-1262.8333976768972,-1473.3615155954365
310752,18396,310752.0,55643.0,310752.0,84965.0,-1139.085414390398,-1218.387407135007,-1425.1664055725635
310752,18420,310752.0,55611.0,310752.0,85025.0,-1115.012126452653,-1170.9326656527483,-1373.4592950352535
310752,18419,310752.0,55680.0,310752.0,85043.0,-1088.7075364146917,-1120.4857081985697,-1318.262475141883
310752,18435,310752.0,55711.0,310752.0,85096.0,-1060.1625281471113,-1067.0750250178412,-1259.6120233329498
310752,18477,310752.0,55795.0,310752.0,85181.0,-1029.3760070326896,-1010.7418833690061,-1197.5584401858173
310763,18502,310763.0,55874.0,310763.0,85278.0,-996.3553527424642,-951.5405607708789,-1132.1669787110527
310763,18538,310763.0,55969.0,310763.0,85389.0,-961.1166569792692,-889.5381401881215,-1063.5173710013792
310763,18599,310763.0,56062.0,310763.0,85479.0,-923.6848552186957,-824.8139807412404,-991.7031160575004
310763,18662,310763.0,56166.0,310763.0,85576.0,-884.0936750162014,-757.4590115210625,-916.8306965465115
310763,18720,310763.0,56283.0,310763.0,85692.0,-842.3852907863941,-687.5749026022055,-839.0189197898618
310763,18790,310763.0,56443.0,310763.0,85854.0,-798.6098155012706,-615.2729787735852,-758.3981670428009
310773,18866,310773.0,56565.0,310773.0,85930.0,-752.8247453173516,-540.6727006854835,-675.1092942564758
310773,18893,310773.0,56590.0,310773.0,86038.0,-705.0944121740948,-463.9000781365203,-589.3025281837022
310773,18952,310773.0,56667.0,310773.0,86140.0,-655.4896732053459,-385.0869243372722,-501.1368349150878
310773,19023,310773.0,56759.0,310773.0,86284.0,-604.0879016603965,-304.37112718104663,-410.77954753833865
310773,19090,310773.0,56853.0,310773.0,86402.0,-550.9729451452746,-221.89709137779346,-318.4057701736533
310773,19143,310773.0,56915.0,310773.0,86535.0,-496.2348968942566,-137.81588354020482,-224.19750641928408
310783,19226,310783.0,57067.0,310783.0,86645.0,-439.9698615094379,-52.28525968976851,-128.3427655741873
310783,19314,310783.0,57234.0,310783.0,86789.0,-382.2796980812511,34.530672564682845,-31.0347884770772
310783,19392,310783.0,57337.0,310783.0,86933.0,-323.2715493699927,122.46257512503234,67.52873859483634
310783,19488,310783.0,57478.0,310783.0,87054.0,-263.05718612911517,211.33736410762776,167.14663393040473
310783,19557,310783.0,57644.0,310783.0,87219.0,-201.752322976316,300.9795435311528,267.61526176524717
310783,19672,310783.0,57799.0,310783.0,87408.0,-139.47595076532548,391.2126627350997,368.72973428335035
310794,19765,310794.0,57891.0,310794.0,87539.0,-76.34957850552428,481.8610145025448,470.2855115274133
310794,19817,310794.0,57943.0,310794.0,87605.0,-12.496391099326729,572.7508692644155,572.0799808608526
310794,19890,310794.0,58018.0,310794.0,87746.0,51.95932688339167,663.710615622811,673.9132272752679
310794,19985,310794.0,58143.0,310794.0,87846.0,116.892375864202,754.5701629282696,775.5881103834793
310794,20063,310794.0,58238.0,310794.0,87979.0,182.17682895238772,845.1605140599693,876.9103426409476
310794,20143,310794.0,58382.0,310794.0,88089.0,247.68642506045626,935.3139105802325,977.6887714890181
310804,20241,310804.0,58510.0,310804.0,88247.0,313.29501771651326,1024.8644383691899,1077.7358049358377
310804,20335,310804.0,58658.0,310804.0,88399.0,378.8770856862968,1113.649012153454,1176.868136523543
310804,20419,310804.0,58772.0,310804.0,88529.0,444.3083884135915,1201.5086147790407,1274.9078647987308
310804,20501,310804.0,58898.0,310804.0,88654.0,509.46663880002825,1288.2895233000086,1371.6837238256844
310804,20602,310804.0,59043.0,310804.0,88770.0,574.2320860405425,1373.8444177426359,1467.0320722990532
310804,20706,310804.0,59159.0,310804.0,88896.0,638.4881541318914,1458.0335313170049,1560.7976204889542
310814,20757,310814.0,59224.0,310814.0,88982.0,702.122204687761,1540.725761842536,1652.8340095967737
310814,20817,310814.0,59244.0,310814.0,89013.0,765.0260918959923,1621.7991498895308,1743.0040461817862
310814,20881,310814.0,59278.0,310814.0,89158.0,827.0962380403555,1701.14025433798,1831.1793555842683
310814,20966,310814.0,59393.0,310814.0,89221.0,888.2334941529161,1778.6428401349826,1917.2398817585276
310814,21024,310814.0,59449.0,310814.0,89315.0,948.3431574748545,1854.2068614278396,2001.0737092146865
310814,21094,310814.0,59553.0,310814.0,89431.0,1007.3351307302894,1927.738130066843,2082.5770652635956
310825,21178,310825.0,59673.0,310825.0,89504.0,1065.1240906965688,1999.1484359593578,2161.654429299409
310825,21251,310825.0,59751.0,310825.0,89602.0,1121.6297539887441,2068.356047456102,2238.218772725529
310825,21304,310825.0,59869.0,310825.0,89684.0,1176.7772650850916,2135.286485347767,2312.191766680531
310825,21384,310825.0,59911.0,310825.0,89827.0,1230.4975230136747,2199.873255394256,2383.5040656215547
310825,21437,310825.0,60069.0,310825.0,89896.0,1282.7274126993698,2262.058452753055,2452.0959404836844
310825,21504,310825.0,60125.0,310825.0,89908.0,1333.41003630276,2321.7934913989875,2517.9179459395727
310835,21530,310835.0,60111.0,310835.0,89968.0,1382.4948737449158,2379.039818748674,2580.93087492243
310835,21557,310835.0,60137.0,310835.0,90014.0,1429.9376698709739,2433.7687711527597,2641.1049959531065
310835,21617,310835.0,60159.0,310835.0,90061.0,1475.700009423329,2485.9603853350823,2698.4192423854765
310835,21656,310835.0,60122.0,310835.0,90074.0,1519.7488787558382,2535.601852770814,2752.860536688854
310835,21688,310835.0,60244.0,310835.0,90136.0,1562.0564239884434,2582.6860345668138,2804.4230278631007
310835,21744,310835.0,60315.0,310835.0,90186.0,1602.5997710940296,2627.2105755968996,2853.1073618300175
310845,21781,310845.0,60327.0,310845.0,90233.0,1641.3608703788054,2669.1780147922727,2898.9202642831356
310845,21818,310845.0,60389.0,310845.0,90289.0,1678.3264369358521,2708.5961509946237,2941.8743934930717
310845,21866,310845.0,60457.0,310845.0,90335.0,1713.4879208817651,2745.4781017027485,2981.988305013319
310845,21903,310845.0,60493.0,310845.0,90388.0,1746.8414976951262,2779.8424551609924,3019.286503601832
310845,21933,310845.0,60568.0,310845.0,90418.0,1778.3881092959741,2811.71368333757,3053.7995433151987
310845,21964,310845.0,60568.0,310845.0,90428.0,1808.1334649292135,2841.122562229701,3085.5640151164043
310856,21970,310856.0,60525.0,310856.0,90424.0,1836.0879067137944,2868.106206105453,3114.622192337254
310856,21976,310856.0,60443.0,310856.0,90438.0,1862.2660648042338,2892.707095440103,3141.021274137149
310856,21992,310856.0,60526.0,310856.0,90455.0,1886.6862816043554,2914.971152008438,3164.8124907152496
310856,22003,310856.0,60556.0,310856.0,90478.0,1909.3699644474673,2934.9461468714067,3186.050396610064
310856,22018,310856.0,60559.0,310856.0,90489.0,1930.3410341329559,2952.681301900978,3204.7924273477806
310856,22054,310856.0,60604.0,310856.0,90467.0,1949.6255253045897,2968.2274458434736,3221.098509246251
310866,22087,310866.0,60559.0,310866.0,90534.0,1967.2514350461197,2981.636978609153,3235.0305727985856
310866,22095,310866.0,60655.0,310866.0,90530.0,1983.2488289777134,2992.963648220909,3246.6522368636092
