c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
173389,5265,173389,24645,173389.0,64432.0,-375.19230089700267,-120.55578152800854,-449.89235984866275
173389,5260,173389,24590,173389.0,64478.0,-347.8098533395145,-94.57639086126812,-380.5288148906924
173399,5284,173399,24589,173399.0,64522.0,-319.60777762470155,-67.95870993752163,-309.54283789157444
173399,5340,173399,24681,173399.0,64682.0,-290.63038595391953,-40.749565660262704,-237.0736399115931
173399,5427,173399,24823,173399.0,64911.0,-260.9257347488622,-13.000832820211485,-163.2675062143154
173399,5504,173399,24888,173399.0,65043.0,-230.54491824396757,15.231932091039596,-88.27574456341483
173399,5504,173399,24875,173399.0,65054.0,-199.54092806986182,43.89152791933117,-12.251933581177582
173399,5503,173399,24869,173399.0,65043.0,-167.96796559316942,72.92017121255657,64.64938249816532
173409,5534,173409,24818,173409.0,65171.0,-135.88167075524507,102.25904137356645,142.2719545767136
173409,5598,173409,24963,173409.0,65326.0,-103.33969900970123,131.8471442483713,220.4567984470748
173409,5711,173409,25084,173409.0,65545.0,-70.40172375825023,161.6210563511595,299.04275460991903
173409,5761,173409,25158,173409.0,65692.0,-37.1285264787183,191.51640166348108,377.86881126953267
173409,5770,173409,25137,173409.0,65703.0,-3.58076556828064,221.46995405107708,456.7768337442976
173409,5761,173409,25069,173409.0,65732.0,30.18157429391283,251.42050352109686,535.6129205635973
173420,5812,173420,25130,173420.0,65831.0,64.09879114301361,281.30801885671576,614.2269400721332
173420,5940,173420,25283,173420.0,65999.0,98.11103153736349,311.0726061682227,692.4717480575862
173420,5994,173420,25341,173420.0,66155.0,132.15882495265566,340.65501582758077,770.2036677490757
173420,6016,173420,25410,173420.0,66243.0,166.18433573235063,369.9984730657827,847.28418838226
173420,6017,173420,25312,173420.0,66238.0,200.13215873264153,399.05011802453146,923.5814966802809
173420,6035,173420,25287,173420.0,66253.0,233.94914852936563,427.7608003603765,998.9705343590992
173430,6058,173430,25313,173430.0,66357.0,267.5837352739767,456.0834466555085,1073.3317194971692
173430,6144,173430,25441,173430.0,66537.0,300.985384614866,483.9716151475193,1146.5499244547036
173430,6210,173430,25560,173430.0,66675.0,334.10468905588027,511.3797429402671,1218.5150721443242
173430,6239,173430,25552,173430.0,66753.0,366.8940701305669,538.2648767332728,1289.123992136299
173430,6244,173430,25510,173430.0,66692.0,399.30841909186756,564.5881420638815,1358.281836182739
173430,6271,173430,25465,173430.0,66732.0,431.3051150623669,590.3145398871889,1425.9017026284937
173441,6294,173441,25538,173441.0,66864.0,462.84359412461356,615.4115169731464,1491.9030535972047
173441,6392,173441,25686,173441.0,67034.0,493.88504952212315,639.8480941627913,1556.2109838821161
173441,6435,173441,25737,173441.0,67148.0,524.3927236743559,663.5957657526949,1618.7573904237206
173441,6456,173441,25708,173441.0,67098.0,554.3326495789454,686.6303331857389,1679.4828224716407
173441,6438,173441,25584,173441.0,67068.0,583.6740838949568,708.9325895297508,1738.3369160332386
173441,6452,173441,25571,173441.0,67107.0,612.3891471155112,730.486878070463,1795.2768215893543
173451,6497,173451,25672,173451.0,67202.0,640.4520421730504,751.2788066707718,1850.2651667788682
173451,6571,173451,25807,173451.0,67376.0,667.8386315226303,771.2943951090896,1903.269362647262
173451,6637,173451,25820,173451.0,67430.0,694.5268106695262,790.5213661989302,1954.262649309646
173451,6631,173451,25783,173451.0,67393.0,720.497361199424,808.9509338295356,2003.2256030932435
173451,6603,173451,25728,173451.0,67374.0,745.734399658922,826.5782001833311,2050.1463049125678
173451,6631,173451,25708,173451.0,67409.0,770.2249048374283,843.4009782537426,2095.018913500091
173461,6698,173461,25862,173461.0,67545.0,793.9579351348716,859.4184058430168,2137.8421859701666
173461,6738,173461,25950,173461.0,67620.0,816.9244875940994,874.6310389042327,2178.6193766943184
173461,6776,173461,25910,173461.0,67630.0,839.118041456305,889.0425375835699,2217.3592777630565
173461,6742,173461,25816,173461.0,67606.0,860.535066087748,902.6609110978677,2254.0769175440587
173461,6730,173461,25757,173461.0,67533.0,881.1748519706568,915.4976861587857,2288.7928728161182
173461,6735,173461,25759,173461.0,67603.0,901.0386345236852,927.5656827114722,2321.531477328146
173472,6807,173472,25861,173472.0,67702.0,920.1286968282898,938.8772402463528,2352.3193103652407
173472,6861,173472,25916,173472.0,67795.0,938.4482425073625,949.444098403141,2381.1852435448477
173472,6863,173472,25949,173472.0,67783.0,956.0020386879391,959.2786562477577,2408.161700958049
173472,6842,173472,25864,173472.0,67728.0,972.7969749347269,968.3952013261501,2433.2854965541487
173472,6844,173472,25807,173472.0,67711.0,988.841866125209,976.8098189764235,2456.597197408864
173472,6858,173472,25859,173472.0,67770.0,1004.1467540365843,984.5390664356139,2478.1396248820733
173482,6926,173482,25989,173482.0,67857.0,1018.7224278123749,991.5990504431105,2497.9569878979783
173482,6946,173482,26033,173482.0,67911.0,1032.5805940435666,998.006296081767,2516.095377537353
173482,6938,173482,25957,173482.0,67844.0,1045.7344249394007,1003.7795846993458,2532.603838334522
173482,6902,173482,25851,173482.0,67781.0,1058.1987253144935,1008.9405889133058,2547.5345030676685
173482,6901,173482,25811,173482.0,67745.0,1069.9893476286868,1013.5124237712816,2560.9411884178076
173482,6936,173482,25895,173482.0,67814.0,1081.1223220884935,1017.5174935561197,2572.8774758529735
173492,6975,173492,25981,173492.0,67920.0,1091.613450084322,1020.9766815110786,2583.3958828514983
173492,7028,173492,25992,173492.0,67970.0,1101.4786437726546,1023.9104018660806,2592.5487703324698
173492,6994,173492,25941,173492.0,67885.0,1110.7346348803337,1026.340098904559,2600.3899241618105
173492,6967,173492,25858,173492.0,67802.0,1119.3992892711558,1028.288553187274,2606.9749249496867
173492,6969,173492,25822,173492.0,67790.0,1127.4911219902328,1029.778684608446,2612.359703355829
173492,7002,173492,25941,173492.0,67891.0,1135.0285383813175,1030.8320232914193,2616.598758457655
173503,7047,173503,25997,173503.0,67956.0,1142.0296020792182,1031.4685090680136,2619.744862783191
173503,7056,173503,26008,173503.0,67925.0,1148.512470947202,1031.707902167374,2621.8502704661796
173503,7019,173503,25913,173503.0,67850.0,1154.4959215910217,1031.5712138159465,2622.9677167691984
173503,6981,173503,25821,173503.0,67738.0,1159.9992393937953,1031.080555337464,2623.1497927015307
173503,6976,173503,25801,173503.0,67750.0,1165.0413581170897,1030.2573909099563,2622.4469196926475
173503,7040,173503,25907,173503.0,67852.0,1169.6399648512456,1029.120727260226,2620.9055416168767
173513,7076,173513,25953,173513.0,67899.0,1173.8114216980136,1027.6868970439186,2618.5680807021713
173513,7051,173513,25962,173513.0,67875.0,1177.5714550476623,1025.9709110156955,2615.474354290966
173513,7026,173513,25846,173513.0,67784.0,1180.9356506529473,1023.987704836829,2611.6626196079073
173513,6998,173513,25830,173513.0,67743.0,1183.9191286607722,1021.7519059202133,2607.1690775543134
173513,7032,173513,25828,173513.0,67809.0,1186.535782608066,1019.2765083846689,2602.0265223600245
173513,7083,173513,25966,173513.0,67914.0,1188.797907577804,1016.5720807006475,2596.2638803773043
173523,7101,173523,26012,173523.0,67949.0,1190.7166400275248,1013.6476550835682,2589.907513228319
173523,7075,173523,25925,173523.0,67819.0,1192.302755577691,1010.5126264091102,2582.9830822705685
173523,7033,173523,25814,173523.0,67730.0,1193.5669521723348,1007.1775779371034,2575.515862776321
173523,7031,173523,25756,173523.0,67705.0,1194.519328870931,1003.6529508454905,2567.529047611143
173523,7040,173523,25820,173523.0,67762.0,1195.1686043116933,999.9468423052633,2559.041773936323
173523,7096,173523,25916,173523.0,67846.0,1195.521796995909,996.0640425167534,2550.0686611714145
173534,7117,173534,25948,173534.0,67869.0,1195.5846504364874,992.007069349727,2540.6210579291155
173534,7092,173534,25892,173534.0,67777.0,1195.3624326006595,987.7779963121202,2530.7087002369317
173534,7059,173534,25795,173534.0,67716.0,1194.860334371253,983.3792200242692,2520.3401616893884
173534,7028,173534,25761,173534.0,67665.0,1194.0830702053356,978.8125073919124,2509.521755227838
173534,7084,173534,25857,173534.0,67791.0,1193.0341402108675,974.0774819978149,2498.256211814269
173534,7128,173534,25949,173534.0,67825.0,1191.7156479790517,969.1714155338099,2486.542760851191
173544,7120,173544,25914,173544.0,67818.0,1190.1289816663818,964.0907411716638,2474.378691182831
173544,7086,173544,25811,173544.0,67720.0,1188.275593288829,958.8325384331607,2461.7607474072415
173544,7047,173544,25757,173544.0,67621.0,1186.157014074345,953.3942614081227,2448.684918664766
173544,7034,173544,25737,173544.0,67643.0,1183.7741301121662,947.7720767094307,2435.144856785133
173544,7092,173544,25856,173544.0,67732.0,1181.126444771805,941.9595516590589,2421.1305935044866
173544,7106,173544,25927,173544.0,67788.0,1178.2120584330169,935.948048731379,2406.6290261872473
173554,7105,173554,25890,173554.0,67807.0,1175.0283331650899,929.7285815872277,2391.62586881231
173554,7080,173554,25806,173554.0,67664.0,1171.5724895895692,923.2933197099139,2376.10737882411
