c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172981,16902,172981.0,40059.0,172981.0,36735.0,309.687844573627,879.2173965282017,1059.6505353330601
172981,16912,172981.0,40073.0,172981.0,36723.0,314.7043670193325,872.9384409189777,1052.3817461661997
172992,16925,172992.0,40059.0,172992.0,36703.0,319.7480899471606,866.279157936974,1044.705101819588
172992,16953,172992.0,40092.0,172992.0,36706.0,324.8060178811789,859.2454285351843,1036.6313397810509
172992,16953,172992.0,40050.0,172992.0,36685.0,329.86527134503325,851.8445840653856,1028.1715073822597
172992,16930,172992.0,39999.0,172992.0,36665.0,334.91341726280075,844.0856970559646,1019.3370952249377
172992,16941,172992.0,39952.0,172992.0,36607.0,339.9384697403385,835.9792326091424,1010.1399933742789
172992,16930,172992.0,39923.0,172992.0,36588.0,344.9286466248747,827.5361592868334,1000.5920959052082
173001,16934,173001.0,39866.0,173001.0,36560.0,349.87214936335147,818.7669846084605,990.7047132905582
173001,16928,173001.0,39903.0,173001.0,36536.0,354.7570070182108,809.6809981354013,980.4880998536228
173001,16955,173001.0,39895.0,173001.0,36545.0,359.57098077745496,800.2860091759288,969.9512213913249
173001,16958,173001.0,39864.0,173001.0,36521.0,364.3016446987264,790.5886354735492,959.1017889428688
173001,16973,173001.0,39881.0,173001.0,36517.0,368.93664915311643,780.5946710940581,947.9464916259749
173001,16988,173001.0,39885.0,173001.0,36501.0,373.4640398729638,770.309373414306,936.4912522198995
173011,16995,173011.0,39885.0,173011.0,36523.0,377.87258240529223,759.7379523344509,924.7415153880659
173011,16999,173011.0,39923.0,173011.0,36515.0,382.1520680678363,748.8862979579943,912.7027423772437
173011,16991,173011.0,39822.0,173011.0,36451.0,386.29350260440697,737.7616875206298,900.3809642733539
173011,16983,173011.0,39755.0,173011.0,36422.0,390.28910096590477,726.3728480606194,887.7828816261934
173011,16957,173011.0,39733.0,173011.0,36399.0,394.1320642232236,714.7290062757336,874.91542322143
173011,16963,173011.0,39707.0,173011.0,36344.0,397.8161773175989,702.838667993982,861.7852089997123
173022,16958,173022.0,39679.0,173022.0,36327.0,401.335405960269,690.7089101479331,848.3980828453866
173022,16979,173022.0,39701.0,173022.0,36330.0,404.6837053775309,678.3451505809799,834.7587332461133
173022,16979,173022.0,39719.0,173022.0,36325.0,407.8550916915319,665.7513570051891,820.8706829295322
173022,16987,173022.0,39708.0,173022.0,36305.0,410.84385673228445,652.9307556384817,806.736677675526
