c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
103809.0,11339.0,103809.0,24318.0,103809.0,24434.0,-81.15892642667923,-46.243341542122295,-74.61094684014151
103809.0,11353.0,103809.0,24414.0,103809.0,24481.0,-86.72306625051932,-48.355337111565134,-79.51636124375413
103809.0,11369.0,103809.0,24458.0,103809.0,24492.0,-92.43218034050543,-50.5576235749503,-84.5636175875302
103809.0,11353.0,103809.0,24377.0,103809.0,24443.0,-98.28319468729393,-52.85610261996362,-89.74948676032295
103809.0,11338.0,103809.0,24363.0,103809.0,24431.0,-104.27203656509039,-55.25365286644242,-95.06914593170839
103809.0,11317.0,103809.0,24293.0,103809.0,24386.0,-110.39366722776346,-57.75074893497098,-100.5166218555936
103819.0,11285.0,103819.0,24269.0,103819.0,24378.0,-116.64242398154997,-60.34674113676285,-106.08553146133757
103819.0,11272.0,103819.0,24263.0,103819.0,24374.0,-123.0125382279333,-63.04111376083544,-111.76973338658833
103819.0,11268.0,103819.0,24287.0,103819.0,24333.0,-129.49865763743884,-65.83429293377729,-117.56376113107018
103819.0,11271.0,103819.0,24288.0,103819.0,24377.0,-136.09614800193145,-68.72777740091549,-123.46309873438052
103819.0,11283.0,103819.0,24309.0,103819.0,24386.0,-142.80107577293745,-71.7238087492247,-129.46417772826064
103819.0,11279.0,103819.0,24339.0,103819.0,24382.0,-149.60995036107278,-74.82485827589548,-135.56393968452244
103829.0,11271.0,103829.0,24311.0,103829.0,24377.0,-156.5194165567293,-78.03303769453989,-141.75931458205474
103829.0,11295.0,103829.0,24383.0,103829.0,24407.0,-163.5260186126087,-81.34954895952086,-148.04690246635863
103829.0,11305.0,103829.0,24369.0,103829.0,24379.0,-170.62589039433226,-84.7740861295938,-154.42267434916283
103829.0,11264.0,103829.0,24332.0,103829.0,24339.0,-177.81433528978266,-88.30421352593929,-160.8817734113697
103829.0,11227.0,103829.0,24244.0,103829.0,24326.0,-185.08572705836855,-91.93538195538956,-167.4187788859015
103829.0,11224.0,103829.0,24217.0,103829.0,24303.0,-192.43397461866817,-95.66200400772422,-174.02831337499782
103840.0,11203.0,103840.0,24238.0,103840.0,24313.0,-199.85313811402526,-99.47891466349031,-180.70554855299744
103840.0,11186.0,103840.0,24193.0,103840.0,24287.0,-207.33783824819076,-103.38229253715988,-187.44644145321433
103840.0,11193.0,103840.0,24234.0,103840.0,24310.0,-214.8835177645335,-107.36996500704741,-194.24778648696022
103840.0,11200.0,103840.0,24272.0,103840.0,24300.0,-222.48653500201203,-111.44130983957209,-201.10712582263412
103840.0,11201.0,103840.0,24268.0,103840.0,24306.0,-230.14398039440005,-115.59665624178226,-208.02252227747536
103840.0,11191.0,103840.0,24252.0,103840.0,24314.0,-237.85335971683162,-119.83652130672257,-214.99227372973957
103850.0,11192.0,103850.0,24314.0,103850.0,24320.0,-245.61236678673887,-124.16114325744331,-222.014587331934
