c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276393.0,16913.0,276393.0,16659.0,276393.0,38654.0,-8.049793797122021,81.21414198129523,158.24896288127775
276393.0,16930.0,276393.0,16673.0,276393.0,38663.0,2.022396148510751,85.20940749699834,165.6300640273667
276403.0,16942.0,276403.0,16681.0,276403.0,38679.0,12.475832245387977,89.33538817686167,173.3512127587971
276403.0,16956.0,276403.0,16708.0,276403.0,38668.0,23.306526614839555,93.58949742704812,181.4172698258634
276403.0,16957.0,276403.0,16682.0,276403.0,38658.0,34.51027417445778,97.96958603259478,189.8327104472833
276403.0,16958.0,276403.0,16672.0,276403.0,38661.0,46.08263501368589,102.47401583153905,198.6013504835214
276403.0,16979.0,276403.0,16676.0,276403.0,38665.0,58.01879371369321,107.10138539824621,207.72597661667675
276403.0,17010.0,276403.0,16698.0,276403.0,38701.0,70.31348801154422,111.8502052781733,217.2081495725958
276414.0,17016.0,276414.0,16690.0,276414.0,38721.0,82.96117291130216,116.71884661739251,227.0483421953443
276414.0,17009.0,276414.0,16694.0,276414.0,38691.0,95.9562281600142,121.7056316955744,237.24625852030704
276414.0,17029.0,276414.0,16685.0,276414.0,38711.0,109.29292190089026,126.80880130874759,247.80090480135607
276414.0,17036.0,276414.0,16695.0,276414.0,38700.0,122.96521568374317,132.02635096218464,258.71031941062824
276414.0,17040.0,276414.0,16709.0,276414.0,38728.0,136.96661946490102,137.35590390063294,269.9712894883749
276414.0,17069.0,276414.0,16695.0,276414.0,38732.0,151.29009679640055,142.794706038598,281.57925071073527
276424.0,17078.0,276424.0,16697.0,276424.0,38734.0,165.92803458406905,148.33959918506176,293.52830147584814
276424.0,17099.0,276424.0,16718.0,276424.0,38746.0,180.87231811883015,153.98688968057775,305.81117178426575
276424.0,17094.0,276424.0,16732.0,276424.0,38767.0,196.11439425370668,159.73232908766562,318.4191409344205
276424.0,17107.0,276424.0,16694.0,276424.0,38752.0,211.64518537839177,165.57123336274958,331.34200140866585
276424.0,17122.0,276424.0,16710.0,276424.0,38769.0,227.45488482718423,171.4983885210885,344.56797209544834
276424.0,17170.0,276424.0,16764.0,276424.0,38796.0,243.53285865058285,177.50781782513215,358.0835368959557
276434.0,17165.0,276434.0,16742.0,276434.0,38814.0,259.8678159678183,183.59292064230885,371.87345194417514
276434.0,17184.0,276434.0,16754.0,276434.0,38821.0,276.4480438497853,189.746855670429,385.9209562815654
276434.0,17188.0,276434.0,16740.0,276434.0,38818.0,293.2614258013365,195.96263852807755,400.20790113484315
276434.0,17216.0,276434.0,16754.0,276434.0,38856.0,310.29530898225033,202.23295797758556,414.7146870344575
276434.0,17229.0,276434.0,16774.0,276434.0,38859.0,327.53643305213956,208.55003480230985,429.4202258993058
276434.0,17249.0,276434.0,16751.0,276434.0,38892.0,344.97096354973377,214.90563892856107,444.3020683587248
276445.0,17264.0,276445.0,16786.0,276445.0,38897.0,362.58454726541066,221.29112136091067,459.3365978319899
276445.0,17268.0,276445.0,16787.0,276445.0,38931.0,380.3623111314441,227.69742881781423,474.49921518843803
276445.0,17282.0,276445.0,16765.0,276445.0,38903.0,398.28875248025935,234.11516408221956,489.76446011067577
276445.0,17303.0,276445.0,16767.0,276445.0,38914.0,416.3475596062221,240.53447784689575,505.10589186999675
276445.0,17326.0,276445.0,16793.0,276445.0,38964.0,434.52151086805037,246.94476605250478,520.4957870041972
276445.0,17339.0,276445.0,16806.0,276445.0,38982.0,452.7925095269435,253.33457171181146,535.905116163974
276455.0,17348.0,276455.0,16816.0,276455.0,39002.0,471.1416273861416,259.6918150110366,551.3039285193066
276455.0,17383.0,276455.0,16819.0,276455.0,39013.0,489.54907484689613,266.0040707607985,566.6617399194824
276455.0,17397.0,276455.0,16806.0,276455.0,39014.0,507.9942113234812,272.2586649050006,581.9476728076422
276455.0,17407.0,276455.0,16817.0,276455.0,39040.0,526.4556391571376,278.4425560853831,597.1304095860442
276455.0,17434.0,276455.0,16847.0,276455.0,39073.0,544.9112461094893,284.5421949259762,612.1781749454358
276455.0,17450.0,276455.0,16860.0,276455.0,39076.0,563.3381971291012,290.5436528752557,627.0589222116578
276466.0,17471.0,276466.0,16847.0,276466.0,39091.0,581.7129793178519,296.43295628413927,641.7405729578179
276466.0,17481.0,276466.0,16854.0,276466.0,39097.0,600.0114623870008,302.19624975657825,656.191084261148
276466.0,17504.0,276466.0,16835.0,276466.0,39099.0,618.2089045352603,307.81965768187655,670.3783588084199
276466.0,17518.0,276466.0,16865.0,276466.0,39112.0,636.2799328634716,313.289036651321,684.2700798369893
276466.0,17546.0,276466.0,16897.0,276466.0,39148.0,654.1985618636636,318.589926815277,697.833593375876
276466.0,17565.0,276466.0,16899.0,276466.0,39184.0,671.938285208221,323.7078888201787,711.0360695373907
276476.0,17586.0,276476.0,16894.0,276476.0,39169.0,689.4722275145433,328.62895763547436,723.8449317718464
276476.0,17592.0,276476.0,16895.0,276476.0,39183.0,706.7732739706561,333.33980899000665,736.2281524244338
276476.0,17603.0,276476.0,16878.0,276476.0,39204.0,723.8140754823318,337.8276206538471,748.1542375585027
276476.0,17645.0,276476.0,16899.0,276476.0,39221.0,740.566980813595,342.07982732203186,759.5922137325964
276476.0,17668.0,276476.0,16925.0,276476.0,39243.0,757.0041333818798,346.0840164110673,770.5118241689916
276476.0,17677.0,276476.0,16922.0,276476.0,39252.0,773.0977821716666,349.82814123868184,780.8838219858862
276486.0,17693.0,276486.0,16927.0,276486.0,39251.0,788.8205344650378,353.3008556859637,790.6801975481037
276486.0,17702.0,276486.0,16915.0,276486.0,39249.0,804.1454015305858,356.49165300485294,799.8742154096581
276486.0,17722.0,276486.0,16917.0,276486.0,39285.0,819.0457555330094,359.3907767566651,808.4403224655862
276486.0,17752.0,276486.0,16924.0,276486.0,39283.0,833.4953523404608,361.989064095618,816.3541872137716
276486.0,17780.0,276486.0,16944.0,276486.0,39306.0,847.4685364437665,364.2779139674035,823.5929357117091
276486.0,17774.0,276486.0,16934.0,276486.0,39316.0,860.9405721712245,366.24944932552006,830.1354291868105
276497.0,17802.0,276497.0,16936.0,276497.0,39308.0,873.8878632283978,367.8966975789241,835.9624949928846
276497.0,17803.0,276497.0,16932.0,276497.0,39312.0,886.2880006501923,369.21361750788407,841.0570265976412
276497.0,17801.0,276497.0,16936.0,276497.0,39336.0,898.1197370670315,370.19503358423236,845.4039714330695
276497.0,17854.0,276497.0,16955.0,276497.0,39363.0,909.3629446758486,370.83663978856754,848.9904844097805
276497.0,17865.0,276497.0,16966.0,276497.0,39355.0,919.9987660467707,371.13519249003673,851.806362930514
276497.0,17861.0,276497.0,16969.0,276497.0,39337.0,930.010002936996,371.0888682401847,853.8444258527832
276507.0,17863.0,276507.0,16936.0,276507.0,39335.0,939.3813450474089,370.69753564049756,855.1005088839978
276507.0,17863.0,276507.0,16926.0,276507.0,39334.0,948.0992530951015,369.9626620667348,855.5732183004442
276507.0,17879.0,276507.0,16935.0,276507.0,39346.0,956.1517456155011,368.8869382272576,855.2637871575168
276507.0,17895.0,276507.0,16959.0,276507.0,39349.0,963.5283307573401,367.47406977552396,854.1761655786077
276507.0,17917.0,276507.0,16934.0,276507.0,39343.0,970.220162384421,365.72894635771485,852.3172438952431
276507.0,17928.0,276507.0,16933.0,276507.0,39335.0,976.2203702293094,363.65785608481,849.6970223252949
276517.0,17914.0,276517.0,16914.0,276517.0,39313.0,981.5243781997905,361.2684336166011,846.3286055402043
276517.0,17911.0,276517.0,16925.0,276517.0,39308.0,986.1299803535885,358.56945902897144,842.2280278677038
276517.0,17922.0,276517.0,16926.0,276517.0,39330.0,990.0371767123904,355.5707662540482,837.4140908407039
276517.0,17933.0,276517.0,16926.0,276517.0,39310.0,993.2480543315726,352.28334580528883,831.9084473242233
276517.0,17924.0,276517.0,16902.0,276517.0,39294.0,995.766859334621,348.719485641712,825.7358142343742
276517.0,17919.0,276517.0,16906.0,276517.0,39262.0,997.6000736628371,344.89275148951185,818.9239509006088
276528.0,17920.0,276528.0,16882.0,276528.0,39248.0,998.7563446240431,340.81782645987937,811.503329416875
276528.0,17902.0,276528.0,16878.0,276528.0,39238.0,999.2463338138062,336.51031678199956,803.506732859976
276528.0,17919.0,276528.0,16884.0,276528.0,39241.0,999.0825701272207,331.9865859130366,794.969029309276
276528.0,17914.0,276528.0,16885.0,276528.0,39233.0,998.2793894902063,327.2637399676543,785.9272096513671
276528.0,17909.0,276528.0,16862.0,276528.0,39193.0,996.8530013795987,322.359757865654,776.420516023949
276528.0,17883.0,276528.0,16860.0,276528.0,39160.0,994.8215116755343,317.2935369624401,766.4903217391651
276538.0,17891.0,276538.0,16826.0,276538.0,39144.0,992.2047576378424,312.08473822766933,756.1796663019888
276538.0,17873.0,276538.0,16830.0,276538.0,39136.0,989.0240859632614,306.7535052388631,745.5327619115931
276538.0,17878.0,276538.0,16848.0,276538.0,39133.0,985.3022291096955,301.3202567037817,734.5947857561
276538.0,17878.0,276538.0,16844.0,276538.0,39076.0,981.063293363823,295.8057967299811,723.4118635804942
276538.0,17866.0,276538.0,16828.0,276538.0,39074.0,976.3328376787633,290.23163896883005,712.0308970103115
276538.0,17848.0,276538.0,16782.0,276538.0,39042.0,971.1379332196083,284.6200987396721,700.4991845696499
276548.0,17823.0,276548.0,16768.0,276548.0,39009.0,965.5070368440203,278.99391363804966,688.8640453444543
276548.0,17816.0,276548.0,16771.0,276548.0,38994.0,959.4696796666406,273.3756529684873,677.17244781122
276548.0,17818.0,276548.0,16773.0,276548.0,38998.0,953.0561762079294,267.78738477345263,665.4706827772706
276548.0,17789.0,276548.0,16764.0,276548.0,38961.0,946.2975069769075,262.25071710689974,653.8042590247532
276548.0,17794.0,276548.0,16728.0,276548.0,38941.0,939.225272322121,256.7868849964105,642.2178764762765
276548.0,17760.0,276548.0,16731.0,276548.0,38908.0,931.8715870307958,251.41658895486856,630.7552022074237
276559.0,17737.0,276559.0,16702.0,276559.0,38881.0,924.2688721559982,246.1596632802459,619.4584640497958
276559.0,17752.0,276559.0,16700.0,276559.0,38862.0,916.449561247902,241.0347697768152,608.368002034631
276559.0,17712.0,276559.0,16723.0,276559.0,38881.0,908.4458980290567,236.0592295869072,597.5219584481724
276559.0,17713.0,276559.0,16711.0,276559.0,38833.0,900.2898507740088,231.24913014261875,586.9562529259655
276559.0,17704.0,276559.0,16675.0,276559.0,38836.0,892.0130067614534,226.6195528723012,576.704649097422
276559.0,17682.0,276559.0,16702.0,276559.0,38802.0,883.6464943334058,222.1845609171442,566.7986606753686
276569.0,17663.0,276569.0,16650.0,276569.0,38791.0,875.2209092780311,217.95700707977346,557.2673485128296
276569.0,17669.0,276569.0,16669.0,276569.0,38793.0,866.7661635801614,213.94833963747112,548.1371472433741
276569.0,17643.0,276569.0,16672.0,276569.0,38778.0,858.3113850670817,210.16844608001432,539.4318338920872
276569.0,17630.0,276569.0,16664.0,276569.0,38753.0,849.8848872185268,206.62568820441268,531.1725951016778
276569.0,17607.0,276569.0,16654.0,276569.0,38758.0,841.514044277018,203.32705741509054,523.378006019796
276569.0,17583.0,276569.0,16633.0,276569.0,38725.0,833.2250322920561,200.27816461310084,516.0639282545396
276579.0,17588.0,276579.0,16634.0,276579.0,38722.0,825.0425384236039,197.48303206773184,509.24339510177117
276579.0,17585.0,276579.0,16651.0,276579.0,38725.0,816.9896197938808,194.94391576967303,502.9264976963984
276579.0,17570.0,276579.0,16657.0,276579.0,38704.0,809.0877940607886,192.6614009815963,497.12037284998775
276579.0,17565.0,276579.0,16653.0,276579.0,38707.0,801.3571849013076,190.6347304365089,491.82926796157017
276579.0,17538.0,276579.0,16625.0,276579.0,38697.0,793.8165476657621,188.8620352947284,487.05457551077336
276579.0,17529.0,276579.0,16624.0,276579.0,38692.0,786.4831563360822,187.34024020081125,482.79486532466274
276590.0,17514.0,276590.0,16637.0,276590.0,38697.0,779.3726078447228,186.06481249228517,479.04594897309835
276590.0,17510.0,276590.0,16640.0,276590.0,38692.0,772.4986545001467,185.02970981094884,475.80099252527293
276590.0,17508.0,276590.0,16641.0,276590.0,38693.0,765.8731510341187,184.22757483191515,473.0506798222747
276590.0,17510.0,276590.0,16637.0,276590.0,38674.0,759.5061401091574,183.6499425523062,470.7833374389037
276590.0,17471.0,276590.0,16638.0,276590.0,38685.0,753.4059807850933,183.2873328799076,468.9849548497943
276590.0,17470.0,276590.0,16641.0,276590.0,38664.0,747.5793010557886,183.1292834332654,467.6391527910757
276600.0,17476.0,276600.0,16652.0,276600.0,38690.0,742.0308025161121,183.164424043619,466.72718728853346
276600.0,17478.0,276600.0,16673.0,276600.0,38691.0,736.763242762164,183.38068436170258,466.2280829703226
276600.0,17454.0,276600.0,16644.0,276600.0,38698.0,731.7776338212445,183.7655985063766,466.1189347167374
276600.0,17460.0,276600.0,16631.0,276600.0,38699.0,727.0733671276143,184.30642179764118,466.3752447543427
276600.0,17447.0,276600.0,16653.0,276600.0,38680.0,722.6482002487794,184.98993248123762,466.97112391323583
276600.0,17443.0,276600.0,16662.0,276600.0,38686.0,718.4982450157656,185.80229526832335,467.87929509987674
276610.0,17441.0,276610.0,16658.0,276610.0,38704.0,714.6179834363217,186.7292421059611,469.07103338563707
276610.0,17443.0,276610.0,16682.0,276610.0,38724.0,711.0003155620273,187.7563581333772,470.5163269107826
276610.0,17440.0,276610.0,16647.0,276610.0,38724.0,707.6366799592286,188.86927900461447,472.18431214514305
276610.0,17439.0,276610.0,16660.0,276610.0,38716.0,704.5172126065798,190.05371302062375,474.04369507777824
276610.0,17428.0,276610.0,16667.0,276610.0,38724.0,701.6308696147489,191.29532091353397,476.06293064695586
276610.0,17426.0,276610.0,16667.0,276610.0,38730.0,698.965471585679,192.57969254356067,478.21026665061396
276621.0,17442.0,276621.0,16673.0,276621.0,38759.0,696.5077347245754,193.89247358822024,480.45390207071085
276621.0,17427.0,276621.0,16679.0,276621.0,38757.0,694.2434105184453,195.2195030515602,482.76235392449325
276621.0,17421.0,276621.0,16690.0,276621.0,38751.0,692.1574575059825,196.5469640784138,485.1048576015113
276621.0,17428.0,276621.0,16665.0,276621.0,38745.0,690.234093817369,197.8615363861936,487.4515386147681
276621.0,17420.0,276621.0,16661.0,276621.0,38739.0,688.4568139395914,199.15037267195893,489.7733304486133
276621.0,17436.0,276621.0,16681.0,276621.0,38753.0,686.8084956852699,200.4008974014348,492.04183779176526
276631.0,17437.0,276631.0,16681.0,276631.0,38777.0,685.2716080137657,201.60073397700313,494.2293747745159
276631.0,17434.0,276631.0,16702.0,276631.0,38760.0,683.8284818028086,202.73790235104238,496.30924590803306
276631.0,17425.0,276631.0,16680.0,276631.0,38789.0,682.4615146143909,203.8010952289178,498.2560743155117
276631.0,17422.0,276631.0,16686.0,276631.0,38755.0,681.1532149071343,204.77980658891596,500.0460020490476
276631.0,17420.0,276631.0,16669.0,276631.0,38765.0,679.8861591151496,205.6642501469998,501.65672080974537
276631.0,17427.0,276631.0,16703.0,276631.0,38761.0,678.6429896511311,206.4452320264998,503.0673601481708
276641.0,17425.0,276641.0,16680.0,276641.0,38791.0,677.4065151063934,207.11418436795407,504.25845444994377
276641.0,17412.0,276641.0,16712.0,276641.0,38766.0,676.1598443996182,207.6633419615257,505.21213913344945
276641.0,17411.0,276641.0,16650.0,276641.0,38764.0,674.8864218617454,208.08585171000402,505.9123439579812
276641.0,17410.0,276641.0,16675.0,276641.0,38732.0,673.5699718953508,208.3756107765934,506.34469867208054
276641.0,17407.0,276641.0,16666.0,276641.0,38738.0,672.1944792123745,208.52693280195888,506.49618390007026
276641.0,17413.0,276641.0,16691.0,276641.0,38754.0,670.7442476724428,208.5344188009896,506.3548292661942
276652.0,17428.0,276652.0,16670.0,276652.0,38738.0,669.2040524025392,208.393115895798,505.90970202405026
276652.0,17415.0,276652.0,16671.0,276652.0,38742.0,667.5594039140902,208.09866657131886,505.1510550349684
276652.0,17404.0,276652.0,16674.0,276652.0,38743.0,665.7967709020431,207.64729278488974,504.070409812533
276652.0,17390.0,276652.0,16668.0,276652.0,38714.0,663.9035679128302,207.0357466103082,502.66056887316796
276652.0,17400.0,276652.0,16662.0,276652.0,38713.0,661.8679872410759,206.26130241503733,500.9155131420105
276652.0,17395.0,276652.0,16690.0,276652.0,38736.0,659.6789223540951,205.32177448468548,498.8302372619913
276662.0,17399.0,276662.0,16677.0,276662.0,38714.0,657.3260641727952,204.21566339008422,496.40079012868614
276662.0,17388.0,276662.0,16668.0,276662.0,38715.0,654.8000511654777,202.9423785475072,493.6244661692077
276662.0,17376.0,276662.0,16656.0,276662.0,38689.0,652.0925379946591,201.50226988658252,490.49984393087925
276662.0,17365.0,276662.0,16653.0,276662.0,38690.0,649.1961243284071,199.89644435854143,487.0266356364224
276662.0,17369.0,276662.0,16641.0,276662.0,38670.0,646.1042128902795,198.12655547920934,483.20549143354015
276662.0,17366.0,276662.0,16633.0,276662.0,38703.0,642.810954835396,196.19462658384774,479.03790810199433
276672.0,17358.0,276672.0,16652.0,276672.0,38675.0,639.3113231379476,194.10292393119153,474.5263636169569
276672.0,17337.0,276672.0,16625.0,276672.0,38682.0,635.6011644210784,191.85395446859647,469.674568234522
276672.0,17336.0,276672.0,16627.0,276672.0,38643.0,631.6771059417281,189.4504971167206,464.4875628588999
276672.0,17320.0,276672.0,16631.0,276672.0,38637.0,627.5363886928186,186.89554606820116,458.9715613569779
276672.0,17324.0,276672.0,16641.0,276672.0,38632.0,623.1767542245279,184.19232183479454,453.1336742676769
276672.0,17317.0,276672.0,16623.0,276672.0,38619.0,618.5964318175443,181.34444505819712,446.981734289353
276683.0,17313.0,276683.0,16629.0,276683.0,38617.0,613.7942119123804,178.35608477148438,440.5242759303377
276683.0,17307.0,276683.0,16614.0,276683.0,38600.0,608.7695451362044,175.23197575715085,433.77056180927684
276683.0,17292.0,276683.0,16585.0,276683.0,38571.0,603.5226022027243,171.97731903085187,426.73054402100513
276683.0,17286.0,276683.0,16585.0,276683.0,38562.0,598.0542643429194,168.59751470476914,419.41466919821926
276683.0,17273.0,276683.0,16587.0,276683.0,38570.0,592.3660604472203,165.09784646335723,411.83364432077263
276683.0,17270.0,276683.0,16588.0,276683.0,38557.0,586.4601075517025,161.4833805614383,403.9984219682686
276693.0,17260.0,276693.0,16602.0,276693.0,38534.0,580.3390950902362,157.75911762384206,395.92034800196467
276693.0,17249.0,276693.0,16589.0,276693.0,38525.0,574.0063006983283,153.9302614902273,387.61118799655424
276693.0,17232.0,276693.0,16574.0,276693.0,38505.0,567.4655747428437,150.0024228037397,379.08299562341034
276693.0,17225.0,276693.0,16558.0,276693.0,38476.0,560.7212550175935,145.981583131598,370.34792783505935
276693.0,17211.0,276693.0,16575.0,276693.0,38519.0,553.7780600466863,141.87390443016963,361.41809955006704
276693.0,17214.0,276693.0,16565.0,276693.0,38466.0,546.6410377537666,137.6856710281315,352.3056636236137
276704.0,17207.0,276704.0,16558.0,276704.0,38454.0,539.3156219576557,133.42341047248254,343.0229821418255
276704.0,17181.0,276704.0,16533.0,276704.0,38453.0,531.8077459336416,129.09394209105886,333.58255675226843
276704.0,17154.0,276704.0,16519.0,276704.0,38430.0,524.1238084646752,124.70418913754943,323.9968754760996
276704.0,17157.0,276704.0,16518.0,276704.0,38395.0,516.270421357372,120.26085953210634,314.27833344450465
276704.0,17150.0,276704.0,16530.0,276704.0,38409.0,508.254199273532,115.7702540107274,304.4390652559046
276704.0,17149.0,276704.0,16527.0,276704.0,38422.0,500.0818041513765,111.23836134010722,294.4908747319141
276714.0,17124.0,276714.0,16532.0,276714.0,38373.0,491.7601144805562,106.671135157968,284.4454883310031
276714.0,17108.0,276714.0,16507.0,276714.0,38337.0,483.2962763641103,102.0747255839135,274.3146967329967
