c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
344760,15275,344760,27105,344760.0,55542.0,-393.5774493615669,-42.838454260704225,-252.78459770805898
344760,15316,344760,27141,344760.0,55642.0,-367.92947589875723,-26.307782223444093,-192.3818032317531
344760,15364,344760,27156,344760.0,55741.0,-341.5689113766923,-9.484265598041986,-131.0406521144091
344760,15387,344760,27208,344760.0,55881.0,-314.5437489025417,7.586171936707672,-68.921136651339
344771,15436,344771,27257,344771.0,55981.0,-286.90382036367055,24.856576062179954,-6.18584748889009
344771,15463,344771,27302,344771.0,56079.0,-258.7005552588759,42.27970643220914,57.001645029130145
344771,15503,344771,27268,344771.0,56157.0,-229.98678359798447,59.80880325921831,120.47817744058773
344771,15523,344771,27279,344771.0,56228.0,-200.81659941689418,77.39780266136447,184.0819242714407
344771,15563,344771,27294,344771.0,56315.0,-171.24532974054858,95.000923358477,247.65295584456044
344771,15605,344771,27310,344771.0,56406.0,-141.3295343852049,112.57218475867307,311.033678967108
344781,15638,344781,27367,344781.0,56483.0,-111.12691338208435,130.06526873944296,374.0693801868696
344781,15700,344781,27383,344781.0,56607.0,-80.69609388004596,147.4337670898122,436.60892123899475
344781,15725,344781,27447,344781.0,56707.0,-50.09631894260042,164.63171087845336,498.5056726360431
344781,15799,344781,27495,344781.0,56780.0,-19.38706062606866,181.61429622428182,559.6186801675383
344781,15858,344781,27527,344781.0,56854.0,11.372495169966896,198.33878771082067,619.8136966828449
344781,15894,344781,27521,344781.0,56947.0,42.124146617922065,214.76533375314938,678.9638590797788
344791,15922,344791,27563,344791.0,56998.0,72.81130963707801,230.85735328384334,736.9502091164998
344791,15945,344791,27550,344791.0,57070.0,103.3792755326698,246.5815861101861,793.662135005409
344791,15987,344791,27547,344791.0,57089.0,133.77515514263337,261.90797204787646,848.9975595539499
344791,15996,344791,27557,344791.0,57135.0,163.94774197082438,276.80929312952884,902.8627489197386
344791,16051,344791,27560,344791.0,57215.0,193.84738102132087,291.26069319598474,955.1718950484762
344791,16081,344791,27605,344791.0,57284.0,223.42590975680912,305.23936717436436,1005.8469402939634
344802,16119,344802,27564,344802.0,57299.0,252.63675171850434,318.7244714467972,1054.8177785482842
344802,16162,344802,27635,344802.0,57370.0,281.43509758766936,331.6970597519913,1102.022382102331
344802,16196,344802,27639,344802.0,57425.0,309.7781084160091,344.1400877948195,1147.4067290174007
344802,16237,344802,27661,344802.0,57461.0,337.62514854789003,356.03867740692084,1190.9248406258687
344802,16271,344802,27685,344802.0,57508.0,364.93802331385314,367.38046676889195,1232.5388965121615
344802,16292,344802,27651,344802.0,57567.0,391.6811722189884,378.15578004271526,1272.2192766889127
344812,16344,344812,27729,344812.0,57554.0,417.82179053209575,388.3576066948143,1309.9445645768094
344812,16357,344812,27732,344812.0,57607.0,443.3299411404446,397.9817024751683,1345.7013599749998
344812,16374,344812,27684,344812.0,57557.0,468.1786354738973,407.0268932272202,1379.4837266614984
344812,16400,344812,27677,344812.0,57612.0,492.34373674030576,415.4949462196437,1411.292325664488
344812,16428,344812,27668,344812.0,57625.0,515.8037571812877,423.3897884577799,1441.133515710633
344812,16448,344812,27658,344812.0,57644.0,538.5397403654758,430.716658805316,1469.018764878186
344822,16470,344822,27689,344822.0,57643.0,560.535211007616,437.4815580707559,1494.9642660074635
344822,16493,344822,27721,344822.0,57754.0,581.776103889242,443.69110617908393,1518.990625991249
344822,16507,344822,27714,344822.0,57721.0,602.2506703958156,449.3528325461033,1541.1229542473639
344822,16550,344822,27724,344822.0,57753.0,621.9494076527405,454.47554528942317,1561.3911898366086
344822,16551,344822,27749,344822.0,57732.0,640.8650652858109,459.0695038039129,1579.8300269224667
344822,16602,344822,27744,344822.0,57759.0,658.9927199989465,463.14656238213433,1596.4784193954968
344833,16592,344833,27751,344833.0,57792.0,676.3298635668245,466.7203533522726,1611.3791370984318
344833,16607,344833,27722,344833.0,57769.0,692.8763991715593,469.8063029301205,1624.578601080522
344833,16629,344833,27683,344833.0,57721.0,708.6344591493514,472.4212850690873,1636.1266261658677
344833,16627,344833,27701,344833.0,57738.0,723.6081676028055,474.5829249575106,1646.075614007689
344833,16642,344833,27671,344833.0,57741.0,737.8034328130609,476.30889363515337,1654.4795532284907
344833,16653,344833,27699,344833.0,57712.0,751.227710637846,477.6164845838184,1661.3933673220195
344843,16668,344843,27695,344843.0,57771.0,763.8897953753028,478.5224676804408,1666.8725377540195
344843,16697,344843,27693,344843.0,57762.0,775.7997370207017,479.0431329366427,1670.9729802564161
344843,16696,344843,27709,344843.0,57785.0,786.9688866598908,479.194383846569,1673.7512635908704
344843,16711,344843,27727,344843.0,57779.0,797.4099502783681,478.99187576744663,1675.2648957716344
344843,16723,344843,27760,344843.0,57788.0,807.1369474122325,478.4513829736591,1675.5724654499345
344843,16740,344843,27770,344843.0,57793.0,816.1651592292751,477.5894262514921,1674.7337074287457
344854,16747,344854,27733,344854.0,57724.0,824.5111526097655,476.42386505386867,1672.8094377970228
344854,16728,344854,27658,344854.0,57723.0,832.1927623603303,474.9738890581006,1669.8610795064983
344854,16740,344854,27666,344854.0,57702.0,839.2288610370779,473.25915356269223,1665.9498330964377
344854,16734,344854,27611,344854.0,57682.0,845.6389785422778,471.2985802320534,1661.1359398564898
344854,16733,344854,27694,344854.0,57703.0,851.4429530262682,469.1095409875546,1655.4782256891556
344854,16753,344854,27699,344854.0,57683.0,856.6606650873291,466.7078393052842,1649.0339115895747
344864,16759,344864,27710,344864.0,57692.0,861.3119112983991,464.10841348206253,1641.8586443224951
344864,16793,344864,27699,344864.0,57674.0,865.4164993938311,461.3260935251836,1634.0065693840452
344864,16781,344864,27676,344864.0,57686.0,868.9945057894547,458.3758829839364,1625.530373618308
344864,16785,344864,27680,344864.0,57676.0,872.0664802807817,455.27282797372635,1616.4813726386094
344864,16791,344864,27679,344864.0,57680.0,874.6534414439072,452.0317886072902,1606.9096737278994
344864,16787,344864,27691,344864.0,57656.0,876.77676326187,448.6673875738677,1596.8643356559592
344874,16775,344874,27648,344874.0,57685.0,878.458041343604,445.19409086496165,1586.3934792695445
344874,16773,344874,27643,344874.0,57594.0,879.7188571002898,441.6260963799961,1575.54432905424
344874,16785,344874,27633,344874.0,57582.0,880.5804918027968,437.97695102134975,1564.3629028168723
344874,16774,344874,27627,344874.0,57552.0,881.0637577961552,434.25918116781213,1552.8932326155975
344874,16786,344874,27648,344874.0,57547.0,881.1889380927212,430.4841485832509,1541.1765971040015
344874,16788,344874,27650,344874.0,57563.0,880.9757587966903,426.66217385533594,1529.2511868318322
344885,16798,344885,27624,344885.0,57534.0,880.4434301330139,422.80280152525955,1517.152174865286
344885,16783,344885,27651,344885.0,57526.0,879.610731159491,418.9149434890414,1504.911894006684
344885,16787,344885,27622,344885.0,57543.0,878.4960039767518,415.00690035933076,1492.5599150797414
344885,16789,344885,27610,344885.0,57551.0,877.1170487359257,411.0863434710592,1480.123247841316
344885,16792,344885,27645,344885.0,57564.0,875.4910584897264,407.16022285982035,1467.6268659311788
344885,16792,344885,27625,344885.0,57515.0,873.6346439067263,403.23480536047254,1455.0942858258534
344895,16792,344895,27625,344895.0,57462.0,871.563876464388,399.31590331166234,1442.5476768646333
344895,16761,344895,27570,344895.0,57489.0,869.2942443521816,395.40890106146423,1430.0073720692387
344895,16763,344895,27591,344895.0,57424.0,866.8404092636486,391.5183827866532,1417.4913011639815
344895,16788,344895,27601,344895.0,57416.0,864.2159011940034,387.6477358425599,1405.0146082303004
344895,16773,344895,27591,344895.0,57424.0,861.4330745681391,383.79914233720564,1392.589285455019
344895,16786,344895,27611,344895.0,57426.0,858.5032868134693,379.97383942191175,1380.224032954621
344905,16786,344905,27633,344905.0,57454.0,855.4370500613919,376.1724478770529,1367.9245911823198
344905,16780,344905,27579,344905.0,57456.0,852.2441333483985,372.3953426395765,1355.6944019491186
344905,16786,344905,27605,344905.0,57434.0,848.9336331902441,368.6427960938946,1343.5353084738244
