c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
276465,13429,276465,33398,276465,50680,150.73877948394806,93.3745253192698,196.35413241155962
276465,13463,276465,33403,276465,50695,163.50305291871655,92.26780639888244,203.99896499199102
276476,13470,276476,33386,276476,50682,176.56127093401494,91.31860461682797,211.8948890633721
276476,13466,276476,33349,276476,50681,189.89187140101964,90.53729303719038,220.03420123176898
276476,13487,276476,33341,276476,50705,203.4725123423846,89.93264563201133,228.4077192703151
276476,13522,276476,33370,276476,50703,217.28000231880296,89.51130873274367,237.0046799571
276476,13530,276476,33403,276476,50743,231.29044162891248,89.27772022655786,245.81284825151764
276476,13571,276476,33408,276476,50751,245.47955483537663,89.23464222721205,254.8188057775721
276486,13530,276486,33312,276486,50695,259.8229543290933,89.38366353051362,264.0081943749525
276486,13555,276486,33288,276486,50703,274.29607870417396,89.72479144560015,273.36546386342934
276486,13596,276486,33366,276486,50784,288.8739099444551,90.25538187279795,282.87332888416114
276486,13624,276486,33441,276486,50814,303.5309943616845,90.96988292467515,292.51290266094355
276486,13663,276486,33432,276486,50820,318.2419401111068,91.86099524358592,302.26463978052095
276486,13667,276486,33450,276486,50844,332.98203592994685,92.9211361397286,312.1092183961829
276496,13666,276496,33397,276496,50821,347.7276357402715,94.14313519960879,322.0279132118064
276496,13682,276496,33393,276496,50814,362.45617432320245,95.52009076929397,332.00253879092384
276496,13679,276496,33389,276496,50858,377.1459605375527,97.04480442998994,342.0151499794043
276496,13744,276496,33432,276496,50864,391.77605034983577,98.70938057209281,352.04792703725315
276496,13707,276496,33384,276496,50842,406.32636227734645,100.50527057855186,362.08334927193715
276496,13751,276496,33487,276496,50928,420.77783962242944,102.42355140700934,372.10434407393984
276507,13742,276507,33416,276507,50884,435.11243753923713,104.45534575257432,382.0945029864924
276507,13755,276507,33394,276507,50875,449.313024594171,106.59212099185811,392.03832488533226
276507,13766,276507,33438,276507,50920,463.36326821277305,108.8254401892962,401.9210921740932
276507,13804,276507,33478,276507,50927,477.2475652817049,111.14672803543634,411.72870024479676
276507,13819,276507,33477,276507,50928,490.95119652264333,113.54776433769847,421.44784542393677
276507,13810,276507,33458,276507,50937,504.46060800391564,116.02139131232404,431.06622985225863
276517,13822,276517,33419,276517,50921,517.7634823044075,118.56163556942755,440.5725125498299
276517,13779,276517,33331,276517,50883,530.8484520379906,121.16300824739139,449.95598885254924
276517,13800,276517,33376,276517,50861,543.7045188775525,123.81920408492329,459.2058771704425
276517,13863,276517,33482,276517,50989,556.3205366524268,126.52220540984413,468.3105898352154
276517,13884,276517,33491,276517,51007,568.6853315925692,129.26285977854647,477.25796584682774
276517,13873,276517,33457,276517,50969,580.7883427043394,132.03230214437062,486.0364112508837
276528,13874,276528,33450,276528,50959,592.6199954095605,134.82266762399976,494.63555926188815
276528,13882,276528,33427,276528,50973,604.1715517740658,137.6268057475173,503.0459445715218
276528,13907,276528,33495,276528,51006,615.4348626166282,140.43783224072124,511.25858058878373
276528,13921,276528,33508,276528,51020,626.4023617679536,143.24924306412373,519.2650632261348
276528,13932,276528,33481,276528,51008,637.0672622703073,146.05553224188947,527.0579566530024
276528,13886,276528,33353,276528,50924,647.423641086092,148.85231801934893,534.6308015553859
276538,13889,276538,33362,276538,50969,657.4660806470393,151.63518220941233,541.977377828226
276538,13929,276538,33456,276538,50995,667.1890536227879,154.39812950755658,549.0908573645661
276538,13942,276538,33474,276538,51063,676.586690584972,157.13334661685602,555.9638266291017
276538,13965,276538,33523,276538,51034,685.653090622569,159.83234637635363,562.589128644225
276538,13974,276538,33483,276538,51024,694.3827663058858,162.48722624131668,568.9605835929318
276538,13960,276538,33465,276538,51004,702.7709176042216,165.0911853429726,575.072975076547
276548,13962,276548,33444,276548,51014,710.813419579749,167.63823156924815,580.9215551903909
276548,13976,276548,33481,276548,51036,718.5066029379489,170.12259291156153,586.5016615393433
276548,13990,276548,33495,276548,51009,725.8471230326957,172.53851526911686,591.8086628893116
276548,13971,276548,33447,276548,50992,732.8320024427176,174.8804752323849,596.837905766333
276548,13991,276548,33495,276548,51036,739.4586266435729,177.1432717468779,601.5844375229569
276548,13996,276548,33451,276548,51037,745.7246604925567,179.32188957808168,606.0428945778569
276559,13989,276559,33470,276559,51046,751.6280373904199,181.41136544999378,610.2077907400799
276559,13999,276559,33472,276559,51046,757.1669645320978,183.40666713990157,614.073853662446
276559,14019,276559,33501,276559,51086,762.3399099103942,185.30270711412896,617.6362517470225
276559,14007,276559,33515,276559,51075,767.1456966004853,187.09466490530036,620.8909201108921
276559,14025,276559,33493,276559,51068,771.583645685939,188.7784362573218,623.8349210044104
276559,14008,276559,33463,276559,51040,775.6536302501476,190.3507801611343,626.4664907304282
276569,14016,276569,33483,276569,51069,779.3560343830889,191.80900201524256,628.7847589925008
276569,14010,276569,33494,276569,51071,782.691651611007,193.15060811684745,630.7895596398531
276569,14035,276569,33516,276569,51073,785.6616259469304,194.373382861996,632.4815635418934
276569,14035,276569,33511,276569,51052,788.2675670777642,195.4757835009663,633.8624664663757
276569,14018,276569,33465,276569,51039,790.5117546533015,196.45719920465783,634.9349142142677
276569,14009,276569,33469,276569,51028,792.3971523503444,197.3177264099703,635.7021730518969
276579,14018,276579,33468,276579,51036,793.9271891397879,198.05764867181279,636.1677760616964
276579,14033,276579,33500,276579,51067,795.105619314228,198.67716742638476,636.3354225579338
276579,14035,276579,33503,276579,51093,795.9366655608894,199.17660626772354,636.2093267535163
276579,14027,276579,33506,276579,51052,796.4252830593373,199.55684588300358,635.7948374656012
276579,14003,276579,33455,276579,51050,796.5772490017464,199.81955857955023,635.0987681469783
276579,14009,276579,33455,276579,51013,796.3989802355563,199.96694488659546,634.1291739825822
276590,14010,276590,33478,276590,51035,795.8972933564019,200.00121907298762,632.8948955782326
276590,14027,276590,33528,276590,51074,795.0793822704101,199.92452145817106,631.4053789607392
276590,14027,276590,33515,276590,51030,793.9530514552426,199.73950838475017,629.6709861175217
276590,14007,276590,33491,276590,51013,792.5269962410554,199.45003087562432,627.7033100752452
276590,13983,276590,33441,276590,51001,790.8108364163543,199.06117536861618,625.5149761077813
276590,13965,276590,33438,276590,50957,788.8147915722752,198.57860366794372,623.1191169048434
276600,13980,276600,33448,276600,50990,786.5492366751181,198.00777073702287,620.5288633056159
276600,13982,276600,33481,276600,50994,784.0245078803863,197.35363536720837,617.7571132610943
276600,13991,276600,33498,276600,51000,781.2510675345135,196.62101330394898,614.8167627593023
276600,13973,276600,33449,276600,50967,778.2398013712843,195.81514970955396,611.72108664072
276600,13953,276600,33433,276600,50939,775.0021480502709,194.9418449982029,608.4837649769848
276600,13945,276600,33431,276600,50952,771.549947354297,194.0069942353913,605.118522202002
276610,13962,276610,33483,276610,50969,767.8952151184055,193.0161854819913,601.6388601986255
276610,13944,276610,33485,276610,50974,764.0501318753838,191.97493972458184,598.0582633322001
276610,13941,276610,33469,276610,50953,760.0271820929719,190.8893473383936,594.3906483341364
276610,13916,276610,33425,276610,50884,755.8391784998449,189.76636224146304,590.6504798115028
276610,13910,276610,33393,276610,50866,751.4991022885681,188.61338117595702,586.8521988041467
276610,13900,276610,33417,276610,50884,747.0198781804734,187.4374478797389,583.0093221245453
276621,13909,276621,33421,276621,50888,742.414243807065,186.24475379043113,579.1339850805509
276621,13908,276621,33445,276621,50926,737.6948182228002,185.04073861669582,575.237194278165
276621,13889,276621,33456,276621,50914,732.8742942572683,183.83056189548796,571.3294804792979
276621,13879,276621,33401,276621,50891,727.9655316863385,182.6195304916354,567.4214978364932
276621,13861,276621,33402,276621,50850,722.9814496231309,181.41306902950487,563.5241381036589
276621,13862,276621,33403,276621,50853,717.9348391348689,180.21627760616082,559.6481190003238
276631,13864,276631,33430,276631,50864,712.8382737547146,179.03366146706662,555.8035361180284
276631,13862,276631,33442,276631,50878,707.704206517249,177.86936032261303,551.9998515741361
276631,13840,276631,33402,276631,50850,702.5451458510452,176.72757967097738,548.2462381365098
276631,13824,276631,33363,276631,50806,697.3736812421198,175.61263104013,544.5517402004112
276631,13792,276631,33358,276631,50806,692.2022530286364,174.52834828577508,540.9249234763492
276631,13794,276631,33391,276631,50811,687.042765082677,173.47741609556357,537.3733611770364
276641,13810,276641,33433,276641,50835,681.9063152044491,172.46133911853713,533.9035169983661
276641,13800,276641,33420,276641,50816,676.8032816430981,171.48111032025957,530.5210772657595
276641,13781,276641,33399,276641,50798,671.7435933667514,170.53790258614933,527.2312949093944
276641,13780,276641,33364,276641,50767,666.7368295915071,169.63314808609326,524.0389545021002
276641,13760,276641,33369,276641,50764,661.7921340784153,168.76806000017746,520.9479885442012
276641,13770,276641,33393,276641,50822,656.9181280447933,167.94316927416617,517.9612042252112
276652,13769,276652,33417,276652,50813,652.1229387680371,167.1583701556703,515.0806021790761
276652,13749,276652,33403,276652,50771,647.414345624094,166.41341378111642,512.3080240535712
276652,13729,276652,33381,276652,50766,642.7998409226575,165.7083115030223,509.64534159600487
276652,13719,276652,33367,276652,50734,638.2864494591017,165.04326547825542,507.0940677920539
276652,13711,276652,33374,276652,50772,633.8804542716748,164.41830055568917,504.6549343777164
276652,13707,276652,33400,276652,50769,629.587226701798,163.83305886618183,502.3278545866641
276662,13721,276662,33396,276662,50766,625.4112273368262,163.2869898421923,500.11225694209435
276662,13719,276662,33384,276662,50749,621.356201943615,162.7796968778439,498.0074015371462
276662,13695,276662,33356,276662,50736,617.4254548683175,162.3110176866732,496.01239752067335
276662,13675,276662,33324,276662,50699,613.6219083611574,161.88066432910938,494.1259481179147
276662,13686,276662,33348,276662,50721,609.9478930760026,161.48762326666238,492.34595273387083
276662,13685,276662,33402,276662,50762,606.4049995148571,161.12987400277865,490.66933449983566
276672,13692,276672,33401,276672,50761,602.9942089018399,160.8048533484577,489.09246366916943
