c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
379618,18067,379618.0,47747.0,379618.0,75137.0,459.60530735661354,533.1375603915197,853.7407054730343
379618,18048,379618.0,47669.0,379618.0,75079.0,458.5458284751976,532.1943856890723,850.889920065258
379629,18035,379629.0,47714.0,379629.0,75076.0,457.43441138511713,531.1352975664735,847.8700890326317
379629,18040,379629.0,47723.0,379629.0,75085.0,456.27969474971115,529.9638619227579,844.6942248906261
379629,18036,379629.0,47716.0,379629.0,75072.0,455.08990957566425,528.682899038972,841.3743810368915
379629,18027,379629.0,47718.0,379629.0,75069.0,453.87286902308927,527.2949022092478,837.9218035135362
379629,18029,379629.0,47744.0,379629.0,75101.0,452.6359898372481,525.8023448663163,834.3471810278745
379629,18048,379629.0,47792.0,379629.0,75093.0,451.3863410987451,524.2081371713658,830.6610697616582
379639,18032,379639.0,47770.0,379639.0,75086.0,450.1308354001445,522.5164545862133,826.8744622565713
379639,18011,379639.0,47684.0,379639.0,75004.0,448.8764124605206,520.7333534675488,822.9990345699297
379639,17989,379639.0,47637.0,379639.0,74993.0,447.6299154407055,518.866327628269,819.0466929049473
379639,17977,379639.0,47642.0,379639.0,74965.0,446.3976698526759,516.9229898316203,815.0286803989809
379639,17970,379639.0,47599.0,379639.0,74971.0,445.1850299509953,514.9098938937775,810.9548750906773
379639,17961,379639.0,47566.0,379639.0,74943.0,443.99606442118767,512.8318088156175,806.8335134597115
379649,17977,379649.0,47645.0,379649.0,74930.0,442.8334155972246,510.69122010980453,802.6710903042164
379649,17975,379649.0,47627.0,379649.0,74947.0,441.69836040808764,508.48838196727024,798.4722707677188
379649,17967,379649.0,47640.0,379649.0,74931.0,440.5910102294648,506.221993032648,794.2399559621939
379649,17980,379649.0,47655.0,379649.0,74909.0,439.51048364989043,503.88987853777985,789.9754878654746
379649,17996,379649.0,47758.0,379649.0,74985.0,438.4550865452164,501.4896869168287,785.6788780411212
379649,17997,379649.0,47699.0,379649.0,74965.0,437.42265530976863,499.0200522456946,781.3493576139635
379660,17980,379660.0,47655.0,379660.0,74963.0,436.4109357974483,496.48162556812576,776.9862626548303
379660,17955,379660.0,47593.0,379660.0,74849.0,435.4176843601622,493.87694304498774,772.5894556175576
379660,17947,379660.0,47581.0,379660.0,74852.0,434.44040403300437,491.2093008964448,768.1587182266253
379660,17940,379660.0,47574.0,379660.0,74879.0,433.47594664266285,488.48162261412347,763.6927330549115
379660,17934,379660.0,47523.0,379660.0,74825.0,432.5202298391694,485.6957716620118,759.1886474497335
379660,17934,379660.0,47546.0,379660.0,74821.0,431.56810760512275,482.85208899633733,754.6420964068275
379670,17941,379670.0,47545.0,379670.0,74842.0,430.6133579474004,479.9490905904938,750.0471299858636
379670,17947,379670.0,47563.0,379670.0,74821.0,429.6488081722896,476.9835637534841,745.3962599181687
379670,17948,379670.0,47564.0,379670.0,74840.0,428.66657770386814,473.9510035981963,740.6807935622344
379670,17949,379670.0,47600.0,379670.0,74887.0,427.6583374859115,470.84617119400923,735.8913441358438
379670,17976,379670.0,47663.0,379670.0,74884.0,426.6155680021583,467.66389091277733,731.0186652247914
379670,17962,379670.0,47628.0,379670.0,74868.0,425.52990319686575,464.4001964021652,726.0546358154027
379680,17947,379680.0,47585.0,379680.0,74811.0,424.3934472357962,461.05324655355724,720.992760687525
379680,17934,379680.0,47514.0,379680.0,74756.0,423.19880128893715,457.62322233127026,715.8278403653964
379680,17910,379680.0,47468.0,379680.0,74764.0,421.9387945163389,454.1112146400438,710.5550840375447
379680,17904,379680.0,47451.0,379680.0,74716.0,420.6060975839229,450.51777308595683,705.1692889246701
379680,17894,379680.0,47479.0,379680.0,74723.0,419.19285655652436,446.84184414954484,699.664379696791
379680,17913,379680.0,47474.0,379680.0,74767.0,417.6904890678049,443.0805075556572,694.0333060872711
379691,17912,379691.0,47500.0,379691.0,74739.0,416.0897523016052,439.2293429082225,688.2684405568746
379691,17916,379691.0,47499.0,379691.0,74727.0,414.3810182999859,435.28301788776355,682.3622111201819
379691,17927,379691.0,47529.0,379691.0,74722.0,412.5545909461255,431.2359241038415,676.30741911933
379691,17944,379691.0,47569.0,379691.0,74774.0,410.6010527834784,427.0829437337535,670.0974202662738
379691,17924,379691.0,47580.0,379691.0,74763.0,408.51167435562877,422.8204624649221,663.7267135555308
379691,17929,379691.0,47532.0,379691.0,74714.0,406.27871839477973,418.4473496162297,657.1917298069477
379701,17893,379701.0,47439.0,379701.0,74648.0,403.8954812845899,413.9651648612396,650.490994327982
379701,17910,379701.0,47409.0,379701.0,74635.0,401.356130731559,409.3772010086694,643.6244088175658
379701,17884,379701.0,47324.0,379701.0,74624.0,398.65551997101204,404.68684646739786,636.5923305064223
379701,17862,379701.0,47405.0,379701.0,74588.0,395.7890292890369,399.89612333928204,629.3950516110353
379701,17850,379701.0,47366.0,379701.0,74608.0,392.7522893196917,395.00508101495797,622.0326143346215
379701,17856,379701.0,47392.0,379701.0,74575.0,389.5408348372691,390.01205128524725,614.5047974839156
379711,17863,379711.0,47382.0,379711.0,74564.0,386.14997857702394,384.91413558734433,606.81120589015
379711,17852,379711.0,47385.0,379711.0,74565.0,382.5749699862765,379.7075844468832,598.9513270463249
379711,17860,379711.0,47450.0,379711.0,74545.0,378.8112306103113,374.3882574048223,590.9245994897465
379711,17864,379711.0,47522.0,379711.0,74582.0,374.85456709839724,368.95260065983473,582.7306487654263
379711,17860,379711.0,47437.0,379711.0,74544.0,370.7014287536441,363.3991526599511,574.3697253823386
379711,17847,379711.0,47398.0,379711.0,74540.0,366.34915713858834,357.7294889784175,565.8431565586957
379722,17821,379722.0,47321.0,379722.0,74489.0,361.79605178202985,351.94774238150524,557.1534919900893
379722,17801,379722.0,47258.0,379722.0,74435.0,357.04116707314245,346.05914932741416,548.3041897891659
379722,17788,379722.0,47252.0,379722.0,74415.0,352.0839314645036,340.0684221458149,539.2989052486856
379722,17780,379722.0,47261.0,379722.0,74398.0,346.92378936403094,333.97857207571076,530.1407182572688
379722,17777,379722.0,47316.0,379722.0,74396.0,341.56000739597096,327.79067883216817,520.8317141160667
379722,17774,379722.0,47252.0,379722.0,74398.0,335.99165719076404,321.5044669694345,511.3730046773841
379732,17781,379732.0,47280.0,379732.0,74369.0,330.2177403215119,315.11890379582564,501.764999504093
379732,17768,379732.0,47297.0,379732.0,74356.0,324.23741089001226,308.63248087796296,492.0076396383661
379732,17780,379732.0,47332.0,379732.0,74404.0,318.0502249580625,302.0436931804938,482.1005757439227
379732,17777,379732.0,47328.0,379732.0,74360.0,311.65640672533414,295.351958723446,472.04361036108844
379732,17761,379732.0,47298.0,379732.0,74357.0,305.05713550769934,288.55848905152783,461.83729094551074
379732,17724,379732.0,47231.0,379732.0,74255.0,298.2546713673544,281.6665276901235,451.48304859530015
379742,17693,379742.0,47190.0,379742.0,74269.0,291.25210079094313,274.6807501238124,440.9826517386126
379742,17689,379742.0,47141.0,379742.0,74221.0,284.0528015044932,267.60612268311695,430.33742197743845
379742,17674,379742.0,47079.0,379742.0,74215.0,276.65998654950994,260.4466370859015,419.5477280820643
379742,17672,379742.0,47103.0,379742.0,74199.0,269.0765258375449,253.20415523934423,408.6127904751422
379742,17664,379742.0,47129.0,379742.0,74192.0,261.30496413032716,245.87778714244757,397.53067072187434
379742,17658,379742.0,47163.0,379742.0,74185.0,253.34762404488504,238.46422681300385,386.29843188000154
379753,17639,379753.0,47150.0,379753.0,74158.0,245.2067150715843,230.95875484585991,374.9123766741326
379753,17639,379753.0,47201.0,379753.0,74202.0,236.8843837658697,223.35628034149033,363.3683251297938
379753,17676,379753.0,47190.0,379753.0,74196.0,228.38284467320767,215.6522766309442,351.6621462892115
379753,17649,379753.0,47182.0,379753.0,74159.0,219.70481654303904,207.8436372514197,339.7905279406416
379753,17615,379753.0,47086.0,379753.0,74122.0,210.85400876257592,199.92905160822863,327.75142795847205
379753,17582,379753.0,47076.0,379753.0,74055.0,201.83511960577744,191.90850983966374,315.5438329632385
379763,17565,379763.0,47056.0,379763.0,74050.0,192.65335224478224,183.78231738769102,303.16705304466484
379763,17535,379763.0,47008.0,379763.0,74021.0,183.31386525868896,175.55031341750464,290.6200483934099
379763,17539,379763.0,46984.0,379763.0,73988.0,173.82138008364734,167.2113112984274,277.9010691639612
379763,17533,379763.0,47062.0,379763.0,73979.0,164.1800221405701,158.76269639838745,265.0074669435238
379763,17528,379763.0,47010.0,379763.0,73990.0,154.39342786567858,150.2006345428016,251.93562931153247
379763,17518,379763.0,47022.0,379763.0,73955.0,144.4649819165915,141.52073741413847,238.68119946781474
379773,17507,379773.0,47003.0,379773.0,73946.0,134.39801646125375,132.71848277688036,225.23941104544633
379773,17521,379773.0,47073.0,379773.0,73985.0,124.19598457532538,123.78949893956678,211.6053884846308
379773,17499,379773.0,47066.0,379773.0,73978.0,113.86271691341557,114.73029641862695,197.77473285624615
379773,17472,379773.0,47008.0,379773.0,73923.0,103.40266642040905,105.53923646496105,183.74434470890037
379773,17467,379773.0,46979.0,379773.0,73855.0,92.82092441481433,96.21687242571409,169.51272112677248
379773,17422,379773.0,46900.0,379773.0,73817.0,82.12303622761192,86.76536650056323,155.07935675003694
379784,17411,379784.0,46906.0,379784.0,73809.0,71.31471943988367,77.18746149839387,140.44381544788314
379784,17393,379784.0,46829.0,379784.0,73772.0,60.401529061790086,67.48550132045875,125.60515465719823
379784,17375,379784.0,46860.0,379784.0,73789.0,49.388603033796755,57.6606882984172,110.56181168507067
