c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
345670,168,345670,12298,345670.0,33397.0,-342.20851553946557,-226.94996574934456,-501.89467755075293
345670,182,345670,12390,345670.0,33449.0,-345.7932530930466,-223.16803758406473,-505.8191324425305
345670,213,345670,12480,345670.0,33535.0,-349.47094531091386,-219.49078607365732,-509.8033847262964
345670,222,345670,12543,345670.0,33521.0,-353.23993315775925,-215.9410817611049,-513.8428575978428
345680,170,345680,12421,345680.0,33427.0,-357.0966140866476,-212.5358061089029,-517.9283423897924
345680,155,345680,12305,345680.0,33358.0,-361.03543879463115,-209.28554752095184,-522.0462091684343
345680,138,345680,12269,345680.0,33320.0,-365.04949414698814,-206.1965512410008,-526.1800628718391
345680,140,345680,12371,345680.0,33387.0,-369.1311503233579,-203.2732167697877,-530.3124814249547
345680,177,345680,12432,345680.0,33453.0,-373.2723292065788,-200.51891041193315,-534.4254885452866
345680,173,345680,12450,345680.0,33419.0,-377.4642809279938,-197.93485602212775,-538.4996606076506
345690,156,345690,12390,345690.0,33384.0,-381.69714203278295,-195.5187450813851,-542.5131451185046
345690,131,345690,12279,345690.0,33304.0,-385.95978957484266,-193.26465064435345,-546.4417894741472
345690,106,345690,12302,345690.0,33357.0,-390.2401776420465,-191.16445569739798,-550.2601904773749
345690,171,345690,12451,345690.0,33410.0,-394.52577620874837,-189.20927426975356,-553.9424268682643
345690,178,345690,12507,345690.0,33453.0,-398.8034893962024,-187.38897944449798,-557.4615670340816
345690,175,345690,12433,345690.0,33409.0,-403.0589867640697,-185.69023116154727,-560.7884525974406
345701,113,345701,12299,345701.0,33290.0,-407.2762110023432,-184.095511539296,-563.8911956007304
345701,82,345701,12247,345701.0,33259.0,-411.4377100790344,-182.58455237391124,-566.7362482863208
345701,102,345701,12272,345701.0,33284.0,-415.52553127502637,-181.1369087575418,-569.2902896197054
345701,115,345701,12381,345701.0,33363.0,-419.5218398418022,-179.73348978142607,-571.5212721952638
345701,137,345701,12433,345701.0,33397.0,-423.40882775536744,-178.356045226371,-573.3978919317306
345701,129,345701,12392,345701.0,33338.0,-427.1682227701548,-176.98549120002747,-574.8883335798042
345711,90,345711,12297,345711.0,33287.0,-430.78095082668165,-175.60095333404504,-575.9597602573699
345711,66,345711,12254,345711.0,33254.0,-434.22732881707026,-174.18056228523648,-576.579098495048
345711,86,345711,12324,345711.0,33319.0,-437.48765273295993,-172.7031239148864,-576.7142395284357
345711,140,345711,12456,345711.0,33400.0,-440.5424957863389,-171.14874433113857,-576.3343343832934
345711,127,345711,12435,345711.0,33367.0,-443.3722800146809,-169.4975807505787,-575.4088539216511
345711,100,345711,12364,345711.0,33311.0,-445.95662590657366,-167.72816174214188,-573.9066108684289
345721,61,345721,12276,345721.0,33232.0,-448.27429624280404,-165.81727694019057,-571.7960885584349
345721,43,345721,12229,345721.0,33222.0,-450.3038461154229,-163.74164536353726,-569.0470045517388
345721,60,345721,12316,345721.0,33287.0,-452.02443542376216,-161.479905996811,-565.6318796975424
345721,82,345721,12381,345721.0,33328.0,-453.4162277711922,-159.0133144151219,-561.5264641347909
345721,96,345721,12391,345721.0,33347.0,-454.4602044141615,-156.3248101959024,-556.7090008719956
345721,66,345721,12305,345721.0,33291.0,-455.1377561496796,-153.397829832732,-551.159386136704
345732,40,345732,12254,345732.0,33244.0,-455.43062039853436,-150.21640778300173,-544.8592512031045
345732,49,345732,12252,345732.0,33278.0,-455.32131586348413,-146.76655808744044,-537.7929683675172
345732,77,345732,12404,345732.0,33389.0,-454.79359167952424,-143.03741927687003,-529.9484119462475
345732,99,345732,12456,345732.0,33418.0,-453.83237961592414,-139.02067962419844,-521.3163819861329
345732,96,345732,12433,345732.0,33381.0,-452.4233368740905,-134.70863522522123,-511.88924153331544
345732,53,345732,12325,345732.0,33294.0,-450.552534469089,-130.09290491028258,-501.6604231660017
345742,29,345742,12260,345742.0,33295.0,-448.20675913754087,-125.1651642075795,-490.6254971492158
345742,60,345742,12258,345742.0,33338.0,-445.3742652958279,-119.91925507810191,-478.7837753856839
345742,87,345742,12367,345742.0,33424.0,-442.0452489288268,-114.35288877317299,-466.1389840916538
345742,109,345742,12462,345742.0,33430.0,-438.21163903888106,-108.46754765299315,-452.6986551046163
345742,99,345742,12430,345742.0,33449.0,-433.86657528753767,-102.26682281328434,-438.47312411407904
345742,72,345742,12332,345742.0,33391.0,-429.0041771848043,-95.75506751751672,-423.4751433881554
345752,70,345752,12348,345752.0,33394.0,-423.6198539649566,-88.93779507285353,-407.7204223377688
345752,94,345752,12414,345752.0,33499.0,-417.7108517764171,-81.82292045259967,-391.22848433447496
345752,156,345752,12553,345752.0,33590.0,-411.2764291884023,-74.42086628279631,-374.0226068202339
345752,161,345752,12555,345752.0,33607.0,-404.31737373237513,-66.74296831985055,-356.1284717125077
345752,138,345752,12488,345752.0,33562.0,-396.8353310305638,-58.79961693499703,-337.57278411241145
