c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172725.0,9819.0,172725.0,22973.0,172725.0,24258.0,-330.50303303030233,-257.0143481887397,-30.591595004444684
172725.0,9814.0,172725.0,23016.0,172725.0,24236.0,-341.38737124805743,-268.8027438573254,-41.29477784673506
172736.0,9803.0,172736.0,22956.0,172736.0,24241.0,-352.4312311631777,-280.6882781458185,-52.216220049270234
172736.0,9754.0,172736.0,22925.0,172736.0,24179.0,-363.61419530276953,-292.6398096039701,-63.33390454091716
172736.0,9749.0,172736.0,22823.0,172736.0,24182.0,-374.9156917199244,-304.6256513210902,-74.62560486694176
172736.0,9708.0,172736.0,22817.0,172736.0,24149.0,-386.31554143434295,-316.61486419185644,-86.06934873270279
172736.0,9713.0,172736.0,22792.0,172736.0,24132.0,-397.79448631941733,-328.5786465688147,-97.64383370370768
172736.0,9698.0,172736.0,22824.0,172736.0,24130.0,-409.3345402323016,-340.4911129853557,-109.3287249389324
172746.0,9701.0,172746.0,22841.0,172746.0,24143.0,-420.91910734183864,-352.329240262437,-121.10476279051719
172746.0,9712.0,172746.0,22822.0,172746.0,24132.0,-432.53288037757625,-364.0722772993787,-132.95355545866443
172746.0,9699.0,172746.0,22833.0,172746.0,24133.0,-444.1615719557449,-375.70114749087145,-144.85720303691514
172746.0,9707.0,172746.0,22831.0,172746.0,24124.0,-455.791594833845,-387.19808122578195,-156.7979822295693
172746.0,9720.0,172746.0,22894.0,172746.0,24126.0,-467.40975227322974,-398.5461836311166,-168.75810649343512
172746.0,9722.0,172746.0,22896.0,172746.0,24132.0,-479.00283372257445,-409.72859209089575,-180.7194609981177
172756.0,9699.0,172756.0,22835.0,172756.0,24099.0,-490.5571688728694,-420.72751551437125,-192.66330691559284
172756.0,9649.0,172756.0,22766.0,172756.0,24076.0,-502.05849062001835,-431.52404634514585,-204.57016407333933
172756.0,9637.0,172756.0,22738.0,172756.0,24028.0,-513.4923239165629,-442.09908789655515,-216.42008304653558
172756.0,9647.0,172756.0,22735.0,172756.0,24018.0,-524.8445771761141,-452.43463669863826,-228.19323041645657
172756.0,9613.0,172756.0,22705.0,172756.0,24001.0,-536.1018550485785,-462.5146190681278,-239.8704842776229
172756.0,9629.0,172756.0,22725.0,172756.0,24019.0,-547.2515092073771,-472.3252339024431,-251.4337390960559
172767.0,9633.0,172767.0,22725.0,172767.0,24004.0,-558.2815915018847,-481.8549823225426,-262.8658254203366
172767.0,9622.0,172767.0,22731.0,172767.0,24004.0,-569.180643103477,-491.0944169906826,-274.15022514412766
172767.0,9607.0,172767.0,22732.0,172767.0,23976.0,-579.9374475290442,-500.03575516274816,-285.2708581059151
172767.0,9631.0,172767.0,22798.0,172767.0,24002.0,-590.5409199320525,-508.6723982853209,-296.2120053242498
172767.0,9643.0,172767.0,22844.0,172767.0,24015.0,-600.9799043478548,-516.9980285340305,-306.9581123816262
172767.0,9616.0,172767.0,22783.0,172767.0,23982.0,-611.2427416438393,-525.0053331142692,-317.49333788245605
172777.0,9584.0,172777.0,22747.0,172777.0,23942.0,-621.3170072123056,-532.6852813820645,-327.80127247527145
172777.0,9558.0,172777.0,22701.0,172777.0,23926.0,-631.1897749597957,-540.0275601212329,-337.86522762767316
172777.0,9554.0,172777.0,22664.0,172777.0,23907.0,-640.8481955021272,-547.021685620866,-347.6688275532493
172777.0,9540.0,172777.0,22656.0,172777.0,23887.0,-650.2799700677937,-553.658131118314,-357.19649401087156
172777.0,9541.0,172777.0,22670.0,172777.0,23883.0,-659.4735768352645,-559.929107686102,-366.4337718839544
172777.0,9552.0,172777.0,22690.0,172777.0,23911.0,-668.4182946201498,-565.8287620854169,-375.36745758976383
172787.0,9545.0,172787.0,22695.0,172787.0,23900.0,-677.1040445220029,-571.3528484989461,-383.9853769846911
172787.0,9544.0,172787.0,22691.0,172787.0,23873.0,-685.5211510655147,-576.4982426519562,-392.2760054498172
172787.0,9562.0,172787.0,22731.0,172787.0,23890.0,-693.6601324462503,-581.2625413113384,-400.2283211330889
172787.0,9569.0,172787.0,22784.0,172787.0,23889.0,-701.5114210359802,-585.6435104970487,-407.8317945872881
172787.0,9564.0,172787.0,22758.0,172787.0,23896.0,-709.0649638664238,-589.6381700036785,-415.0761933932393
172787.0,9546.0,172787.0,22715.0,172787.0,23873.0,-716.3099239911182,-593.2420688140658,-421.9512891328606
172798.0,9505.0,172798.0,22649.0,172798.0,23833.0,-723.2347400658718,-596.4495225439371,-428.4468131027181
172798.0,9501.0,172798.0,22659.0,172798.0,23815.0,-729.8275849714756,-599.25471592005,-434.5528533529237
172798.0,9501.0,172798.0,22635.0,172798.0,23813.0,-736.0769364795115,-601.6528488342927,-440.2604869610169
172798.0,9494.0,172798.0,22647.0,172798.0,23823.0,-741.9719041627604,-603.6407959330364,-445.56220263788873
172798.0,9497.0,172798.0,22663.0,172798.0,23825.0,-747.5023027991875,-605.2173244077567,-450.45191764984475
172798.0,9490.0,172798.0,22673.0,172798.0,23822.0,-752.6586547537956,-606.382989482828,-454.9247633393233
172808.0,9491.0,172808.0,22717.0,172808.0,23821.0,-757.4321965446695,-607.1397521633141,-458.9768883613511
172808.0,9502.0,172808.0,22710.0,172808.0,23827.0,-761.8148676387747,-607.490406249814,-462.6053465798525
172808.0,9526.0,172808.0,22751.0,172808.0,23854.0,-765.7991684335261,-607.4379622962799,-465.8079321395114
