c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
69435,9416,69435.0,45513.0,69435.0,59176.0,82.22010507752267,-38.800871885362426,-21.27272448417832
69435,9439,69435.0,45590.0,69435.0,59208.0,79.55380376602879,-35.73533871327159,-21.752134849895825
69445,9432,69445.0,45612.0,69445.0,59198.0,76.77448884300341,-32.71848816284266,-22.28735657618635
69445,9447,69445.0,45588.0,69445.0,59194.0,73.88203974978586,-29.766149420580625,-22.880619816497124
69445,9411,69445.0,45553.0,69445.0,59181.0,70.87732846061536,-26.891626366179743,-23.533259931889777
69445,9383,69445.0,45504.0,69445.0,59127.0,67.76215034424553,-24.10614660327567,-24.245984482950277
69445,9392,69445.0,45540.0,69445.0,59159.0,64.53879637363616,-21.41986658003811,-25.01944190443753
69445,9404,69445.0,45592.0,69445.0,59209.0,61.209663277590515,-18.842505563495614,-25.85461423664029
69455,9403,69455.0,45610.0,69455.0,59182.0,57.777275950793,-16.3830192305552,-26.75252391272449
69455,9380,69455.0,45595.0,69455.0,59188.0,54.24451562577397,-14.04875778067106,-27.713663363347706
69455,9368,69455.0,45543.0,69455.0,59119.0,50.614636837659624,-11.845073600206597,-28.73792249309871
69455,9357,69455.0,45539.0,69455.0,59144.0,46.891012376287506,-9.775770844953428,-29.82511722277214
69455,9368,69455.0,45572.0,69455.0,59164.0,43.076863133927574,-7.8438726208521246,-30.975564598081583
69455,9371,69455.0,45618.0,69455.0,59212.0,39.175209516297784,-6.051841505692963,-32.19003866287264
69466,9385,69466.0,45608.0,69466.0,59184.0,35.18908073920126,-4.40104082136547,-33.469103040211465
69466,9352,69466.0,45548.0,69466.0,59176.0,31.121803822917485,-2.8911914267060084,-34.81252647940752
69466,9333,69466.0,45509.0,69466.0,59124.0,26.977056483086557,-1.5206860928623058,-36.21932978393565
69466,9326,69466.0,45520.0,69466.0,59134.0,22.7585623864544,-0.28766230357921074,-37.68837710781466
69466,9334,69466.0,45555.0,69466.0,59179.0,18.46972816466041,0.8091196495184221,-39.218918697457404
69466,9361,69466.0,45635.0,69466.0,59182.0,14.113606574163882,1.770364261776237,-40.81049620951835
69476,9341,69476.0,45637.0,69476.0,59187.0,9.693228189559662,2.59727786934522,-42.46234419499858
69476,9330,69476.0,45553.0,69476.0,59142.0,5.2119494009039045,3.2926464801159057,-44.17297583313976
69476,9299,69476.0,45508.0,69476.0,59128.0,0.6734482964612312,3.8607664115202027,-45.94035364022401
69476,9300,69476.0,45555.0,69476.0,59117.0,-3.9186073941374957,4.306296452152125,-47.762477231059776
69476,9316,69476.0,45577.0,69476.0,59179.0,-8.560866262725682,4.633427782384636,-49.637821552824306
69476,9330,69476.0,45606.0,69476.0,59181.0,-13.250235247630386,4.84612838168524,-51.56511769955611
69486,9308,69486.0,45586.0,69486.0,59155.0,-17.983508423745306,4.948868838235796,-53.542700991104205
69486,9290,69486.0,45546.0,69486.0,59133.0,-22.757115737091056,4.946983512804977,-55.56820751803177
69486,9267,69486.0,45492.0,69486.0,59098.0,-27.567271063680394,4.846256094750828,-57.63894097977965
69486,9262,69486.0,45539.0,69486.0,59132.0,-32.4103699525745,4.651974252498192,-59.7525031226387
69486,9287,69486.0,45590.0,69486.0,59149.0,-37.28328099836973,4.36838208648156,-61.907080743614316
69486,9280,69486.0,45612.0,69486.0,59135.0,-42.18327192186851,3.9991818550317717,-64.10119101019708
69497,9267,69497.0,45578.0,69497.0,59141.0,-47.107706050452364,3.548528309363192,-66.33331013672264
69497,9253,69497.0,45524.0,69497.0,59102.0,-52.05389784340683,3.0214166310558426,-68.60180437787321
69497,9236,69497.0,45489.0,69497.0,59081.0,-57.019253020281965,2.423042901228797,-70.90523017204562
69497,9241,69497.0,45530.0,69497.0,59121.0,-62.00151326822976,1.7577197766709745,-73.24281123082508
69497,9257,69497.0,45606.0,69497.0,59147.0,-66.99885669360759,1.0284359749785565,-75.61455430853928
69497,9266,69497.0,45610.0,69497.0,59133.0,-72.00968207538284,0.23759167029598416,-78.02076285447245
69507,9230,69507.0,45575.0,69507.0,59137.0,-77.03223483246146,-0.6118471737613405,-80.46147674182676
69507,9215,69507.0,45512.0,69507.0,59107.0,-82.064505812471,-1.516001994475772,-82.93630959584178
69507,9203,69507.0,45488.0,69507.0,59075.0,-87.10453450188555,-2.4708662375256765,-85.44469788803758
69507,9200,69507.0,45558.0,69507.0,59106.0,-92.1507929259727,-3.473383681146629,-87.98638574305312
69507,9216,69507.0,45603.0,69507.0,59138.0,-97.20234269362192,-4.521646841126795,-90.56165977956243
69507,9217,69507.0,45586.0,69507.0,59118.0,-102.25869238151625,-5.614021276564429,-93.17100007885847
69517,9190,69517.0,45542.0,69517.0,59104.0,-107.31952325842741,-6.748288671887998,-95.8146208237516
69517,9180,69517.0,45488.0,69517.0,59063.0,-112.38461728183756,-7.9217922815687345,-98.49251175840526
69517,9175,69517.0,45510.0,69517.0,59067.0,-117.45406023241509,-9.132388507513241,-101.20495212935779
69517,9187,69517.0,45572.0,69517.0,59099.0,-122.52842048282565,-10.37916651966436,-103.95298712654431
69517,9189,69517.0,45602.0,69517.0,59150.0,-127.6086686463101,-11.662120425046261,-106.7382981469777
69517,9178,69517.0,45578.0,69517.0,59091.0,-132.69592308426033,-12.981107930740343,-109.5624911336421
69528,9159,69528.0,45508.0,69528.0,59055.0,-137.7912903987437,-14.335249028481343,-112.42667921025388
69528,9143,69528.0,45498.0,69528.0,59062.0,-142.89596884443097,-15.723408252778597,-115.3319160848945
69528,9150,69528.0,45533.0,69528.0,59070.0,-148.0115033194913,-17.145159492929153,-118.27985080783999
69528,9167,69528.0,45596.0,69528.0,59105.0,-153.1398883377208,-18.601081892839105,-121.27283280760551
69528,9168,69528.0,45598.0,69528.0,59130.0,-158.28333477393278,-20.092012462176925,-124.31341048660516
69528,9154,69528.0,45559.0,69528.0,59108.0,-163.4438824558176,-21.61804868373835,-127.40358150366701
69538,9127,69538.0,45501.0,69538.0,59045.0,-168.62322685161755,-23.178343312982605,-130.5444058314993
69538,9116,69538.0,45473.0,69538.0,59057.0,-173.822909545134,-24.771926119246736,-133.7363943659332
69538,9130,69538.0,45549.0,69538.0,59076.0,-179.0446397148673,-26.398757267220596,-136.9801731916403
69538,9130,69538.0,45588.0,69538.0,59103.0,-184.29038229623904,-28.059885149919225,-140.27658971115744
69538,9136,69538.0,45574.0,69538.0,59093.0,-189.56213991748538,-29.756542728063483,-143.62621811719976
69538,9128,69538.0,45530.0,69538.0,59060.0,-194.86164913342196,-31.48927920344636,-147.02890367923686
69548,9089,69548.0,45495.0,69548.0,59033.0,-200.19024183701734,-33.25804778528788,-150.48384973483576
69548,9087,69548.0,45497.0,69548.0,59028.0,-205.54903166798272,-35.06301275664143,-153.99017251239323
69548,9103,69548.0,45565.0,69548.0,59054.0,-210.9392412158435,-36.9051631390297,-157.54740168649369
69548,9104,69548.0,45591.0,69548.0,59082.0,-216.36224297538826,-38.786014525124244,-161.15545516328447
69548,9089,69548.0,45580.0,69548.0,59087.0,-221.8192978251779,-40.70660546958419,-164.8140759692085
69548,9082,69548.0,45533.0,69548.0,59036.0,-227.31136739835813,-42.66676585389608,-168.52224729911617
69559,9065,69559.0,45505.0,69559.0,59008.0,-232.8391601810966,-44.665292645837425,-172.2782130892387
69559,9054,69559.0,45509.0,69559.0,59020.0,-238.40330809849178,-46.70072747683424,-176.08009200548167
69559,9054,69559.0,45555.0,69559.0,59067.0,-244.0045602353211,-48.77192455836459,-179.92631588619415
69559,9063,69559.0,45574.0,69559.0,59065.0,-249.64386010415842,-50.87786257513283,-183.8153240327332
69559,9066,69559.0,45553.0,69559.0,59042.0,-255.3221991796226,-53.01694748678601,-187.74489993052663
69559,9044,69559.0,45521.0,69559.0,59011.0,-261.0403579747917,-55.18658338435607,-191.71192351627997
69569,9037,69569.0,45475.0,69569.0,58987.0,-266.7987956901017,-57.383478935139955,-195.71275357973533
69569,9037,69569.0,45491.0,69569.0,59024.0,-272.59773698062537,-59.604452721548384,-199.74379517951485
69569,9046,69569.0,45554.0,69569.0,59025.0,-278.4372150052672,-61.84698070216751,-203.80166733160343
69569,9038,69569.0,45598.0,69569.0,59069.0,-284.3169189726266,-64.1087836639103,-207.88279299776656
69569,9025,69569.0,45533.0,69569.0,59014.0,-290.2359918920015,-66.38674414284438,-211.982769685411
69569,9003,69569.0,45445.0,69569.0,58990.0,-296.1930051981318,-68.67647640679185,-216.09612384821216
69580,8988,69580.0,45471.0,69580.0,58976.0,-302.1861709893408,-70.97323361906689,-220.21672040990137
69580,9004,69580.0,45490.0,69580.0,59009.0,-308.21361788385565,-73.27310605569836,-224.33833379808294
69580,9014,69580.0,45529.0,69580.0,58999.0,-314.27342496893414,-75.57325783783844,-228.45475332905477
69580,9009,69580.0,45565.0,69580.0,59017.0,-320.3633187891784,-77.87121646779914,-232.5594656410449
69580,8982,69580.0,45511.0,69580.0,58960.0,-326.48034306813616,-80.1639518996453,-236.64538388094738
69580,8965,69580.0,45480.0,69580.0,58963.0,-332.62085336686175,-82.44752638858013,-240.70497598387706
69590,8958,69590.0,45462.0,69590.0,58951.0,-338.78081046750304,-84.71760865952477,-244.73070930076256
69590,8973,69590.0,45485.0,69590.0,58992.0,-344.95603463698,-86.9702555213585,-248.7153321927138
69590,8967,69590.0,45547.0,69590.0,59014.0,-351.14216591118526,-89.20212121711991,-252.65161439856067
69590,8977,69590.0,45563.0,69590.0,58997.0,-357.3343932707746,-91.40979512611,-256.53167795493715
69590,8958,69590.0,45483.0,69590.0,58986.0,-363.5271693906332,-93.58887504767189,-260.34646531334033
69590,8916,69590.0,45434.0,69590.0,58938.0,-369.71413777844737,-95.73391553663767,-264.08575572935877
69600,8911,69600.0,45470.0,69600.0,58937.0,-375.88843640343606,-97.83941332980044,-267.7386695054317
69600,8926,69600.0,45508.0,69600.0,58981.0,-382.04314326674324,-99.90059556443893,-271.29418281561743
69600,8935,69600.0,45538.0,69600.0,58965.0,-388.17136832141153,-101.91312052449865,-274.7411191982064
69600,8933,69600.0,45526.0,69600.0,58969.0,-394.26592113514823,-103.87215450154093,-278.0677374712625
69600,8906,69600.0,45475.0,69600.0,58927.0,-400.3189552177887,-105.77177808997827,-281.2615235502842
