c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
414602,7586,414602.0,18701.0,414602.0,26763.0,308.6637006593245,124.43600640852961,196.9071643353468
414602,7585,414602.0,18693.0,414602.0,26761.0,304.3435143437613,120.59177886615791,193.89154275299026
414602,7565,414602.0,18653.0,414602.0,26749.0,299.9244306302723,116.75578153986012,190.82950670397886
414602,7552,414602.0,18652.0,414602.0,26729.0,295.41580017726915,112.93908740440574,187.72727216358447
414602,7530,414602.0,18658.0,414602.0,26762.0,290.82667651566703,109.15157620571134,184.59065320895604
414602,7555,414602.0,18688.0,414602.0,26743.0,286.16556571856586,105.40183869223414,181.42508145032025
414612,7563,414612.0,18669.0,414612.0,26749.0,281.4404336716485,101.69751096818874,178.23581478792005
414612,7540,414612.0,18673.0,414612.0,26727.0,276.6590273303012,98.04568453589765,175.02807425635407
414612,7518,414612.0,18679.0,414612.0,26701.0,271.8291049575643,94.45311857255123,171.8069367677381
414612,7484,414612.0,18593.0,414612.0,26682.0,266.95823308035506,90.92621170953126,168.5769673953327
414612,7514,414612.0,18534.0,414612.0,26719.0,262.0533441894137,87.47039311280115,165.34179745563802
414612,7534,414612.0,18699.0,414612.0,26754.0,257.1205932480428,84.08912896525105,162.10414810126292
414623,7503,414623.0,18651.0,414623.0,26731.0,252.16571313196212,80.78389602415034,158.8664490593003
414623,7511,414623.0,18688.0,414623.0,26700.0,247.19440941238526,77.55535284310241,155.63141494914998
414623,7475,414623.0,18634.0,414623.0,26708.0,242.21241180817864,74.40429402206776,152.40202864304555
414623,7484,414623.0,18624.0,414623.0,26693.0,237.22530151782337,71.33171557826599,149.1812229935791
414623,7479,414623.0,18676.0,414623.0,26704.0,232.23835304319715,68.33851150191754,145.97172021598175
414623,7480,414623.0,18645.0,414623.0,26696.0,227.2565441262486,65.42547131424712,142.77606323437186
414633,7469,414633.0,18615.0,414633.0,26670.0,222.28469517501438,62.59353002898851,139.5966648633885
414633,7453,414633.0,18618.0,414633.0,26675.0,217.32755183256646,59.843673494334695,136.43570677320588
414633,7442,414633.0,18601.0,414633.0,26663.0,212.38971136775262,57.17653348845592,133.29493470531082
414633,7437,414633.0,18597.0,414633.0,26663.0,207.47545546777977,54.5920853778059,130.17553200339376
414633,7446,414633.0,18611.0,414633.0,26671.0,202.5886552278516,52.08951105630916,127.07811390130968
414633,7442,414633.0,18604.0,414633.0,26667.0,197.732865573277,49.66722514386633,124.00283240984238
414643,7420,414643.0,18611.0,414643.0,26686.0,192.9115057759827,47.32304018466412,120.9495897555133
414643,7397,414643.0,18611.0,414643.0,26660.0,188.12785881622128,45.05434542339448,117.91828953192666
414643,7401,414643.0,18573.0,414643.0,26647.0,183.3848206705626,42.858185898943375,114.90894747542758
414643,7398,414643.0,18608.0,414643.0,26672.0,178.68466857409413,40.73116503696623,111.92159913005217
414643,7408,414643.0,18630.0,414643.0,26673.0,174.02908089035535,38.66941975313661,108.95630593311782
414643,7398,414643.0,18656.0,414643.0,26644.0,169.4193518488867,36.66906077491096,106.01338114082861
414654,7391,414654.0,18598.0,414654.0,26640.0,164.8566047909861,34.726829383172955,103.09346524909057
414654,7363,414654.0,18582.0,414654.0,26629.0,160.34183388486585,32.84024822592927,100.19730721372466
