c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
310304,15365,310304,25778,310304.0,54799.0,-173.0104494910675,-158.45692559549295,-503.2316627322145
310304,15371,310304,25806,310304.0,54797.0,-178.62839573076596,-160.74649674243167,-512.9481921731585
310304,15374,310304,25804,310304.0,54780.0,-184.37086540026746,-163.09265259022536,-522.9361945241662
310304,15377,310304,25801,310304.0,54804.0,-190.23633409407861,-165.50096325760416,-533.197567242299
310304,15364,310304,25796,310304.0,54791.0,-196.22267592605397,-167.97632303562636,-543.7339423352653
310304,15352,310304,25851,310304.0,54770.0,-202.32706820110005,-170.52282929336502,-554.546450468611
310314,15366,310314,25804,310314.0,54762.0,-208.54603198802906,-173.1434731397399,-565.6356626671401
310314,15345,310314,25796,310314.0,54741.0,-214.87544678807316,-175.83986432082196,-577.0017581426355
310314,15319,310314,25737,310314.0,54778.0,-221.3105636958499,-178.61249820922123,-588.6446531202073
310314,15297,310314,25750,310314.0,54714.0,-227.8462600303173,-181.46151828356548,-600.5639247106216
310314,15279,310314,25744,310314.0,54711.0,-234.4775416564787,-184.38744183528354,-612.7587949363078
310314,15279,310314,25746,310314.0,54712.0,-241.2000361451474,-187.39148057173293,-625.2283874127119
310325,15292,310325,25743,310325.0,54700.0,-248.01024015115752,-190.47555525485018,-637.9719288645358
310325,15291,310325,25767,310325.0,54687.0,-254.90542805712988,-193.6422046819245,-650.9887113438874
310325,15290,310325,25752,310325.0,54668.0,-261.883359609487,-196.8943869235502,-664.2780681373181
310325,15285,310325,25758,310325.0,54647.0,-268.9420213891123,-200.2352476164218,-677.8395030192996
310325,15276,310325,25764,310325.0,54633.0,-276.0794932599531,-203.66798068790672,-691.6729202538804
310325,15282,310325,25790,310325.0,54662.0,-283.29389129388903,-207.19565189535535,-705.7787772694098
310335,15278,310335,25799,310335.0,54698.0,-290.5832880733379,-210.820800921972,-720.1578099049693
310335,15250,310335,25770,310335.0,54645.0,-297.94561852856395,-214.54496966633042,-734.8102978370678
310335,15240,310335,25710,310335.0,54598.0,-305.37874945931765,-218.36864233907386,-749.7355825169797
310335,15216,310335,25711,310335.0,54589.0,-312.8807714937493,-222.29186849361977,-764.9323880628476
310335,15225,310335,25720,310335.0,54562.0,-320.4503314154515,-226.3150913704988,-780.3994958591198
310335,15214,310335,25729,310335.0,54596.0,-328.08680861562175,-230.43949550429306,-796.1361030460961
310346,15224,310346,25750,310346.0,54554.0,-335.79028511847787,-234.6667986956851,-812.1417313671609
310346,15220,310346,25735,310346.0,54543.0,-343.56137598247903,-238.99882829509102,-828.4160081682244
310346,15213,310346,25730,310346.0,54535.0,-351.40101721491015,-243.43720351733748,-844.9586474064231
310346,15213,310346,25708,310346.0,54520.0,-359.3103022497221,-247.9833078897766,-861.7695274700279
310346,15205,310346,25751,310346.0,54534.0,-367.290383150267,-252.63841012195695,-878.8486249946184
310346,15233,310346,25780,310346.0,54541.0,-375.3423292465643,-257.4034820636234,-896.1957176596213
310356,15199,310356,25719,310356.0,54537.0,-383.46686424725533,-262.27863681149364,-913.809855968723
310356,15174,310356,25721,310356.0,54501.0,-391.66419833182465,-267.2628426217055,-931.6888448485081
310356,15167,310356,25672,310356.0,54485.0,-399.93422637820174,-272.3543011791812,-949.8290669900056
310356,15159,310356,25701,310356.0,54418.0,-408.2769000635483,-277.5510693202596,-968.2257309763909
310356,15148,310356,25693,310356.0,54447.0,-416.692445995209,-282.851412259083,-986.8733682461091
310356,15165,310356,25703,310356.0,54376.0,-425.18139749025715,-288.25375480983735,-1005.7662694092772
310366,15175,310366,25711,310366.0,54429.0,-433.74441975819303,-293.7564087469076,-1024.8986779521451
310366,15141,310366,25711,310366.0,54412.0,-442.38196489860843,-299.35725241984665,-1044.264654489658
310366,15140,310366,25687,310366.0,54380.0,-451.09407846617535,-305.0534739859224,-1063.8576400842499
310366,15147,310366,25697,310366.0,54365.0,-459.8804547286786,-310.84151392041315,-1083.670147853037
310366,15139,310366,25720,310366.0,54383.0,-468.74042491747787,-316.7170632129512,-1103.6937409271084
310366,15123,310366,25690,310366.0,54382.0,-477.67280562660164,-322.67485833032043,-1123.9188315514634
310377,15086,310377,25648,310377.0,54311.0,-486.67590284469384,-328.70854224027175,-1144.3342611254807
310377,15093,310377,25644,310377.0,54321.0,-495.74779712703514,-334.8110125985627,-1164.9272058746594
310377,15075,310377,25628,310377.0,54307.0,-504.8866711602942,-340.9750326674108,-1185.683406490251
310377,15083,310377,25633,310377.0,54261.0,-514.0909369317549,-347.1936377091614,-1206.5872728832478
310377,15079,310377,25652,310377.0,54263.0,-523.3591645828784,-353.46020351761206,-1227.6219231976677
310377,15097,310377,25656,310377.0,54246.0,-532.6898595441962,-359.76819552383586,-1248.7692871012132
310387,15077,310387,25665,310387.0,54266.0,-542.0811224037116,-366.1107120214712,-1270.0100087904043
310387,15058,310387,25625,310387.0,54253.0,-551.5303898848667,-372.4801111191632,-1291.3230207769589
310387,15046,310387,25638,310387.0,54246.0,-561.0344593692614,-378.86795842199245,-1312.6849772902758
310387,15056,310387,25633,310387.0,54247.0,-570.5896614579065,-385.2651661721493,-1334.0697604733732
310387,15058,310387,25673,310387.0,54199.0,-580.1918528310464,-391.66192949666674,-1355.4481390573173
310387,15045,310387,25624,310387.0,54162.0,-589.8361769083815,-398.047366966032,-1376.7877220214982
310397,15028,310397,25606,310397.0,54122.0,-599.5168575519486,-404.40931100077285,-1398.053347819337
310397,15012,310397,25612,310397.0,54138.0,-609.2272242943034,-410.73455203615765,-1419.2076329612096
310397,15002,310397,25580,310397.0,54064.0,-618.959902495393,-417.0092191125484,-1440.2112986008337
310397,14999,310397,25572,310397.0,54054.0,-628.7069905542398,-423.2190585149574,-1461.0234220336865
310397,14993,310397,25583,310397.0,54051.0,-638.460113106632,-429.34968578229723,-1481.6018066233887
310397,14986,310397,25612,310397.0,54053.0,-648.2103646286789,-435.3866172671337,-1501.9031294657195
310408,14989,310408,25579,310408.0,54051.0,-657.9482084758323,-441.3149360034905,-1521.8826435195006
310408,14963,310408,25558,310408.0,54040.0,-667.6633761676972,-447.1190173335343,-1541.493692618474
310408,14975,310408,25574,310408.0,54025.0,-677.344817820534,-452.7826547616393,-1560.6873119935094
310408,14986,310408,25598,310408.0,54033.0,-686.9806210877306,-458.28919394000087,-1579.4119583160357
310408,14970,310408,25588,310408.0,54025.0,-696.557747188436,-463.6212543769393,-1597.6132291895044
310408,14945,310408,25539,310408.0,54032.0,-706.0617685700981,-468.7603895110411,-1615.233468525801
310418,14922,310418,25533,310418.0,53950.0,-715.4769364700342,-473.68725437880994,-1632.2114639642332
310418,14907,310418,25530,310418.0,53928.0,-724.7865484852566,-478.38215802319746,-1648.4826631787366
310418,14902,310418,25518,310418.0,53900.0,-733.97333738216,-482.8254791436586,-1663.9799292607104
310418,14902,310418,25533,310418.0,53905.0,-743.0196772852237,-486.99780193440154,-1678.6342625193593
310418,14900,310418,25549,310418.0,53901.0,-751.9075673249977,-490.8798375010058,-1692.3750658798247
310418,14887,310418,25546,310418.0,53899.0,-760.6185005712266,-494.4521233892496,-1705.1300330048862
310428,14881,310428,25541,310428.0,53868.0,-769.1333766834807,-497.6946779162745,-1716.8249629556412
310428,14872,310428,25515,310428.0,53860.0,-777.4325094710599,-500.58689123328634,-1727.3837769302754
310428,14884,310428,25536,310428.0,53846.0,-785.495630817456,-503.10767805147646,-1736.7287495973358
310428,14891,310428,25555,310428.0,53812.0,-793.3017438748692,-505.2355749731508,-1744.7808178427088
310428,14872,310428,25539,310428.0,53828.0,-800.828832256909,-506.94854026328113,-1751.4599350341562
310428,14867,310428,25513,310428.0,53770.0,-808.0536566145643,-508.22375626638524,-1756.685457163137
310439,14843,310439,25496,310439.0,53761.0,-814.9517991825116,-509.0378540904562,-1760.3766403452119
310439,14822,310439,25488,310439.0,53731.0,-821.49791657172,-509.3674702251385,-1762.453365604374
310439,14814,310439,25497,310439.0,53723.0,-827.6661226686737,-509.1897533600781,-1762.8369417610497
310439,14798,310439,25488,310439.0,53725.0,-833.4303830553407,-508.4826238273398,-1761.4507704397756
310439,14837,310439,25520,310439.0,53714.0,-838.7647315517504,-507.2248147336881,-1758.2208150170973
310439,14817,310439,25508,310439.0,53720.0,-843.6431599646314,-505.395750135415,-1753.075940735525
310449,14801,310449,25479,310449.0,53758.0,-848.0393619924515,-502.97544510146685,-1745.948144559136
310449,14809,310449,25493,310449.0,53730.0,-851.9266984213525,-499.9447136732638,-1736.7726001641056
310449,14825,310449,25543,310449.0,53729.0,-855.2782853009289,-496.2854546609516,-1725.4877469143357
310449,14796,310449,25496,310449.0,53741.0,-858.0669206167502,-491.9805666288065,-1712.0357082322698
310449,14796,310449,25494,310449.0,53686.0,-860.2650344861529,-487.0138265664838,-1696.3629502789304
310449,14786,310449,25456,310449.0,53711.0,-861.8448762456969,-481.3702974131694,-1678.421148397419
310459,14767,310459,25492,310459.0,53719.0,-862.7788158717569,-475.0370646049402,-1658.168165895466
310459,14754,310459,25503,310459.0,53752.0,-863.0397039621005,-468.0037152410537,-1635.5687379213296
310459,14764,310459,25509,310459.0,53742.0,-862.6012891412622,-460.2623538600542,-1610.5948091640637
310459,14751,310459,25541,310459.0,53839.0,-861.4385379345399,-451.807406099847,-1583.225751138943
310459,14754,310459,25553,310459.0,53824.0,-859.527821526468,-442.6353885843921,-1553.4483709134663
310459,14763,310459,25526,310459.0,53847.0,-856.8470653229385,-432.74471807266093,-1521.2568252626813
310470,14753,310470,25533,310470.0,53870.0,-853.3758580297967,-422.13583318360446,-1486.652885890171
310470,14771,310470,25567,310470.0,53920.0,-849.0955270295024,-410.8115923177435,-1449.6464567316475
