c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
310831.0,9435.0,310831.0,5728.0,310831.0,16877.0,162.9705621341077,11.356242286958906,35.546192312248934
310831.0,9433.0,310831.0,5743.0,310831.0,16887.0,160.101540650368,10.980328796418123,34.461729260573776
310831.0,9437.0,310831.0,5747.0,310831.0,16881.0,157.10762040496382,10.586042633054541,33.330842765495305
310831.0,9433.0,310831.0,5743.0,310831.0,16891.0,153.99030776481345,10.170547300966065,32.151648501092964
310831.0,9418.0,310831.0,5730.0,310831.0,16879.0,150.75156051654352,9.73143675814603,30.922614372462608
310831.0,9416.0,310831.0,5724.0,310831.0,16866.0,147.39374756470957,9.266634323150036,29.642551509517688
310841.0,9421.0,310841.0,5743.0,310841.0,16875.0,143.9195455635181,8.774203182090371,28.31047310194309
310841.0,9417.0,310841.0,5744.0,310841.0,16887.0,140.3319302538387,8.252319504869195,26.925480987397584
310841.0,9403.0,310841.0,5746.0,310841.0,16896.0,136.63424622735042,7.6994446599223245,25.48688644349216
310841.0,9408.0,310841.0,5726.0,310841.0,16874.0,132.83021133529653,7.114459809827872,23.994457953137555
310841.0,9395.0,310841.0,5746.0,310841.0,16872.0,128.92386170257802,6.4966212756469295,22.448492404980957
310841.0,9377.0,310841.0,5717.0,310841.0,16863.0,124.91947567598763,5.845445986328727,20.84964092826078
310851.0,9380.0,310851.0,5726.0,310851.0,16865.0,120.82141788766009,5.160587749630734,19.19868767699672
310851.0,9363.0,310851.0,5736.0,310851.0,16862.0,116.63394781710193,4.441708409036933,17.496423204148787
310851.0,9383.0,310851.0,5739.0,310851.0,16864.0,112.36112222855637,3.688489606008997,15.743606330159793
310851.0,9362.0,310851.0,5736.0,310851.0,16863.0,108.00683384298851,2.9007972999760105,13.940976029365526
310851.0,9360.0,310851.0,5726.0,310851.0,16868.0,103.57488897288596,2.078784540572983,12.08929509509452
310851.0,9357.0,310851.0,5721.0,310851.0,16855.0,99.06900054456635,1.2228211905383768,10.189401273143346
310862.0,9346.0,310862.0,5722.0,310862.0,16858.0,94.4927328094027,0.33332951929522725,8.242205125957135
310862.0,9361.0,310862.0,5732.0,310862.0,16869.0,89.84949476027931,-0.5893205412270861,6.248658883664731
310862.0,9353.0,310862.0,5735.0,310862.0,16857.0,85.14263272847224,-1.5447573296280401,4.209805531824081
310862.0,9346.0,310862.0,5719.0,310862.0,16863.0,80.37558966765218,-2.5324795859148823,2.1268696527738484
310862.0,9325.0,310862.0,5719.0,310862.0,16847.0,75.55196102092279,-3.5518490704219152,0.0012685619406873627
310862.0,9320.0,310862.0,5730.0,310862.0,16850.0,70.67534991857451,-4.602199640301267,-2.165466420323966
310872.0,9335.0,310872.0,5736.0,310872.0,16856.0,65.74918551034085,-5.682840195715111,-4.371775635348186
310872.0,9330.0,310872.0,5725.0,310872.0,16855.0,60.776747160678326,-6.7929069963408875,-6.616056484247686
310872.0,9311.0,310872.0,5741.0,310872.0,16849.0,55.76134380091102,-7.93123738834597,-8.896568846449718
310872.0,9299.0,310872.0,5713.0,310872.0,16839.0,50.70634679522412,-9.09633782573897,-11.211410327233217
310872.0,9304.0,310872.0,5695.0,310872.0,16838.0,45.61502359439595,-10.286506935938412,-13.558616032232628
310872.0,9303.0,310872.0,5716.0,310872.0,16841.0,40.49042907893693,-11.500148079485616,-15.936279721094301
310882.0,9291.0,310882.0,5727.0,310882.0,16838.0,35.33546174177016,-12.735965875291171,-18.34258712312822
310882.0,9286.0,310882.0,5724.0,310882.0,16840.0,30.152924735848302,-13.992805919837602,-20.775773619563267
310882.0,9284.0,310882.0,5715.0,310882.0,16831.0,24.945502646795404,-15.269404874311247,-23.23408527732223
310882.0,9280.0,310882.0,5715.0,310882.0,16837.0,19.715742940975446,-16.564342374908282,-25.715777696275694
310882.0,9265.0,310882.0,5702.0,310882.0,16832.0,14.466070332018063,-17.87615231084746,-28.219120348597436
310882.0,9264.0,310882.0,5717.0,310882.0,16835.0,9.198755056488068,-19.203449831903733,-30.74237004119859
310893.0,9267.0,310893.0,5723.0,310893.0,16826.0,3.91585926301687,-20.54494663816367,-33.28373784319173
310893.0,9264.0,310893.0,5725.0,310893.0,16828.0,-1.3807191614728254,-21.899293886072925,-35.84139203439286
310893.0,9255.0,310893.0,5696.0,310893.0,16827.0,-6.689123611386776,-23.26492881779463,-38.41348094409482
310893.0,9244.0,310893.0,5692.0,310893.0,16814.0,-12.007480376496801,-24.640186218345875,-40.998151455921565
310893.0,9245.0,310893.0,5699.0,310893.0,16819.0,-17.333945387674873,-26.023612015081017,-43.593599666092985
310893.0,9239.0,310893.0,5711.0,310893.0,16819.0,-22.66675294753898,-27.414133015676914,-46.198133518441246
310903.0,9235.0,310903.0,5717.0,310903.0,16805.0,-28.00419972490451,-28.810924980670546,-48.810188787282975
310903.0,9234.0,310903.0,5706.0,310903.0,16822.0,-33.34459847557588,-30.21316322500494,-51.42833489049553
310903.0,9206.0,310903.0,5679.0,310903.0,16813.0,-38.68627035347325,-31.61995326426155,-54.051256418517404
310903.0,9210.0,310903.0,5687.0,310903.0,16787.0,-44.02765276973096,-33.03056497990565,-56.67772661671238
310903.0,9206.0,310903.0,5702.0,310903.0,16821.0,-49.367464167163234,-34.44471331890931,-59.306690239935364
310903.0,9210.0,310903.0,5704.0,310903.0,16802.0,-54.70474160316775,-35.86254758903002,-61.93732225448383
310913.0,9200.0,310913.0,5720.0,310913.0,16816.0,-60.038734994522,-37.28438173891149,-64.56891064394526
