c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
103565.0,5696.0,103565.0,16780.0,103565.0,43703.0,186.72585316963176,77.86620140925777,268.4182088471115
103565.0,5700.0,103565.0,16802.0,103565.0,43717.0,187.67267504729372,81.5969033878518,271.1190597182138
103565.0,5700.0,103565.0,16796.0,103565.0,43699.0,188.58138986164306,85.29958087951636,273.77939313872304
103565.0,5691.0,103565.0,16817.0,103565.0,43736.0,189.4492508607699,88.96077186106257,276.39395455871136
103565.0,5721.0,103565.0,16882.0,103565.0,43752.0,190.27376404635856,92.56799902624662,278.9582060864609
103565.0,5720.0,103565.0,16835.0,103565.0,43725.0,191.0528401288143,96.11034721200878,281.468708652203
103575.0,5703.0,103575.0,16841.0,103575.0,43733.0,191.78505726980364,99.57893939499735,283.92335419641654
103575.0,5691.0,103575.0,16809.0,103575.0,43697.0,192.46972707206294,102.9668178204532,286.32121323999434
103575.0,5723.0,103575.0,16867.0,103575.0,43714.0,193.10672541048606,106.26852803711321,288.66216992115
103575.0,5701.0,103575.0,16858.0,103575.0,43740.0,193.6964402532222,109.48003948930733,290.94666832685783
103575.0,5696.0,103575.0,16824.0,103575.0,43730.0,194.23986076147696,112.59896844105694,293.17581904141
103575.0,5694.0,103575.0,16851.0,103575.0,43708.0,194.73852231115438,115.62456303028046,295.3516412642904
103585.0,5685.0,103585.0,16777.0,103585.0,43730.0,195.1943215704776,118.55731696600611,297.4770417870699
103585.0,5670.0,103585.0,16807.0,103585.0,43682.0,195.6093290794925,121.3983818902183,299.5555914746451
103585.0,5690.0,103585.0,16796.0,103585.0,43686.0,195.98559927238128,124.14895850734418,301.59120641586367
103585.0,5689.0,103585.0,16844.0,103585.0,43718.0,196.32509930011267,126.81004691007463,303.5877902958805
103585.0,5701.0,103585.0,16824.0,103585.0,43729.0,196.62985777254073,129.3826795125371,305.54921630096766
103585.0,5686.0,103585.0,16844.0,103585.0,43690.0,196.9021815753477,131.86828240636913,307.47965854732183
103596.0,5684.0,103596.0,16822.0,103596.0,43722.0,197.14474034530284,134.26884737901935,309.38374066837497
103596.0,5679.0,103596.0,16829.0,103596.0,43730.0,197.36048614777218,136.58688014210964,311.2664913035496
103596.0,5697.0,103596.0,16868.0,103596.0,43733.0,197.55256207204516,138.82532707651768,313.13351107928185
103596.0,5694.0,103596.0,16845.0,103596.0,43725.0,197.72436964068154,140.9877313532058,314.9912598492266
103596.0,5695.0,103596.0,16856.0,103596.0,43715.0,197.87975647889095,143.07849690962098,316.84714021423804
103596.0,5680.0,103596.0,16785.0,103596.0,43677.0,198.0231298544619,145.10282911363316,318.7092860440917
103606.0,5663.0,103606.0,16819.0,103606.0,43683.0,198.1593623966162,147.06620221919985,320.5860901664482
103606.0,5665.0,103606.0,16842.0,103606.0,43690.0,198.29351615994923,148.9738108106511,322.48571178737103
103606.0,5674.0,103606.0,16828.0,103606.0,43695.0,198.4305892733601,150.8305393246418,324.4158912183144
103606.0,5660.0,103606.0,16846.0,103606.0,43715.0,198.57545500444056,152.64124913535127,326.3840898609462
103606.0,5679.0,103606.0,16823.0,103606.0,43726.0,198.73291617690597,154.410917588095,328.39780544156497
103606.0,5659.0,103606.0,16821.0,103606.0,43671.0,198.90776347786476,156.14455596823214,330.4648477352333
103616.0,5640.0,103616.0,16827.0,103616.0,43671.0,199.10474845467738,157.84700135935174,332.59319812209026
103616.0,5655.0,103616.0,16848.0,103616.0,43717.0,199.3283799792123,159.5227926967985,334.790562004542
103616.0,5674.0,103616.0,16860.0,103616.0,43703.0,199.5827666354273,161.1763352557126,337.06428570225427
103616.0,5658.0,103616.0,16851.0,103616.0,43684.0,199.8717618962689,162.81224009637762,339.42164567075184
103616.0,5666.0,103616.0,16824.0,103616.0,43672.0,200.19919946478555,164.4354861941136,341.86986423846236
103616.0,5648.0,103616.0,16791.0,103616.0,43679.0,200.5689454499974,166.0511278541498,344.4157646059627
103627.0,5636.0,103627.0,16809.0,103627.0,43665.0,200.9847672516462,167.66365046369248,347.0654574766369
103627.0,5644.0,103627.0,16791.0,103627.0,43663.0,201.45009795428138,169.27640547647727,349.82415623923055
103627.0,5664.0,103627.0,16849.0,103627.0,43656.0,201.96789645818535,170.89144221481007,352.6959889656991
103627.0,5660.0,103627.0,16849.0,103627.0,43704.0,202.54079346543443,172.50980114165571,355.6838920529224
103627.0,5650.0,103627.0,16875.0,103627.0,43663.0,203.17134918347142,174.1321248483525,358.78975941358607
103627.0,5645.0,103627.0,16844.0,103627.0,43685.0,203.8621170766823,175.75920221046638,362.0146467708045
103637.0,5634.0,103637.0,16835.0,103637.0,43677.0,204.61549132034298,177.39209558129176,365.3587760041884
103637.0,5664.0,103637.0,16869.0,103637.0,43704.0,205.43355036459468,179.03193396678432,368.8215196212628
103637.0,5654.0,103637.0,16844.0,103637.0,43708.0,206.31810497389299,180.67979308097944,372.401583906005
103637.0,5646.0,103637.0,16852.0,103637.0,43702.0,207.27088389066836,182.33674926612235,376.09729159922784
103637.0,5632.0,103637.0,16833.0,103637.0,43663.0,208.29355552873773,184.00382189935726,379.90665654376403
