c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
1109,5146,1109,25149,1109.0,61980.0,-307.24368493606045,-299.130830420908,-833.7440331482607
1109,5158,1109,25170,1109.0,62012.0,-314.84103983729216,-307.6476899770112,-851.4800030549113
1109,5143,1109,25147,1109.0,61964.0,-322.6118713472157,-316.31221774811104,-869.6378479139286
1109,5112,1109,25062,1109.0,61895.0,-330.54956945674087,-325.1110031924338,-888.2060511620409
1109,5084,1109,25049,1109.0,61837.0,-338.6473460803668,-334.03095485444123,-907.172919704557
1109,5078,1109,25039,1109.0,61858.0,-346.89875159347235,-343.0603718269683,-926.5277211832564
1119,5086,1119,25030,1119.0,61872.0,-355.298127710039,-352.1897018245253,-946.2613817355723
1119,5105,1119,25085,1119.0,61879.0,-363.84066096704686,-361.41166446496106,-966.3662366296189
1119,5087,1119,25101,1119.0,61868.0,-372.522063305524,-370.72075018473873,-986.8352853562682
1119,5071,1119,25045,1119.0,61807.0,-381.3382522701074,-380.11238644432797,-1007.6616637798813
1119,5057,1119,25016,1119.0,61745.0,-390.28533857348685,-389.58258292004035,-1028.8388010558322
1119,5058,1119,25060,1119.0,61803.0,-399.3598159249716,-399.1282683243144,-1050.361097612154
1130,5082,1130,25129,1130.0,61882.0,-408.5586132632527,-408.74731724440187,-1072.2240315947975
1130,5100,1130,25113,1130.0,61854.0,-417.87876666104773,-418.43758510978284,-1094.4229532781496
1130,5049,1130,25049,1130.0,61799.0,-427.3168708782818,-428.1957770429833,-1116.95156528965
1130,5015,1130,24985,1130.0,61686.0,-436.8689076604662,-438.0173851398785,-1139.8016146936766
1130,5010,1130,24946,1130.0,61689.0,-446.5307139760587,-447.89779344788064,-1162.963961060403
1130,5006,1130,24996,1130.0,61669.0,-456.29857427028537,-457.8335591547352,-1186.4298814221297
1140,5005,1140,25020,1140.0,61680.0,-466.1694450999928,-467.82281779011555,-1210.1916045846847
1140,5010,1140,25017,1140.0,61688.0,-476.140858810634,-477.86466886124066,-1234.2420487567247
1140,5000,1140,24992,1140.0,61682.0,-486.2107026539418,-487.9583676628646,-1258.5741776090053
1140,5001,1140,24957,1140.0,61583.0,-496.37699485114484,-498.1030720733893,-1283.1804809261653
