c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
241908.0,12260.0,241908.0,6035.0,241908.0,19022.0,215.3845198653098,75.874388806,140.02227888334232
241908.0,12269.0,241908.0,6021.0,241908.0,19016.0,218.93465516573664,74.68867858794037,138.986384436588
241908.0,12263.0,241908.0,6030.0,241908.0,19005.0,222.484976103799,73.47802319122712,137.9111365150089
241908.0,12258.0,241908.0,6009.0,241908.0,19002.0,226.0275631484692,72.24514719736426,136.7992811981348
241918.0,12265.0,241918.0,6024.0,241918.0,19007.0,229.55420747976552,70.99241603206542,135.6532198173711
241918.0,12285.0,241918.0,6042.0,241918.0,19009.0,233.05635595739156,69.72183986816674,134.47498341287857
241918.0,12282.0,241918.0,6029.0,241918.0,19022.0,236.52523895977316,68.43528057608917,133.2663581316784
241918.0,12290.0,241918.0,6020.0,241918.0,19004.0,239.95209232520898,67.13468356713852,132.02908257408822
241918.0,12284.0,241918.0,5999.0,241918.0,18997.0,243.32829154199123,65.82203900449801,130.76494298843147
241918.0,12289.0,241918.0,6004.0,241918.0,18989.0,246.6453701370308,64.49910267469147,129.47566304668496
241928.0,12288.0,241928.0,6003.0,241928.0,18996.0,249.89498932392254,63.16713954062094,128.16272170880748
241928.0,12302.0,241928.0,6025.0,241928.0,18983.0,253.06893406182243,61.82689229339708,126.82726708968315
241928.0,12301.0,241928.0,6021.0,241928.0,18997.0,256.1591904349873,60.47879712281414,125.47012021039765
241928.0,12297.0,241928.0,6011.0,241928.0,18987.0,259.15805402481527,59.12326049781934,124.09182609821404
241928.0,12296.0,241928.0,6010.0,241928.0,18994.0,262.058150133365,57.760764212064124,122.69274208874393
241928.0,12298.0,241928.0,5989.0,241928.0,18977.0,264.8523600360476,56.391766299997265,121.27310259941765
241939.0,12298.0,241939.0,6016.0,241939.0,18978.0,267.5337526646728,55.0165455394046,119.83299357881268
241939.0,12318.0,241939.0,6011.0,241939.0,18995.0,270.0955988527975,53.635187850593844,118.37230340619195
241939.0,12319.0,241939.0,6018.0,241939.0,18988.0,272.5315189598365,52.247777317764005,116.89081415865074
241939.0,12314.0,241939.0,5997.0,241939.0,18985.0,274.83570135429466,50.85458743222031,115.38839884421263
241939.0,12308.0,241939.0,5980.0,241939.0,18963.0,277.00300173062874,49.45603780160696,113.86508783097813
241939.0,12308.0,241939.0,6001.0,241939.0,18982.0,279.0288647585524,48.05245274318999,112.32095185826478
241949.0,12306.0,241949.0,6004.0,241949.0,18965.0,280.90919572554685,46.64393744881165,110.75599792919772
241949.0,12313.0,241949.0,6009.0,241949.0,18980.0,282.64029160169014,45.23054979843444,109.17019141089911
241949.0,12311.0,241949.0,6021.0,241949.0,18973.0,284.21885392082726,43.812599848281444,107.56354970094996
241949.0,12312.0,241949.0,5995.0,241949.0,18963.0,285.642045146987,42.39088473457497,105.93623258198119
241949.0,12294.0,241949.0,5981.0,241949.0,18966.0,286.90749554107714,40.96670517712123,104.28855438476832
241949.0,12302.0,241949.0,5978.0,241949.0,18950.0,288.0131958607193,39.54160082140817,102.62091390613223
241959.0,12323.0,241959.0,5991.0,241959.0,18968.0,288.95740751184167,38.117059367533926,100.93372909130375
241959.0,12315.0,241959.0,5985.0,241959.0,18974.0,289.738792588439,36.69447061660027,99.2274918191845
241959.0,12304.0,241959.0,5980.0,241959.0,18960.0,290.35663838451393,35.275236343738186,97.5029711071732
241959.0,12304.0,241959.0,5978.0,241959.0,18946.0,290.8108910752266,33.86081536684909,95.7613461557152
241959.0,12295.0,241959.0,5975.0,241959.0,18949.0,291.10202084996166,32.45268150374678,94.00410326102916
241959.0,12307.0,241959.0,5977.0,241959.0,18941.0,291.23091277616356,31.052289484714734,92.23286250248604
241970.0,12305.0,241970.0,5989.0,241970.0,18949.0,291.19887849402176,29.661115555061613,90.44931426816075
241970.0,12298.0,241970.0,5987.0,241970.0,18944.0,291.00775430953996,28.280809146080458,88.65526354258674
241970.0,12299.0,241970.0,5978.0,241970.0,18937.0,290.6599621954834,26.9133766392617,86.85270499988674
241970.0,12289.0,241970.0,5956.0,241970.0,18934.0,290.15848709391855,25.56120289137816,85.04383979879692
241970.0,12272.0,241970.0,5952.0,241970.0,18933.0,289.5067846075668,24.22682545910108,83.23103199035968
241970.0,12286.0,241970.0,5968.0,241970.0,18935.0,288.7086210079208,22.912651677217596,81.41679350977908
241980.0,12289.0,241980.0,5960.0,241980.0,18923.0,287.76798913300473,21.62088766492461,79.60381791248271
241980.0,12279.0,241980.0,5962.0,241980.0,18933.0,286.68921135727106,20.35365489846174,77.79500610793492
241980.0,12284.0,241980.0,5958.0,241980.0,18910.0,285.47707570046504,19.113081787439015,75.99346174211514
241980.0,12264.0,241980.0,5960.0,241980.0,18917.0,284.13686327339104,17.901325662721035,74.20243994438619
241980.0,12265.0,241980.0,5945.0,241980.0,18915.0,282.6742749991602,16.720567603871388,72.42526957523634
241980.0,12255.0,241980.0,5965.0,241980.0,18925.0,281.09530196083733,15.572984083322424,70.66536826856274
241990.0,12280.0,241990.0,5945.0,241990.0,18912.0,279.40616466187566,14.460749996577036,68.92637444398255
241990.0,12258.0,241990.0,5953.0,241990.0,18912.0,277.613430285466,13.38607300745484,67.21225249275457
