c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207193.0,13002.0,207193.0,27093.0,207193.0,28400.0,-103.23498828280044,-115.48374132565365,-171.5119141164233
207193.0,12956.0,207193.0,27004.0,207193.0,28381.0,-115.15614160738815,-130.153984745507,-187.09667376966252
207193.0,12916.0,207193.0,26937.0,207193.0,28308.0,-127.3983989486303,-145.08828325044033,-203.09381033816356
207193.0,12900.0,207193.0,26902.0,207193.0,28285.0,-139.9417142347352,-160.24722784896036,-219.4779731561882
207193.0,12883.0,207193.0,26871.0,207193.0,28256.0,-152.7671916383782,-175.5945896895782,-236.22451609839192
207193.0,12867.0,207193.0,26864.0,207193.0,28234.0,-165.857466853891,-191.09825161396944,-253.31017505156666
207203.0,12890.0,207203.0,26902.0,207203.0,28239.0,-179.19679798666283,-206.73049618381305,-270.71339986122877
207203.0,12869.0,207203.0,26895.0,207203.0,28239.0,-192.77086863959588,-222.4676269327829,-288.41432935921773
207203.0,12867.0,207203.0,26901.0,207203.0,28215.0,-206.56642108467526,-238.28917468700138,-306.3944729056958
207203.0,12858.0,207203.0,26893.0,207203.0,28219.0,-220.57095878643136,-254.1771572101652,-324.6363480097373
207203.0,12871.0,207203.0,26927.0,207203.0,28229.0,-234.77250049838813,-270.11547986780914,-343.1231474868531
207203.0,12866.0,207203.0,26965.0,207203.0,28215.0,-249.15920623179386,-286.0891419685234,-361.8382626867843
207213.0,12819.0,207213.0,26900.0,207213.0,28179.0,-263.7189786998483,-302.0831946765203,-380.76478678976105
207213.0,12807.0,207213.0,26828.0,207213.0,28112.0,-278.43938263333206,-318.0821856030267,-399.88543786107584
207213.0,12757.0,207213.0,26784.0,207213.0,28081.0,-293.30796330908095,-334.0707361312646,-419.1831025595524
207213.0,12752.0,207213.0,26779.0,207213.0,28094.0,-308.312727915768,-350.03472377998946,-438.64159631039337
207213.0,12720.0,207213.0,26736.0,207213.0,28052.0,-323.4425756401506,-365.962151323475,-458.24603134984324
207213.0,12716.0,207213.0,26755.0,207213.0,28045.0,-338.6875756702313,-381.8435128835293,-477.98279113625824
207224.0,12713.0,207224.0,26759.0,207224.0,28057.0,-354.03905299637427,-397.6717787986271,-497.8394171896211
207224.0,12710.0,207224.0,26791.0,207224.0,28022.0,-369.48944995153073,-413.441922677865,-517.8043642809089
207224.0,12697.0,207224.0,26751.0,207224.0,28022.0,-385.0320204375504,-429.1501264635612,-537.8666587818612
207224.0,12696.0,207224.0,26771.0,207224.0,28009.0,-400.6605129125547,-444.79310484572187,-558.0156426880533
207224.0,12710.0,207224.0,26826.0,207224.0,28033.0,-416.3688423631076,-460.3675532106562,-578.24066201556
207224.0,12701.0,207224.0,26810.0,207224.0,27998.0,-432.1506199282783,-475.8692558113956,-598.5305420727316
207234.0,12658.0,207234.0,26727.0,207234.0,27965.0,-447.9986759684991,-491.2921416473598,-618.873119113133
207234.0,12606.0,207234.0,26662.0,207234.0,27917.0,-463.9050078426829,-506.6283061282207,-639.2552274087216
207234.0,12590.0,207234.0,26636.0,207234.0,27898.0,-479.8612942858856,-521.8691282353102,-659.6631259477329
207234.0,12598.0,207234.0,26625.0,207234.0,27881.0,-495.8594990443612,-537.0065120411736,-680.0829705545572
207234.0,12565.0,207234.0,26593.0,207234.0,27860.0,-511.8920661966929,-552.0335688346927,-700.5010424793093
207234.0,12570.0,207234.0,26623.0,207234.0,27828.0,-527.9518045557868,-566.9448129564246,-720.9038027074802
207244.0,12543.0,207244.0,26640.0,207244.0,27845.0,-544.0317588826263,-581.7359403700216,-741.2779100448663
207244.0,12545.0,207244.0,26600.0,207244.0,27821.0,-560.1251025496043,-596.4032184829696,-761.6100880645268
207244.0,12518.0,207244.0,26609.0,207244.0,27803.0,-576.2250174773471,-610.9429406754448,-781.8868150417303
207244.0,12540.0,207244.0,26656.0,207244.0,27828.0,-592.32453930718,-625.3510832788581,-802.0940032552321
207244.0,12545.0,207244.0,26662.0,207244.0,27811.0,-608.4162223257135,-639.6226349194758,-822.2165770310304
207244.0,12507.0,207244.0,26622.0,207244.0,27790.0,-624.4916102064104,-653.7506125340719,-842.2379135647167
207255.0,12485.0,207255.0,26565.0,207255.0,27733.0,-640.5408912500967,-667.7255797882827,-862.1395416414123
207255.0,12459.0,207255.0,26508.0,207255.0,27691.0,-656.5529933902179,-681.5361214409966,-881.9014063990021
207255.0,12433.0,207255.0,26493.0,207255.0,27666.0,-672.5159007187975,-695.1698995674521,-901.5025368081529
207255.0,12405.0,207255.0,26472.0,207255.0,27662.0,-688.416981421033,-708.614618100232,-920.9216551028511
