c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
104041.0,21935.0,104041.0,31872.0,104041.0,26929.0,-17.784642020400888,-29.141169242194955,-23.906077861496925
104041.0,21927.0,104041.0,31861.0,104041.0,26918.0,-22.390557998724482,-33.26722452437241,-28.223345320126747
104041.0,21897.0,104041.0,31826.0,104041.0,26902.0,-27.104889268639845,-37.46774345893512,-32.66941405063528
104041.0,21898.0,104041.0,31804.0,104041.0,26897.0,-31.92047220509732,-41.735813577813474,-37.23858492532149
104041.0,21908.0,104041.0,31842.0,104041.0,26907.0,-36.830650520891545,-46.065664266934164,-41.925442237392176
104041.0,21904.0,104041.0,31856.0,104041.0,26876.0,-41.82928755689292,-50.45276429490509,-46.72489500387626
104052.0,21907.0,104052.0,31851.0,104052.0,26899.0,-46.91055894909603,-54.89336485355916,-51.63217598349935
104052.0,21880.0,104052.0,31834.0,104052.0,26879.0,-52.06878086128981,-59.38399823782672,-56.642841072155434
104052.0,21869.0,104052.0,31810.0,104052.0,26870.0,-57.298456108055376,-63.92138965144592,-61.75273685116885
104052.0,21864.0,104052.0,31799.0,104052.0,26872.0,-62.59451204337441,-68.50274582556276,-66.95802142827604
104052.0,21872.0,104052.0,31835.0,104052.0,26867.0,-67.95249563943277,-73.1260623562372,-72.25521239737829
104052.0,21880.0,104052.0,31846.0,104052.0,26869.0,-73.36851949909986,-77.79002284490558,-77.64113859479373
104062.0,21876.0,104062.0,31846.0,104062.0,26878.0,-78.83899132643414,-82.49345955286867,-83.11279171812778
104062.0,21853.0,104062.0,31801.0,104062.0,26858.0,-84.36035971142296,-87.23488964184169,-88.66712648176484
104062.0,21847.0,104062.0,31798.0,104062.0,26831.0,-89.92909693314184,-92.01257023693348,-94.30097940068944
104062.0,21847.0,104062.0,31803.0,104062.0,26837.0,-95.5418581855018,-96.82488213112349,-100.01125605658771
104062.0,21844.0,104062.0,31817.0,104062.0,26848.0,-101.1955684218829,-101.67050590011922,-105.79514410123556
104062.0,21850.0,104062.0,31827.0,104062.0,26841.0,-106.88734181139964,-106.54818608310786,-111.6500343725029
104072.0,21833.0,104072.0,31807.0,104072.0,26847.0,-112.61432699824259,-111.45632834413827,-117.57324532931722
104072.0,21822.0,104072.0,31783.0,104072.0,26803.0,-118.37362801399249,-116.39280607009742,-123.56185242634416
104072.0,21801.0,104072.0,31763.0,104072.0,26807.0,-124.16240819289743,-121.35516871186434,-129.61280060382165
104072.0,21806.0,104072.0,31772.0,104072.0,26816.0,-129.97811647110132,-126.34105765862205,-135.72315427873846
104072.0,21808.0,104072.0,31780.0,104072.0,26804.0,-135.81862771661105,-131.3484330721273,-141.8901429263489
104072.0,21809.0,104072.0,31789.0,104072.0,26808.0,-141.68216158222862,-136.37542962030057,-148.1109942515082
104083.0,21808.0,104083.0,31786.0,104083.0,26797.0,-147.56705887597778,-141.41999700362734,-154.3827837205617
104083.0,21779.0,104083.0,31731.0,104083.0,26772.0,-153.47161383332337,-146.47967948876553,-160.7023976838331
104083.0,21764.0,104083.0,31725.0,104083.0,26774.0,-159.3941424570642,-151.55185628799464,-167.0666486341805
104083.0,21787.0,104083.0,31747.0,104083.0,26780.0,-165.3332181732451,-156.63425465578086,-173.47242127838894
104083.0,21776.0,104083.0,31769.0,104083.0,26777.0,-171.28772880041288,-161.72508617018494,-179.9166188199146
104083.0,21780.0,104083.0,31760.0,104083.0,26773.0,-177.2566597634952,-166.8226140186131,-186.39594395762813
