c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
448140,17418,448140,29956,448140.0,59710.0,-312.12983129152565,-284.1216881999102,-857.7953229871114
448140,17421,448140,29944,448140.0,59690.0,-318.55191352097506,-289.4698322870285,-873.4909718095396
448140,17414,448140,29984,448140.0,59753.0,-325.1168492274113,-294.93007177317645,-889.5752428058224
448140,17416,448140,29953,448140.0,59666.0,-331.8230083004608,-300.5027955260863,-906.044873650848
448150,17401,448150,29973,448150.0,59676.0,-338.6685371445834,-306.1880715642529,-922.89581923648
448150,17404,448150,29932,448150.0,59627.0,-345.6513446584719,-311.98551302682245,-940.1234743911128
448150,17405,448150,29931,448150.0,59619.0,-352.7690960463707,-317.8944036990913,-957.7231477142453
448150,17397,448150,29947,448150.0,59644.0,-360.0191376277419,-323.9139333491311,-975.6903596633778
448150,17350,448150,29915,448150.0,59609.0,-367.3984822383984,-330.0432939784126,-994.0207667147744
448150,17352,448150,29890,448150.0,59564.0,-374.9040961292232,-336.2817402190893,-1012.7099667280199
448161,17345,448161,29881,448161.0,59557.0,-382.5333538894067,-342.62892150492996,-1031.7536753916
448161,17365,448161,29910,448161.0,59525.0,-390.28424662513396,-349.0852735448625,-1051.1481747246883
448161,17340,448161,29887,448161.0,59513.0,-398.15525038420566,-355.6520501964993,-1070.8906533075735
448161,17359,448161,29907,448161.0,59500.0,-406.1451119033593,-362.33108071953825,-1090.9793918072673
448161,17342,448161,29914,448161.0,59556.0,-414.25269338946,-369.12449319197,-1111.4136886508086
448161,17346,448161,29914,448161.0,59484.0,-422.47683792645665,-376.03437570142455,-1132.1933761458797
448171,17328,448171,29893,448171.0,59534.0,-430.81627780705116,-383.0624481004859,-1153.3182447975823
448171,17314,448171,29919,448171.0,59505.0,-439.2696566567439,-390.20990818244445,-1174.7876267719748
448171,17345,448171,29895,448171.0,59436.0,-447.8355945603889,-397.47733282475906,-1196.6001041138873
448171,17312,448171,29890,448171.0,59457.0,-456.51260195776035,-404.8645551373629,-1218.753578515086
448171,17291,448171,29829,448171.0,59427.0,-465.29894960949525,-412.3707665135411,-1241.2455832757512
448171,17284,448171,29843,448171.0,59408.0,-474.19281442791794,-419.99499536363356,-1264.0733659958353
448181,17281,448181,29818,448181.0,59382.0,-483.19258182690635,-427.73668125402276,-1287.2338574224254
448181,17265,448181,29845,448181.0,59390.0,-492.29700108840757,-435.59595996873543,-1310.7237147434535
448181,17264,448181,29842,448181.0,59371.0,-501.50522617363924,-443.5735643918708,-1334.5392330051877
448181,17290,448181,29870,448181.0,59401.0,-510.8167743969568,-451.6704342971401,-1358.675987147482
448181,17274,448181,29901,448181.0,59352.0,-520.2312633538638,-459.88708764208053,-1383.1282938219438
448181,17274,448181,29829,448181.0,59361.0,-529.7480293308499,-468.2229334549717,-1407.888740032722
448192,17253,448192,29857,448192.0,59320.0,-539.3659166039988,-476.67598568811377,-1432.9479508026675
448192,17261,448192,29842,448192.0,59294.0,-549.0832659819679,-485.2430144865804,-1458.2945576541397
448192,17240,448192,29833,448192.0,59294.0,-558.8979346624786,-493.91964317290524,-1483.915281185365
448192,17237,448192,29792,448192.0,59231.0,-568.8072968617973,-502.7003789072302,-1509.7950269198323
448192,17216,448192,29794,448192.0,59243.0,-578.8082920676213,-511.5788847654554,-1535.9169948529566
448192,17213,448192,29811,448192.0,59221.0,-588.8975371880182,-520.5482971083047,-1562.2627667520164
448202,17212,448202,29779,448202.0,59218.0,-599.0714176967675,-529.6012423864889,-1588.812169377422
448202,17191,448202,29820,448202.0,59193.0,-609.3260910997535,-538.7296345506868,-1615.5429546934258
448202,17198,448202,29789,448202.0,59208.0,-619.6574595016498,-547.9244111556161,-1642.4304636659717
448202,17195,448202,29791,448202.0,59246.0,-630.0611235386525,-557.1752630627634,-1669.4470962829755
448202,17188,448202,29774,448202.0,59130.0,-640.5322409085538,-566.4705158868665,-1696.5615562202327
448202,17179,448202,29784,448202.0,59154.0,-651.0653543999381,-575.7971432832294,-1723.738496378503
448212,17179,448212,29820,448212.0,59121.0,-661.6542887401242,-585.1406169913698,-1750.9387464156353
448212,17180,448212,29761,448212.0,59096.0,-672.2920476327772,-594.4844969197646,-1778.119483919509
448212,17144,448212,29771,448212.0,59068.0,-682.9706909482472,-603.8101543455618,-1805.2342169179346
448212,17136,448212,29734,448212.0,59024.0,-693.681372403192,-613.0969201775943,-1832.2329049236225
448212,17124,448212,29712,448212.0,59022.0,-704.4145804821832,-622.3224625825192,-1859.062213941423
448212,17128,448212,29693,448212.0,58981.0,-715.1603359903645,-631.463242857722,-1885.6657168206511
448223,17125,448223,29683,448223.0,58992.0,-725.9081704781086,-640.4949895538649,-1911.983935438406
448223,17127,448223,29697,448223.0,58991.0,-736.6469324046234,-649.3929912530087,-1937.9541597526363
448223,17108,448223,29711,448223.0,58982.0,-747.3645589926871,-658.1320347432545,-1963.5099889846815
448223,17102,448223,29709,448223.0,58970.0,-758.0479557968291,-666.6860096261178,-1988.5807588599018
448223,17094,448223,29709,448223.0,58945.0,-768.6830046126122,-675.0274311167677,-2013.0911221651936
448223,17105,448223,29715,448223.0,58876.0,-779.2545524188181,-683.1270862823544,-2036.9609650221332
448233,17087,448233,29690,448233.0,58901.0,-789.746268480478,-690.9538066358715,-2060.1057058325478
448233,17082,448233,29652,448233.0,58844.0,-800.1404712891018,-698.4744692182444,-2082.4366658055587
448233,17050,448233,29623,448233.0,58815.0,-810.4181100266205,-705.6544174039466,-2103.8613114226787
448233,17057,448233,29648,448233.0,58794.0,-820.5589274320959,-712.4581061945141,-2124.283604428205
448233,17031,448233,29619,448233.0,58784.0,-830.5416589767701,-718.8494894445439,-2143.604427926034
448233,17022,448233,29555,448233.0,58750.0,-840.3441880498431,-724.7922250396465,-2161.7218468115243
448243,17013,448243,29619,448243.0,58758.0,-849.9437084316346,-730.2501180946529,-2178.5312583532295
448243,17034,448243,29612,448243.0,58765.0,-859.3168138172417,-735.1874390727801,-2193.925430145177
