c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
242301,3890,242301,18280,242301.0,50566.0,346.9801691870842,290.6153129628304,837.1875784890252
242301,3897,242301,18258,242301.0,50476.0,351.39034612497215,294.2737677434663,841.6137497270277
242301,3901,242301,18273,242301.0,50571.0,355.7536003476917,297.8165431134826,845.7917209318622
242301,3929,242301,18402,242301.0,50704.0,360.0573995346829,301.22773140226536,849.7001770486754
242311,3964,242311,18419,242311.0,50727.0,364.28955556968305,304.49239194074454,853.318514775035
242311,3946,242311,18370,242311.0,50607.0,368.43878811240586,307.59817599724187,856.6290249391858
242311,3879,242311,18237,242311.0,50540.0,372.4950356763301,310.53589003833247,859.6173806113766
242311,3877,242311,18179,242311.0,50466.0,376.4489661481669,313.29805870600654,862.2710004615766
242311,3891,242311,18266,242311.0,50514.0,380.29103920597845,315.87661300999923,864.5768764577234
242311,3940,242311,18348,242311.0,50600.0,384.0110579268295,318.2618450917238,866.5205318511659
242322,3956,242322,18391,242322.0,50627.0,387.598562023372,320.44344741299886,868.0867109240197
242322,3946,242322,18314,242322.0,50572.0,391.0435915091555,322.41226459509795,869.260872072331
242322,3896,242322,18276,242322.0,50483.0,394.3370784187086,324.1609389029986,870.0297989465503
242322,3885,242322,18229,242322.0,50500.0,397.47048644114693,325.6830772983123,870.3807675170672
242322,3924,242322,18318,242322.0,50565.0,400.4351095772994,326.9720513244215,870.3004857481418
242322,3959,242322,18427,242322.0,50649.0,403.2218699437809,328.02090937624143,869.7753200358438
242332,3980,242332,18377,242332.0,50640.0,405.8219023737693,328.82379416775643,868.7928735912848
242332,3929,242332,18322,242332.0,50502.0,408.2273210104233,329.37739638969504,867.3433994038203
242332,3895,242332,18227,242332.0,50447.0,410.4313424953263,329.6808014750507,865.419473717744
242332,3874,242332,18172,242332.0,50385.0,412.42758387069745,329.7337943392556,863.014061879897
242332,3928,242332,18286,242332.0,50476.0,414.20921943676433,329.53499017428317,860.1186281681541
242332,3934,242332,18333,242332.0,50552.0,415.7688042408828,329.0813576787965,856.722795490168
242342,3957,242342,18372,242342.0,50545.0,417.0988008475668,328.3694869000514,852.8157009368491
242342,3918,242342,18267,242342.0,50457.0,418.19217620142956,327.3971446973354,848.3875742446704
242342,3890,242342,18228,242342.0,50403.0,419.04249610797615,326.16350906672113,843.4299265971916
242342,3909,242342,18247,242342.0,50451.0,419.64349934368005,324.6681147734612,837.9345524451551
242342,3949,242342,18340,242342.0,50539.0,419.9887688386296,322.91004632510266,831.8930445429551
242342,3964,242342,18389,242342.0,50554.0,420.07206475153083,320.88859658145634,825.2978525354911
242353,3953,242353,18331,242353.0,50465.0,419.8880686987619,318.6048628322834,818.1439382531906
242353,3894,242353,18212,242353.0,50366.0,419.43279055571327,316.0625440009829,810.4292308798426
242353,3863,242353,18156,242353.0,50315.0,418.7031765901361,313.2668744562757,802.1533438396417
242353,3895,242353,18196,242353.0,50389.0,417.6962367828948,310.22257463891293,793.3158405619641
242353,3919,242353,18293,242353.0,50433.0,416.4085737821868,306.93275707329593,783.9157612131689
242353,3943,242353,18319,242353.0,50459.0,414.83675071395965,303.3997104360437,773.9527746790952
242363,3922,242363,18276,242363.0,50395.0,412.9780466651247,299.62657399929344,763.4287658685894
242363,3875,242363,18186,242363.0,50294.0,410.830867356349,295.61815993734035,752.3484295841167
242363,3854,242363,18148,242363.0,50248.0,408.39444479391915,291.38021103658537,740.7183953135376
242363,3902,242363,18232,242363.0,50322.0,405.6682165301908,286.9180609935129,728.5458440599195
242363,3951,242363,18344,242363.0,50418.0,402.65178916121374,282.23645775669866,715.8383452547154
242363,3949,242363,18318,242363.0,50376.0,399.34581189480735,277.3411487575688,702.6054376589648
242373,3880,242373,18206,242373.0,50241.0,395.75293451499067,272.24061495734463,688.860272279468
