c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
345274,20810,345274.0,41826.0,345274.0,38031.0,426.903606742408,575.1100547253745,754.3681732328998
345274,20793,345274.0,41780.0,345274.0,38001.0,428.5124176916704,572.0252994507973,747.3805585528944
345274,20778,345274.0,41774.0,345274.0,37968.0,429.9365500840341,568.4409882700712,739.8580598696689
345274,20793,345274.0,41815.0,345274.0,38015.0,431.1664547827345,564.3452769768221,731.8020918353773
345284,20816,345284.0,41845.0,345284.0,37999.0,432.1924076396866,559.727558581804,723.2152331065014
345284,20827,345284.0,41846.0,345284.0,38008.0,433.00479437060596,554.5793163585392,714.101780155357
345284,20842,345284.0,41885.0,345284.0,37982.0,433.5946572386551,548.8951639583773,704.4683266297351
345284,20849,345284.0,41897.0,345284.0,38009.0,433.9542448134524,542.6738097696882,694.3241394301682
345284,20861,345284.0,41927.0,345284.0,37984.0,434.07748211307876,535.9190610281833,683.6815255568404
345284,20835,345284.0,41844.0,345284.0,37949.0,433.9603229205546,528.640683544049,672.5561853688752
345294,20799,345294.0,41737.0,345294.0,37867.0,433.6007861410865,520.8543924200706,660.967132941374
345294,20783,345294.0,41700.0,345294.0,37841.0,432.99852252749844,512.5805262032163,648.9359300462352
345294,20779,345294.0,41667.0,345294.0,37837.0,432.1541567113349,503.8421426309236,636.4856763405876
345294,20750,345294.0,41588.0,345294.0,37776.0,431.06876882643377,494.66349660071245,623.6403561168174
345294,20769,345294.0,41601.0,345294.0,37783.0,429.74356630401036,485.0689138036713,610.4245003988483
345294,20767,345294.0,41601.0,345294.0,37774.0,428.17974378413254,475.08201270669133,596.8629794522946
345305,20763,345305.0,41637.0,345305.0,37752.0,426.3785816974463,464.72566063253527,582.9810605017965
345305,20774,345305.0,41622.0,345305.0,37749.0,424.3416499107522,454.0226247201128,568.8046509204487
345305,20781,345305.0,41635.0,345305.0,37733.0,422.07103544161095,442.9963969193378,554.360529766148
345305,20802,345305.0,41724.0,345305.0,37747.0,419.56969739448857,431.6720566783544,539.6766376473773
345305,20780,345305.0,41663.0,345305.0,37715.0,416.8419247588113,420.07745588784957,524.7824948723406
345305,20759,345305.0,41577.0,345305.0,37652.0,413.8936237638098,408.2441950374187,509.7094899550968
345315,20718,345315.0,41480.0,345315.0,37617.0,410.7321634685294,396.20723412866244,494.49063884449356
345315,20701,345315.0,41420.0,345315.0,37559.0,407.3658077279976,384.0031332773999,479.15984219097805
345315,20695,345315.0,41379.0,345315.0,37533.0,403.8030490020768,371.66799850828966,463.7510220697353
345315,20669,345315.0,41327.0,345315.0,37482.0,400.05212909018456,359.235874287142,448.2973556321454
345315,20690,345315.0,41406.0,345315.0,37491.0,396.12078699685753,346.73782448894826,432.8306895906744
345315,20697,345315.0,41403.0,345315.0,37476.0,392.0162599713644,334.2020062898943,417.38130243533885
345325,20705,345325.0,41416.0,345325.0,37488.0,387.74561032204264,321.6546550249319,401.9781185826288
345325,20686,345325.0,41416.0,345325.0,37465.0,383.31618146453656,309.121216143553,386.6492135959039
345325,20713,345325.0,41485.0,345325.0,37504.0,378.73592797897766,296.6273076950526,371.4224152524379
345325,20710,345325.0,41465.0,345325.0,37480.0,374.01371454507813,284.1998666482017,356.32602179489095
345325,20686,345325.0,41405.0,345325.0,37414.0,369.15967658084367,271.8682576103096,341.38944622144163
345325,20650,345325.0,41271.0,345325.0,37335.0,364.18534480553757,259.66435750853276,326.64315631183945
345336,20610,345336.0,41205.0,345336.0,37307.0,359.1032642419556,247.62110935195528,312.1177131342174
345336,20605,345336.0,41184.0,345336.0,37274.0,353.9262793033931,235.7703110456066,297.84258095017003
345336,20579,345336.0,41137.0,345336.0,37243.0,348.6668751432128,224.14085649169022,283.84532274911396
345336,20585,345336.0,41123.0,345336.0,37224.0,343.33678532465063,212.75777402641148,270.15115415806144
345336,20581,345336.0,41144.0,345336.0,37208.0,337.9468613633218,201.64178199790746,256.7826787749227
345336,20593,345336.0,41215.0,345336.0,37229.0,332.507185548948,190.80950233778896,243.75986481932432
345346,20582,345346.0,41179.0,345346.0,37225.0,327.0273639561002,180.27449334460835,231.10039795313128
345346,20578,345346.0,41242.0,345346.0,37225.0,321.51682729553903,170.04856483959225,218.82032664184544
345346,20601,345346.0,41288.0,345346.0,37258.0,315.98507452956414,160.14302715351278,206.93479709868677
345346,20582,345346.0,41240.0,345346.0,37192.0,310.4419823854998,150.57003948253112,195.45876394783022
345346,20539,345346.0,41191.0,345346.0,37158.0,304.8980651013052,141.34356343745787,184.4073340942656
345346,20520,345346.0,41112.0,345346.0,37125.0,299.36431171560776,132.47915843784529,173.79543165555606
345356,20501,345356.0,41037.0,345356.0,37093.0,293.85164103587135,123.99272373092083,163.6371133304997
345356,20493,345356.0,40965.0,345356.0,37038.0,288.3703908183269,115.89870461648093,153.94490204203942
345356,20456,345356.0,40969.0,345356.0,37028.0,282.9299824710823,108.20826831414809,144.72909590745212
345356,20461,345356.0,41025.0,345356.0,37032.0,277.5386172657924,100.92819577777789,135.99718570114146
345356,20481,345356.0,41043.0,345356.0,37061.0,272.2030786322941,94.06105979390509,127.75378319839467
345356,20489,345356.0,41062.0,345356.0,37055.0,266.9289276372968,87.60633701408563,120.00115324403998
345367,20492,345367.0,41090.0,345367.0,37068.0,261.7210529714015,81.56164635825178,112.73999321186614
