c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
310933,14103,310933,34102,310933,50586,262.56725797191467,151.94411204702678,340.2233057226058
310933,14105,310933,34045,310933,50566,269.45213340428467,152.37880971321442,344.2825190389349
310933,14099,310933,34042,310933,50585,276.4054649460972,152.79875040698712,348.2769296417808
310933,14111,310933,34035,310933,50578,283.41300162569655,153.20632376006503,352.1950469786709
310933,14130,310933,34112,310933,50608,290.4595920816875,153.6021255301434,356.0249102273344
310933,14159,310933,34124,310933,50633,297.52933422425764,153.98540631093653,359.75436535897154
310943,14151,310943,34106,310943,50620,304.6059445008027,154.35503075692452,363.3715457072872
310943,14144,310943,34066,310943,50608,311.6730437192305,154.7100326172376,366.86523668324503
310943,14156,310943,34067,310943,50596,318.71413532041896,155.04935479437785,370.22482550535744
310943,14166,310943,34089,310943,50624,325.7124668585629,155.371322886592,373.44003058409885
310943,14190,310943,34122,310943,50629,332.6510686626813,155.6735706709598,376.500843980521
310943,14197,310943,34106,310943,50644,339.5130046239283,155.95349853039616,379.3978005995841
310954,14196,310954,34109,310954,50625,346.28166363921343,156.2087609913206,382.12230933191177
310954,14191,310954,34055,310954,50598,352.9408838132114,156.43733013835651,384.6667145574076
310954,14201,310954,34072,310954,50603,359.474871504046,156.63709855396925,387.0239850779119
310954,14216,310954,34095,310954,50622,365.86810798895476,156.80543266653012,389.1873444054014
310954,14224,310954,34102,310954,50643,372.10542032478605,156.93918250775707,391.1502797582862
310954,14253,310954,34131,310954,50645,378.17221690445126,157.03513986934792,392.9069481979169
310964,14242,310964,34111,310964,50616,384.054803201064,157.0905746153731,394.45257536781804
310964,14221,310964,34074,310964,50586,389.74056770168363,157.10349104976643,395.7834220400983
310964,14235,310964,34061,310964,50617,395.2178340767868,157.0723474123304,396.8963469551079
310964,14250,310964,34112,310964,50626,400.4756026032795,156.99554212753839,397.78852462367513
310964,14261,310964,34120,310964,50649,405.5035616791958,156.87138730237055,398.45769055885887
310964,14271,310964,34119,310964,50614,410.2923475250104,156.6986545205246,398.9026145155632
310974,14252,310974,34059,310974,50598,414.83377515351833,156.47697456369082,399.1232655215755
