c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
35502,6450,35502.0,19968.0,35502.0,27961.0,-394.3042461563166,-154.97093870916305,-278.9086810610749
35502,6449,35502.0,19966.0,35502.0,27960.0,-399.66163893141817,-156.5368396848176,-282.4401544334934
35502,6454,35502.0,19993.0,35502.0,27972.0,-405.06987684900275,-158.0855289336451,-285.9133306990803
35502,6439,35502.0,19965.0,35502.0,27958.0,-410.5172794958783,-159.60923534671366,-289.31712170648035
35512,6422,35512.0,19953.0,35512.0,27954.0,-415.9912732631199,-161.09949435462775,-292.6399820935772
35512,6433,35512.0,19935.0,35512.0,27941.0,-421.47853849874207,-162.54738364878173,-295.8699800986014
35512,6418,35512.0,19925.0,35512.0,27937.0,-426.96515591125234,-163.94398466026067,-298.9949884510273
35512,6418,35512.0,19950.0,35512.0,27946.0,-432.4366494424812,-165.28076449794335,-302.00286013623605
35512,6406,35512.0,19946.0,35512.0,27950.0,-437.8780252194539,-166.54965399667245,-304.8814558581748
35512,6421,35512.0,19967.0,35512.0,27915.0,-443.27382526505556,-167.7428342919254,-307.6185822790336
35523,6415,35523.0,19941.0,35523.0,27928.0,-448.60808312300014,-168.85247098211318,-310.20209034435993
35523,6398,35523.0,19941.0,35523.0,27929.0,-453.86421225213894,-169.87063897952822,-312.6201017062819
35523,6395,35523.0,19936.0,35523.0,27931.0,-459.02501793527045,-170.7894767545482,-314.86107829119885
35523,6397,35523.0,19964.0,35523.0,27920.0,-464.07283728492564,-171.6013314293951,-316.91375158376843
35523,6388,35523.0,19950.0,35523.0,27938.0,-468.9896257655332,-172.29867034190593,-318.7670921102216
35523,6390,35523.0,19961.0,35523.0,27933.0,-473.75696246877993,-172.87387265510125,-320.41027091626773
35533,6369,35533.0,19913.0,35533.0,27922.0,-478.3560819808125,-173.319194696077,-321.832576969269
35533,6362,35533.0,19928.0,35533.0,27902.0,-482.76801438343756,-173.62705902477444,-323.0234790398341
35533,6347,35533.0,19927.0,35533.0,27903.0,-486.973846135043,-173.79046915496318,-323.9729254976319
35533,6358,35533.0,19904.0,35533.0,27913.0,-490.95499315929885,-173.8032648231786,-324.67166784359733
35533,6352,35533.0,19946.0,35533.0,27913.0,-494.6933349699841,-173.66023219303887,-325.11136950047575
35533,6363,35533.0,19942.0,35533.0,27939.0,-498.17118007395374,-173.3570550259386,-325.2844900394304
