c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
275837,15852,275837,26061,275837.0,53693.0,-517.1887232947586,-301.2422007595543,-1038.633248045823
275837,15830,275837,26040,275837.0,53667.0,-523.6150767696226,-302.1842267824835,-1046.2144053820696
275847,15820,275847,26033,275847.0,53649.0,-529.9765567382872,-302.9555065482703,-1053.1957136365597
275847,15841,275847,26054,275847.0,53624.0,-536.248002358021,-303.540402890015,-1059.5065021045757
275847,15824,275847,26077,275847.0,53620.0,-542.4034409566051,-303.9231490280147,-1065.075211139838
275847,15822,275847,26061,275847.0,53660.0,-548.4159711094128,-304.0875644340491,-1069.8297937725247
275847,15819,275847,26076,275847.0,53622.0,-554.2577162962506,-304.01675092770455,-1073.6977285273322
275847,15815,275847,26059,275847.0,53606.0,-559.8998560781512,-303.6930103524824,-1076.6059553952778
275858,15824,275858,26084,275858.0,53611.0,-565.3126122476692,-303.09787914580403,-1078.4811683510213
275858,15802,275858,26061,275858.0,53604.0,-570.465188859674,-302.21214478532204,-1079.2502684477622
275858,15794,275858,26074,275858.0,53578.0,-575.3257945983788,-301.0158730391917,-1078.8407106974337
275858,15768,275858,26042,275858.0,53579.0,-579.861869896817,-299.48855187257584,-1077.1809170822999
275858,15768,275858,26030,275858.0,53547.0,-584.0404712628191,-297.60943562342624,-1074.200861243073
275858,15772,275858,26022,275858.0,53566.0,-587.8286155337686,-295.3580820094717,-1069.8327077467868
275868,15758,275868,26028,275868.0,53526.0,-591.1934414354425,-292.7148883519074,-1064.0114211661971
275868,15758,275868,26053,275868.0,53557.0,-594.1022785504276,-289.66136863316115,-1056.6753471507661
275868,15760,275868,26059,275868.0,53571.0,-596.5227461782316,-286.18008499761413,-1047.7666704415194
275868,15742,275868,26046,275868.0,53560.0,-598.4228588560168,-282.2544326160664,-1037.2316222952625
275868,15740,275868,26048,275868.0,53559.0,-599.7711760103786,-277.8686103672481,-1025.0206719061116
275868,15724,275868,26058,275868.0,53593.0,-600.5370655763392,-273.00781429924666,-1011.0889160445399
275878,15754,275878,26076,275878.0,53610.0,-600.6909692668766,-267.65837510623703,-995.3963892336118
275878,15756,275878,26046,275878.0,53617.0,-600.2044519175672,-261.80776319485574,-977.9081319847695
275878,15720,275878,26046,275878.0,53593.0,-599.0500965705639,-255.44474509913113,-958.5943624088584
275878,15729,275878,26025,275878.0,53610.0,-597.2016327445871,-248.55985758878498,-937.4310619513863
275878,15714,275878,26029,275878.0,53622.0,-594.6343655556203,-241.14602578633261,-914.40079001916
275878,15740,275878,26054,275878.0,53657.0,-591.3255564281001,-233.19906250585612,-889.4933255391655
275889,15722,275889,26086,275889.0,53664.0,-587.2545882195027,-224.7178061879823,-862.70603076412
275889,15743,275889,26098,275889.0,53720.0,-582.4030369108015,-215.70384494589354,-834.0440813260195
275889,15758,275889,26103,275889.0,53762.0,-576.7547152844515,-206.16112829421013,-803.5205524933087
275889,15740,275889,26131,275889.0,53818.0,-570.2956568031755,-196.09574983175176,-771.1562359863551
275889,15763,275889,26137,275889.0,53829.0,-563.0141555616859,-185.51583801696134,-736.979324535065
275889,15795,275889,26206,275889.0,53915.0,-554.9008526409873,-174.4313322307999,-701.0252124190422
275899,15778,275899,26157,275899.0,53944.0,-545.948656750689,-162.85359934390496,-663.3363240538386
275899,15791,275899,26187,275899.0,53997.0,-536.1526532615641,-150.79522842857813,-623.9618379321711
275899,15795,275899,26146,275899.0,53992.0,-525.5102548189674,-138.27031287527637,-582.9575656010174
275899,15793,275899,26166,275899.0,54081.0,-514.0214783391007,-125.29506772141454,-540.3861823997536
275899,15820,275899,26190,275899.0,54123.0,-501.68920478103854,-111.88842150468403,-496.3174701824514
275899,15821,275899,26202,275899.0,54224.0,-488.51936906982326,-98.07228866701396,-450.8281510768463
275909,15856,275909,26272,275909.0,54311.0,-474.52103352555014,-83.8714368941078,-404.00124728083097
275909,15883,275909,26298,275909.0,54369.0,-459.7063223406501,-69.31297701260718,-355.9251323824036
275909,15894,275909,26308,275909.0,54412.0,-444.0902188330846,-54.42563856892713,-306.692678286841
275909,15919,275909,26343,275909.0,54531.0,-427.69036471798245,-39.2392248434179,-256.40075595351607
275909,15932,275909,26335,275909.0,54590.0,-410.5269863816877,-23.784396130214077,-205.14972469267877
275909,16001,275909,26406,275909.0,54662.0,-392.6228059252152,-8.092565806410505,-153.04267213652315
275920,16004,275920,26398,275920.0,54741.0,-374.00272180732145,7.804322505077948,-100.18470924244434
275920,16013,275920,26389,275920.0,54782.0,-354.69342429646315,23.874030438518616,-46.682486985217565
275920,16042,275920,26440,275920.0,54860.0,-334.723317289314,40.08396041301273,7.356099020747706
275920,16056,275920,26433,275920.0,54910.0,-314.12267884678727,56.400962223188,61.82204775731611
275920,16101,275920,26459,275920.0,55003.0,-292.9237438237058,72.79129304855502,116.60539117363555
275920,16123,275920,26507,275920.0,55104.0,-271.16061046873403,89.2206651757632,171.5955659292174
