c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
138893,7765,138893.0,20085.0,138893.0,26768.0,299.0312067274904,128.9868421535028,186.9899306532495
138893,7742,138893.0,20066.0,138893.0,26780.0,300.02012649753533,129.42936799690764,188.9942725164042
138893,7751,138893.0,20066.0,138893.0,26774.0,300.95889868244404,129.84009389031013,190.94189532539056
138893,7738,138893.0,20062.0,138893.0,26779.0,301.84713437052415,130.21810930469942,192.82549130995298
138903,7755,138903.0,20103.0,138903.0,26788.0,302.68390444668864,130.56202481334546,194.63809090470338
138903,7759,138903.0,20094.0,138903.0,26790.0,303.46778616769484,130.8702123428199,196.37314905995416
138903,7767,138903.0,20089.0,138903.0,26784.0,304.1970653550355,131.14120241316976,198.02466224225265
138903,7749,138903.0,20074.0,138903.0,26779.0,304.8699606827228,131.37384379089477,199.5871949116637
138903,7754,138903.0,20083.0,138903.0,26795.0,305.484690001047,131.5671669118373,201.0558136453823
138903,7759,138903.0,20086.0,138903.0,26801.0,306.03941517838274,131.7202405023932,202.42610716976168
138913,7751,138913.0,20104.0,138913.0,26796.0,306.5322395569425,131.83222987385145,203.69435317054518
138913,7769,138913.0,20075.0,138913.0,26792.0,306.961288436334,131.90258406495445,204.85765191107137
138913,7751,138913.0,20068.0,138913.0,26775.0,307.32481800384164,131.9310705616042,205.91387297449643
138913,7747,138913.0,20072.0,138913.0,26769.0,307.6212738446566,131.91755035396758,206.86142534249555
138913,7739,138913.0,20072.0,138913.0,26774.0,307.8492039722769,131.86175237574534,207.69897028090514
138913,7747,138913.0,20061.0,138913.0,26776.0,308.0071053539414,131.76321125302127,208.42525112597596
138924,7743,138924.0,20108.0,138924.0,26790.0,308.0933699229842,131.62131980311602,209.03912298845327
138924,7758,138924.0,20101.0,138924.0,26786.0,308.1063645292969,131.4355995058892,209.53972170362633
138924,7749,138924.0,20076.0,138924.0,26773.0,308.0445942847401,131.2061059903522,209.92661623575572
138924,7744,138924.0,20043.0,138924.0,26760.0,307.90684816725434,130.93346564280063,210.19976445184298
138924,7743,138924.0,20064.0,138924.0,26769.0,307.6922257431764,130.61841988753892,210.35928644448651
138924,7740,138924.0,20077.0,138924.0,26786.0,307.4000875429427,130.26143971622685,210.40532658416427
138934,7749,138934.0,20083.0,138934.0,26785.0,307.0300485172296,129.86281721179182,210.33819655022106
138934,7729,138934.0,20059.0,138934.0,26755.0,306.5820287588697,129.42296489703003,210.15859291487854
138934,7720,138934.0,20049.0,138934.0,26775.0,306.05623198375537,128.94246148857056,209.86757559174603
138934,7715,138934.0,20044.0,138934.0,26762.0,305.4529647529657,128.42178535409113,209.4664062870666
138934,7709,138934.0,20043.0,138934.0,26746.0,304.772411782108,127.8610108813636,208.95645333885003
138934,7723,138934.0,20067.0,138934.0,26779.0,304.0145251789506,127.25970249744583,208.3391204058
138944,7717,138944.0,20107.0,138944.0,26784.0,303.1790802199627,126.61716216186778,207.61591633671114
138944,7705,138944.0,20045.0,138944.0,26767.0,302.2658025508634,125.93294737135419,206.7887612868184
138944,7714,138944.0,20048.0,138944.0,26750.0,301.2744089660037,125.20710114757846,205.86016880706103
138944,7710,138944.0,20043.0,138944.0,26751.0,300.2046002236557,124.43983498374936,204.83307313804588
138944,7707,138944.0,20069.0,138944.0,26762.0,299.0561192323109,123.63120710566122,203.71059101850412
138944,7706,138944.0,20094.0,138944.0,26756.0,297.8288240226145,122.78127363881379,202.49600730583444
138955,7692,138955.0,20057.0,138955.0,26747.0,296.52270265716106,121.89055078029412,201.19288716904623
138955,7690,138955.0,20053.0,138955.0,26734.0,295.13781591500305,120.96026584998064,199.80506987690572
138955,7690,138955.0,20026.0,138955.0,26728.0,293.6742041772323,119.99213209443164,198.33649347223906
138955,7689,138955.0,20029.0,138955.0,26716.0,292.13185564930484,118.98789612213767,196.79095948981688
138955,7677,138955.0,20034.0,138955.0,26730.0,290.5107419888102,117.94899587975098,195.1719509204479
138955,7683,138955.0,20057.0,138955.0,26750.0,288.81083229385837,116.87651732190542,193.48265103031937
138965,7690,138965.0,20036.0,138965.0,26732.0,287.03211985408444,115.77142949100889,191.72621756147487
138965,7669,138965.0,20021.0,138965.0,26722.0,285.1747304690725,114.63477215110292,189.90603900476776
138965,7669,138965.0,20011.0,138965.0,26712.0,283.23898483763617,113.46751869319021,188.0256976141864
138965,7659,138965.0,20036.0,138965.0,26723.0,281.2253178734207,112.27030450799954,186.0887786877471
138965,7676,138965.0,20051.0,138965.0,26731.0,279.134204690058,111.04343970486433,184.09883360393573
138965,7665,138965.0,20047.0,138965.0,26699.0,276.9662429952972,109.7872810322045,182.05951066277834
138975,7645,138975.0,19996.0,138975.0,26695.0,274.72228259564963,108.50252788651872,179.9745541054107
138975,7657,138975.0,20048.0,138975.0,26691.0,272.4034077128282,107.19010645808973,177.84756393637159
138975,7639,138975.0,19998.0,138975.0,26693.0,270.01083886515454,105.8509374524583,175.6817795116536
138975,7631,138975.0,20012.0,138975.0,26675.0,267.54587367713054,104.48584032359352,173.48001831890116
138975,7645,138975.0,20004.0,138975.0,26690.0,265.00983217382503,103.09541209344516,171.24465044620334
138975,7635,138975.0,20011.0,138975.0,26701.0,262.40407734676063,101.67991918283403,168.97763900296465
138986,7621,138986.0,20034.0,138986.0,26695.0,259.73012308857756,100.23938841602491,166.68076581279382
138986,7618,138986.0,20010.0,138986.0,26682.0,256.98964124434315,98.77386683249316,164.3558844610094
138986,7612,138986.0,19999.0,138986.0,26683.0,254.1843555862992,97.28359936081975,162.00497397909436
138986,7604,138986.0,20028.0,138986.0,26624.0,251.31596229325177,95.76898269024244,159.62995465349718
138986,7618,138986.0,19984.0,138986.0,26682.0,248.3861254470908,94.23050579699202,157.23233470236158
138986,7607,138986.0,20042.0,138986.0,26673.0,245.39657582149908,92.6688025822808,154.81303988690775
138996,7610,138996.0,19978.0,138996.0,26663.0,242.34928254993073,91.08474779855928,152.37266278333854
138996,7583,138996.0,19959.0,138996.0,26666.0,239.24654988173634,89.47938577595549,149.91174312897328
138996,7575,138996.0,19973.0,138996.0,26652.0,236.09092360809635,87.85348752681746,147.43080197023482
138996,7562,138996.0,20003.0,138996.0,26655.0,232.88494148564584,86.20717332080477,144.93028744206788
138996,7592,138996.0,19991.0,138996.0,26679.0,229.63094816111794,84.54009854183538,142.41059810511564
138996,7580,138996.0,20010.0,138996.0,26660.0,226.3312072416958,82.85191545323651,139.87228500962203
139005,7556,139005.0,19993.0,139005.0,26643.0,222.98817079583182,81.14260006213074,137.31626854869444
139005,7548,139005.0,19986.0,139005.0,26633.0,219.60451360644188,79.41257730601367,134.74376854633564
139005,7558,139005.0,19989.0,139005.0,26659.0,216.18293614188136,77.66267693857964,132.1560831384497
139005,7547,139005.0,19998.0,139005.0,26655.0,212.72608423625974,75.89407592602072,129.55461305542883
139005,7545,139005.0,19972.0,139005.0,26638.0,209.2366420545783,74.10834874928608,126.94111507280122
139005,7534,139005.0,19975.0,139005.0,26619.0,205.7174039779537,72.30746772351297,124.31778793344732
139016,7518,139016.0,19960.0,139016.0,26620.0,202.1712403232545,70.49364602650627,121.68705509354695
139016,7511,139016.0,19938.0,139016.0,26587.0,198.60096287626186,68.66910229855135,119.05125064093801
139016,7517,139016.0,19945.0,139016.0,26595.0,195.0091751410305,66.8357730528374,116.4123135437424
139016,7499,139016.0,19979.0,139016.0,26621.0,191.39823066066364,64.99514281958369,113.7715953898358
139016,7508,139016.0,19975.0,139016.0,26603.0,187.77027301560437,63.1484752813882,111.12998797376711
139016,7491,139016.0,19962.0,139016.0,26607.0,184.12727444864882,61.297267261280226,108.48822092998232
139026,7492,139026.0,19938.0,139026.0,26601.0,180.47106090231554,59.44342363577054,105.84701165574253
139026,7474,139026.0,19928.0,139026.0,26598.0,176.8032991177067,57.58900943782794,103.20708773342463
139026,7508,139026.0,19968.0,139026.0,26610.0,173.12549835011063,55.73593323925256,100.56923158109456
139026,7477,139026.0,19934.0,139026.0,26594.0,169.43916425702432,53.88594827707537,97.93438980361262
139026,7470,139026.0,19945.0,139026.0,26596.0,165.7459895539634,52.04084376803246,95.30377840971664
139026,7451,139026.0,19927.0,139026.0,26593.0,162.04780818413528,50.20247624951509,92.67891100803294
139036,7438,139036.0,19942.0,139036.0,26553.0,158.34633520643968,48.372681361812226,90.0615337511041
139036,7439,139036.0,19915.0,139036.0,26563.0,154.6429007858919,46.55322993188159,87.45339007736936
139036,7448,139036.0,19925.0,139036.0,26573.0,150.93833810560585,44.74577568280654,84.85593661912011
139036,7453,139036.0,19938.0,139036.0,26576.0,147.23312229464577,42.95180665362379,82.27034211038045
139036,7461,139036.0,19927.0,139036.0,26568.0,143.5277057003006,41.172748006253826,79.69773686705196
139036,7433,139036.0,19929.0,139036.0,26557.0,139.8228491351366,39.4101473627627,77.13938293217188
139047,7412,139047.0,19914.0,139047.0,26534.0,136.11969611368178,37.66573822886102,74.59660497302042
139047,7420,139047.0,19896.0,139047.0,26553.0,132.4195414817792,35.94132883525535,72.07056890808039
139047,7414,139047.0,19899.0,139047.0,26557.0,128.72360605341458,34.238558839356386,69.56217737562952
139047,7401,139047.0,19908.0,139047.0,26542.0,125.03301958481148,32.55868977544006,67.07221152347057
139047,7415,139047.0,19912.0,139047.0,26506.0,121.34888050356363,30.9026295491973,64.60140946013098
139047,7401,139047.0,19877.0,139047.0,26550.0,117.67233771303012,29.271073559758506,62.15026885075264
139057,7384,139057.0,19882.0,139057.0,26527.0,114.00468229058305,27.66444064767967,59.71892171235925
139057,7377,139057.0,19894.0,139057.0,26523.0,110.34729928473331,26.08264432049566,57.30726757373401
139057,7384,139057.0,19909.0,139057.0,26530.0,106.70152004187037,24.52508577241204,54.91507357863628
139057,7384,139057.0,19916.0,139057.0,26541.0,103.06861381488307,22.990984051142647,52.542021295518055
139057,7377,139057.0,19900.0,139057.0,26514.0,99.4499530113336,21.479768161305117,50.187860111594944
139057,7347,139057.0,19886.0,139057.0,26526.0,95.84712335666097,19.991227566895844,47.85250734501463
139067,7342,139067.0,19881.0,139067.0,26504.0,92.26178464835169,18.525358373119246,45.53598782392115
139067,7358,139067.0,19891.0,139067.0,26530.0,88.69542573262754,17.08213387435444,43.2383687596089
139067,7345,139067.0,19897.0,139067.0,26514.0,85.14933339667283,15.661466600011806,40.95982347707988
139067,7346,139067.0,19891.0,139067.0,26483.0,81.62476500786647,14.263371977293815,38.700710670780865
139067,7323,139067.0,19866.0,139067.0,26480.0,78.12305367699628,12.888086718249838,36.46139800095696
139067,7321,139067.0,19872.0,139067.0,26486.0,74.6455386444162,11.535947652227094,34.24190489736645
139078,7300,139078.0,19851.0,139078.0,26495.0,71.19338965072473,10.207130158558215,32.04175716115503
139078,7316,139078.0,19855.0,139078.0,26495.0,67.76744060015875,8.901416182820327,29.86015252654815
