c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
530,18469,530.0,53276.0,530.0,95714.0,-156.57207486676162,-305.6857336435414,-232.298666656794
530,18463,530.0,53246.0,530.0,95722.0,-164.34718376604067,-314.0876894037075,-241.12374123370176
530,18435,530.0,53184.0,530.0,95676.0,-172.33522166477513,-322.7819940974076,-250.2031584887156
530,18430,530.0,53241.0,530.0,95628.0,-180.52633639135263,-331.754066716411,-259.5231164909258
530,18404,530.0,53125.0,530.0,95600.0,-188.91053685985102,-340.989448287189,-269.06972175367025
530,18426,530.0,53158.0,530.0,95651.0,-197.47793427401047,-350.47433155261893,-278.8298058397888
541,18408,541.0,53200.0,541.0,95644.0,-206.21878304402003,-360.1960602253406,-288.79109541041777
541,18399,541.0,53174.0,541.0,95625.0,-215.12336221026638,-370.1430356625948,-298.94175233099634
541,18398,541.0,53222.0,541.0,95628.0,-224.18190208608033,-380.30405161103215,-309.2699844407928
541,18404,541.0,53274.0,541.0,95661.0,-233.38454429360337,-390.6674661960116,-319.76386701149056
541,18407,541.0,53250.0,541.0,95635.0,-242.72115742455765,-401.22012248885846,-330.4109826814968
541,18358,541.0,53173.0,541.0,95623.0,-252.1811098335182,-411.94647540373563,-341.1979875140387
551,18341,551.0,53100.0,551.0,95582.0,-261.7533580915712,-422.8288744810065,-352.11054677991996
551,18337,551.0,53081.0,551.0,95546.0,-271.4268878701706,-433.8489504398524,-363.13373803549496
551,18313,551.0,53032.0,551.0,95520.0,-281.1911251261829,-444.9891549087192,-374.2527479157261
551,18308,551.0,53003.0,551.0,95512.0,-291.0361560422913,-456.23391762198446,-385.4535939613976
551,18305,551.0,53048.0,551.0,95466.0,-300.9528592708318,-467.57040746665655,-396.7236716023095
551,18300,551.0,53074.0,551.0,95524.0,-310.93292853962043,-478.9886206234147,-408.0520862662713
561,18297,561.0,53060.0,561.0,95516.0,-320.9687677017612,-490.4807011020547,-419.42957067012964
561,18286,561.0,53076.0,561.0,95508.0,-331.05335361463176,-502.04011325938774,-430.84794312582204
561,18294,561.0,53150.0,561.0,95499.0,-341.1801116178707,-513.6609417910647,-442.2996029772028
561,18304,561.0,53127.0,561.0,95524.0,-351.3427168210468,-525.3369146792958,-453.7772880722583
561,18272,561.0,53083.0,561.0,95517.0,-361.53479308551175,-537.0603860772532,-465.2737666808862
561,18264,561.0,53032.0,561.0,95463.0,-371.7497406126125,-548.82214954181,-476.78147826383224
572,18222,572.0,52961.0,572.0,95428.0,-381.9808926943881,-560.612270069492,-488.2926312829235
572,18209,572.0,52953.0,572.0,95410.0,-392.2219330323522,-572.4214009624471,-499.7998736462953
572,18189,572.0,52941.0,572.0,95353.0,-402.46739574774256,-584.2419402632339,-511.2971191475908
572,18195,572.0,52947.0,572.0,95366.0,-412.7130438858966,-596.0685939694739,-522.7802832315015
572,18208,572.0,52963.0,572.0,95389.0,-422.9559424288542,-607.8983523364656,-534.2477299482014
572,18188,572.0,52947.0,572.0,95396.0,-433.1942239286082,-619.7301364492962,-545.7001023812716
582,18199,582.0,52961.0,582.0,95409.0,-443.4267775622349,-631.5643843200294,-557.1396620745559
582,18182,582.0,52957.0,582.0,95395.0,-453.6530357130506,-643.4027020208077,-568.5696069464955
582,18194,582.0,53012.0,582.0,95417.0,-463.8728055009771,-655.2474159238368,-579.9935720239121
582,18175,582.0,53026.0,582.0,95419.0,-474.08608457232356,-667.1007710166274,-591.4151914770171
582,18164,582.0,52942.0,582.0,95399.0,-484.2929238930365,-678.9640281924588,-602.8376368494971
582,18150,582.0,52931.0,582.0,95344.0,-494.49343063812995,-690.8372638677115,-614.2634106440687
592,18147,592.0,52870.0,592.0,95308.0,-504.6878686778757,-702.7200823531648,-625.6947412170452
592,18119,592.0,52862.0,592.0,95346.0,-514.8767554704864,-714.6126156402954,-637.1343178365692
592,18098,592.0,52812.0,592.0,95289.0,-525.0610221333857,-726.5163937157712,-648.5857162112088
592,18105,592.0,52856.0,592.0,95304.0,-535.2422811951635,-738.4349781287553,-660.0534658255649
592,18102,592.0,52864.0,592.0,95315.0,-545.4229834336677,-750.3740895982176,-671.5430584739066
592,18092,592.0,52858.0,592.0,95324.0,-555.6063241098757,-762.3411465701088,-683.0607379715369
603,18091,603.0,52889.0,603.0,95300.0,-565.7960685106758,-774.344603097026,-694.6130303955266
603,18095,603.0,52874.0,603.0,95318.0,-575.9964039560703,-786.3933509151885,-706.2063667834628
603,18094,603.0,52941.0,603.0,95324.0,-586.2117291080838,-798.496064031672,-717.8468142742602
603,18082,603.0,52913.0,603.0,95275.0,-596.446386520184,-810.6603580503921,-729.5397758512445
603,18070,603.0,52878.0,603.0,95270.0,-606.7044860191637,-822.8920331212373,-741.2899175287919
603,18053,603.0,52830.0,603.0,95214.0,-616.9899017533835,-835.1949810799224,-753.1015211315006
