c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
207822,7013,207822.0,19044.0,207822.0,26971.0,-95.70672730621318,-48.74007919706032,-88.07871806995864
207822,6983,207822.0,19036.0,207822.0,26968.0,-101.0493314274911,-50.468590080737016,-91.25500020492485
207822,6984,207822.0,19028.0,207822.0,26958.0,-106.50954877817836,-52.25826179112625,-94.51549277053128
207822,6988,207822.0,19033.0,207822.0,26962.0,-112.08033872717158,-54.10808409645009,-97.8582097071143
207822,6990,207822.0,19064.0,207822.0,26975.0,-117.75506207405337,-56.017142262812726,-101.28115685641703
207822,6989,207822.0,19051.0,207822.0,26960.0,-123.5273159493001,-57.9843641507271,-104.78220858383622
207833,6972,207833.0,19025.0,207833.0,26955.0,-129.3907594312779,-60.00822700185057,-108.35897988786351
207833,6948,207833.0,18999.0,207833.0,26931.0,-135.3391263897518,-62.086865122784204,-112.00889239076943
207833,6944,207833.0,19010.0,207833.0,26933.0,-141.36647433028355,-64.21856232391198,-115.72942619190934
207833,6951,207833.0,19034.0,207833.0,26940.0,-147.4674670684185,-66.40211109765832,-119.51835529285208
207833,6938,207833.0,19074.0,207833.0,26919.0,-153.63745262486998,-68.63660956095012,-123.37381489441107
207833,6942,207833.0,19025.0,207833.0,26952.0,-159.87238508247123,-70.92085000564295,-127.29425122922106
207843,6934,207843.0,19013.0,207843.0,26946.0,-166.16874435856892,-73.25297703672359,-131.27825803857218
207843,6924,207843.0,19003.0,207843.0,26923.0,-172.52348842847042,-75.63076544362434,-135.3243220072492
207843,6924,207843.0,19014.0,207843.0,26926.0,-178.93404823353436,-78.05207669284329,-139.43074433486098
207843,6938,207843.0,19015.0,207843.0,26931.0,-185.3982985906193,-80.51502056010472,-143.59575873112206
207843,6930,207843.0,19033.0,207843.0,26928.0,-191.91437769351742,-83.01781589749538,-147.81754840372662
207843,6907,207843.0,19013.0,207843.0,26904.0,-198.48046658212064,-85.5585367797685,-152.09416816699576
207854,6914,207854.0,18989.0,207854.0,26896.0,-205.09476136934433,-88.13500514937706,-156.42363076531052
207854,6883,207854.0,18987.0,207854.0,26901.0,-211.75560995359032,-90.74501418127763,-160.80415140195888
207854,6894,207854.0,19003.0,207854.0,26911.0,-218.46167161398088,-93.3866578033984,-165.2342672152437
207854,6882,207854.0,19000.0,207854.0,26912.0,-225.212030733635,-96.05839407743414,-169.71268807482926
207854,6888,207854.0,19023.0,207854.0,26902.0,-232.00619588691063,-98.75882023995186,-174.2380426680454
207854,6895,207854.0,18975.0,207854.0,26866.0,-238.84396610715643,-101.48642051503566,-178.80880728793653
207864,6875,207864.0,18981.0,207864.0,26880.0,-245.72522506442047,-104.2395801850237,-183.42353879075415
207864,6870,207864.0,18984.0,207864.0,26885.0,-252.64981089347876,-107.0168578732432,-188.0811426158982
207864,6874,207864.0,19012.0,207864.0,26877.0,-259.61752846050445,-109.81709718006726,-192.7808642603887
207864,6870,207864.0,18997.0,207864.0,26900.0,-266.6281381299285,-112.63916522830722,-197.52207912037778
207864,6850,207864.0,18963.0,207864.0,26882.0,-273.6812643744863,-115.48168849716319,-202.3040426237713
207864,6848,207864.0,18967.0,207864.0,26875.0,-280.7763901815357,-118.34319072647236,-207.12569579222236
207874,6832,207874.0,18981.0,207874.0,26854.0,-287.9129736947051,-121.2224305629471,-211.98568208483334
207874,6827,207874.0,18924.0,207874.0,26848.0,-295.09058187331004,-124.11858079531999,-216.88258162858926
207874,6820,207874.0,18969.0,207874.0,26843.0,-302.3089946398563,-127.03138480370247,-221.8151847897586
207874,6825,207874.0,18958.0,207874.0,26872.0,-309.5682431014353,-129.96130441320997,-226.78259668611395
207874,6824,207874.0,18985.0,207874.0,26842.0,-316.8685251879251,-132.90935964973892,-231.7840795871053
207874,6812,207874.0,18963.0,207874.0,26843.0,-324.21003918150694,-135.8767575230427,-236.81885786443854
207885,6796,207885.0,18949.0,207885.0,26847.0,-331.5928929827115,-138.86468621894443,-241.88610407986516
207885,6792,207885.0,18972.0,207885.0,26803.0,-339.0171781510448,-141.87436977882638,-246.9850293347085
207885,6789,207885.0,19002.0,207885.0,26862.0,-346.48309336446107,-144.907031102597,-252.11498481593395
207885,6784,207885.0,18943.0,207885.0,26845.0,-353.9909715860812,-147.96356288933447,-257.2753782632295
207885,6792,207885.0,18984.0,207885.0,26826.0,-361.54119474169255,-151.0443152693023,-262.46534062085146
207885,6765,207885.0,18952.0,207885.0,26803.0,-369.1340647045122,-154.14917009280606,-267.68360227917606
207895,6746,207895.0,18928.0,207895.0,26813.0,-376.7697965205914,-157.27768127959138,-272.9287651166525
207895,6761,207895.0,18947.0,207895.0,26800.0,-384.448700647333,-160.4293196805223,-278.199571709068
207895,6757,207895.0,18944.0,207895.0,26809.0,-392.17128706635697,-163.60370508711486,-283.4949511631288
207895,6756,207895.0,18950.0,207895.0,26806.0,-399.9381091255294,-166.80055827329457,-288.8139306571002
207895,6743,207895.0,18944.0,207895.0,26801.0,-407.7495454190589,-170.01950664673478,-294.1554997434716
207895,6730,207895.0,18929.0,207895.0,26786.0,-415.605726108834,-173.2599863661821,-299.518524584945
207905,6735,207905.0,18912.0,207905.0,26791.0,-423.5065814151004,-176.52133807598926,-304.9017789396872
207905,6726,207905.0,18964.0,207905.0,26811.0,-431.4518625172384,-179.8029667574085,-310.30394420147104
207905,6739,207905.0,18964.0,207905.0,26808.0,-439.44103570494593,-183.10416906929845,-315.7233761636986
207905,6716,207905.0,18963.0,207905.0,26788.0,-447.4730943108477,-186.42357963128515,-321.1577680705743
207905,6701,207905.0,18922.0,207905.0,26763.0,-455.5464543883164,-189.75878268074456,-326.6040783275863
207905,6688,207905.0,18901.0,207905.0,26764.0,-463.6590677329548,-193.10649996571638,-332.0588079425094
207916,6677,207916.0,18905.0,207916.0,26757.0,-471.8086632539926,-196.46316472053206,-337.5183282823682
207916,6683,207916.0,18907.0,207916.0,26757.0,-479.9929204585075,-199.82537994238947,-342.9790184332802
207916,6696,207916.0,18916.0,207916.0,26765.0,-488.2094334596229,-203.18999394783134,-348.4372264439475
207916,6675,207916.0,18923.0,207916.0,26763.0,-496.45545951300966,-206.55390462139283,-353.88911325766753
207916,6667,207916.0,18915.0,207916.0,26755.0,-504.7276889365466,-209.91379078419925,-359.3304523064681
207916,6642,207916.0,18890.0,207916.0,26744.0,-513.0222651837908,-213.26597113372696,-364.7565265537513
207926,6640,207926.0,18881.0,207926.0,26726.0,-521.3349985140019,-216.60655276053927,-370.16220204783156
207926,6656,207926.0,18911.0,207926.0,26741.0,-529.661526487875,-219.93170341473055,-375.54209718937807
