c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
172702.0,7834.0,172702.0,15112.0,172702.0,33404.0,468.54206780300603,382.90902703716114,769.7454772451235
172702.0,7836.0,172702.0,15085.0,172702.0,33405.0,467.46451754756856,380.4287329622176,764.5640703031299
172713.0,7840.0,172713.0,15089.0,172713.0,33405.0,466.32780248098965,377.88949887182383,759.1981664378544
172713.0,7833.0,172713.0,15087.0,172713.0,33345.0,465.13755479285555,375.2973126594798,753.6656579205874
172713.0,7835.0,172713.0,15102.0,172713.0,33351.0,463.90002912720524,372.65790221545933,747.9853611882654
172713.0,7843.0,172713.0,15129.0,172713.0,33376.0,462.6222235382782,369.9770259601692,742.1767257393848
172713.0,7840.0,172713.0,15168.0,172713.0,33350.0,461.31205277561617,367.2611070417638,736.2599123471103
172713.0,7813.0,172713.0,15162.0,172713.0,33364.0,459.9785089086191,364.5181462408618,730.2561873383005
172723.0,7798.0,172723.0,15042.0,172723.0,33297.0,458.6315864223193,361.75831838891577,724.1881486105706
172723.0,7770.0,172723.0,15025.0,172723.0,33268.0,457.28191078131806,358.9934304060452,718.0794872304947
172723.0,7750.0,172723.0,14992.0,172723.0,33218.0,455.94020775406284,356.2354571719785,711.9542535256172
172723.0,7716.0,172723.0,15003.0,172723.0,33190.0,454.61670017916833,353.4952739773787,705.835885945281
172723.0,7750.0,172723.0,14998.0,172723.0,33227.0,453.32054516157234,350.78212146781203,699.7464390429647
172723.0,7736.0,172723.0,15034.0,172723.0,33195.0,452.0595926692415,348.1036367911172,693.7063720728779
172733.0,7758.0,172733.0,15005.0,172733.0,33185.0,450.8405563023779,345.46621387321227,687.7347477317928
172733.0,7750.0,172733.0,15000.0,172733.0,33173.0,449.66935313160207,342.8753424664524,681.8493364743679
172733.0,7752.0,172733.0,15080.0,172733.0,33209.0,448.55140596233406,340.33582254710063,676.0666399448091
172733.0,7804.0,172733.0,15084.0,172733.0,33227.0,447.4919563955493,337.85235980449227,670.4022781596672
172733.0,7754.0,172733.0,15058.0,172733.0,33210.0,446.49652611386557,335.43057848127876,664.8717682288823
172733.0,7722.0,172733.0,15025.0,172733.0,33137.0,445.5712145632165,333.07758929638777,659.4910687681664
172744.0,7714.0,172744.0,14972.0,172744.0,33111.0,444.7223754872807,330.8016508528272,654.2762884473286
172744.0,7704.0,172744.0,14912.0,172744.0,33065.0,443.955975675621,328.6111711952699,649.2427301730406
172744.0,7682.0,172744.0,14899.0,172744.0,33049.0,443.2771416536917,326.5133851987418,644.4038754829311
172744.0,7666.0,172744.0,14944.0,172744.0,33089.0,442.6898253206085,324.5132660775111,639.7707437638069
172744.0,7693.0,172744.0,14976.0,172744.0,33083.0,442.19648921026624,322.61335075965036,635.3519031107904
172744.0,7716.0,172744.0,14972.0,172744.0,33061.0,441.79810064016635,320.8144546824278,631.1539523564616
172754.0,7718.0,172754.0,14988.0,172754.0,33017.0,441.49459453842826,319.1165392845593,627.1817778263962
172754.0,7687.0,172754.0,14957.0,172754.0,33057.0,441.2854082619536,317.51921813201784,623.438341754327
172754.0,7738.0,172754.0,15002.0,172754.0,33107.0,441.16971198789315,316.02195833186687,619.9246740672779
172754.0,7735.0,172754.0,15036.0,172754.0,33118.0,441.1466119378306,314.62439007659486,616.6406684801215
172754.0,7717.0,172754.0,15009.0,172754.0,33070.0,441.2155693001458,313.3269833629106,613.5861931127013
172754.0,7662.0,172754.0,14933.0,172754.0,33013.0,441.3765613236637,312.1315151282986,610.761475426774
172764.0,7638.0,172764.0,14874.0,172764.0,32998.0,441.62954949865974,311.0404950381379,608.1664801815034
172764.0,7655.0,172764.0,14882.0,172764.0,32981.0,441.97359886159927,310.0557502194755,605.7999502513752
172764.0,7647.0,172764.0,14889.0,172764.0,32993.0,442.4063223297394,309.1772333486414,603.6588004013395
172764.0,7649.0,172764.0,14918.0,172764.0,32986.0,442.9238140222375,308.4027158015176,601.7379976294212
172764.0,7686.0,172764.0,14922.0,172764.0,32989.0,443.5208227280099,307.72816957128794,600.0307217561207
172764.0,7693.0,172764.0,14917.0,172764.0,32989.0,444.1911474280428,307.148319949266,598.5285939274379
172775.0,7674.0,172775.0,14919.0,172775.0,32970.0,444.92819027461985,306.657008868641,597.2218619401785
172775.0,7678.0,172775.0,14964.0,172775.0,33011.0,445.72528271300285,306.2474318084536,596.0995527714301
172775.0,7720.0,172775.0,15012.0,172775.0,33086.0,446.5757849512041,305.91268759450884,595.149938674148
172775.0,7691.0,172775.0,15018.0,172775.0,33019.0,447.4733556353011,305.64682546327384,594.3615539547704
172775.0,7717.0,172775.0,14944.0,172775.0,32972.0,448.41235146411276,305.4457865291029,593.7239573575108
172775.0,7653.0,172775.0,14886.0,172775.0,32954.0,449.387980530523,305.3073291633749,593.2273823590835
172785.0,7632.0,172785.0,14884.0,172785.0,32911.0,450.395982912103,305.2298898466938,592.8617290219936
172785.0,7617.0,172785.0,14842.0,172785.0,32929.0,451.4318791426573,305.21127608330943,592.6156991207827
172785.0,7623.0,172785.0,14842.0,172785.0,32935.0,452.490213713323,305.2477661786613,592.4763683138855
172785.0,7643.0,172785.0,14917.0,172785.0,32946.0,453.56423492499994,305.3336989350024,592.4292645350104
172785.0,7660.0,172785.0,14883.0,172785.0,32964.0,454.64607198213866,305.46174766511126,592.4587951670862
172785.0,7647.0,172785.0,14864.0,172785.0,32920.0,455.7271788385689,305.62351038641907,592.5486895444687
172795.0,7672.0,172795.0,14894.0,172795.0,32939.0,456.7987313660941,305.8096878875043,592.6821658626184
172795.0,7671.0,172795.0,14966.0,172795.0,33004.0,457.8519194258092,306.01019396296596,592.8420132423335
172795.0,7686.0,172795.0,14993.0,172795.0,33023.0,458.878273755663,306.21500961852655,593.0112289757303
172795.0,7681.0,172795.0,14976.0,172795.0,32977.0,459.8700137853631,306.41552049866687,593.1740941207881
172795.0,7643.0,172795.0,14891.0,172795.0,32931.0,460.8202284397767,306.60525313199287,593.3166639785522
172795.0,7625.0,172795.0,14843.0,172795.0,32891.0,461.72266554573963,306.7793221995116,593.4262024259071
172806.0,7632.0,172806.0,14860.0,172806.0,32904.0,462.5712049433978,306.9330362801446,593.4901535041561
172806.0,7631.0,172806.0,14850.0,172806.0,32864.0,463.35945465361397,307.0607854068536,593.4953771967569
172806.0,7638.0,172806.0,14815.0,172806.0,32924.0,464.08069898148926,307.15561129385355,593.4278521801812
172806.0,7635.0,172806.0,14911.0,172806.0,32926.0,464.7280388881192,307.209114367506,593.2728702568934
172806.0,7628.0,172806.0,14886.0,172806.0,32909.0,465.2945285433859,307.2117868679186,593.0156176835824
172806.0,7624.0,172806.0,14873.0,172806.0,32896.0,465.77321518743105,307.1537257398685,592.6416116219079
172816.0,7636.0,172816.0,14902.0,172816.0,32930.0,466.15712501963276,307.02506992677417,592.1367695715437
172816.0,7646.0,172816.0,15004.0,172816.0,32978.0,466.43936128089007,306.81635867765203,591.4876687661958
172816.0,7670.0,172816.0,14976.0,172816.0,32936.0,466.61342807756705,306.51958220878566,590.6823056054463
172816.0,7623.0,172816.0,14946.0,172816.0,32902.0,466.6736385026648,306.1294291992366,589.710705930399
172816.0,7618.0,172816.0,14812.0,172816.0,32832.0,466.61522275101663,305.64340785461786,588.5646478645531
172816.0,7584.0,172816.0,14817.0,172816.0,32834.0,466.43396844020845,305.0604804870305,587.2366412247109
172826.0,7562.0,172826.0,14799.0,172826.0,32843.0,466.125617925202,304.37923772871454,585.7189550469122
172826.0,7591.0,172826.0,14828.0,172826.0,32822.0,465.68531416272515,303.5968266616544,584.0032459509281
172826.0,7601.0,172826.0,14817.0,172826.0,32823.0,465.10742108511016,302.7088170801925,582.0805892711062
172826.0,7627.0,172826.0,14853.0,172826.0,32855.0,464.38588458397174,301.70950814727763,579.9415954958988
172826.0,7577.0,172826.0,14845.0,172826.0,32831.0,463.5147801289045,300.592378095543,577.5767094351531
172826.0,7602.0,172826.0,14854.0,172826.0,32837.0,462.4885453264534,299.3505577490207,574.9766175315648
172837.0,7618.0,172837.0,14954.0,172837.0,32881.0,461.30197450465937,297.97739484829026,572.1325976694961
172837.0,7629.0,172837.0,14943.0,172837.0,32883.0,459.95046321238067,296.46747972705475,569.0370728288697
172837.0,7627.0,172837.0,14871.0,172837.0,32837.0,458.4305351736993,294.8178067197132,565.6843263540211
172837.0,7572.0,172837.0,14844.0,172837.0,32799.0,456.74018031152593,293.0279604401841,562.0707112430774
172837.0,7550.0,172837.0,14784.0,172837.0,32758.0,454.8786194403206,291.09914893732343,558.1940804338028
172837.0,7533.0,172837.0,14799.0,172837.0,32733.0,452.8455928309224,289.0329539454622,554.0528571136051
172847.0,7539.0,172847.0,14779.0,172847.0,32732.0,450.64068670128427,286.8304619827916,549.645222726449
172847.0,7534.0,172847.0,14771.0,172847.0,32765.0,448.26304977313634,284.4918754188193,544.9687627167734
172847.0,7554.0,172847.0,14789.0,172847.0,32721.0,445.7114634822121,282.0163930137922,540.0206550645526
172847.0,7534.0,172847.0,14779.0,172847.0,32726.0,442.98460194480765,279.40226278459374,534.7979827738725
172847.0,7534.0,172847.0,14813.0,172847.0,32720.0,440.08127529446244,276.6470436457628,529.2978182708798
172847.0,7538.0,172847.0,14816.0,172847.0,32737.0,437.0005430966121,273.7480596853538,523.5173145475287
172857.0,7557.0,172857.0,14881.0,172857.0,32782.0,433.74186584152255,270.70309368933687,517.4541552626307
