c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
345005.0,4847.0,345005.0,8674.0,345005.0,21905.0,-750.6751415558881,-554.1653613884923,-955.3165369084968
345005.0,4877.0,345005.0,8709.0,345005.0,21912.0,-711.763822053786,-540.590795564411,-930.3157406305581
345005.0,4890.0,345005.0,8673.0,345005.0,21964.0,-672.0143756269782,-526.4403605383447,-904.37406027527
345005.0,4928.0,345005.0,8674.0,345005.0,21984.0,-631.501788859141,-511.72986106798476,-877.5249941351751
345016.0,4991.0,345016.0,8706.0,345016.0,22006.0,-590.3040007994421,-496.47768296851933,-849.8050795982881
345016.0,5089.0,345016.0,8799.0,345016.0,22060.0,-548.502022787391,-480.7051303911842,-821.253976517906
345016.0,5218.0,345016.0,8796.0,345016.0,22126.0,-506.17926262059063,-464.43594880518526,-791.9144390605753
345016.0,5418.0,345016.0,8803.0,345016.0,22160.0,-463.41979545901165,-447.69555511198496,-761.8319420153207
345016.0,5498.0,345016.0,8854.0,345016.0,22216.0,-420.30560914096475,-430.5107229013814,-731.0541382642189
345016.0,5480.0,345016.0,8830.0,345016.0,22239.0,-376.91384926666615,-412.90961072347386,-699.6304555699339
345026.0,5464.0,345026.0,8909.0,345026.0,22343.0,-333.3156844416352,-394.9217824039613,-667.6117866146851
345026.0,5394.0,345026.0,8974.0,345026.0,22380.0,-289.5772910710515,-376.577969570811,-635.0499671322596
345026.0,5430.0,345026.0,8998.0,345026.0,22413.0,-245.76207911346103,-357.9093103292373,-601.997062746734
345026.0,5498.0,345026.0,9003.0,345026.0,22457.0,-201.93283715274345,-338.9464577199059,-568.5049080582585
345026.0,5516.0,345026.0,9018.0,345026.0,22486.0,-158.15286783655927,-319.7192349026271,-534.625029854184
345026.0,5568.0,345026.0,9006.0,345026.0,22518.0,-114.48632208718766,-300.25686440596445,-500.40873420079083
345036.0,5626.0,345036.0,9050.0,345036.0,22587.0,-70.99837760693163,-280.58842643923356,-465.9072080077676
345036.0,5767.0,345036.0,9094.0,345036.0,22644.0,-27.75512400209641,-260.74315675766655,-431.1714188822657
345036.0,5959.0,345036.0,9111.0,345036.0,22643.0,15.177580171420914,-240.7503240957198,-396.25179541930174
345036.0,6065.0,345036.0,9116.0,345036.0,22694.0,57.73662257603837,-220.63895739552538,-361.1981193481289
345036.0,6081.0,345036.0,9111.0,345036.0,22766.0,99.8645875751206,-200.43790959506225,-326.0596865830654
345036.0,6062.0,345036.0,9182.0,345036.0,22812.0,141.51145626536936,-180.17621655640892,-290.8852174884021
345047.0,6037.0,345047.0,9277.0,345047.0,22891.0,182.63433948365446,-159.88306820134505,-255.72235488217018
345047.0,6000.0,345047.0,9317.0,345047.0,22939.0,223.19582622285952,-139.58688093674743,-220.61699914086182
345047.0,6034.0,345047.0,9280.0,345047.0,22959.0,263.1618575227478,-119.31408564078276,-185.61271766213963
345047.0,6051.0,345047.0,9313.0,345047.0,22973.0,302.49989407295243,-99.08871703341879,-150.750553017328
345047.0,6093.0,345047.0,9300.0,345047.0,23002.0,341.1777692430585,-78.93286024110375,-116.06937003742974
345047.0,6149.0,345047.0,9301.0,345047.0,23065.0,379.1631375530236,-58.86732439378045,-81.60637015239104
345057.0,6210.0,345057.0,9329.0,345057.0,23085.0,416.4233779829276,-38.912293607979905,-47.39733458914634
345057.0,6350.0,345057.0,9401.0,345057.0,23134.0,452.9260584111836,-19.087728012294974,-13.476627591227725
345057.0,6537.0,345057.0,9436.0,345057.0,23217.0,488.64038316796564,0.5868683295071833,20.122895800019023
345057.0,6585.0,345057.0,9403.0,345057.0,23223.0,523.5397927055662,20.09302790273432,53.370183754241
345057.0,6558.0,345057.0,9457.0,345057.0,23272.0,557.6045324819711,39.41349239517399,86.23631655060512
345057.0,6510.0,345057.0,9488.0,345057.0,23323.0,590.8224514988146,58.53201252248323,118.69459817408574
345067.0,6456.0,345067.0,9553.0,345067.0,23394.0,623.187705311781,77.43346769883738,150.72068475235483
345067.0,6452.0,345067.0,9570.0,345067.0,23395.0,654.6983960241341,96.10445785947479,182.2929631923264
345067.0,6461.0,345067.0,9554.0,345067.0,23455.0,685.3542767010842,114.53384985176513,213.39284284796622
345067.0,6505.0,345067.0,9552.0,345067.0,23462.0,715.1551759909428,132.71273849576346,244.00474843347183
345067.0,6532.0,345067.0,9542.0,345067.0,23472.0,744.1002502503065,150.63379232446357,274.11589573997435
345067.0,6540.0,345067.0,9581.0,345067.0,23497.0,772.1877191687818,168.29044773543342,303.715830434488
345078.0,6657.0,345078.0,9645.0,345078.0,23546.0,799.4147995900198,185.67650832727122,332.7958801245111
345078.0,6830.0,345078.0,9662.0,345078.0,23598.0,825.7783657817404,202.78641879716997,361.3489227603668
345078.0,6934.0,345078.0,9627.0,345078.0,23606.0,851.2770870353534,219.61574612486504,389.36952630774863
345078.0,6912.0,345078.0,9616.0,345078.0,23584.0,875.9143040173867,236.16102838290237,416.8539499533392
345078.0,6873.0,345078.0,9689.0,345078.0,23653.0,899.6997152871706,252.4190358452239,443.7996427606188
345078.0,6815.0,345078.0,9759.0,345078.0,23715.0,922.6489409252849,268.3864907773915,470.2047680993794
345088.0,6764.0,345088.0,9768.0,345088.0,23733.0,944.7816085342754,284.0607580190763,496.068373200271
345088.0,6781.0,345088.0,9793.0,345088.0,23802.0,966.1190377540829,299.44077590144616,521.3909145092205
345088.0,6764.0,345088.0,9740.0,345088.0,23779.0,986.6823301588047,314.5273735714984,546.1746208037537
345088.0,6770.0,345088.0,9761.0,345088.0,23784.0,1006.491100655626,329.3228108371479,570.4234350242225
345088.0,6798.0,345088.0,9754.0,345088.0,23824.0,1025.5626170042897,343.82992906921345,594.142478092632
345088.0,6871.0,345088.0,9773.0,345088.0,23861.0,1043.9113751746004,358.0514372446265,617.3375061306294
345098.0,6991.0,345098.0,9899.0,345098.0,23848.0,1061.5495430690983,371.9897357718065,640.014725193797
345098.0,7154.0,345098.0,9818.0,345098.0,23914.0,1078.4886667632468,385.64743586672523,662.1806820516883
345098.0,7186.0,345098.0,9800.0,345098.0,23934.0,1094.7424627860921,399.02779324851156,683.8421579686287
345098.0,7116.0,345098.0,9820.0,345098.0,23970.0,1110.3293603848188,412.1341433772535,705.0062878898727
345098.0,7074.0,345098.0,9902.0,345098.0,24008.0,1125.2731500474688,424.96908488875033,725.6808097051037
345098.0,6966.0,345098.0,9945.0,345098.0,24061.0,1139.6015353128155,437.534647618461,745.8743583660334
345109.0,6950.0,345109.0,9965.0,345109.0,24039.0,1153.3436070734997,449.83329537823,765.596806633921
345109.0,6970.0,345109.0,9940.0,345109.0,24049.0,1166.5273748202965,461.86876572240703,784.8593101734857
345109.0,6959.0,345109.0,9922.0,345109.0,24060.0,1179.178185673982,473.64609902931977,803.6738441911057
345109.0,6957.0,345109.0,9942.0,345109.0,24066.0,1191.3179777135,485.1709984401341,822.0525651821617
345109.0,6994.0,345109.0,9954.0,345109.0,24109.0,1202.9648042085564,496.4491640442461,840.007341446724
345109.0,7105.0,345109.0,9954.0,345109.0,24123.0,1214.1327717431643,507.4859735029646,857.5495511563324
345119.0,7247.0,345119.0,9986.0,345119.0,24138.0,1224.8331404229596,518.2863632297647,874.6900727210052
345119.0,7335.0,345119.0,10009.0,345119.0,24176.0,1235.076814376316,528.8548249635294,891.4392809145559
345119.0,7323.0,345119.0,9973.0,345119.0,24164.0,1244.8772629150271,539.1954932948255,907.8069937732157
345119.0,7242.0,345119.0,10024.0,345119.0,24189.0,1254.252252997515,549.3120649684739,923.8023314891946
345119.0,7155.0,345119.0,10091.0,345119.0,24266.0,1263.2234373484005,559.2077380384285,939.4335740096826
345119.0,7096.0,345119.0,10085.0,345119.0,24270.0,1271.8142084834221,568.8857009706318,954.7083954879263
345129.0,7129.0,345129.0,10084.0,345129.0,24308.0,1280.0471455285046,578.3498275569129,969.6344186575616
345129.0,7110.0,345129.0,10086.0,345129.0,24262.0,1287.9422653209117,587.6048449489392,984.2194959346759
345129.0,7109.0,345129.0,10044.0,345129.0,24290.0,1295.516232920492,596.6559463562323,998.4713992814657
345129.0,7136.0,345129.0,10060.0,345129.0,24330.0,1302.7819561695555,605.5081012284229,1012.3972525002312
345129.0,7174.0,345129.0,10092.0,345129.0,24323.0,1309.748424138339,614.1653744190149,1026.003264263995
345129.0,7274.0,345129.0,10120.0,345129.0,24358.0,1316.4211512891138,622.6307277313483,1039.294751545551
345140.0,7418.0,345140.0,10146.0,345140.0,24377.0,1322.8036196645412,630.9063664570309,1052.2761577895371
345140.0,7461.0,345140.0,10111.0,345140.0,24363.0,1328.899781638545,638.9941511916066,1064.9510393534374
345140.0,7409.0,345140.0,10078.0,345140.0,24390.0,1334.7166213486037,646.8955021451486,1077.321929013774
345140.0,7344.0,345140.0,10154.0,345140.0,24421.0,1340.2651860381286,654.610781727059,1089.390104762856
345140.0,7226.0,345140.0,10227.0,345140.0,24491.0,1345.5595325765853,662.1390862763619,1101.1556786834199
345140.0,7207.0,345140.0,10213.0,345140.0,24489.0,1350.6143234260428,669.479060115049,1112.618179903183
345150.0,7202.0,345150.0,10195.0,345150.0,24507.0,1355.4423202679452,676.6298536570255,1123.7771945026243
345150.0,7208.0,345150.0,10165.0,345150.0,24486.0,1360.0527684991462,683.5911712553719,1134.6325483666087
345150.0,7219.0,345150.0,10199.0,345150.0,24487.0,1364.4507531631828,690.3625990463867,1145.1839682377981
345150.0,7236.0,345150.0,10182.0,345150.0,24531.0,1368.6370626046325,696.9430000351609,1155.4305609715093
345150.0,7305.0,345150.0,10254.0,345150.0,24539.0,1372.608391721458,703.3303548819687,1165.37057039586
345150.0,7449.0,345150.0,10270.0,345150.0,24553.0,1376.3582612000737,709.522090930208,1175.0014866932233
345160.0,7549.0,345160.0,10226.0,345160.0,24577.0,1379.8791526845964,715.5156405054887,1184.320190642601
345160.0,7525.0,345160.0,10221.0,345160.0,24567.0,1383.165388537203,721.3085364570934,1193.3229891248375
345160.0,7466.0,345160.0,10259.0,345160.0,24593.0,1386.2151232623632,726.89791550987,1202.0055561629017
345160.0,7424.0,345160.0,10332.0,345160.0,24662.0,1389.0303843067074,732.2803219710717,1210.362943543521
345160.0,7291.0,345160.0,10293.0,345160.0,24676.0,1391.615556920147,737.4522915091336,1218.3900213850466
345160.0,7293.0,345160.0,10291.0,345160.0,24659.0,1393.9750860960576,742.4109622925347,1226.0821666769807
345171.0,7289.0,345171.0,10278.0,345171.0,24665.0,1396.1112292557225,747.1539810137797,1233.4355118926685
345171.0,7282.0,345171.0,10291.0,345171.0,24646.0,1398.0226994104833,751.6789932855398,1240.4466060960106
345171.0,7306.0,345171.0,10290.0,345171.0,24661.0,1399.7041906597387,755.9832628728485,1247.1118711583397
345171.0,7345.0,345171.0,10333.0,345171.0,24688.0,1401.146381337493,760.063575672121,1253.4271891462208
345171.0,7437.0,345171.0,10332.0,345171.0,24700.0,1402.336514144585,763.9164366251283,1259.387825402135
345171.0,7632.0,345171.0,10353.0,345171.0,24727.0,1403.2600493702298,767.5384362260711,1264.9886429363935
345181.0,7646.0,345181.0,10354.0,345181.0,24719.0,1403.9036222951775,770.9265560298821,1270.2243634173753
345181.0,7585.0,345181.0,10316.0,345181.0,24742.0,1404.2581031233449,774.0782412555454,1275.0897049362663
345181.0,7516.0,345181.0,10383.0,345181.0,24777.0,1404.3197867180675,776.9912243943251,1279.5794736207868
345181.0,7408.0,345181.0,10431.0,345181.0,24819.0,1404.089281374129,779.6635775054866,1283.6889027096036
345181.0,7389.0,345181.0,10409.0,345181.0,24835.0,1403.569201709025,782.0943959919996,1287.4143343690405
345181.0,7379.0,345181.0,10387.0,345181.0,24806.0,1402.76192039062,784.2844643017022,1290.7538578731069
345192.0,7377.0,345192.0,10363.0,345192.0,24772.0,1401.6681679005758,786.2361345680321,1293.7073517887552
345192.0,7361.0,345192.0,10366.0,345192.0,24783.0,1400.2864296901125,787.9526468482452,1296.2758472605055
345192.0,7381.0,345192.0,10311.0,345192.0,24827.0,1398.6126631234422,789.4373927751203,1298.4608579748751
345192.0,7443.0,345192.0,10376.0,345192.0,24797.0,1396.6403140286297,790.6932722859593,1300.2642555657276
345192.0,7588.0,345192.0,10423.0,345192.0,24842.0,1394.3611915316972,791.7225035513768,1301.6884657872483
345192.0,7681.0,345192.0,10407.0,345192.0,24791.0,1391.7676931349706,792.5272098082539,1302.7365502989203
345202.0,7638.0,345202.0,10395.0,345202.0,24834.0,1388.8557650659848,793.1101475753227,1303.412093039164
345202.0,7562.0,345202.0,10390.0,345202.0,24817.0,1385.626831405089,793.4748213320563,1303.7190307300953
345202.0,7492.0,345202.0,10421.0,345202.0,24872.0,1382.0875750103426,793.6252375352786,1303.6616722726799
345202.0,7420.0,345202.0,10478.0,345202.0,24886.0,1378.2481671923674,793.5660000914689,1303.2450688049155
345202.0,7398.0,345202.0,10418.0,345202.0,24860.0,1374.120123749368,793.3028888152779,1302.4755622670773
345202.0,7366.0,345202.0,10382.0,345202.0,24809.0,1369.7145135797878,792.8431679005224,1301.360935550191
345212.0,7329.0,345212.0,10372.0,345212.0,24823.0,1365.040689522279,792.1950110318576,1299.9098321367512
345212.0,7331.0,345212.0,10365.0,345212.0,24842.0,1360.1053468120883,791.3665468156446,1298.1310136556383
345212.0,7385.0,345212.0,10393.0,345212.0,24872.0,1354.9119716033745,790.3652791244731,1296.033197786489
345212.0,7484.0,345212.0,10419.0,345212.0,24838.0,1349.461223728155,789.1980885214927,1293.6254033830098
345212.0,7625.0,345212.0,10372.0,345212.0,24826.0,1343.7527149793393,787.8715777504855,1290.917138756417
345212.0,7633.0,345212.0,10376.0,345212.0,24824.0,1337.7879137173613,786.3922004997164,1287.9181211774553
345223.0,7575.0,345223.0,10345.0,345223.0,24819.0,1331.5728279816512,784.7659060968829,1284.6378531134824
345223.0,7480.0,345223.0,10432.0,345223.0,24848.0,1325.1189047190292,782.9977694333312,1281.0854232105298
345223.0,7367.0,345223.0,10463.0,345223.0,24897.0,1318.4418089871497,781.0923081579099,1277.2697219474512
345223.0,7362.0,345223.0,10426.0,345223.0,24861.0,1311.5590319008504,779.0544667360637,1273.2000655968227
345223.0,7300.0,345223.0,10397.0,345223.0,24885.0,1304.4876139300268,776.8902755992559,1268.886774888432
345223.0,7309.0,345223.0,10378.0,345223.0,24856.0,1297.242648819666,774.6065598916151,1264.3413397537406
345233.0,7287.0,345233.0,10355.0,345233.0,24828.0,1289.8364522550992,772.2101590295086,1259.5762467184452
345233.0,7311.0,345233.0,10375.0,345233.0,24813.0,1282.2781984995945,769.7072538599983,1254.6045191696617
345233.0,7355.0,345233.0,10401.0,345233.0,24856.0,1274.574059015902,767.1031067886522,1249.4391927115043
345233.0,7478.0,345233.0,10397.0,345233.0,24830.0,1266.7281200213056,764.4023037255404,1244.0931866031267
345233.0,7571.0,345233.0,10376.0,345233.0,24808.0,1258.7444369584043,761.6091354339189,1238.5794433691246
345233.0,7543.0,345233.0,10408.0,345233.0,24804.0,1250.6298209767529,758.7277235065186,1232.9108019068392
345243.0,7456.0,345243.0,10402.0,345243.0,24806.0,1242.3958475675959,755.7620648686357,1227.0996421269342
345243.0,7367.0,345243.0,10415.0,345243.0,24850.0,1234.0588364511843,752.7162557331671,1221.1577803377409
345243.0,7278.0,345243.0,10444.0,345243.0,24841.0,1225.6380634011339,749.5948382125312,1215.0968294895129
345243.0,7256.0,345243.0,10456.0,345243.0,24850.0,1217.1533651131035,746.4032755217768,1208.9287668826191
345243.0,7232.0,345243.0,10376.0,345243.0,24824.0,1208.623150408859,743.148377533841,1202.6662900504368
345243.0,7209.0,345243.0,10359.0,345243.0,24802.0,1200.0632097649955,739.838073441011,1196.3227762690303
345254.0,7195.0,345254.0,10341.0,345254.0,24797.0,1191.4860716512437,736.4804726198354,1189.9119262337592
345254.0,7221.0,345254.0,10362.0,345254.0,24782.0,1182.9006461443214,733.0829844902943,1183.4473302748474
345254.0,7325.0,345254.0,10368.0,345254.0,24801.0,1174.3124650448194,729.652037451033,1176.9421934510908
345254.0,7469.0,345254.0,10389.0,345254.0,24782.0,1165.7251961460834,726.1933015426077,1170.4092858705803
345254.0,7472.0,345254.0,10356.0,345254.0,24773.0,1157.1434860921345,722.7120564327404,1163.8609741310652
345254.0,7406.0,345254.0,10336.0,345254.0,24761.0,1148.5757211392615,719.2132896761536,1157.309123003016
345264.0,7311.0,345264.0,10373.0,345264.0,24780.0,1140.03494095739,715.7014522243026,1150.7649195750205
345264.0,7208.0,345264.0,10447.0,345264.0,24817.0,1131.5376036536215,712.1805024241061,1144.238953393329
345264.0,7165.0,345264.0,10411.0,345264.0,24775.0,1123.1012114441087,708.654715955957,1137.7416554429328
345264.0,7160.0,345264.0,10395.0,345264.0,24769.0,1114.7420268917524,705.1295836302395,1131.2836342178366
345264.0,7124.0,345264.0,10370.0,345264.0,24758.0,1106.4736380690874,701.611932769127,1124.8755422489503
345264.0,7110.0,345264.0,10330.0,345264.0,24739.0,1098.3062466736205,698.1093731800986,1118.5277196419547
345274.0,7121.0,345274.0,10330.0,345274.0,24722.0,1090.2462354763895,694.6295329618501,1112.2498470136654
345274.0,7189.0,345274.0,10340.0,345274.0,24731.0,1082.296144297569,691.1794238916946,1106.050601428426
345274.0,7314.0,345274.0,10376.0,345274.0,24752.0,1074.4556391531958,687.7652862593053,1099.9374951378536
345274.0,7391.0,345274.0,10290.0,345274.0,24724.0,1066.7237820780515,684.3928117380152,1093.917026364282
345274.0,7333.0,345274.0,10314.0,345274.0,24710.0,1059.1018406863336,681.0670782904804,1087.9948201150573
345274.0,7283.0,345274.0,10346.0,345274.0,24729.0,1051.5950124211538,677.7921402625997,1082.1755018061199
345285.0,7201.0,345285.0,10359.0,345285.0,24738.0,1044.2122337054873,674.5710445396277,1076.4626131429159
345285.0,7109.0,345285.0,10399.0,345285.0,24764.0,1036.9646141579378,671.4064871462895,1070.8588939042154
345285.0,7094.0,345285.0,10349.0,345285.0,24750.0,1029.8633455645152,668.3015617587125,1065.3667918991289
345285.0,7056.0,345285.0,10318.0,345285.0,24718.0,1022.9178198845523,665.260007084358,1059.9888023321132
345285.0,7042.0,345285.0,10267.0,345285.0,24712.0,1016.13439510213,662.285653498408,1054.7273430555551
345285.0,7036.0,345285.0,10300.0,345285.0,24721.0,1009.5156912637185,659.3814330916413,1049.584359907809
345295.0,7070.0,345295.0,10305.0,345295.0,24721.0,1003.0602890138096,656.5487402430424,1044.561121446739
345295.0,7165.0,345295.0,10336.0,345295.0,24707.0,996.763115890285,653.78751297077,1039.6582657548192
345295.0,7293.0,345295.0,10341.0,345295.0,24710.0,990.6169878941522,651.0967699104285,1034.8758301226471
345295.0,7315.0,345295.0,10280.0,345295.0,24708.0,984.6152801642131,648.4750605619595,1030.2131927610276
345295.0,7255.0,345295.0,10261.0,345295.0,24700.0,978.7545451027049,645.9203026672227,1025.6690337986117
345295.0,7176.0,345295.0,10352.0,345295.0,24710.0,973.0355279666254,643.4292212808773,1021.2413297526622
345305.0,7078.0,345305.0,10390.0,345305.0,24715.0,967.4621995629666,640.997492529705,1016.9274017537223
345305.0,7050.0,345305.0,10336.0,345305.0,24732.0,962.0396640888293,638.6208127481821,1012.724104608888
345305.0,7007.0,345305.0,10360.0,345305.0,24750.0,956.7720489865922,636.295711270538,1008.6281851200097
345305.0,6997.0,345305.0,10324.0,345305.0,24734.0,951.6609939116382,634.019548463729,1004.6367186869314
345305.0,7002.0,345305.0,10276.0,345305.0,24696.0,946.7047791765954,631.7900977834954,1000.7473227627786
345305.0,6985.0,345305.0,10305.0,345305.0,24710.0,941.897947925527,629.6049021741386,996.957914527437
345316.0,7050.0,345316.0,10342.0,345316.0,24687.0,937.2313310321449,627.4607954694399,993.2662718946524
345316.0,7195.0,345316.0,10316.0,345316.0,24699.0,932.6928148794684,625.3540765946997,989.6697480286462
345316.0,7262.0,345316.0,10289.0,345316.0,24681.0,928.2694432256329,623.2808671705695,986.1651333760335
345316.0,7251.0,345316.0,10309.0,345316.0,24708.0,923.9503172315233,621.2370111188827,982.7485944717987
345316.0,7185.0,345316.0,10294.0,345316.0,24687.0,919.728616371561,619.2177774554848,979.4157220038526
345316.0,7124.0,345316.0,10390.0,345316.0,24744.0,915.6017651215667,617.2179391175196,976.1617206390613
345326.0,7000.0,345326.0,10361.0,345326.0,24748.0,911.5700532434859,615.2324505844982,972.9818419358235
345326.0,7006.0,345326.0,10344.0,345326.0,24771.0,907.6344646126473,613.257297449969,969.8720746576168
345326.0,6962.0,345326.0,10322.0,345326.0,24715.0,903.7946192073248,611.2897430149997,966.8297182451324
345326.0,6990.0,345326.0,10314.0,345326.0,24681.0,900.0475325093777,609.3279214368201,963.8533194758628
345326.0,6955.0,345326.0,10289.0,345326.0,24694.0,896.3871458016531,607.3702935720191,960.9419683523749
345326.0,7008.0,345326.0,10312.0,345326.0,24690.0,892.8042551035006,605.415216522634,958.0946049100685
345336.0,7079.0,345336.0,10309.0,345336.0,24702.0,889.286903698601,603.460746340201,955.3098085079996
345336.0,7211.0,345336.0,10301.0,345336.0,24676.0,885.8217464947402,601.5046941810156,952.5858571514852
345336.0,7237.0,345336.0,10296.0,345336.0,24656.0,882.3964958588631,599.5446870588878,949.9206420323338
345336.0,7177.0,345336.0,10308.0,345336.0,24700.0,879.0023990162292,597.5781138665121,947.3113928219634
345336.0,7103.0,345336.0,10314.0,345336.0,24710.0,875.6352336395843,595.6021408998681,944.754648886305
345336.0,7026.0,345336.0,10327.0,345336.0,24729.0,872.2944050109674,593.6139143444057,942.2467213803326
345347.0,6960.0,345347.0,10347.0,345347.0,24720.0,868.9809604580801,591.6109052896558,939.7842881310204
345347.0,6955.0,345347.0,10299.0,345347.0,24737.0,865.6954924922788,589.5912455809568,937.3647773886051
345347.0,6926.0,345347.0,10288.0,345347.0,24647.0,862.4365681128719,587.553718649588,934.9864090063155
345347.0,6918.0,345347.0,10294.0,345347.0,24673.0,859.1998299885761,585.4973305044243,932.6477109973894
345347.0,6929.0,345347.0,10260.0,345347.0,24692.0,855.9775307780787,583.4208515057674,930.3468150898944
345347.0,6990.0,345347.0,10318.0,345347.0,24671.0,852.758506807386,581.3225900181366,928.081209278337
345357.0,7120.0,345357.0,10282.0,345357.0,24665.0,849.5290487100567,579.2004485775677,925.8478341086143
345357.0,7221.0,345357.0,10329.0,345357.0,24642.0,846.2750761399382,577.0522160814944,923.6429581621535
345357.0,7198.0,345357.0,10286.0,345357.0,24667.0,842.9851090133536,574.8758734564843,921.4618571240949
345357.0,7129.0,345357.0,10301.0,345357.0,24677.0,839.6524511266615,572.6697226416993,919.2986851117139
345357.0,7047.0,345357.0,10365.0,345357.0,24722.0,836.2753763086803,570.4324745388681,917.146771143317
345357.0,6924.0,345357.0,10336.0,345357.0,24726.0,832.855507547572,568.1636906037401,914.9992883148641
345367.0,6915.0,345367.0,10322.0,345367.0,24685.0,829.3953160280591,565.8643858611332,912.8499012664721
345367.0,6911.0,345367.0,10236.0,345367.0,24694.0,825.8958591724372,563.5369939844154,910.6929064596645
345367.0,6895.0,345367.0,10267.0,345367.0,24672.0,822.3555630734218,561.1845163204956,908.5229079649378
345367.0,6881.0,345367.0,10248.0,345367.0,24672.0,818.7698145522326,558.8095772565123,906.3344478551492
345367.0,6888.0,345367.0,10264.0,345367.0,24685.0,815.1307395963089,556.4140152172927,904.1217795887592
345367.0,7027.0,345367.0,10269.0,345367.0,24681.0,811.4273585551553,553.9989302898819,901.8788311073637
345378.0,7131.0,345378.0,10282.0,345378.0,24704.0,807.6469885365659,551.564917237737,899.5993598566523
