c_ts,c_val,d_ts,d_val,e_ts,e_val,c_val_filtered,d_val_filtered,e_val_filtered
103919,23374,103919.0,69850.0,103919.0,98282.0,577.7238466838904,988.3941315485442,773.3343441191446
103919,23390,103919.0,69897.0,103919.0,98273.0,584.4074076562963,987.2290931809771,773.4327565749403
103919,23427,103919.0,69996.0,103919.0,98299.0,591.0810552602123,985.8091864020728,773.3325562286083
103919,23444,103919.0,69954.0,103919.0,98294.0,597.7269021969329,984.1314640338362,773.0321805474109
103919,23427,103919.0,69901.0,103919.0,98292.0,604.327614118888,982.1964964659074,772.5307006743401
103919,23413,103919.0,69781.0,103919.0,98241.0,610.8666869431568,980.0083557274253,771.8280080590196
103929,23392,103929.0,69754.0,103929.0,98224.0,617.3282038433979,977.5730845064546,770.9245364552626
103929,23410,103929.0,69725.0,103929.0,98228.0,623.6963375618581,974.8967347111253,769.8206751152959
103929,23399,103929.0,69689.0,103929.0,98215.0,629.9549830669408,971.9839488059101,768.5163467196903
103929,23409,103929.0,69742.0,103929.0,98226.0,636.087624281809,968.8372658794391,767.0109341910533
103929,23438,103929.0,69758.0,103929.0,98243.0,642.0773625526219,965.4571684903151,765.303453183199
103929,23456,103929.0,69738.0,103929.0,98243.0,647.9071802422384,961.8427852085913,763.3929419278203
103940,23472,103940.0,69786.0,103940.0,98213.0,653.5604582038,957.99270444515,761.2788923991047
103940,23482,103940.0,69817.0,103940.0,98254.0,659.0215331624075,953.9057558976095,758.9614799723663
103940,23480,103940.0,69882.0,103940.0,98251.0,664.2761133988026,949.5821906898019,756.4417959805803
103940,23481,103940.0,69772.0,103940.0,98195.0,669.311498593621,945.0250618969092,753.7222086252245
103940,23453,103940.0,69730.0,103940.0,98206.0,674.1165739338784,940.2407470242727,750.8064171010816
103940,23459,103940.0,69644.0,103940.0,98168.0,678.6815728198609,935.2380558102719,747.699099692098
103950,23443,103950.0,69568.0,103950.0,98103.0,682.997725909042,930.026487769538,744.4054127313341
103950,23429,103950.0,69520.0,103950.0,98061.0,687.0569283574426,924.6142969189391,740.9301642161482
103950,23410,103950.0,69514.0,103950.0,98082.0,690.8513709058286,919.0067782647355,737.2767185846074
103950,23435,103950.0,69586.0,103950.0,98114.0,694.3731431716724,913.2053910123357,733.4464015194701
103950,23444,103950.0,69574.0,103950.0,98097.0,697.6140805804046,907.2081068884502,729.4387972747115
103950,23444,103950.0,69591.0,103950.0,98102.0,700.5659705432771,901.0104877101811,725.2523900500885
103960,23461,103960.0,69584.0,103960.0,98099.0,703.220881367486,894.6066524081406,720.8849949181239
103960,23478,103960.0,69702.0,103960.0,98125.0,705.5714886871662,887.9901396979869,716.3340815507113
103960,23482,103960.0,69713.0,103960.0,98116.0,707.6114866837896,881.1553465362656,711.5972498415534
103960,23457,103960.0,69599.0,103960.0,98090.0,709.3359649256097,874.0992369626665,706.6727259535791
